u,s,m,N_e,q_eq,q_eq_noisy
9.439272398526522834e-03,1.339017816128887650e-01,3.734011610889252375e-01,5.995436480394748742e+02,2.813730049708029202e-01,2.833864536014145119e-01
8.914866804466575409e-03,3.368347638298704871e-01,4.650491183887446311e-01,1.119393533867987713e+02,2.160794050578683789e-01,2.106570800999364446e-01
4.384736078030901374e-03,4.403917035543038483e-01,2.426673949142743592e-02,9.127784523437019004e+01,1.749720027773310482e-01,1.711939762853957048e-01
2.530010816224012062e-03,7.705911317239406977e-02,2.700248428489495645e-01,1.767698482610999235e+02,2.386649611213048361e-01,2.383154169371945186e-01
1.146076919086661591e-03,3.087231077590821271e-01,4.766623082241794318e-02,1.673820407661773118e+02,1.456431115400159682e-01,1.447987307168632498e-01
8.090643899521921369e-04,1.019714310643300287e-01,4.432578301197100945e-01,8.955411872960253277e+02,1.660759369077536296e-01,1.665032229027508526e-01
9.138439910351358469e-03,1.326044550888044182e-01,4.766662617402603330e-01,9.546602767110806553e+01,2.856807578565106476e-01,2.861154017185557619e-01
2.346338754719461735e-03,2.116383127620933280e-01,2.794522172864882803e-02,8.976571445394517923e+01,1.826314658766703958e-01,1.868671433867724885e-01
7.074807729431119904e-04,3.005011485463654486e-01,4.961189063561000090e-02,8.388826062099553837e+01,1.386198608087156892e-01,1.363958192833311378e-01
3.237046054388804592e-03,2.936577331236177035e-01,2.288295521961449808e-01,9.108509882114173024e+02,1.759493514001451153e-01,1.751941413858911223e-01
5.122217708180427584e-03,2.767935131458003073e-01,3.874659394927847389e-01,6.423255992283942533e+02,1.966755861986514697e-01,2.007611294136361357e-01
3.136936203452238454e-03,4.807671408584248685e-01,3.080141582610413375e-01,7.148355973168315813e+01,1.622423254702619888e-01,1.635357314626656733e-01
7.805519862872973939e-03,2.792034918247194852e-01,1.658601502468374234e-01,9.532659526533485632e+02,2.200811625133812788e-01,2.214072892581337992e-01
5.629651675403464115e-04,3.798932618811641793e-01,2.984205786429290908e-01,3.870091460552330886e+02,1.297284537436563245e-01,1.287004410002813848e-01
2.436017989913220362e-03,2.004348967650716462e-01,3.989812048677018885e-01,5.310551974548018279e+02,1.800361107333141308e-01,1.767399603916028350e-01
1.979610579219874891e-03,3.849501523436156813e-01,4.607493639694088539e-01,4.543444065933421712e+02,1.538017237305363827e-01,1.541366532189818728e-01
6.026826331091845448e-04,3.865507805273005193e-01,6.916213205782750784e-02,6.082746453764315220e+02,1.284028079830691893e-01,1.286208361587122817e-01
3.414736442681658504e-03,3.513044182331376830e-01,4.215102082188307286e-01,3.945998695349724699e+02,1.719593640835056780e-01,1.695046599750165417e-01
6.430887355692017221e-03,3.894330870494463470e-01,3.239551682509257957e-01,1.862134046195937742e+02,1.931682720819436483e-01,1.918018187583825362e-01
2.953956220803236575e-03,3.075605131477183174e-01,2.681519282947746330e-01,1.618844846000670259e+02,1.731320190761783395e-01,1.729879317167238861e-01
1.089844622478766852e-03,4.350378088652226971e-01,2.203884826707640521e-01,2.146797333560124343e+02,1.378624933793911600e-01,1.359729901332696056e-01
6.189863272203016513e-03,4.246402706359578838e-01,2.554022551738091007e-01,2.861932641290404149e+02,1.874197258772894448e-01,1.872231859415850186e-01
2.300591065584584038e-03,9.337539825460518250e-02,2.293625106155012805e-01,1.722696049688336757e+02,2.205653140151621616e-01,2.207562800701010630e-01
2.310211638733752470e-03,2.517601043102641878e-01,3.353453487370257613e-01,5.473090411947210043e+01,1.781948268395004975e-01,1.782659993136114784e-01
4.771829219755953019e-03,1.043024289794824144e-01,4.560157034318319536e-01,7.946249840069472725e+01,2.632091483025196244e-01,2.621965649858910008e-01
7.787911540465051845e-04,4.777425676812681599e-01,1.184411338653614809e-01,1.942053074009651539e+02,1.300992422400834569e-01,1.312867383836550939e-01
5.825442919088695895e-03,2.457010383255674446e-01,1.032191282050842762e-03,5.441278108111923757e+02,2.131517466979363229e-01,2.149340806065009879e-01
3.872101782420002674e-03,1.490352431453525195e-01,1.287902356497672152e-02,1.590985226130558488e+02,2.235863587148152198e-01,2.242280553239483498e-01
5.284534466700208447e-03,4.269328437751556127e-01,4.558483131633672136e-01,6.650236514752988342e+02,1.798309432949956321e-01,1.781944828402150238e-01
8.877046707632080084e-04,8.924727181830303946e-02,4.644163497405808805e-01,7.804779325391695011e+02,1.736263444350289176e-01,1.750896490025997954e-01
5.531842994615683573e-03,1.193391268906498631e-01,4.375745004395539817e-01,6.372917809662170185e+01,2.664222041380612249e-01,2.654193241011271187e-01
8.869276025600546145e-04,3.554734715372915854e-01,2.912365612054963471e-01,4.362389016342209516e+02,1.378167369718525381e-01,1.395750582084284985e-01
6.383699066068917322e-04,2.783404952999709581e-01,2.926059476197581666e-01,8.691574257687071849e+02,1.361148772847435851e-01,1.339713024509887052e-01
6.481058640872945469e-03,1.702825998222114445e-01,2.019551378986546575e-01,1.221517243844653393e+02,2.460178422480347737e-01,2.478467766542923334e-01
6.599722387309812401e-03,3.093258961679804520e-01,1.689098454605062472e-01,1.899833737859067924e+02,2.069749166036229937e-01,2.069347896943920240e-01
6.908297933668183441e-03,1.433226532151892496e-01,4.666114308115197895e-01,1.989923117270985244e+02,2.528158191484639605e-01,2.503183213677951380e-01
2.055600451802534930e-03,1.891560249038064523e-01,2.651693629493420690e-01,1.920178828459494298e+02,1.784466728367823107e-01,1.778188738928486168e-01
1.136358011622729761e-03,3.249772763634026229e-01,1.376046780505814082e-01,5.972778734828492588e+02,1.432811053300557524e-01,1.433893098875988481e-01
5.107362531186485696e-04,4.473194696555802818e-01,3.286131915760905353e-01,7.886085268250403715e+02,1.261945767098219262e-01,1.267401593881508359e-01
3.459969403190863747e-03,3.664302227482598151e-01,4.582995129463618422e-02,6.146488792018857339e+02,1.704816310376985611e-01,1.685172547878165950e-01
4.321093925308455534e-03,3.394525028640034692e-01,3.418442724833077317e-01,7.353956845185122404e+01,1.859046123117147620e-01,1.836898662173843677e-01
6.110413752136911215e-03,3.859912116822586947e-01,1.362058425128859218e-01,7.253467873844931546e+02,1.908945500465615841e-01,1.912937191122557334e-01
1.163326209717292694e-03,2.202691012843477902e-01,3.470571803112106335e-01,3.913156219182774294e+02,1.546643979832624249e-01,1.537308987495028256e-01
9.527419663443836405e-04,4.914401270917429509e-01,2.409638798125312564e-01,8.261734299561901480e+02,1.328132520606879474e-01,1.332842632841483854e-01
3.394370989189766409e-03,3.250670810035702352e-01,4.305917781915665210e-01,1.622164654995711146e+02,1.758494129227822222e-01,1.773684519677389826e-01
5.576612789314608354e-03,1.659025739802226229e-01,3.783106912246370634e-01,1.249314615743672050e+02,2.341243043952553060e-01,2.308267296625534093e-01
8.968807771006065063e-03,6.618436153243451026e-02,4.916302448958851379e-01,1.383345664424121821e+02,3.506504991854919595e-01,3.511592754185272058e-01
7.848873394715418688e-04,1.002900133831514662e-01,2.903360431393233743e-01,1.569628016531900982e+02,1.718053518962608661e-01,1.742546458313323221e-01
2.120033803229446397e-03,1.393291182266558070e-01,4.131073090035730644e-01,7.054850295128543394e+02,1.887910928976503921e-01,1.881960392089094547e-01
7.294947633082020377e-03,3.804676875545784376e-01,3.293568962748105178e-01,2.135486101767978653e+02,1.996579735975973491e-01,1.980363444311221965e-01
1.773933682495548248e-03,4.165345240126764881e-01,3.683680934702915355e-01,1.185165644738691100e+02,1.505978677349331663e-01,1.521023553892923430e-01
2.923680220380336925e-03,4.664537802719488924e-01,4.477199963767221069e-01,5.033568669242019951e+02,1.586190924405054548e-01,1.591259854729217271e-01
5.380629772466312324e-04,3.393096058299061024e-01,1.564633704974940365e-01,5.788269038271352684e+01,1.340817987258483002e-01,1.358735648674034291e-01
3.759772079191280036e-03,1.837746454889798153e-01,3.980871319003173592e-01,1.415914883721204660e+02,2.057837112508435207e-01,2.050932798307409655e-01
7.847509807806235874e-03,4.274910902045698791e-01,4.634189435779743071e-01,5.351860180813804391e+02,1.956064300150016089e-01,1.926427934675571940e-01
5.952433596698039966e-03,4.790615764477104688e-01,4.945072225820891787e-01,3.094348139429586695e+02,1.803093076178213239e-01,1.800892860883988311e-01
7.096732460678584382e-03,3.636067280169124616e-01,7.290902440242486016e-02,1.481940293809651621e+02,2.034405004499987013e-01,2.025488441439762255e-01
3.615032134852739880e-03,8.256111798686306680e-02,1.406140909095006108e-01,1.140973276891540138e+02,2.673158533486089672e-01,2.688665009927040939e-01
1.043376064322373105e-03,2.349418895518862183e-01,2.123394366577439629e-01,6.581229439904943490e+01,1.558307698410475728e-01,1.562180355378018914e-01
4.998430663204946577e-03,1.620246334137341315e-01,1.904245853018051715e-01,5.379287325589832136e+01,2.425028325586703060e-01,2.392411340938001008e-01
9.426819549580649996e-04,4.726672303486869620e-01,4.687345680632099554e-01,9.123438244155066457e+01,1.371164159042152775e-01,1.347260897440088756e-01
6.032307875900923613e-03,4.150055260067321283e-01,1.256434202879186390e-02,2.162159049900507171e+02,1.886334769989428672e-01,1.904010550721173811e-01
6.033480353013757251e-04,8.146720045859573434e-02,4.482439915730344060e-01,1.967089726367175047e+02,1.703200161689315262e-01,1.716795462037672138e-01
5.928630864382664241e-03,3.242443686448375217e-01,4.243151796601102310e-02,2.441036231070273175e+02,1.995339251286697979e-01,1.982534383968528324e-01
8.184627010040727672e-04,4.933164124027300534e-01,4.687725155916022679e-01,5.387798153527304379e+01,1.358481143473203590e-01,1.358460167541858110e-01
1.538322880217224799e-03,2.857127571589100912e-01,4.606479958159523380e-01,1.859486393579443586e+02,1.564630733760165593e-01,1.573542204835689240e-01
1.291385363421003723e-03,4.502486049200067897e-01,2.411389096201662086e-01,4.548349757636056552e+02,1.398828940616324845e-01,1.408197027333270290e-01
3.966616593668248307e-03,4.155488047456785128e-01,8.710045649099817933e-02,4.726837287119842017e+02,1.709664789314445654e-01,1.727189633236732580e-01
8.536844568273460870e-04,2.621918294896999346e-01,9.573935758601304080e-02,2.659923812893359809e+02,1.425329251839642097e-01,1.430458964384073439e-01
1.638744161295496195e-03,2.489037783764966871e-01,1.297061516750623866e-01,4.128261585528623527e+02,1.596468890877121016e-01,1.594572324097751070e-01
5.088010246945392969e-04,1.227430344883447266e-01,4.244586706333446369e-01,5.143903347668049264e+01,1.659682408532459352e-01,1.654505447236702398e-01
1.097699583260123299e-03,2.095113065510046391e-01,2.703745952787356965e-01,1.369698281794557033e+02,1.568384343064950504e-01,1.589499199075615488e-01
1.765831604571806287e-03,1.361150040460923361e-01,4.374123046695420625e-01,2.319684020739844357e+02,1.852945172078214187e-01,1.807928086576643389e-01
6.867152792823686758e-04,4.305684127332999322e-01,3.773259916286541560e-01,7.889647238586186404e+02,1.309712635775687473e-01,1.306939529273860590e-01
3.332192527851916136e-03,3.215314720369495949e-01,4.838519404153455161e-01,1.081111243939994182e+02,1.768206443982114073e-01,1.768866446061795328e-01
1.562835941974588441e-03,4.713090221068106933e-01,3.306884680637389717e-01,1.200914368296623991e+02,1.447019618977430089e-01,1.418512639760026450e-01
4.391361332553922643e-03,2.346593978863061869e-01,8.502218783817466763e-02,1.871082292879444537e+02,2.018051295205550433e-01,2.024707567468311264e-01
3.545433124047331179e-03,3.657691943953398361e-01,2.734694956890268980e-01,3.889532627353353860e+02,1.718049841348083528e-01,1.705024221099215587e-01
1.819738315342802433e-03,4.249175837131798361e-01,3.696419241460447980e-01,2.829368813587527143e+02,1.493733103761387959e-01,1.510981999687703026e-01
6.720165953608312273e-03,5.579477616021139008e-02,1.789522155408566628e-01,4.741456562161436068e+02,3.546521426916423581e-01,3.544009585235737281e-01
3.321978011725025635e-03,1.952842745930414847e-01,4.998887342233979680e-01,1.144177294560226699e+02,1.976287596842658811e-01,1.989670661658447803e-01
5.664495565528305035e-03,2.463034062889802867e-01,1.086313818463210401e-01,5.529882889434205708e+02,2.102088073269881563e-01,2.126464945373306159e-01
1.392051147147898085e-03,4.678715498110617155e-01,4.633152010311149538e-01,7.641745098145530619e+02,1.417645938546933382e-01,1.425304530201202957e-01
2.548590488244913133e-03,4.417199855570632661e-01,2.449668957471201058e-01,2.518614824260658906e+02,1.562529370133643458e-01,1.545014947265186678e-01
9.002396560335191190e-04,8.802870923695194083e-02,4.223874064665007477e-01,1.121602746438955478e+02,1.855840126818285862e-01,1.825553754184193189e-01
9.885065983310202531e-03,4.799566026572077426e-01,2.664260178864296114e-01,6.290634104921837206e+02,2.023437089009494094e-01,2.058504771359821461e-01
1.036097483331043304e-03,3.321067140131717110e-01,2.753064903868607249e-01,3.249683346156709263e+02,1.422130659730948266e-01,1.419904815867197856e-01
1.079349970792367998e-03,8.237010833393784703e-02,3.535867508319991970e-01,6.636353526008272183e+02,1.841439121227525788e-01,1.827667822274839371e-01
6.225761563584013888e-04,3.605550119724396652e-01,2.620358632340161753e-01,1.769656199972032198e+02,1.325606435503066394e-01,1.328491577264283019e-01
1.082379591937653691e-03,4.349131835145604308e-01,2.242351113517495609e-01,3.625954348481076295e+02,1.373042486395276984e-01,1.369214259785624110e-01
4.918391731635688054e-03,1.664848774428733802e-01,5.937548718463975250e-02,5.512424586057856857e+01,2.411437375114259263e-01,2.428480220398513134e-01
4.045297569763644033e-03,1.951977007561195854e-01,3.363628596850363195e-01,1.071831853693945504e+02,2.082871838777402562e-01,2.083550402426144477e-01
7.351529650709882771e-04,1.749617104862315475e-01,4.800217071246630773e-01,1.251317998837562726e+02,1.537710830782354765e-01,1.537985822454723261e-01
1.543361208178665534e-03,3.661283288990492268e-01,4.713129380697677617e-01,7.929554109698394768e+02,1.489847332892392517e-01,1.475555738471733269e-01
1.764417532358762220e-03,3.732256269392085213e-01,2.348699665904796507e-02,3.912626027042264809e+02,1.498816292963591201e-01,1.508207654938541198e-01
3.665510395336283971e-03,3.984571537886596460e-01,2.183560798911071132e-01,5.740689390946294424e+01,1.745887356645136612e-01,1.725210022198037096e-01
1.959508993774240412e-03,4.644685091348790262e-01,2.978617433884986898e-01,2.661408297549153872e+02,1.486380554569771972e-01,1.499698343365051256e-01
2.897663434939575650e-03,1.318227118650332486e-01,4.937360955628999903e-02,1.839793995795502610e+02,2.132420872762236519e-01,2.162899623022039031e-01
6.186212875149504908e-03,3.687115692899564645e-01,3.553164730829757589e-01,4.901642599658762265e+02,1.925559640030320152e-01,1.895065919268337229e-01
4.406907779546394288e-03,3.405663451909823891e-01,2.166815016602890998e-01,9.480053462246272034e+01,1.856715330947416309e-01,1.807390746320390040e-01
1.492297470343207375e-03,1.681794870426643884e-01,6.491413149665986593e-02,1.359032549943027277e+02,1.732092265071525361e-01,1.744429840174611668e-01
1.915786253646304749e-03,4.888888166866683926e-01,1.063239028820108789e-01,8.329773404068977527e+01,1.477784865647686630e-01,1.528742821957349285e-01
1.504382157497985862e-03,2.646321013258691734e-01,9.171498651756315734e-03,5.006331104760519111e+02,1.547906204835928501e-01,1.527887707858490707e-01
6.946053016274456168e-04,4.769723640614981774e-01,1.150536045459807921e-01,1.902717313441225429e+02,1.284728330903702198e-01,1.259714415727662407e-01
9.191647262271829743e-04,4.872982068966480451e-01,3.502630730808678483e-01,9.575632485302755015e+01,1.351770509191758118e-01,1.363549887867367694e-01
1.170067076857815580e-03,4.550216431273837459e-01,2.466928715725208998e-01,1.829666591682718035e+02,1.386529140228581203e-01,1.369714708427414995e-01
1.281349563154147216e-03,2.567684119910419449e-01,1.168921489800424096e-01,2.125174660723518514e+02,1.530012884110390492e-01,1.519892374431655868e-01
1.277187498080969421e-03,1.758995555663849242e-01,1.263763898608606384e-01,7.168671206199387598e+02,1.623536221716823380e-01,1.616573872383147703e-01
2.813673068426767333e-03,3.135928727099119850e-01,2.366611019620376011e-01,1.037393321871866476e+02,1.721360027063218445e-01,1.732000068789054381e-01
9.186875039309993357e-03,2.522911248286874297e-01,3.666480300449935781e-01,6.130960255549859284e+01,2.418301220578508437e-01,2.410195173350646036e-01
5.091330389513946085e-03,2.606907118300574311e-01,4.891869965200129622e-01,1.051270376828828716e+02,2.025846368337008985e-01,2.031404025138612290e-01
5.348832542207931744e-03,1.598366046658680761e-01,2.493671351149133186e-01,5.916598051128938351e+01,2.452595348102911965e-01,2.449064682925040370e-01
4.861844879905060854e-03,4.290138839310275176e-01,2.216367107762298727e-01,5.674018227537965231e+01,1.817890381657875642e-01,1.800996959584843515e-01
2.989984581456610509e-03,3.788258419567765434e-01,1.895755150050748017e-01,1.397596251507449665e+02,1.664227382876083128e-01,1.657830857721218631e-01
7.814751233473095013e-03,4.393893190459430276e-01,4.107702948047395886e-01,4.535765806402525300e+02,1.946771653923271284e-01,1.927763660619912778e-01
3.946385642989524642e-03,2.891924716633375025e-01,2.880744193366031047e-01,4.957454971732726108e+02,1.844401954279168698e-01,1.844532253996563620e-01
2.238456861341775028e-03,9.169867923848754043e-02,4.579047960485336244e-01,6.994774924108561436e+02,2.104953739436498661e-01,2.082476414885185978e-01
6.298807723993283961e-04,4.380390227865416097e-01,2.741063905183964700e-01,6.127163348277782688e+02,1.288107796668548355e-01,1.266249909282643471e-01
2.160016656508049592e-03,8.116304072387554858e-02,9.945962531937796447e-02,7.389588545439075915e+02,2.200439108425095991e-01,2.229578344731201200e-01
9.459529007066020886e-04,1.195322042660149908e-01,5.255764833144133119e-02,8.974058854819027431e+01,1.753349665984405004e-01,1.752285981578298180e-01
7.440666986695107423e-04,4.748540585112434043e-01,2.690208400508884989e-01,8.573695113529265655e+01,1.321033816119878412e-01,1.319955775610437421e-01
2.277066155309842143e-03,3.026771484168798709e-01,9.533246081324758814e-02,5.306025215793641081e+01,1.699762528802613581e-01,1.709993257200966010e-01
5.252783717396595706e-03,3.537488346648758886e-01,3.492663470011355686e-01,1.696816235762098586e+02,1.889361652140282288e-01,1.880944512089304799e-01
1.209991265586338833e-03,4.194467002345204643e-01,3.915029726346753725e-01,2.052830267061054030e+02,1.416917047504549221e-01,1.412346340154986002e-01
5.002246900518717877e-03,3.490507110583039863e-01,3.887005306847616248e-01,8.390877703871137783e+01,1.896670299635216106e-01,1.905173274341854239e-01
2.414514292864722907e-03,2.497870796394793813e-01,2.031196834893869707e-01,9.282569301370709809e+02,1.713484256525822924e-01,1.719132573370711070e-01
7.814225747550889410e-04,2.943497380756138759e-01,2.754228824354301164e-01,1.578787505735420211e+02,1.404525742214872974e-01,1.381339807676224274e-01
9.003720069759668307e-03,2.293177071525211441e-01,1.133327803279079449e-01,1.577856291207041863e+02,2.471274927034298186e-01,2.487941778967691364e-01
1.665370160881934295e-03,3.097356912367650872e-01,2.594634072774245626e-01,1.623246010499277077e+02,1.557236553673956303e-01,1.545427854808175405e-01
1.210817325730023566e-03,5.099316381948748589e-02,4.086287391028351479e-01,8.253254240089538030e+01,2.415408450580200372e-01,2.394286871573916564e-01
6.323249098977446435e-03,2.787197432930340057e-01,3.196054021520630117e-01,2.952597971848761631e+02,2.079023528428202150e-01,2.061014027028221229e-01
7.259331519024530763e-04,6.071980216808393893e-02,3.335803629358584654e-01,7.114442541308405055e+01,2.083481796699479527e-01,2.075670889812372966e-01
4.501872580640848415e-03,9.935237697078905250e-02,4.780691844795351142e-01,8.539296964924930080e+02,2.447037240859683549e-01,2.479583245952144965e-01
8.776788405752170789e-04,4.308657235734347779e-01,1.433818701992899958e-01,2.060603380884676028e+02,1.338152729484901327e-01,1.314642011386485676e-01
1.620367701859428810e-03,3.467237527874512115e-01,3.247853699585140363e-01,2.971547290689799752e+02,1.513442764469300206e-01,1.516644282319987158e-01
1.001563991343075357e-03,1.319755418728857932e-01,4.423272657231029914e-01,1.466461936191482778e+02,1.697265445746856671e-01,1.654508958585045042e-01
6.214881553191375745e-03,3.862411363633233008e-01,1.660952309481550926e-01,1.366928400980681602e+02,1.935683809385403409e-01,1.935652470722499519e-01
1.608676423651591095e-03,2.641024713145291858e-01,2.522467347156920336e-02,9.568701574126466767e+02,1.563755062386995298e-01,1.581746390736515351e-01
9.269890208762171860e-03,1.106808241879080196e-01,1.474078939489295581e-01,6.990796852917914350e+01,3.316392755754867805e-01,3.311659489313638627e-01
3.254272758183066570e-03,4.683585628143643875e-01,1.449174374905295992e-01,7.562692473509379454e+01,1.635055174143008883e-01,1.622468075665342013e-01
3.993871778841811757e-03,1.007622943184307562e-01,1.436211854772291852e-01,2.446895323491030751e+02,2.491310175179138053e-01,2.495940396460308852e-01
2.385007953847594411e-03,5.888428610823140397e-02,2.626932023871501598e-01,8.883294116903985582e+01,2.715121526489529535e-01,2.729124561512542568e-01
1.261673261026159286e-03,1.654707778054677614e-01,2.811843055623587939e-01,5.099716312111101502e+01,1.776649373742038851e-01,1.789922525162387090e-01
1.635312562818792316e-03,8.908695811590508495e-02,1.925741212814478520e-01,3.167126335010602816e+02,2.018344208649963389e-01,2.057793685728559197e-01
8.378255618223339959e-03,5.752465636170606827e-02,1.609987928418102898e-01,5.048438442859813335e+01,4.453106423324344476e-01,4.457289772771069747e-01
9.135691039167913308e-04,3.439588444088994557e-01,2.618041478611530248e-01,3.333993454324615868e+02,1.389924369262685033e-01,1.378076167267626440e-01
9.653225181005347516e-03,1.093829625460812777e-01,3.650309521491932330e-01,1.254213998866315762e+02,3.125079993917812549e-01,3.122560410118079832e-01
4.847844452975831782e-03,3.037459298278945563e-01,1.624494290378647454e-02,3.167164150301287577e+02,1.927999180390725931e-01,1.926549209478329583e-01
1.469141368003421553e-03,1.591654231269890307e-01,4.128675537440733012e-01,2.817122540828342494e+02,1.721585058009013625e-01,1.723759805678576063e-01
3.416633752466468558e-03,4.732925610953794271e-01,6.621714535673561830e-02,8.022271503645126813e+02,1.613907605308659565e-01,1.613307049044070962e-01
1.565447166118682154e-03,1.471351947326626775e-01,4.532011775877428650e-01,1.042879688723727014e+02,1.823715065942423108e-01,1.827194384720347287e-01
1.567847265351099417e-03,2.842946268537072108e-01,2.463367366019861837e-01,7.964037378245587888e+02,1.545272997027448691e-01,1.511855995815146458e-01
2.261688315965603921e-03,3.807442660872453755e-01,2.821276201978648590e-01,2.474713804577711755e+02,1.573632840965583091e-01,1.590225420086383845e-01
5.256865880262994546e-04,1.900084633832640479e-01,4.904120588265737934e-01,5.000237342801078455e+01,1.517922014801947606e-01,1.506427229423527026e-01
2.193418028784404911e-03,4.242827255238476591e-01,4.486091352687363032e-01,1.650251179277636879e+02,1.548759970208637149e-01,1.525296796279696776e-01
9.184355464043308936e-03,1.912905284591341348e-01,2.225437254933314568e-01,5.945122431198414858e+01,2.690068791438101070e-01,2.702823814630929689e-01
1.175895774344213251e-03,2.245370286983461861e-01,1.011416626854454992e-01,4.022634781600518181e+02,1.533510057833240292e-01,1.559856577980962000e-01
4.703531018126468587e-03,2.436747271374822277e-01,2.978749706393516439e-01,4.250606078098238072e+02,1.998486734481248472e-01,2.008347297471237414e-01
1.883873044609756095e-03,2.385023548693123718e-01,2.009230604998679670e-02,1.231227850962558534e+02,1.679848337993028462e-01,1.683071524269939001e-01
9.359462709841901654e-04,3.235746444846865355e-01,3.353652268487616883e-02,1.022609417973590666e+02,1.414385456477635084e-01,1.395741050370196135e-01
7.523250022868339590e-03,1.518105252199238864e-01,1.131471086368058265e-01,1.838006616147278862e+02,2.665312887410105080e-01,2.722744234166374899e-01
5.258511238735608540e-04,1.981463496993334794e-01,2.088750907322178829e-01,3.094898140993772699e+02,1.394396263068566622e-01,1.412001435481796685e-01
1.241207015994491569e-03,1.530374140928816851e-01,3.468525592137287616e-01,7.399996096388333910e+01,1.760855951803748654e-01,1.738070058396889161e-01
9.970860580340204504e-03,1.746253618326012447e-01,4.945628816290192908e-02,1.035477424017908135e+02,2.845547318377050772e-01,2.829954560052255763e-01
1.096556085566529606e-03,3.932520467738024328e-01,4.274269058814688105e-01,6.198678229575843943e+02,1.404743225839857890e-01,1.406482810811295892e-01
6.362127889771327337e-03,3.331700392198407856e-01,2.248888474688538475e-01,2.212582230945209005e+02,2.004500015682375291e-01,1.973405393042455547e-01
3.068894427535006058e-03,4.832551860908155250e-01,9.695892119639765161e-02,1.198845972850270130e+02,1.593879705880094089e-01,1.597252314020304320e-01
5.593023413893661450e-03,4.775585182821717178e-01,4.322245965494200259e-01,5.422336326391420869e+01,1.824118678774560576e-01,1.814937247660305397e-01
3.303941210328099030e-03,1.422884511085276138e-01,3.454394461566396846e-01,1.072013886636792961e+02,2.164569825501657385e-01,2.189095237507981684e-01
1.482004405653103646e-03,1.444757161825155345e-01,4.299210094655670500e-01,3.348955046200854895e+02,1.754600475276081040e-01,1.773843568548645888e-01
