a,psi,theta_obs,q,Prad,Prad_noisy
3.655057985249675182e+20,1.167290467344170191e+00,1.117907728850155991e+00,5.243136100218913168e-19,1.332179590007975356e-11,1.329894236333193855e-11
7.918945839182497710e+20,9.639242763906558098e-01,1.110621379780380114e+00,2.555334227344941350e-19,4.055972817074477193e-11,4.060224304427796015e-11
5.730665708460286935e+20,6.771626745140513215e-01,6.281111770724060461e-01,9.776341668709680769e-19,1.708989050178709597e-10,1.709271466020954024e-10
2.341432210336413123e+20,8.058992433295510960e-01,8.160994943321181472e-01,4.454327035634714635e-19,6.133865897606916052e-12,6.017936224913673469e-12
9.684709695817621176e+20,6.180289317739497967e-01,3.946652288525606123e-01,4.452554505265923845e-19,5.101242008651936843e-10,5.102075351248606584e-10
4.614726014996657603e+20,8.503475524617657433e-01,7.746048589213037072e-01,4.537757833272587077e-19,1.948447857538029122e-11,1.942543508105138846e-11
3.657108300964262052e+20,1.028691399229638564e-01,1.162434721667371385e+00,2.505650892485327382e-19,6.906585008672276955e-12,6.800977113640858079e-12
8.622985335703567073e+20,7.607459250687648167e-01,9.309740455953636751e-01,6.335087459937064368e-19,4.458931451874473442e-10,4.458030976804474303e-10
2.120142992639318426e+20,1.309683173744647100e-01,9.673089436332318325e-01,2.059574223082846567e-19,2.363209318125499837e-12,2.324154783689967612e-12
7.602314149663330796e+20,2.425735334711683622e-01,1.342979879646791108e+00,9.525605905019930735e-19,7.113967101568023936e-10,7.115594401822646560e-10
2.690422683089214833e+20,1.200278756989922702e+00,4.727928625181538891e-01,5.254490405185939074e-19,5.648392141438144645e-12,5.530838550946066277e-12
4.532425984113242276e+20,9.572019524970811766e-01,9.444419618921363613e-01,6.354306818637244634e-19,3.631746877376517489e-11,3.633347636301861186e-11
3.087098906159246213e+20,3.368182320772255545e-01,1.250050890880067600e+00,4.232598117161402212e-19,1.555220354013573018e-11,1.533842110432667343e-11
8.571051934231481549e+20,1.071363282827378471e+00,5.318476004652031852e-01,4.021438304588095199e-19,1.372154220839195663e-10,1.372152653906050435e-10
4.510670967458755379e+20,7.185182504641953738e-01,1.655841510260799287e-01,9.867548857996131593e-19,7.026484158689642657e-11,7.035479822864402913e-11
9.772235315940603986e+20,2.753001587650675819e-01,4.832605242672167734e-01,2.006902303432797236e-19,1.319663511775602941e-10,1.319426848453541427e-10
6.627353359735961682e+20,1.308591403685941623e+00,4.767853374753768803e-01,2.243136540487929976e-19,1.179072312424465673e-11,1.172778763185632187e-11
7.242605512326236078e+20,2.466466280310221360e-01,4.734150822407958703e-01,5.770688223957284089e-19,1.582203778822848536e-10,1.582435289886907117e-10
5.693726099191757537e+20,1.256657154237796059e-01,7.830023262065902712e-01,2.726659908729319410e-19,1.660052387035313746e-11,1.667053904546820218e-11
3.780713791680320635e+20,4.335822469935735057e-01,8.310791944621327421e-01,1.059325396873432027e-19,9.187591097845111565e-13,9.851248668862517457e-13
4.560007789471858688e+20,2.129178790015035516e-01,6.006927153317642709e-01,6.545804841159808494e-19,4.548116189507515680e-11,4.567840928046813340e-11
9.468407688957115761e+20,1.217378961560397488e-01,5.185968613887067535e-01,1.028964395436885268e-19,2.741213744931909798e-11,2.743305419655272613e-11
2.810828806521980191e+20,9.492144394034872645e-01,7.806907844389977535e-01,6.700062774278565972e-19,1.463329639393641250e-11,1.457405538396111935e-11
9.893970110981910036e+20,2.715507806886792164e-01,1.049080475587902406e+00,3.762899216328038680e-19,5.883722153351798386e-10,5.883596174161811941e-10
7.824752758034366464e+20,8.330437972805840863e-01,1.422368515498448338e-01,6.545840711787321605e-19,2.366555521110388687e-10,2.366483022564768813e-10
4.238082338433491927e+20,4.153667779224127221e-01,1.173455639734590550e+00,6.193978333169645836e-19,4.819667708861308673e-11,4.820755082696090088e-11
6.773622305550429061e+20,1.322845176497762676e+00,2.721645779275125854e-01,9.337967765164344316e-19,2.206869406859100097e-10,2.206839379045870615e-10
4.428833853637787648e+20,3.806127847832476707e-01,1.278323061728131371e+00,3.208540812258736657e-19,1.484558709875960177e-11,1.486298369264922178e-11
4.433436393759280333e+20,7.768511442440430015e-01,7.404755151651639666e-01,9.316080032015573754e-19,7.650792905289410562e-11,7.634084404683258891e-11
5.534226551750766100e+20,1.055483435363153255e+00,8.335318125144485224e-01,5.804650784546753353e-19,4.790181356040132997e-11,4.798477645600533267e-11
1.150505394718393795e+20,5.044688942183181979e-01,1.375071352949091885e+00,1.000142605167473646e-19,4.867410864758766155e-13,4.292671595837733624e-13
5.442144039490565571e+20,1.181261207068893260e+00,1.266383751698714422e+00,4.587327304124403477e-19,2.792478305719468351e-11,2.780746718754998227e-11
9.744385721021992796e+20,5.081726377708318809e-01,6.786136862826617211e-01,1.520139572226042080e-19,6.984079703000198554e-11,6.990457214596612783e-11
3.569187059070205952e+20,6.042180829063333869e-01,3.629683229821583090e-01,7.264164106693484115e-19,2.350538477210163071e-11,2.363711737284023733e-11
7.733961631689509437e+20,6.595047672860596677e-01,8.744749236623141631e-01,7.429773117412465954e-19,3.533886228740787030e-10,3.534379256890286619e-10
4.985100010634455286e+20,6.445623585113466891e-01,1.522399957299656603e-01,3.707328693930786841e-19,1.346143270780503339e-11,1.347754863918958474e-11
2.883529383560069120e+20,8.903267507335387299e-01,1.871949589806780334e-01,3.149572310904379094e-19,2.283186037163266630e-12,2.189964006626071305e-12
9.145023137363165184e+20,3.941192950797800520e-01,3.941824824556950935e-01,4.911050176485461972e-19,4.321531797726044329e-10,4.324403365063858007e-10
1.151445562121916908e+20,5.279783435758521604e-01,6.430752359037663624e-01,6.476497256711686713e-19,8.237861649127389423e-12,8.325887511193540072e-12
3.731580339395596124e+20,3.976636407127692729e-01,1.001816653955694747e+00,2.177800190456025403e-19,4.409920674545920092e-12,4.295991207511622337e-12
9.991232940915437076e+20,4.600288230719590254e-01,2.285863492235450101e-01,3.187140713249563319e-19,3.684391648398265288e-10,3.683612010482025771e-10
3.359321165709905756e+20,1.091617024013207038e+00,1.211309955291818952e+00,8.563209019030569694e-19,3.338752999141130253e-11,3.339622791626849004e-11
8.641400696733448274e+20,9.180467799684287611e-01,6.847110034190199146e-01,5.468278796757447149e-19,2.941980283639629349e-10,2.940425552507633261e-10
6.451148337901338624e+20,1.351626093151244712e+00,3.520931951106338609e-01,3.627257227744983859e-19,2.755973297473597251e-11,2.757659601543702510e-11
8.254321367744112230e+20,1.335169052815162738e+00,1.223783951028492023e+00,1.243613158113007312e-19,9.727707924093003699e-12,9.681800768521727275e-12
6.672859798991304131e+20,3.666110809801909065e-01,9.981425600072629800e-01,3.291318164272619890e-19,4.330420749088243794e-11,4.342683455091406250e-11
4.264271713520635085e+20,3.729298467494892577e-01,1.217794624610474274e+00,6.713514559419862609e-19,5.956073576926269597e-11,5.965695123562552035e-11
