H,T,M,M_noisy
3.468794211011150264e+00,3.537770810685146872e-01,1.002901495634136442e+00,9.865170706017811764e-01
5.360365422679402858e-01,6.199216854361654372e-01,1.027420563194535008e+00,1.010126448522990161e+00
5.227177921647074843e-01,4.763403299191185658e-01,1.009454327946465613e+00,9.944060138078224531e-01
1.009537237647251562e+00,7.852317958756382943e-01,1.003955813872364988e+00,1.012370402806904934e+00
4.422248368441467292e+00,5.905307962223731444e-01,9.979850350551112692e-01,9.992721916298519247e-01
3.399057307422918228e+00,2.369861765844515356e-01,1.004553423221398178e+00,1.015336847628791173e+00
4.246181618072172981e+00,4.825355721583846069e-01,9.993309281490376783e-01,1.006555236872112680e+00
3.222181346027587878e+00,4.338826880257350416e-01,1.002898276911441400e+00,1.005003995035194109e+00
2.032711988377682300e+00,1.839419582123930086e-01,1.020635957166524443e+00,1.023476338619028203e+00
2.582890970624983851e+00,6.082451127482938480e-01,1.002738600883767983e+00,1.001040995906536724e+00
2.967217588779531123e+00,2.371816234865482542e-01,1.007477083906387794e+00,1.016161686018502985e+00
4.310589924538140494e+00,1.420113263568398010e-01,1.001918217055575155e+00,9.906210574377676270e-01
2.190930830795625006e+00,7.435120664713948946e-01,1.000255928435604957e+00,9.960373401738218391e-01
4.461200549833214346e+00,2.199710044478569992e-01,1.001210622838463404e+00,1.003640011369450802e+00
3.068584692012936266e+00,2.177969546229974185e-01,1.006872593307294395e+00,1.024886801891787824e+00
4.146780629032907228e+00,8.625047498465142626e-01,9.943586181734118679e-01,9.867139770162078882e-01
2.490280274586239351e+00,4.058651880452449623e-01,1.009238125332933000e+00,9.984475207415636211e-01
3.462590659149867189e+00,3.222026809378141232e-01,1.003318364486383674e+00,9.976854925013433073e-01
1.695126873246550314e+00,4.752753621602577860e-01,1.019611060178537976e+00,1.029303782189919581e+00
2.614142519618819271e+00,1.402730063923639803e-01,1.011849202851821117e+00,1.009499147782902950e+00
1.081116955095072107e+00,3.187884277104057196e-01,1.041423918081163302e+00,1.054667388273532902e+00
5.035180100923841717e-01,6.036468968859995954e-01,1.023315650245632202e+00,1.004590355069572061e+00
1.930206496048442188e-01,6.653695949507716367e-01,7.779180073644187399e-01,7.892032387834234664e-01
3.509747381929947174e+00,1.603447093418924330e-01,1.004571911478906898e+00,1.014920573878202337e+00
2.282153104407780297e+00,2.411589161697997585e-01,1.015580651558222414e+00,1.001393994660207509e+00
4.488670735465877470e+00,8.209997544636693512e-01,9.952119883036885106e-01,9.967478071690480945e-01
4.175916023461398119e+00,7.581975094456541164e-01,9.959110614113461102e-01,1.008068637763291475e+00
1.925475672404082683e+00,3.310698207307356533e-01,1.020309745618633412e+00,1.021188936041728557e+00
4.868393848526114454e+00,6.468950776454083229e-01,9.973242446628044489e-01,1.007321258884322335e+00
2.960310055391823347e+00,5.876252702986857201e-01,1.001127597955229431e+00,1.024876467088400966e+00
3.829416571076490250e+00,6.839847036396331514e-01,9.971218448590036809e-01,9.998611674049270315e-01
2.035971792398034719e+00,1.733677150048739124e-01,1.020598220238219556e+00,1.017794397098790160e+00
9.808495598413596861e-01,5.594494984593095799e-01,1.031486465354069626e+00,1.023775943755874218e+00
8.588850754091725825e-01,6.919293994589285068e-01,1.018373937321082279e+00,1.024854583336527236e+00
9.060311311549340552e-01,5.118866515941146167e-01,1.037605529525092773e+00,1.035638228861515575e+00
3.019027586312192923e+00,4.574442925656979630e-01,1.003603328687510565e+00,1.001815864979569870e+00
5.631642755565913205e-01,1.494048073456603065e-01,9.030591320912174647e-01,9.020065343070671204e-01
9.955374418710749573e-02,7.676134945317606428e-01,5.545513968264722537e-01,5.610500933523271394e-01
4.164984820942102317e+00,5.425995873472547748e-01,9.987449194905425598e-01,9.880815233688934329e-01
4.970555896632039561e-01,5.660777336110621727e-01,1.018384131390238423e+00,1.003085366483532859e+00
2.252922677758810721e+00,5.037013339306405380e-01,1.009195782023865728e+00,9.848570150523763278e-01
2.442492865419847003e+00,5.966371435622380703e-01,1.004149060725545883e+00,1.016135769719446635e+00
3.101362041917811840e+00,3.337436615588572630e-01,1.005190253060058048e+00,1.005928186655890677e+00
2.520072412007983154e+00,8.001634577824632277e-01,9.966162904261746114e-01,1.011717484557397961e+00
4.686715718644840933e+00,2.869711350567273334e-01,1.000450995045361946e+00,1.000361432064257983e+00
3.751982971816378409e+00,8.754656929365333129e-01,9.938284010123916712e-01,9.864068464603998887e-01
2.872332489414828771e+00,4.800827920006204286e-01,1.004080118967938473e+00,1.008859411955935093e+00
3.086360683526416349e+00,3.212267201683423057e-01,1.005474000955104863e+00,1.004708116825732800e+00
2.532757458034900822e+00,2.370082283725550854e-01,1.012021486748826860e+00,9.994796201290905291e-01
4.823809044376773159e+00,1.568284313117443429e-01,1.000976060623986141e+00,9.921253948094783670e-01
1.133130316795683434e+00,1.739448726583165405e-01,1.032949894353113018e+00,1.050617687527958921e+00
3.445135685742841680e+00,8.613747721503289823e-01,9.939557053890466509e-01,9.974992113422819218e-01
2.775483394489326017e+00,3.903319859180999218e-01,1.006720551478296866e+00,1.010884416828598642e+00
2.100589453434303921e-01,8.898392994741564088e-01,9.922701089636438709e-01,9.895045917804337066e-01
1.480749998918668542e+00,6.214736541903732592e-01,1.014787448678624138e+00,1.007890253040963247e+00
4.635834677007955484e+00,7.673758533071924903e-01,9.959619002359966222e-01,1.004878458391705864e+00
3.922824287149999201e+00,8.102358370397316767e-01,9.950566866574614977e-01,9.940104221307245469e-01
6.415546765194124479e-02,6.629091566941909264e-01,3.969914592990858582e-01,3.894003781816065546e-01
1.483131648313724238e+00,5.838034571030455977e-01,1.017465012787271750e+00,1.016123727593776227e+00
4.902674523281913554e-02,3.963853419909061371e-01,3.100477169293032187e-01,3.009916567620797290e-01
4.137334714890389620e+00,3.247492817265744680e-01,1.001082945332593788e+00,1.002983403718504807e+00
5.518379615453150588e-01,8.500478145420333753e-01,9.950171850928795081e-01,1.006309461393569915e+00
2.872758938740971324e-01,1.408920664062265904e-01,6.366181084407804835e-01,6.282572567793480722e-01
4.909416715975493339e+00,6.305691100250730985e-01,9.974856166510838174e-01,1.011771056702791549e+00
2.229349397076068939e+00,4.143947383615476099e-01,1.012390550642661591e+00,1.005714351156047126e+00
1.591964995318380094e+00,7.338049553466320374e-01,1.005134285733045418e+00,1.006668407360284734e+00
2.450669478154604564e-01,6.721705212386621664e-01,8.862631777219166507e-01,8.778993124688747596e-01
1.947976421494110433e+00,6.324148949658818797e-01,1.007528493711522755e+00,1.005306142047979412e+00
1.830195286310691394e+00,3.363040142487497275e-01,1.022253700300610468e+00,1.022727744425551810e+00
2.617403940277320817e+00,1.337142695405013626e-01,1.011827127869953991e+00,1.007480278408219743e+00
3.392733240741463430e-02,4.653263817490060905e-01,2.829452253919501059e-01,2.759163464362250351e-01
7.398144014510926736e-01,2.125746481381177166e-01,1.002055185604414422e+00,9.952763236977778538e-01
1.049432628742031248e+00,8.169839928985264121e-01,9.997426237209665612e-01,9.915310242284579578e-01
2.202522593743487800e+00,8.741155028445823927e-01,9.941700182448139911e-01,9.784692183155696554e-01
1.511516831549331474e+00,6.219990329688050990e-01,1.014232745113020639e+00,1.011603049002246069e+00
3.066638382451994271e+00,4.996588482720883961e-01,1.002500755317310199e+00,1.006512337413411506e+00
1.427163027696476849e+00,6.594965383732944719e-01,1.012720242289324446e+00,1.021804261540251835e+00
4.548165050422099398e+00,1.863367019776918099e-01,1.001245993474645379e+00,1.007717020760106497e+00
4.809349790990382623e+00,6.635904653788591290e-01,9.971500233667279778e-01,1.021723388590152215e+00
2.971743271795124208e-01,6.157149493865967660e-01,9.195456129802053180e-01,9.227324293309837611e-01
1.045298595774895478e+00,2.896498345079892012e-01,1.040929350346010196e+00,1.036366011406689935e+00
2.815115916279538943e+00,6.244720628534835560e-01,1.000918355426543283e+00,1.019634701796704013e+00
3.853301147419897710e+00,8.690827143124278953e-01,9.940172550216732628e-01,9.835450740857324403e-01
3.201211566219058779e-01,1.537551154830915090e-01,6.866919352291771528e-01,6.963767113243993778e-01
9.240134221493984112e-01,5.548844970790129949e-01,1.033405819954057003e+00,1.023854372256810086e+00
2.283600608453446146e+00,5.612600690925612090e-01,1.006832619055791245e+00,1.010373735631806325e+00
3.343453792750866960e+00,2.285489299380593364e-01,1.004942039947747112e+00,9.852580724253684474e-01
4.516639634944057846e+00,7.275162171052744764e-01,9.963857691925607218e-01,1.005378506269066774e+00
4.334864817707751783e+00,5.898041016216860610e-01,9.980419378780230888e-01,9.964594617253074160e-01
3.968777077091288241e+00,2.208288919922851423e-01,1.002357799145757289e+00,9.926809844285151563e-01
2.636607168827553860e-01,8.567157548073928153e-01,9.984750661913177616e-01,1.015259256578939340e+00
4.883182466460937121e+00,2.325120733718820942e-01,1.000545063822886105e+00,1.008198610660547390e+00
3.073139745755784080e+00,5.689803682734657642e-01,1.001029044709096594e+00,1.001487123066890250e+00
4.305790760072503165e-01,4.083869605007500736e-01,9.400571697668215210e-01,9.326027358789202859e-01
1.274643876948826637e+00,2.250849220776161563e-01,1.036941602509925175e+00,1.036507976608307624e+00
3.103770422831454212e+00,1.381052114771016415e-01,1.007201522027297624e+00,1.005562234397745724e+00
1.928200584418197749e+00,6.601725938624484202e-01,1.006341059016447659e+00,1.013588823951858675e+00
2.233017377452710672e+00,1.039381190107188380e-01,1.016827939820029059e+00,1.024808691631627022e+00
4.022925327993748468e+00,7.146812707641519991e-01,9.965481107491598323e-01,9.898705469515325372e-01
4.120154887073892880e+00,4.786553665478014974e-01,9.995518227020021573e-01,9.940581170944315925e-01
2.733934900901538345e+00,6.087047878970656134e-01,1.001780239811114637e+00,9.964595865333285563e-01
3.962255520272223830e+00,2.352470943550704630e-01,1.002272094383796386e+00,9.887789219212174130e-01
2.030024645465271949e+00,5.745196388187158165e-01,1.009240111217477809e+00,1.003324362388565705e+00
4.872409186592051356e+00,8.470326548935126487e-01,9.952290438319082444e-01,9.943049631798442922e-01
3.025795827130179472e+00,2.902961158910285500e-01,1.006344413385818148e+00,1.013253932831874593e+00
4.838489913434091072e+00,6.706514851404877797e-01,9.970839435013048035e-01,1.010287738394972656e+00
2.199384602819853818e-01,8.127775162204065040e-01,9.607303294818544392e-01,9.526468707062610841e-01
4.413463264213501880e+00,1.114008811520116188e-01,1.001817967785721741e+00,1.007327733104534717e+00
2.796885937724382654e+00,1.419427998612981523e-01,1.009853313076123138e+00,1.005408744819067612e+00
3.568195154793985857e+00,8.812323480970439826e-01,9.935928894107169951e-01,1.014344767173871009e+00
9.629748768951001958e-01,5.330472703442391547e-01,1.034456898067600106e+00,1.033969662621343044e+00
2.743456879954965899e+00,1.292849371245418100e-01,1.010442445508408893e+00,1.015463715212495011e+00
1.446389620609596083e+00,7.319700340948623873e-01,1.006577019755876545e+00,9.972153982244982284e-01
5.274023843335345907e-01,3.516488471909892111e-01,9.755074622089832115e-01,9.674005675659888004e-01
1.593385309058559240e-02,7.651605372132826988e-01,2.477281947879055313e-01,2.497451477966119160e-01
4.534200099323019373e+00,7.049976544105769349e-01,9.966556588786361637e-01,9.928151143736748674e-01
3.354521575179136850e+00,6.796013028236023157e-01,9.978400973189911483e-01,1.001372983244696480e+00
1.025108658332536393e+00,7.381939135770860805e-01,1.009897132306328826e+00,9.942788911134714525e-01
1.289093387813718961e+00,8.384533231704338618e-01,9.974169331974379604e-01,1.004036982898927288e+00
2.327971557608742081e+00,1.417585774691303147e-01,1.015664055116208830e+00,1.006669251538411469e+00
4.091436266347367123e+00,8.370091968887124478e-01,9.947097706411289764e-01,1.011934004604791992e+00
5.881280143923983683e-01,3.540479485454943731e-01,1.000618884869856950e+00,9.977342124491772601e-01
4.838924150818649572e+00,7.570175217346403196e-01,9.961876466212189474e-01,1.007160296990078585e+00
4.719553832135434668e+00,7.527153612767480961e-01,9.961720358880774562e-01,9.822222026594472633e-01
1.223300478463167362e+00,5.997468613690029038e-01,1.021566053048863498e+00,1.025855515494012327e+00
3.203909297509653697e+00,7.835429280906963667e-01,9.958068435021905085e-01,9.869265469942446467e-01
1.800487663830430130e+00,6.911237035433523967e-01,1.005952179524801204e+00,1.001083288837941954e+00
3.486616722527919876e+00,2.505143784044152611e-01,1.003975928486637414e+00,1.004221892308549968e+00
4.345805007387670837e-01,8.108548715066408175e-01,1.005887896377406943e+00,1.002717146708060669e+00
2.349829401032134779e+00,7.404041769328029154e-01,9.995393656288515949e-01,1.002181921880316517e+00
2.942454018450468833e+00,7.107292551728910945e-01,9.981392215568831716e-01,1.005615775844945325e+00
3.132378679623413653e+00,3.180326807857023486e-01,1.005208579271312797e+00,1.011736400662211377e+00
3.463977370857815874e+00,3.126379954526763427e-01,1.003424368944662248e+00,1.002549554115727659e+00
4.456906865005030305e+00,8.488789783934985733e-01,9.948224088653576658e-01,9.811881037655141302e-01
1.206251049537129916e+00,2.878554824441766913e-01,1.039293216552388488e+00,1.031246755487300160e+00
7.659715866659316807e-01,5.598381008345784116e-01,1.035993721307911120e+00,1.034036159223133522e+00
1.953034686064878844e+00,6.098335511231216532e-01,1.008575463894007873e+00,9.873572041679880007e-01
2.844140738445590344e+00,6.289316424011260898e-01,1.000659338188052416e+00,1.008180144080260243e+00
4.802643804602773514e+00,6.807006183994803727e-01,9.969741769293661848e-01,9.945777950060759043e-01
3.552527928082091613e+00,7.909577644789284046e-01,9.954011836796874402e-01,9.928879906936185495e-01
3.692212753348145693e+00,5.163601738849687983e-01,9.999013781141948831e-01,1.009385140220565802e+00
4.863585269053118054e+00,1.822585530128165709e-01,1.000816349011651063e+00,1.007495454074145202e+00
1.338715813792949572e+00,2.664383454664600581e-01,1.036397408351357852e+00,1.038607418014583006e+00
1.297308127629389629e+00,7.445991962611251402e-01,1.006757905998210134e+00,9.967445701258754731e-01
2.112704187844510528e+00,3.046170044359391982e-01,1.017296483291330933e+00,1.020400699054194948e+00
1.477100037098665331e+00,4.218780236127546157e-01,1.027724136151180412e+00,1.031185911536747657e+00
3.255516926142345557e+00,7.284971318854162048e-01,9.969901766082313044e-01,9.881424432705588901e-01
4.758569604097679040e+00,1.909147487241650565e-01,1.000908295902510625e+00,1.011341414354464785e+00
7.675574626801218159e-01,5.973815786827869623e-01,1.032401540255878380e+00,1.037480412077944170e+00
2.589738411100674043e+00,6.419868603466674095e-01,1.001656876128055318e+00,9.819606324628930016e-01
3.387890493991185803e+00,2.460193133397060028e-01,1.004526557588176106e+00,1.005746052084879105e+00
2.465888332905660896e+00,8.478242939380299381e-01,9.949361742118622010e-01,9.822891942721267977e-01
4.568719204470086837e+00,6.338899104915559635e-01,9.974592399381787544e-01,1.008822391420747477e+00
3.684489931007291830e+00,5.066847503694195121e-01,1.000060773312740903e+00,1.008131052888166845e+00
4.410883978052845045e+00,4.490071261611454645e-01,9.994737471963938136e-01,9.884378396957603785e-01
5.588249405955358906e-01,2.185901938267295341e-01,9.372112441909087321e-01,9.283625171944331900e-01
9.788175174835472836e-01,5.465514879408885918e-01,1.032791025904455262e+00,1.033809558751894730e+00
3.285211280180594384e-01,8.274814377941196453e-01,1.004106697623220246e+00,1.001718589441635388e+00
4.146597492323423673e+00,8.629885690207058646e-01,9.943510526379029102e-01,1.009603083439635673e+00
4.814093309029082057e+00,1.969560135697316916e-01,1.000807516938216457e+00,1.008217255110008148e+00
6.995510514216762843e-02,6.682296692610373290e-01,4.164442104154590929e-01,4.136199379427420997e-01
3.946268219357879303e+00,2.540302416848046474e-01,1.002174230523737331e+00,1.007948189860501387e+00
3.639155992639872217e+00,6.313472147142403790e-01,9.982099636607308923e-01,9.778871705955968219e-01
4.540933971926885526e+00,8.177527719404134032e-01,9.952919071307099186e-01,9.983905540048784166e-01
1.351927366297003275e+00,5.402404296810319195e-01,1.023506348235428742e+00,1.032170418825447467e+00
3.573885916582928424e+00,7.240521598453130148e-01,9.966625084390821065e-01,9.948729833283228574e-01
1.187114407346099743e+00,3.061000277871882558e-01,1.039691483013636342e+00,1.032589341100560665e+00
3.801660002238332892e-01,3.483919099285132104e-01,8.670807744673334483e-01,8.727391090010691022e-01
3.726020313516369864e+00,3.758544426503475089e-01,1.001659173897028410e+00,1.021245321173183118e+00
2.110648570153117465e-01,8.879852481786156826e-01,9.922090436620487619e-01,9.942577330039158445e-01
3.497972315788120401e+00,8.170159484949169881e-01,9.948927355763476088e-01,9.836859589446950158e-01
1.417312323511827454e+00,6.956557247111621045e-01,1.009903081907237432e+00,1.024361129786431901e+00
2.437116975422888299e+00,5.860905232902855477e-01,1.004541285440515574e+00,9.857558106366319794e-01
4.457665769356748520e+00,7.794340582863917843e-01,9.957237037088066955e-01,1.000755752262124432e+00
1.217039395001064506e+00,1.218845047114319596e-01,1.027415913062155628e+00,1.021596366570550307e+00
2.341621909283576386e+00,1.793262217683106730e-01,1.015328476073579012e+00,1.024634460384470147e+00
1.775247235201222740e+00,4.532109586548034308e-01,1.018967726685884978e+00,1.010472983007654868e+00
9.519044343849408785e-01,8.895723678479227070e-01,9.891668819882685204e-01,1.002405360046796146e+00
2.368257341713125186e+00,6.925472408752874065e-01,1.001286445749034026e+00,1.004289176653238691e+00
9.081516350571261498e-01,3.452185662154448886e-01,1.041607329635101609e+00,1.024338923320703865e+00
3.995037458292849841e+00,7.617724317629717135e-01,9.958410291617294519e-01,9.761028988796816019e-01
3.074108208139387344e+00,1.000497029323890175e-01,1.007534634379256167e+00,1.004373679252606566e+00
1.415653764179258811e+00,1.254685142223301852e-01,1.029491849002927895e+00,1.042433965287033804e+00
4.865524976320080519e+00,3.280868293923305812e-01,9.999867865825086133e-01,1.001257086934942420e+00
1.726384222343716468e+00,7.115336911239237283e-01,1.005427321182673195e+00,1.006098528207711285e+00
3.356283305994653077e+00,3.760464296873921031e-01,1.003122688532854578e+00,1.000763650196177856e+00
3.666118632421270895e+00,1.311835595407192523e-01,1.003997936601318974e+00,1.011376938300599049e+00
1.326131950883198574e+00,4.925059087442854588e-01,1.027623993471836972e+00,1.031397261438785851e+00
5.881900793905103786e-02,4.804247832772812199e-01,3.468314073314449075e-01,3.496348660678675890e-01
4.463079383165688085e+00,1.827629321549555930e-01,1.001413867186792928e+00,9.915666377732138548e-01
4.782082567958144459e+00,7.324676718167020262e-01,9.964228975736528771e-01,1.008301430657222664e+00
8.511404170899555810e-01,5.716194110122634342e-01,1.033457889519507011e+00,1.047088693646760937e+00
7.680260556192647359e-01,3.722454938394982316e-01,1.036791123810211879e+00,1.023777588607962086e+00
2.163337097216990745e+00,8.261161756440191795e-01,9.965494117044517708e-01,1.019564363032901433e+00
2.987847840748707906e+00,7.191400410552940548e-01,9.977927459453869163e-01,1.005017811842921827e+00
4.944913136787380203e+00,2.200193592705656787e-01,1.000544033735545790e+00,9.956639737717311034e-01
4.817480586779702811e+00,6.103229736857994636e-01,9.976777064119600746e-01,9.786341473505247857e-01
4.939264199729848315e+00,1.248083762982541423e-01,1.000954316962539226e+00,1.007522781142842216e+00
1.227847076187136732e+00,5.225963784272698032e-01,1.028068268879845482e+00,1.033643382613838702e+00
2.994416008958946218e+00,8.482064296195432895e-01,9.943370549625805133e-01,9.883807367192792848e-01
2.179345718568657553e+00,3.958959355310857076e-01,1.013703449790142930e+00,9.957979171202987478e-01
1.157011478689402129e+00,7.762561520274703364e-01,1.004396717515364745e+00,1.015641485094206597e+00
3.268868535835811606e-01,5.825594445334018046e-01,9.330145437685531951e-01,9.271313542376162786e-01
8.436418687802843541e-01,2.547032247856849674e-01,1.028895667157053051e+00,1.024178216404656450e+00
1.792258643931033291e+00,7.733566526196432589e-01,1.001024926588362396e+00,1.029481377333457681e+00
4.401086523757835600e-01,3.932707683864402615e-01,9.404305723659427407e-01,9.617102943354405298e-01
7.536949568497763874e-01,4.652414090493547372e-01,1.039956663892412481e+00,1.049494031207343525e+00
2.232574258493652541e-01,7.329028320952550857e-01,8.988865311435383365e-01,8.943323209048802402e-01
3.114531368460865757e+00,2.159644911082219676e-01,1.006547507184199608e+00,1.013042119923983853e+00
2.463582399330510597e+00,2.425554763459483176e-01,1.012859853022291645e+00,9.900451552494131668e-01
1.217765015499471248e+00,1.046197088559455146e-01,1.024282797690019731e+00,1.025348124705794950e+00
2.631743697611488741e+00,2.040408503987977129e-01,1.011197201613881491e+00,1.003599018796058395e+00
2.122233888279890124e+00,8.827562020996310155e-01,9.938142002217945636e-01,9.809581487851479764e-01
3.295766118525436994e+00,3.357402019993326325e-01,1.003986327277975654e+00,9.881582826355969074e-01
4.663336098739793378e+00,1.151142098818975362e-01,1.001360470320422413e+00,1.006611886299173531e+00
1.766460532367915004e+00,5.835298531102945940e-01,1.012529086785708410e+00,1.013422090518842467e+00
3.225757663374445805e+00,3.379340771686893952e-01,1.004351398746994528e+00,1.005948635386995971e+00
1.094583691051576047e+00,8.895128302954508070e-01,9.906035048866246306e-01,9.990272654391905149e-01
4.699496995079920580e+00,7.551672566969268585e-01,9.961345851322517264e-01,9.876737474455981047e-01
3.088462402410595331e+00,6.123530281150396659e-01,1.000017732198649423e+00,9.876618876539603464e-01
7.937371880019800097e-01,7.157752769840278750e-01,1.016024050521426414e+00,9.982603966722439770e-01
1.285255304505102281e+00,8.727450069055114890e-01,9.938256388519337570e-01,9.904736731126667637e-01
7.957568030676864801e-01,2.267872335520663418e-01,1.016935931973130147e+00,1.024537494058654907e+00
8.956701723484472577e-01,5.904717842274526118e-01,1.030401818750700693e+00,1.028907583497940204e+00
1.533994283342099862e+00,6.229930412554296471e-01,1.013792851977333598e+00,1.020204133880850961e+00
4.115352215815003767e+00,6.852597740193362430e-01,9.969385810883611976e-01,9.851280439523130150e-01
2.285294008155612122e+00,6.049604885041515168e-01,1.005217967790199340e+00,1.000526754471482205e+00
1.385849837294990561e+00,8.155341162030110835e-01,9.995881480183068657e-01,9.919287812044934594e-01
2.095379303837681118e+00,3.960493064742464098e-01,1.015073611295372213e+00,1.002589833193015201e+00
1.336991150490958180e+00,1.598064776628922989e-01,1.032791402311619811e+00,1.051386137684228839e+00
3.668412080866468195e+00,3.357801560035048594e-01,1.002314450456535555e+00,1.010835858179213620e+00
2.939062350514942690e-01,8.145588867018728196e-01,1.001137754298146554e+00,9.935197487753751888e-01
1.446142800736396783e+00,4.820821945992449509e-01,1.025120293194136778e+00,1.017460121112239158e+00
1.616230440821539993e+00,1.579788313797936827e-01,1.028810301055939513e+00,1.028238332517887654e+00
9.075975933974739229e-01,5.841289702430658703e-01,1.030803273651417218e+00,1.016382734623731521e+00
3.690778916911226837e+00,3.477465248491243832e-01,1.002100605874146177e+00,1.006458877532990570e+00
9.012368130435555180e-01,1.730450585506949912e-01,1.018409301608927509e+00,1.005466913857294697e+00
1.502406715458639130e+00,8.152776864765991505e-01,9.993185490682430228e-01,9.956142193195339773e-01
2.823828106384107528e-01,5.735796246551513322e-01,8.750177074763438867e-01,8.647694812350642524e-01
3.777928185839436459e+00,4.578180757116395716e-01,1.000494857380790581e+00,9.956963744834422814e-01
1.819315083112251763e+00,5.764444450815949805e-01,1.012094207534228518e+00,9.987826357285786161e-01
3.279641963820507211e+00,6.891812117394036097e-01,9.977946319149683108e-01,9.820664116447048730e-01
1.086180510983784098e+00,3.415218450702084962e-01,1.041359603173354964e+00,1.031698194396086343e+00
1.090009735694241755e-01,8.732293555386724249e-01,7.051948049223715209e-01,6.983947063456714677e-01
1.612090792548513285e+00,6.595562750661787543e-01,1.010122782255324259e+00,1.007173887958297875e+00
3.895319263985067337e+00,8.214965550310331377e-01,9.948600340635971317e-01,9.955498703850056419e-01
4.187228902324976687e+00,2.037806933205378590e-01,1.001879741052077222e+00,1.017148702150541206e+00
1.744198782330822484e+00,3.880001750090085189e-01,1.022437839746190624e+00,1.030560358051809899e+00
4.234703892707933015e+00,7.969196791640821287e-01,9.953816482591471004e-01,9.928526562422828050e-01
2.517446293685576819e-01,8.860340545562760406e-01,9.960787152582246673e-01,1.003337898605593859e+00
2.610572680367376108e+00,8.863585732319005928e-01,9.933429662865792542e-01,9.864539936411707011e-01
1.287112081656729856e+00,8.651867381256894696e-01,9.946292021870454247e-01,1.009114116053214882e+00
2.195388443502906295e+00,1.114806968864750919e-01,1.017499294627163042e+00,1.022994064251572244e+00
1.108209108138538568e+00,2.921126079819513777e-01,1.040764439524840768e+00,1.027206046178125387e+00
4.467833108996398295e+00,3.956826419694408070e-01,9.998956674763285202e-01,1.007449522711065359e+00
1.510873327519041798e+00,2.906058210793610597e-01,1.031660838780739553e+00,1.039821762306917474e+00
4.726459635178745344e+00,8.635390419377744209e-01,9.948951272315462724e-01,9.680391743350219569e-01
5.454508946020814042e-01,2.578530743451407092e-01,9.478384055865912705e-01,9.403574560440799424e-01
2.149155030648353115e+00,8.355292148638017169e-01,9.961318792871535210e-01,9.913936540909689121e-01
2.217224665232700787e+00,7.971491618902012410e-01,9.977216715674941394e-01,9.784365490494918438e-01
3.547173965111590554e+00,3.635319208499494525e-01,1.002449533259355263e+00,9.917777583362290539e-01
1.725111348965567171e+00,7.197659815256621796e-01,1.004913989991721213e+00,9.954304081097927748e-01
2.462474818039294799e+00,5.537931608329692557e-01,1.005357827241096125e+00,1.010428785294753551e+00
3.522453026894079020e-01,7.769048396166876591e-01,1.008387425117547753e+00,1.011392056894852898e+00
