t,P,S_set,R,dP_dt,dP_dt_noisy
3.240648129625924856e-01,2.438123215424097268e+01,1.596110797628667172e-02,7.751554267419492883e-02,-2.197301013284246540e+00,-2.281739095599517153e+00
3.360672134426885282e-01,2.435473960727691178e+01,1.654215592447897190e-02,8.025092866345225062e-02,-2.217207091167952004e+00,-2.174478491668229818e+00
3.480696139227845154e-01,2.432800909456099703e+01,1.712242567354715569e-02,8.297656606178976935e-02,-2.236956056594216591e+00,-2.193491670389704051e+00
3.600720144028805580e-01,2.430104251037536045e+01,1.770191172064693869e-02,8.569244983338869526e-02,-2.256547114025055034e+00,-1.832979363014845431e+00
3.720744148829765452e-01,2.427384175575574687e+01,1.828060861060169448e-02,8.839857518229275735e-02,-2.275979505137801784e+00,-2.498383657676257918e+00
3.840768153630725879e-01,2.424640873849152456e+01,1.885851093590245817e-02,9.109493755240841151e-02,-2.295252508528880409e+00,-2.370773509954279934e+00
3.960792158431686305e-01,2.421874537312567099e+01,1.943561333670792979e-02,9.378153262750460462e-02,-2.314365439408773817e+00,-1.905811117910307662e+00
4.080816163232646177e-01,2.419085358095478355e+01,2.001191050084447434e-02,9.645835633121289943e-02,-2.333317649288575879e+00,-2.203977050048206543e+00
4.200840168033606603e-01,2.416273529002907949e+01,2.058739716380611831e-02,9.912540482702754396e-02,-2.352108525658474392e+00,-2.219495851183221902e+00
4.320864172834566475e-01,2.413439243515238530e+01,2.116206810875455313e-02,1.017826745183053050e-01,-2.370737491658522433e+00,-2.473538765996015076e+00
4.440888177635526901e-01,2.410582695788214735e+01,2.173591816651913172e-02,1.044301620482655790e-01,-2.389204005742060044e+00,-2.718819039913190849e+00
4.560912182436486773e-01,2.407704080652942835e+01,2.230894221559686502e-02,1.070678642999903785e-01,-2.407507561332125068e+00,-2.374014612487576947e+00
4.680936187237447199e-01,2.404803593615890378e+01,2.288113518215244974e-02,1.096957783964243177e-01,-2.425647686471214648e+00,-2.403844868906904964e+00
4.800960192038407071e-01,2.401881430858886901e+01,2.345249204001820936e-02,1.123139017003745577e-01,-2.443623943464731774e+00,-2.689094354313646740e+00
4.920984196839367497e-01,2.398937789239123575e+01,2.402300781069416705e-02,1.149222318145109306e-01,-2.461435928518457494e+00,-2.598081260874570031e+00
5.041008201640327924e-01,2.395972866289153203e+01,2.459267756334798660e-02,1.175207665813658708e-01,-2.479083271370392527e+00,-2.493492007315837977e+00
5.161032206441288350e-01,2.392986860216889866e+01,2.516149641481500027e-02,1.201095040833343730e-01,-2.496565634917287113e+00,-2.685515959529442664e+00
5.281056211242247667e-01,2.389979969905609636e+01,2.572945952959820176e-02,1.226884426426740060e-01,-2.513882714836204180e+00,-2.533536708406647797e+00
5.401080216043208093e-01,2.386952394913950215e+01,2.629656211986826364e-02,1.252575808215050657e-01,-2.531034239201418679e+00,-2.511937633707527873e+00
5.521104220844168520e-01,2.383904335272314157e+01,2.686279944574460413e-02,1.278169174203722114e-01,-2.548019967961093091e+00,-2.540902720549996108e+00
5.641128225645128946e-01,2.380835987088456562e+01,2.742816682379174698e-02,1.303664514641460770e-01,-2.564839689694682789e+00,-2.666098021357545811e+00
5.761152230446089373e-01,2.377747549271526140e+01,2.799265962138165753e-02,1.329061822749775801e-01,-2.581493225816354986e+00,-2.462743611459190518e+00
5.881176235247048689e-01,2.374639222544560013e+01,2.855627325283235235e-02,1.354361094289168177e-01,-2.597980429308119898e+00,-2.419747038451654397e+00
6.001200240048009116e-01,2.371511207478901540e+01,2.911900318122055686e-02,1.379562327357463647e-01,-2.614301182943669311e+00,-2.550131522030356646e+00
6.121224244848969542e-01,2.368363704494198885e+01,2.968084491838166375e-02,1.404665522389813292e-01,-2.630455398852800997e+00,-2.794101444330862272e+00
6.241248249649929969e-01,2.365196913858405736e+01,3.024179402490976068e-02,1.429670682158692696e-01,-2.646443018083812770e+00,-2.500112561326724769e+00
6.361272254450889285e-01,2.362011035687781657e+01,3.080184611015761645e-02,1.454577811773901941e-01,-2.662264010164143713e+00,-2.762552013857554112e+00
6.481296259251849712e-01,2.358806269946890311e+01,3.136099683223669832e-02,1.479386918682567553e-01,-2.677918372659534807e+00,-2.502086249001937546e+00
6.601320264052810138e-01,2.355582816448601946e+01,3.191924189801716161e-02,1.504098012669139173e-01,-2.693406130731983428e+00,-2.907763614107472083e+00
6.721344268853770565e-01,2.352340874854091268e+01,3.247657706312782194e-02,1.528711105855392605e-01,-2.708727336696743926e+00,-2.525833896070987628e+00
6.841368273654730991e-01,2.349080644672838858e+01,3.303299813195622464e-02,1.553226212700428155e-01,-2.723882069578635434e+00,-2.727894760501731408e+00
6.961392278455690308e-01,2.345802325262630816e+01,3.358850095764855798e-02,1.577643350000670908e-01,-2.738870434667901144e+00,-2.988620212734784065e+00
7.081416283256650734e-01,2.342506115829557345e+01,3.414308144210972951e-02,1.601962536889871280e-01,-2.753692563075869071e+00,-2.816472457469238577e+00
7.201440288057611161e-01,2.339192215428015587e+01,3.469673553600333138e-02,1.626183794839104468e-01,-2.768348611290642136e+00,-2.757528155536333347e+00
7.321464292858571588e-01,2.335860822960707495e+01,3.524945923875162646e-02,1.650307147656770723e-01,-2.782838760733047145e+00,-2.728280492900156506e+00
7.441488297659530904e-01,2.332512137178639477e+01,3.580124859853556912e-02,1.674332621488594242e-01,-2.797163217313073158e+00,-2.993600842301268550e+00
7.561512302460491330e-01,2.329146356681124175e+01,3.635209971229481224e-02,1.698260244817625664e-01,-2.811322210987010628e+00,-3.032796820420049055e+00
7.681536307261451757e-01,2.325763679915779747e+01,3.690200872572769325e-02,1.722090048464239853e-01,-2.825315995315498707e+00,-2.785399088746082441e+00
7.801560312062412184e-01,2.322364305178529165e+01,3.745097183329122725e-02,1.745822065586136174e-01,-2.839144847022693874e+00,-2.932494770398654360e+00
7.921584316863372610e-01,2.318948430613600920e+01,3.799898527820112087e-02,1.769456331678339600e-01,-2.852809065556745960e+00,-2.805707943210701050e+00
8.041608321664331926e-01,2.315516254213528669e+01,3.854604535243175839e-02,1.792992884573199608e-01,-2.866308972651783193e+00,-2.714405068156107159e+00
8.161632326465292353e-01,2.312067973819151590e+01,3.909214839671624336e-02,1.816431764440391283e-01,-2.879644911891582559e+00,-3.209402385161772120e+00
8.281656331266252780e-01,2.308603786771075050e+01,3.963729079904498159e-02,1.839773013650194688e-01,-2.892817247907309319e+00,-2.841939624603786019e+00
8.401680336067213206e-01,2.305123886980763714e+01,4.018146898465118494e-02,1.863016675810355294e-01,-2.905826362951827058e+00,-2.660896969444680682e+00
8.521704340868172523e-01,2.301628470101521273e+01,4.072467944055766648e-02,1.886162797954905324e-01,-2.918672661996057904e+00,-2.978178030870152426e+00
8.641728345669132949e-01,2.298117731930695129e+01,4.126691870407350748e-02,1.909211429585652431e-01,-2.931356570416855156e+00,-3.093519487064368967e+00
8.761752350470093376e-01,2.294591867562968091e+01,4.180818335863201868e-02,1.932162622303176258e-01,-2.943878532642462797e+00,-2.793429767206544234e+00
8.881776355271053802e-01,2.291051071390359084e+01,4.234847003379077490e-02,1.955016429806830380e-01,-2.956239011714475673e+00,-2.905549708472847215e+00
9.001800360072014229e-01,2.287495537102222087e+01,4.288777540523159432e-02,1.977772907894741750e-01,-2.968438488852942481e+00,-2.789261874697430255e+00
9.121824364872973545e-01,2.283925457685247906e+01,4.342609619476054533e-02,2.000432114463810140e-01,-2.980477463024755913e+00,-3.049520605035011656e+00
9.241848369673933972e-01,2.280341025423461687e+01,4.396342917030795355e-02,2.022994109509709260e-01,-2.992356450515435196e+00,-3.288720105259877347e+00
9.361872374474894398e-01,2.276742431898225405e+01,4.449977114592838096e-02,2.045458955126885359e-01,-3.004075984504432473e+00,-3.026078137446682526e+00
9.481896379275854825e-01,2.273129867988235731e+01,4.503511898180064671e-02,2.067826715508558899e-01,-3.015636614644081170e+00,-3.104802245246327530e+00
9.601920384076814141e-01,2.269503523869525452e+01,4.556946958422781330e-02,2.090097456946722332e-01,-3.027038906642270710e+00,-2.871974142232756044e+00
9.721944388877774568e-01,2.265863589015463475e+01,4.610281990563720733e-02,2.112271247832142873e-01,-3.038283441848987021e+00,-2.999556872173556155e+00
9.841968393678734994e-01,2.262210252196753757e+01,4.663516694458038486e-02,2.134348158654360006e-01,-3.049370816846772581e+00,-3.375540663333792768e+00
9.961992398479695421e-01,2.258543701481436372e+01,4.716650774573315913e-02,2.156328262001687146e-01,-3.060301643045236109e+00,-3.299334259065876296e+00
1.008201640328065585e+00,2.254864124234886802e+01,4.769683939989560056e-02,2.178211632561210254e-01,-3.071076546279673636e+00,-2.894318738962222692e+00
1.020204040808161627e+00,2.251171707119816290e+01,4.822615904399202291e-02,2.199998347118789499e-01,-3.081696166413891991e+00,-2.945743162930322789e+00
1.032206441288257670e+00,2.247466636096271841e+01,4.875446386107097629e-02,2.221688484559057597e-01,-3.092161156947308420e+00,-3.220209830129006079e+00
1.044208841768353491e+00,2.243749096421635869e+01,4.928175108030528884e-02,2.243282125865420640e-01,-3.102472184626398288e+00,-3.102681943939854303e+00
1.056211242248449533e+00,2.240019272650627258e+01,4.980801797699201117e-02,2.264779354120058930e-01,-3.112629929060566347e+00,-3.023515218305329100e+00
1.068213642728545576e+00,2.236277348635299234e+01,5.033326187255245804e-02,2.286180254503925036e-01,-3.122635082342473556e+00,-3.028954215173017772e+00
1.080216043208641619e+00,2.232523507525041850e+01,5.085748013453218752e-02,2.307484914296744904e-01,-3.132488348672926026e+00,-2.957239909450056103e+00
1.092218443688737661e+00,2.228757931693916916e+01,5.138067017540290382e-02,2.328693422795752033e-01,-3.142190443871846206e+00,-3.090893318427534009e+00
1.104220844168833704e+00,2.224980801186958246e+01,5.190282942921883164e-02,2.349805869735478725e-01,-3.151742092570213316e+00,-3.170707760363912886e+00
1.116223244648929747e+00,2.221192295914474713e+01,5.242395539114538816e-02,2.370822347971517918e-01,-3.161144031554224298e+00,-3.212913644511793620e+00
1.128225645129025789e+00,2.217392595424715296e+01,5.294404560887056715e-02,2.391742952888646911e-01,-3.170397008833226504e+00,-2.959248448726576441e+00
1.140228045609121832e+00,2.213581878274439774e+01,5.346309767140679237e-02,2.412567781639903264e-01,-3.179501782223881357e+00,-3.629672637239588884e+00
1.152230446089217875e+00,2.209760322028916946e+01,5.398110920909093835e-02,2.433296933146584795e-01,-3.188459118999056319e+00,-3.216190184017323705e+00
1.164232846569313695e+00,2.205928103261926765e+01,5.449807789358429577e-02,2.453930508098249863e-01,-3.197269795541688886e+00,-3.190669774744876896e+00
1.176235247049409738e+00,2.202085397555759272e+01,5.501400143787261304e-02,2.474468608952717641e-01,-3.205934597003617714e+00,-3.491004389177655209e+00
1.188237647529505780e+00,2.198232379501214595e+01,5.552887759626604774e-02,2.494911339936066730e-01,-3.214454316969407088e+00,-3.147891594341797550e+00
1.200240048009601823e+00,2.194369222697602240e+01,5.604270416439921521e-02,2.515258807042636824e-01,-3.222829757125180716e+00,-3.353085959613859579e+00
1.212242448489697866e+00,2.190496099752743220e+01,5.655547897923114686e-02,2.535511118035027045e-01,-3.231061726932472844e+00,-3.058572767669323511e+00
1.224244848969793908e+00,2.186613182282968282e+01,5.706719991904531802e-02,2.555668382444098441e-01,-3.239151043307090916e+00,-3.264269460113956356e+00
1.236247249449889951e+00,2.182720640913117549e+01,5.757786490344964092e-02,2.575730711568970377e-01,-3.247098530303009767e+00,-3.113267882145119181e+00
1.248249649929985994e+00,2.178818645276542298e+01,5.808747189337645084e-02,2.595698218477023866e-01,-3.254905018801286687e+00,-3.011136297767042169e+00
1.260252050410082036e+00,2.174907364015103539e+01,5.859601889108253386e-02,2.615571018003899906e-01,-3.262571346203996470e+00,-3.185985429661302160e+00
1.272254450890177857e+00,2.170986964779172368e+01,5.910350394014909220e-02,2.635349226753500029e-01,-3.270098356133187778e+00,-3.445242584817756804e+00
1.284256851370273900e+00,2.167057614227631035e+01,5.960992512548178579e-02,2.655032963097985754e-01,-3.277486898134838622e+00,-3.580350624475766352e+00
1.296259251850369942e+00,2.163119478027870457e+01,6.011528057331069069e-02,2.674622347177779691e-01,-3.284737827387808284e+00,-2.934061003884533836e+00
1.308261652330465985e+00,2.159172720855792349e+01,6.061956845119032683e-02,2.694117500901563877e-01,-3.291852004417780808e+00,-3.314110443055284794e+00
1.320264052810562028e+00,2.155217506395809579e+01,6.112278696799963718e-02,2.713518547946281445e-01,-3.298830294816164965e+00,-3.436543284343029470e+00
1.332266453290658070e+00,2.151253997340843682e+01,6.162493437394201551e-02,2.732825613757134953e-01,-3.305673568963944486e+00,-3.276822151351779677e+00
1.344268853770754113e+00,2.147282355392326991e+01,6.212600896054528560e-02,2.752038825547587497e-01,-3.312382701760461678e+00,-3.350664967856991527e+00
1.356271254250850156e+00,2.143302741250438714e+01,6.262600906005481860e-02,2.771158312261857715e-01,-3.318958572325569012e+00,-3.148530119483031520e+00
1.368273654730946198e+00,2.139315314087930986e+01,6.312493301639772458e-02,2.790184202787173162e-01,-3.325402062172414297e+00,-3.318616425684994375e+00
1.380276055211042019e+00,2.135320232100143301e+01,6.362277922658057805e-02,2.809116628523501413e-01,-3.331714056986415873e+00,-3.328964140262732130e+00
1.392278455691138062e+00,2.131317652642888305e+01,6.411954614053819168e-02,2.827955723355126683e-01,-3.337895446497596730e+00,-3.480811390704189545e+00
1.404280856171234104e+00,2.127307731982752514e+01,6.461523224369604412e-02,2.846701622569090540e-01,-3.343947123358926632e+00,-3.250033503609428109e+00
1.416283256651330147e+00,2.123290625297099155e+01,6.510983605697027998e-02,2.865354462855195794e-01,-3.349869982906280796e+00,-3.556643327377277508e+00
1.428285657131426190e+00,2.119266486674065675e+01,6.560335613676772371e-02,2.883914382306004831e-01,-3.355664922923127680e+00,-3.222487034970334285e+00
1.440288057611522232e+00,2.115235469112564815e+01,6.609579107498585182e-02,2.902381520416838501e-01,-3.361332843409918336e+00,-3.056545340811891887e+00
1.452290458091618275e+00,2.111197724522286023e+01,6.658713949901280682e-02,2.920756018085779449e-01,-3.366874646358132495e+00,-3.671811853977962947e+00
1.464292858571714318e+00,2.107153403723691909e+01,6.707740007172738328e-02,2.939038017613668785e-01,-3.372291235528942277e+00,-3.865537081799205854e+00
1.476295259051810360e+00,2.103102656448022145e+01,6.756657149149908337e-02,2.957227662704107196e-01,-3.377583516236454031e+00,-3.254207765205590075e+00
1.488297659531906181e+00,2.099045631337290629e+01,6.805465249218804746e-02,2.975325098463456053e-01,-3.382752395135485202e+00,-2.873172832038859870e+00
1.500300060012002223e+00,2.094982475944287259e+01,6.854164184314506802e-02,2.993330471400835191e-01,-3.387798780013826061e+00,-3.587983749788204779e+00
1.512302460492098266e+00,2.090913336732576511e+01,6.902753834921164511e-02,3.011243929428125132e-01,-3.392723579588955207e+00,-3.642862731349352678e+00
1.524304860972194309e+00,2.086838359076498506e+01,6.951234085071990310e-02,3.029065621859965973e-01,-3.397527703309144886e+00,-3.279733916553050133e+00
1.536307261452290351e+00,2.082757687261169366e+01,6.999604822349267397e-02,3.046795699413757386e-01,-3.402212061158925493e+00,-3.570356379170587235e+00
1.548309661932386394e+00,2.078671464482479081e+01,7.047865937884340015e-02,3.064434314209659171e-01,-3.406777563468852854e+00,-3.507982660256200091e+00
1.560312062412482437e+00,2.074579832847093996e+01,7.096017326357624555e-02,3.081981619770589598e-01,-3.411225120729532101e+00,-3.480848614066287539e+00
1.572314462892578479e+00,2.070482933372455392e+01,7.144058885998599839e-02,3.099437771022228172e-01,-3.415555643409853293e+00,-3.309155226151493601e+00
1.584316863372674522e+00,2.066380905986780192e+01,7.191990518585815451e-02,3.116802924293012866e-01,-3.419770041779381042e+00,-3.500830514058004717e+00
1.596319263852770343e+00,2.062273889529059545e+01,7.239812129446883404e-02,3.134077237314142894e-01,-3.423869225734856414e+00,-3.368292657718824579e+00
1.608321664332866385e+00,2.058162021749061310e+01,7.287523627458485087e-02,3.151260869219575933e-01,-3.427854104630755572e+00,-3.463160756409470853e+00
1.620324064812962428e+00,2.054045439307327570e+01,7.335124925046368483e-02,3.168353980546030346e-01,-3.431725587113853670e+00,-3.600659807844174498e+00
1.632326465293058471e+00,2.049924277832467823e+01,7.382615937060245381e-02,3.185356732575124750e-01,-3.435484580696623436e+00,-3.499449832245267622e+00
1.644328865773154513e+00,2.045798671933524204e+01,7.429996579098652187e-02,3.202269286363629841e-01,-3.439131991135237154e+00,-3.629211924168820769e+00
1.656331266253250556e+00,2.041668754888037540e+01,7.477266773405245870e-02,3.219091806189478544e-01,-3.442668723652192675e+00,-3.441365726478243126e+00
1.668333666733346599e+00,2.037534658895087247e+01,7.524426445486567805e-02,3.235824457561182199e-01,-3.446095682068642585e+00,-3.670868927581770080e+00
1.680336067213442641e+00,2.033396515095111212e+01,7.571475523786558304e-02,3.252467407027028745e-01,-3.449413768589590923e+00,-3.667992642448639540e+00
1.692338467693538684e+00,2.029254453569905081e+01,7.618413939686555225e-02,3.269020822175083274e-01,-3.452623883666385396e+00,-3.161231520605334300e+00
1.704340868173634505e+00,2.025108603342622260e+01,7.665241627505292588e-02,3.285484871633185811e-01,-3.455726925862766752e+00,-3.466363769923835214e+00
1.716343268653730547e+00,2.020959092377774979e+01,7.711958524498907508e-02,3.301859725068954643e-01,-3.458723791724455321e+00,-3.469504196818864017e+00
1.728345669133826590e+00,2.016806047581232875e+01,7.758564570860931875e-02,3.318145553189784103e-01,-3.461615375652189464e+00,-3.359308091668665508e+00
1.740348069613922632e+00,2.012649594800224051e+01,7.805059709722293737e-02,3.334342527742844564e-01,-3.464402569778180840e+00,-3.548573970287955071e+00
1.752350470094018675e+00,2.008489858823333662e+01,7.851443887151324241e-02,3.350450821515083000e-01,-3.467086263845924332e+00,-3.512793337341555855e+00
1.764352870574114718e+00,2.004326963380506754e+01,7.897717052153750694e-02,3.366470608333223535e-01,-3.469667345093315536e+00,-3.384637598026933869e+00
1.776355271054210760e+00,2.000161031143044710e+01,7.943879156672696562e-02,3.382402063063766340e-01,-3.472146698139016330e+00,-3.415663529690136091e+00
1.788357671534306803e+00,1.995992183723607738e+01,7.989930155588687022e-02,3.398245361612988180e-01,-3.474525204872012107e+00,-3.706384550258498223e+00
1.800360072014402846e+00,1.991820541676213807e+01,8.035870006719642022e-02,3.414000680926942422e-01,-3.476803744344319380e+00,-3.310135225010387039e+00
1.812362472494498666e+00,1.987646224496239711e+01,8.081698670820881836e-02,3.429668198991458472e-01,-3.478983192666779356e+00,-3.597070181324587779e+00
1.824364872974594709e+00,1.983469350620418936e+01,8.127416111585125669e-02,3.445248094832143448e-01,-3.481064422907889977e+00,-3.692280212970727060e+00
1.836367273454690752e+00,1.979290037426844151e+01,8.173022295642487500e-02,3.460740548514379955e-01,-3.483048304995621347e+00,-3.663143318995431663e+00
1.848369673934786794e+00,1.975108401234965783e+01,8.218517192560484408e-02,3.476145741143327750e-01,-3.484935705622166591e+00,-3.563044774493230982e+00
1.860372074414882837e+00,1.970924557305592373e+01,8.263900774844028241e-02,3.491463854863922078e-01,-3.486727488151564636e+00,-3.161267437226951138e+00
1.872374474894978880e+00,1.966738619840889868e+01,8.309173017935428396e-02,3.506695072860875895e-01,-3.488424512530163835e+00,-3.723531693514320118e+00
1.884376875375074922e+00,1.962550701984383039e+01,8.354333900214394593e-02,3.521839579358678751e-01,-3.490027635199850486e+00,-3.458012456692982184e+00
1.896379275855170965e+00,1.958360915820954773e+01,8.399383402998035486e-02,3.536897559621595133e-01,-3.491537709014012503e+00,-3.919102580632127797e+00
1.908381676335267008e+00,1.954169372468548715e+01,8.444321510042968049e-02,3.551869199674347333e-01,-3.492955583147548282e+00,-3.493268969776587518e+00
1.920384076815362828e+00,1.949976182622919296e+01,8.489148204394579567e-02,3.566754684536188047e-01,-3.494282102929648914e+00,-3.314368819434447389e+00
1.932386477295458871e+00,1.945781455335179544e+01,8.533863474866480725e-02,3.581554201854862951e-01,-3.495518109851345923e+00,-3.542850774263636815e+00
1.944388877775554914e+00,1.941585298529260228e+01,8.578467313541353334e-02,3.596267940499405236e-01,-3.496664441505715537e+00,-3.622535426282384119e+00
1.956391278255650956e+00,1.937387819177417470e+01,8.622959714849268154e-02,3.610896090042649553e-01,-3.497721931511890592e+00,-3.451419718700182937e+00
1.968393678735746999e+00,1.933189123300233447e+01,8.667340675567684893e-02,3.625438840761231463e-01,-3.498691409452016732e+00,-3.358661059221886624e+00
1.980396079215843042e+00,1.928989315966614981e+01,8.711610194821454989e-02,3.639896383635587429e-01,-3.499573700810516996e+00,-3.366842186607035714e+00
1.992398479695939084e+00,1.924788501293796017e+01,8.755768274082814662e-02,3.654268910349955934e-01,-3.500369626915583510e+00,-3.105874856129624995e+00
2.004400880176035127e+00,1.920586782447334784e+01,8.799814917171394635e-02,3.668556613292376367e-01,-3.501080004882872299e+00,-3.459246510415617148e+00
2.016403280656131169e+00,1.916384261641116638e+01,8.843750130254211805e-02,3.682759685554689577e-01,-3.501705647561347501e+00,-3.620187667511934215e+00
2.028405681136227212e+00,1.912181040137350863e+01,8.887573921845674796e-02,3.696878320932537321e-01,-3.502247363481224340e+00,-3.527443201478552837e+00
2.040408081616323255e+00,1.907977218246574225e+01,8.931286302807579791e-02,3.710912713925363926e-01,-3.502705956803980225e+00,-3.517205665927942704e+00
2.052410482096419297e+00,1.903772895327648484e+01,8.974887286349114701e-02,3.724863059736412407e-01,-3.503082227274372240e+00,-3.481334750578748416e+00
2.064412882576515340e+00,1.899568169787760041e+01,9.018376888026854998e-02,3.738729554272730016e-01,-3.503376970174425065e+00,-3.509382532820311873e+00
2.076415283056611383e+00,1.895363139082423132e+01,9.061755125744765105e-02,3.752512394145163244e-01,-3.503590976279355118e+00,-3.468797788500114443e+00
2.088417683536706981e+00,1.891157899715475921e+01,9.105022019754201168e-02,3.766211776668360045e-01,-3.503725031815366542e+00,-3.837895043938388984e+00
2.100420084016803024e+00,1.886952547239082634e+01,9.148177592653908285e-02,3.779827899860770946e-01,-3.503779918419299477e+00,-3.337854127211290933e+00
2.112422484496899067e+00,1.882747176253733912e+01,9.191221869390020505e-02,3.793360962444646822e-01,-3.503756413100069356e+00,-3.618704266884275711e+00
2.124424884976995109e+00,1.878541880408245390e+01,9.234154877256060823e-02,3.806811163846040014e-01,-3.503655288201873219e+00,-3.738287027491278280e+00
2.136427285457091152e+00,1.874336752399758410e+01,9.276976645892941187e-02,3.820178704194803765e-01,-3.503477311369110669e+00,-3.375927079440823597e+00
2.148429685937187195e+00,1.870131883973740372e+01,9.319687207288966657e-02,3.833463784324593338e-01,-3.503223245512979478e+00,-3.239758044035763174e+00
2.160432086417283237e+00,1.865927365923984382e+01,9.362286595779828469e-02,3.846666605772864345e-01,-3.502893848779718322e+00,-3.404288218879829575e+00
2.172434486897379280e+00,1.861723288092608541e+01,9.404774848048605418e-02,3.859787370780874416e-01,-3.502489874520438473e+00,-3.470258011751334415e+00
2.184436887377475323e+00,1.857519739370057366e+01,9.447152003125772191e-02,3.872826282293682087e-01,-3.502012071262527115e+00,-3.688456132336917381e+00
2.196439287857571365e+00,1.853316807732903371e+01,9.489418102249148890e-02,3.885783543884730462e-01,-3.501461182704326269e+00,-2.927147715141626527e+00
2.208441688337667408e+00,1.849114581159247450e+01,9.531573185408633020e-02,3.898659357890831290e-01,-3.500837948209113648e+00,-3.324786224076811791e+00
2.220444088817763451e+00,1.844913146144991956e+01,9.573617296737639559e-02,3.911453928306972139e-01,-3.500143101914624300e+00,-3.728002035983219553e+00
2.232446489297859493e+00,1.840712587919457377e+01,9.615550483851763308e-02,3.924167460436667754e-01,-3.499377372852180201e+00,-3.655304956100128955e+00
2.244448889777955536e+00,1.836512990903746001e+01,9.657372796176061369e-02,3.936800159992545067e-01,-3.498541485197166345e+00,-3.481145635482785661e+00
