dIdt,T,emf,emf_noisy
1.033198238816933554e+03,3.612932154790178174e+02,1.279890941255307571e-02,1.334449209088198370e-02
1.956328542022873080e+04,3.433178272773910749e+02,1.360455928111470314e-01,1.340812165612650653e-01
2.753079591461841119e+04,3.373227784142229666e+02,1.359133882347629552e-01,1.336986421404325609e-01
4.689628419943547487e+04,3.476647137071686302e+02,1.156539277812606570e-01,1.160530968469548202e-01
3.662314654088012958e+03,3.108375780631884027e+02,4.076300254643958759e-02,3.982950331267998134e-02
2.694240339533710994e+03,3.710978060203873383e+02,3.357816122804412051e-02,3.404917245150457239e-02
1.899602620998455677e+04,3.341260180007934082e+02,1.331859370406635878e-01,1.347049760856203482e-01
4.074831608171772677e+04,2.987561275511606027e+02,1.136389716459279137e-01,1.103413969132260170e-01
8.459442556129660807e+04,2.765965247849854336e+02,7.084747152622970778e-02,7.135624775926494023e-02
2.000090563543526059e+03,2.841755585295892388e+02,2.152061597199429743e-02,2.396990990706576036e-02
9.213502889878502174e+03,2.928509151614790653e+02,8.726843811397284878e-02,8.667338442523189745e-02
6.157887131176130788e+04,3.464372639010174453e+02,9.862676087463750907e-02,9.700513170816237041e-02
7.005414128151690420e+03,3.544521164472614601e+02,7.878814429201048963e-02,8.029263194636968026e-02
1.510094494327849679e+04,3.655452845048775430e+02,1.309202530466211656e-01,1.314271460790374380e-01
1.119389825094231810e+03,3.372910235177569120e+02,1.331642923081199914e-02,1.510819537236711939e-02
2.222899224356627383e+04,3.027276989975510446e+02,1.287354149154624761e-01,1.280449834953599209e-01
6.889333985531075450e+04,3.568869089343488668e+02,9.328699187875268140e-02,9.032335533130825267e-02
4.504542192006694677e+04,3.683470169883801191e+02,1.219970575200922669e-01,1.217770359906697603e-01
5.902561671821934578e+04,3.426903840037583109e+02,1.006455854817672191e-01,9.975392917574475715e-02
2.092718246898816506e+04,2.802358039970806658e+02,1.227488999089918209e-01,1.242995475530869753e-01
3.098164936381682310e+03,3.140981976781969252e+02,3.491466046741920071e-02,3.530192616417350548e-02
3.443768884987697675e+04,2.978943629808297828e+02,1.207574438979711756e-01,1.174957454331009704e-01
2.650632295951021206e+03,3.669260511885971141e+02,3.282570545676841839e-02,3.043537929656201999e-02
4.597795695277899358e+04,3.541123391126071169e+02,1.180532205340655699e-01,1.198207986072400838e-01
1.334860386723395550e+03,2.799927112130212663e+02,1.429740036384705669e-02,1.565693039868274947e-02
4.476881785854750342e+04,3.339431930321861159e+02,1.157219644172900741e-01,1.144414776854730947e-01
2.133116293169134678e+03,3.715147583117177987e+02,2.671968962057634858e-02,2.671759202744178677e-02
5.627221275874180719e+03,3.253806127019799987e+02,6.218650669924011970e-02,6.307765380679249134e-02
4.300077997087903896e+03,3.619441344266681426e+02,5.178497277119781250e-02,5.272178144289237089e-02
2.413648758769402048e+04,3.542330677212618752e+02,1.410405979978897884e-01,1.427930823901184809e-01
2.275850638214264563e+03,3.201537398865999648e+02,2.611544813638060417e-02,2.662841939082372794e-02
6.201722426879102386e+03,3.172008396392214991e+02,6.671114859900600935e-02,6.652149192106901476e-02
1.027186233335120505e+03,2.891651187751876932e+02,1.120902559537721548e-02,1.069132946580152524e-02
3.349572832889558413e+03,3.084469570113343480e+02,3.726191473174184088e-02,3.937340033280834622e-02
6.956289191046530505e+03,2.921366675657982910e+02,7.018674159195645301e-02,6.568503304179937330e-02
1.628705164209004352e+03,3.575707583851777827e+02,2.000355184962099298e-02,1.972624119943831855e-02
1.846374918901139245e+04,3.333403271193221258e+02,1.321860095990523842e-01,1.322520098070205097e-01
5.765653511241160231e+03,3.666242271348468194e+02,6.810233061303527791e-02,6.525163269129490018e-02
2.822200575929286424e+04,3.140354217525124909e+02,1.301103181360951377e-01,1.307759453623712209e-01
2.031103348461588757e+04,3.431709320878533163e+02,1.368451551523058307e-01,1.355425931274190365e-01
7.285401612890224897e+03,3.563150186029288307e+02,8.159412894483965284e-02,8.331901853747114561e-02
5.428014651890212554e+04,2.742877280356025267e+02,9.382654462146375329e-02,9.357536045339509556e-02
1.837681464894260353e+04,3.052853943540092132e+02,1.256661914760308363e-01,1.270044979576097355e-01
4.173964050084230985e+04,3.166229791753289646e+02,1.160794899695151428e-01,1.185171771798575885e-01
4.826023672621779042e+03,3.658603444024581677e+02,5.798408712097588569e-02,5.874994628640282934e-02
1.222752556023523903e+04,3.600488856793473929e+02,1.174063035233732094e-01,1.156548612365275175e-01
2.469413228071135563e+03,2.814508242748781868e+02,2.634349474455957921e-02,2.331485748115030149e-02
9.823864875445836515e+04,3.685459117016017103e+02,7.457696951674017138e-02,7.808373775177292198e-02
3.065003174135792051e+03,3.356903808918159484e+02,3.588846591260854563e-02,3.566588152623350466e-02
3.263885646857991105e+03,2.801933574075417255e+02,3.447264692893299565e-02,3.309551703366435393e-02
1.400812939663554516e+03,3.420122248827643716e+02,1.678059164634467665e-02,1.706910582246632530e-02
3.277979535958546876e+03,3.585362630032356606e+02,3.979402194310963092e-02,3.941119928214432966e-02
3.359364009441983944e+04,2.988855283206385138e+02,1.218774394483160828e-01,1.235817239767414560e-01
2.487637765688693980e+04,3.052661557235821306e+02,1.295602473116571896e-01,1.296281036765313810e-01
1.808616233657895009e+03,3.007692689969403546e+02,2.009949799675404131e-02,2.012699716399088054e-02
5.655578083811703436e+03,3.432507397553442843e+02,6.441596515971934056e-02,6.298680571765341574e-02
6.947727704586489381e+03,3.448279170976018690e+02,7.700549643250297061e-02,7.794463262999795639e-02
2.137806989860874819e+04,3.504349230641465738e+02,1.393886115424716743e-01,1.373208780977617227e-01
8.163152805184873614e+03,3.651041131410842127e+02,9.052062817643703740e-02,9.185240705596496580e-02
1.489486782335906173e+04,2.911828248588962538e+02,1.144119408894545692e-01,1.174598159154348342e-01
4.779354087234386679e+04,3.438247931755458922e+02,1.138026475918120367e-01,1.107532755156137305e-01
2.837574159928503286e+04,3.375702989313294324e+02,1.354016611173457785e-01,1.304692026546431516e-01
5.370497602194461251e+03,2.992621082317032233e+02,5.691724899642167795e-02,5.815100650673031557e-02
7.884835164893628644e+03,3.705308481525929665e+02,8.890751641533883864e-02,9.400331204630509030e-02
5.437498365065071994e+03,3.206960225168597844e+02,5.982671663898184167e-02,5.782486694123805532e-02
1.657560267754520964e+03,3.678827475692218059e+02,2.070045282483176652e-02,1.819906130722779083e-02
2.549664799581748412e+03,3.701773793103662342e+02,3.176877264781343552e-02,3.294671051537438611e-02
3.694987537064276694e+03,3.630048095838630502e+02,4.495934981845708944e-02,4.327790663834047563e-02
4.248814702190416028e+03,3.189485359980093335e+02,4.759113608942364126e-02,4.657908512155016501e-02
4.227617798537561612e+03,3.009776790147521979e+02,4.585287332879895567e-02,4.515663839543140184e-02
1.423637543543189895e+04,3.315761939355359686e+02,1.206902515840823920e-01,1.217542557566659855e-01
8.777684186298582063e+04,3.179535832952638543e+02,7.432733334443955564e-02,7.351672862165331557e-02
3.542650179423180089e+04,3.198201581844572274e+02,1.244328463465009665e-01,1.249886120266612832e-01
3.821799474232227658e+04,2.974081343701928972e+02,1.163596249922799891e-01,1.160065584744928435e-01
3.300175235900819098e+04,3.572253075402283002e+02,1.353869127897202873e-01,1.336975705824170746e-01
1.563059322563955902e+04,3.460724093237281522e+02,1.284761032820927185e-01,1.278364507666062688e-01
6.845174350538765430e+04,3.595309597879873422e+02,9.407319013841305977e-02,9.217239080807722307e-02
2.394750711117098399e+04,3.261538825918527778e+02,1.345295031240960892e-01,1.345425330958355814e-01
1.001642772076892106e+04,2.822663731641083587e+02,9.060512475574254709e-02,8.835739230061127880e-02
1.426157916478209472e+03,3.592308939525647702e+02,1.758074598090582016e-02,1.539495724231533351e-02
9.481967319994897480e+03,2.799251201608612405e+02,8.688890742337758433e-02,8.980283105398809140e-02
2.664783868677084229e+03,2.884516009480033176e+02,2.876299901835311854e-02,2.865663057774243613e-02
1.842436781541699020e+03,3.674120130024985542e+02,2.296846235991586646e-02,2.286065830897178117e-02
1.028323699667309302e+04,3.291504774259732926e+02,1.004197207043668882e-01,1.014427935442021311e-01
3.716811919414625299e+04,3.404997410366390795e+02,1.267475996778765490e-01,1.259058856727788001e-01
3.890566882189685657e+03,3.550992667187823599e+02,4.660651142167657884e-02,4.614944068672026389e-02
3.447811547013565723e+04,3.394557135685120102e+02,1.297995190600774174e-01,1.306498165307412307e-01
1.125275974172090537e+04,3.173971288087731750e+02,1.040853937306615989e-01,1.046502254151503997e-01
1.986534202331255074e+03,3.272999417945808318e+02,2.312949746931503708e-02,2.081090401545017746e-02
8.510116157495994412e+04,3.128483793672269258e+02,7.526373779752582038e-02,7.693042299086513824e-02
6.357296217100856666e+03,3.307190424970589220e+02,6.977829747574579300e-02,6.859742758916770322e-02
3.894650683777483664e+03,2.732207030709972173e+02,4.026477604418163270e-02,3.815261814355325881e-02
4.943069779360769462e+04,3.238266096206742191e+02,1.080968161242961967e-01,1.062958659842980907e-01
1.773865409510226755e+03,2.753821782595742320e+02,1.879046506945648495e-02,1.800937438074583924e-02
2.932114476438060592e+04,2.839671948823975640e+02,1.223969247194755666e-01,1.256515252287216944e-01
2.374922735777916841e+03,3.576368274607632998e+02,2.903378190006902088e-02,2.668271009022745929e-02
6.095138127707200510e+03,3.389386117305447215e+02,6.826256987742577997e-02,6.858272166249446133e-02
2.909375363511320757e+03,2.912167870828635046e+02,3.149643002577411782e-02,2.722078130959296183e-02
4.813444685191521421e+04,3.477202525251829570e+02,1.141022314062928866e-01,1.140990975400024976e-01
6.027664949814939064e+03,3.205783269587842597e+02,6.548511204934014118e-02,6.728424488429216033e-02
8.899910223040010897e+04,2.864846275973129082e+02,6.968615243946069127e-02,6.921282579533778734e-02
1.780422068767172095e+04,3.659685695143032262e+02,1.383080546126701227e-01,1.370493447649034358e-01
2.439190216409050481e+04,2.842805098485401913e+02,1.246937021211104307e-01,1.251567242492274967e-01
1.104206360018355917e+04,2.749742858018291827e+02,9.509451158998095954e-02,9.649481509228226284e-02
4.148932776167202974e+03,2.986601728456595310e+02,4.485986279703935153e-02,4.618717793907416158e-02
6.181769993058380351e+03,2.816859906924233314e+02,6.229674249871002684e-02,6.624169020656961449e-02
7.618480763892273535e+04,2.746721458581569095e+02,7.577064636789827834e-02,7.618898131257083317e-02
2.525843285189038852e+03,3.383241876464221036e+02,2.985795137919325035e-02,2.867313117968738403e-02
9.471915225918134092e+04,2.861962138991291908e+02,6.674194137705868890e-02,6.648998299708540338e-02
3.285577562404472701e+04,3.293879844061987683e+02,1.294205787724622692e-01,1.292755816812226344e-01
5.242927508694663629e+03,2.972589829171086535e+02,5.549706494459603207e-02,5.571453971155226892e-02
1.918788818527961848e+04,3.670650135767509710e+02,1.409415105272953384e-01,1.408814549008364780e-01
5.780469028343965874e+03,2.945855988294806025e+02,6.022316869854414667e-02,6.057110057633655065e-02
5.794098384179937057e+03,3.250654726341571745e+02,6.377096724058375909e-02,6.042926711935353579e-02
1.017667488707616394e+04,3.464987257971656618e+02,1.027354495617704422e-01,1.043947074738505315e-01
1.080054431735110938e+03,3.041129918629475810e+02,1.211646494028691470e-02,1.096698640244484976e-02
9.708298473539811312e+03,3.561739390052994736e+02,1.011539951394774817e-01,9.880767774658343050e-02
8.773983773562534770e+04,3.043978952131409415e+02,7.264079472022189066e-02,7.391629703950476638e-02
3.723320809277160606e+03,3.117860063774102741e+02,4.148039213573596895e-02,4.411504415050813283e-02
3.136432303178783695e+04,3.160388282527738397e+02,1.279631561874332302e-01,1.289492124864321243e-01
7.683830572227398989e+03,3.148894121931805330e+02,7.928700716127605463e-02,7.960932578896709466e-02
2.621573782960445897e+03,3.337943654410414638e+02,3.072464174789374738e-02,2.886020113714984209e-02
6.456618730158344260e+04,2.956245611599831022e+02,8.776806050576747842e-02,9.351119518139447417e-02
1.080574138625875094e+03,3.059214110442962919e+02,1.216244256871591017e-02,1.392295981003892694e-02
4.045925235513567259e+03,2.958972031317514961e+02,4.358746231063181931e-02,4.130887296994587010e-02
9.955240692893162486e+04,3.006945248516891525e+02,6.618363113267508591e-02,6.462435530019559893e-02
3.344210394191072282e+03,3.492782326164005440e+02,3.994914211298111750e-02,4.012310061012492463e-02
4.989867846017947159e+04,3.359266753821868292e+02,1.097626979966946359e-01,1.066532357327026614e-01
1.626920371872613578e+04,3.692789302424034759e+02,1.353510048239237040e-01,1.356882656379447272e-01
4.093279637751438713e+04,3.680130040627048515e+02,1.274841304343631576e-01,1.265659873229376398e-01
1.822365608652172159e+04,2.935085446907839355e+02,1.227300283792336771e-01,1.251825695798661209e-01
5.313659411874631587e+03,2.939946035961145299e+02,5.582792682879136881e-02,5.775223615604786059e-02
3.323361383376348385e+04,3.637647961225806057e+02,1.365488695798957042e-01,1.311262987050261508e-01
1.129715526987251451e+03,2.868959825258475576e+02,1.227074319276446994e-02,1.235414836481909563e-02
7.827550955800772499e+03,3.491185046996663459e+02,8.535544628575218729e-02,8.212051128670480593e-02
5.542543875606350412e+03,2.921759763056948600e+02,5.777007967036459218e-02,5.998935566886164084e-02
8.998041902452365321e+03,2.873036663583009727e+02,8.491115400909149402e-02,8.524736574734714800e-02
1.799870972821513760e+03,3.169243889286937019e+02,2.059848037407889521e-02,2.169529127845289118e-02
2.786209263972802091e+03,3.414059677178237848e+02,3.303418994503384137e-02,3.090394048742724220e-02
1.330770546472327624e+04,3.574168684612379820e+02,1.221543437415958389e-01,1.258112042175868472e-01
5.964008191936999538e+03,2.938151045382326743e+02,6.180014837667830579e-02,6.584029511097919118e-02
3.831002286435483984e+04,2.829703940964653839e+02,1.131899905357135194e-01,1.110604484504610912e-01
1.622830564179506473e+04,3.522712919940105394e+02,1.315430416639410127e-01,1.322886719076736550e-01
5.278777653890705551e+04,3.181017225108687398e+02,1.032000342929013520e-01,1.018534294361209819e-01
2.915557927954085244e+04,3.339569668424093152e+02,1.339813623345032789e-01,1.339342224607818210e-01
1.598258031526197374e+04,3.314201507006380325e+02,1.263256161600240790e-01,1.237943422015749528e-01
3.760375412839421642e+03,3.490817496456228923e+02,4.467606577098424958e-02,4.841035680014548620e-02
3.677231196254864335e+04,3.719558913368957178e+02,1.338805969607177460e-01,1.319422379385524202e-01
3.180791164445767663e+03,3.378091489133452114e+02,3.733419076600925229e-02,3.674202313601426101e-02
1.413911489634280542e+03,3.095211537498609005e+02,1.599827470006651500e-02,1.700124056228756106e-02
8.428089850162820949e+04,2.904889825470636993e+02,7.285060939993792672e-02,7.155548804310567224e-02
1.202326474717449310e+04,2.832878818956098144e+02,1.015774054426336337e-01,1.010987805831690262e-01
3.530112899124353135e+04,3.421554158349110253e+02,1.294028195314168017e-01,1.282755398385628798e-01
1.144051606423488556e+04,2.985103608377970659e+02,1.015785384333701968e-01,1.013116169236976116e-01
1.671704304536843119e+04,3.007601139663824483e+02,1.214276844675576950e-01,1.190865991973570903e-01
1.168919223867683741e+03,3.173346875948319052e+02,1.342647455264624722e-02,1.255049840144164576e-02
2.363672806150908400e+03,3.257598538334692080e+02,2.737472255563744988e-02,2.696093670621296096e-02
2.235521190343727721e+04,3.146148020157130532e+02,1.315634658777484201e-01,1.308960138701401599e-01
1.383978029840922500e+04,3.685704349736680001e+02,1.267292351609517198e-01,1.268426150707393230e-01
2.075439451995801392e+03,3.028091107479411903e+02,2.311376704409727825e-02,2.252756260538383432e-02
8.017861268243911036e+04,3.332018627178448469e+02,8.110742847146737433e-02,8.261385128834614067e-02
2.035669478195789907e+03,2.746245424992195012e+02,2.149815667424723534e-02,2.085176482267557529e-02
1.048591902070007927e+04,2.793771841660437758e+02,9.284794829260505089e-02,9.257464910001328429e-02
1.940911575000632638e+03,2.928946881268066704e+02,2.123939770899160862e-02,1.990983503699990387e-02
2.721093420445261654e+04,3.011342873737079913e+02,1.277370917221693769e-01,1.266840620419389107e-01
3.569653222473723417e+03,3.196323319324995396e+02,4.040938914820091377e-02,3.788040356656149216e-02
1.854675564944348480e+03,3.304207401929139678e+02,2.172934457490040619e-02,2.276691441665633364e-02
1.235874471201761708e+03,2.895921108657093441e+02,1.348734871010044342e-02,1.120231267479545982e-02
2.237026226896844491e+03,3.308649757113985288e+02,2.616420144647644760e-02,2.467248865009979628e-02
2.418785928790989146e+03,2.811823039896742671e+02,2.580040466409299141e-02,2.651889396811540206e-02
1.185616293810763455e+04,3.122274716009773670e+02,1.063264837046534184e-01,1.071316304365424882e-01
7.981376029075236147e+03,3.528097081006666258e+02,8.719052205047075899e-02,8.639029254846061767e-02
8.214643762664106907e+04,3.204992019102180620e+02,7.810995643345151895e-02,7.407142481247391830e-02
8.096599805632296193e+04,3.396068355100929352e+02,8.141622090632850972e-02,8.225724748091965688e-02
3.918250709782843478e+04,2.953570890794125603e+02,1.147927876253051899e-01,1.153119145430893111e-01
2.203815676171382438e+04,3.437524724896791213e+02,1.382103297730913338e-01,1.353855673421477945e-01
4.898309055123791768e+04,3.714304441624363449e+02,1.173905953106307160e-01,1.189312394762197106e-01
7.542297467830375535e+04,3.380949071826505588e+02,8.521556578614181143e-02,8.381336618527496229e-02
1.109776330255479706e+03,3.710519286615451620e+02,1.396330284680707794e-02,1.171092661450047652e-02
1.722703175652740356e+03,3.563874510908149773e+02,2.110635468538851062e-02,2.129781610731702399e-02
5.254456117278252350e+03,3.498213692236488441e+02,6.100182963408057324e-02,6.064488877128214328e-02
1.538769983746301932e+03,3.209194241111396195e+02,1.776001151611898352e-02,1.816525951810128020e-02
1.581426260039397312e+04,3.304076325010975097e+02,1.256314520561704340e-01,1.224199559395215547e-01
3.316869957211043584e+03,2.977142008113565907e+02,3.619152775345231554e-02,3.981598798599705891e-02
3.378154111884180566e+03,3.604560454320149461e+02,4.109263775535828417e-02,3.988732052627082941e-02
3.772732187344512568e+03,2.743421379582403574e+02,3.915417446646917571e-02,3.607485584947635326e-02
1.568307845994946319e+03,3.527400515054441712e+02,1.911406115877069614e-02,2.035174553590499494e-02
3.033115207129599366e+04,3.670039683462812832e+02,1.403908255871573751e-01,1.396812173269550150e-01
2.001450525917675986e+04,3.061840324817550254e+02,1.280129505771939180e-01,1.286626675487397287e-01
1.633112794550999024e+04,3.529950401676971978e+02,1.319801838065702837e-01,1.313009669453202022e-01
1.169744911254694216e+03,3.159277799794547263e+02,1.340219725894348755e-02,1.328271653798364718e-02
7.226504696757359852e+03,3.586945560024072961e+02,8.137822230343515206e-02,8.186976799091241763e-02
2.346427715520476340e+04,3.359020805899631341e+02,1.367767025095039113e-01,1.352833967415381089e-01
2.054439231816615575e+03,2.785766195487820482e+02,2.186101069249854825e-02,2.321848988421766277e-02
5.906302541935223417e+03,3.105664036900117253e+02,6.319623380459452044e-02,6.225643360643543650e-02
1.095641038631402580e+03,2.749242951806497217e+02,1.163080363107850575e-02,9.891429342737560748e-03
1.457860584013912330e+03,3.479318661179559058e+02,1.763494025339827284e-02,1.778900509704327976e-02
2.709612330714804102e+03,3.600844514910557450e+02,3.316680990072413959e-02,3.405689245770622542e-02
6.749946370237236806e+03,3.726108348256157115e+02,7.869626428178556898e-02,7.823810559854829649e-02
8.442675021501117953e+03,3.256345685404174333e+02,8.688219992213375154e-02,8.515716034797463085e-02
5.875476089621215942e+04,3.121292576149817251e+02,9.586276348120317814e-02,9.710233461382043740e-02
4.298499537519416663e+03,3.254560638905277870e+02,4.866690857934678066e-02,4.514625099510122946e-02
1.103894965195655686e+03,3.173496548652979641e+02,1.268282875578285139e-02,1.062110048371178554e-02
4.492071844039667485e+04,3.023139703811095842e+02,1.093630067802473238e-01,1.094420525613140904e-01
1.329516926206466678e+03,3.640258484608723393e+02,1.652530061972791453e-02,1.380318182311777997e-02
1.534560394606344744e+03,3.124183526281468630e+02,1.744489738744393545e-02,1.750088591594227416e-02
8.440407864556049753e+04,3.625662180816122486e+02,8.206031267099107851e-02,8.195058643495414796e-02
3.211669417546744808e+04,3.296500510805106501e+02,1.302595592012964487e-01,1.320570387790127864e-01
4.739236760972255070e+03,3.576915467883150086e+02,5.627130085902153078e-02,5.444172015539494591e-02
1.838051532194761194e+03,3.395608249366954396e+02,2.187824212658134523e-02,2.062642907929805938e-02
5.935552440787811065e+03,3.199242834260527388e+02,6.454059448165234969e-02,6.520695785105434794e-02
4.768587824342072963e+03,3.446311985722454665e+02,5.537182668813279973e-02,5.045669950772118523e-02
5.608960775066557107e+04,3.455464938871648428e+02,1.042927064140620336e-01,1.104927910118912032e-01
6.878694703569860394e+03,3.599375031915819250e+02,7.831626076977026008e-02,7.691895930884672106e-02
1.459116645981254123e+03,3.190803334283725690e+02,1.679205741697111995e-02,1.533238731152000364e-02
7.138556557697487005e+04,3.259621933669475879e+02,8.665146656089672828e-02,8.837372158270415112e-02
1.756413342058523631e+04,3.494237938498947642e+02,1.341283033149812398e-01,1.340486396321098617e-01
1.711668717495150077e+03,3.244765844458456741e+02,1.986251243497111005e-02,1.630365519756392725e-02
1.684024168688652480e+03,3.350361032573688362e+02,1.990693285626096015e-02,2.116078761644618611e-02
8.548038751707017582e+03,2.965456309270705901e+02,8.320842932862483610e-02,8.491918499662325093e-02
1.528192033542694162e+03,3.706098938375035345e+02,1.918127976077520919e-02,1.828138721382332674e-02
1.834443686589552090e+04,3.365971834217703531e+02,1.327231404893923217e-01,1.321599397728082659e-01
1.709100425070698475e+04,3.380547370078164136e+02,1.305718852840301869e-01,1.315438544785489661e-01
1.159211543554549735e+03,3.475189291283243733e+02,1.402962453366954354e-02,1.221206403384064373e-02
4.119510006159864861e+04,3.517718019621992767e+02,1.238686550586090146e-01,1.247454321870228311e-01
3.746187598961575713e+04,2.825899912373447478e+02,1.140714116727603172e-01,1.144700086936493166e-01
6.770434442790060712e+04,3.100059051182341818e+02,8.731075366143183081e-02,8.596088842987999190e-02
2.190853276759262008e+04,3.328640192146519894e+02,1.356247943671928802e-01,1.328405906195691821e-01
2.430661402346586328e+04,3.724193282914035308e+02,1.452199684578328875e-01,1.447687567963107103e-01
