N,mu,t_dwell,T,F_max,F_max_noisy
8.043405195231846960e+01,2.924521691875331397e-01,3.166620387346172265e+03,2.621482571711444507e+02,5.206751356619658111e+01,5.191708156065646307e+01
1.994106867966282692e+01,6.072979620497221953e-01,2.137432898763965738e+02,3.584626476725355815e+02,2.804480278639556090e+01,2.830855097188195657e+01
9.073709118987759226e+00,5.044539937332945811e-01,2.192035488353760400e+02,3.929784606934641715e+02,1.335049694220903937e+01,1.302896071714580550e+01
8.566747045441994146e+01,3.603767997629485631e-01,4.127063044812118164e+01,2.947256710990196211e+02,5.426481990811476663e+01,5.453916006905340197e+01
8.626706612158916698e+01,5.457678615573073877e-01,2.245322682557857163e+01,3.168407638575354781e+02,7.065703871425237992e+01,7.065101967786773685e+01
8.777717254524146995e+01,3.244302042869190439e-01,5.406191762986508365e+03,3.191605452967020824e+02,5.972433269908859899e+01,5.934970803198827127e+01
4.771906221652023561e+01,3.855413665384086475e-01,1.322375832639193050e+02,3.173741198753083950e+02,4.056908783466974455e+01,4.047491799307969274e+01
2.813079047275810751e+01,5.666363684845369120e-01,1.261355265245606638e+01,3.741946487320998358e+02,3.257905644708531412e+01,3.259528713071677686e+01
1.702091031713459879e+00,7.297592928741072349e-01,4.255058473722299368e+02,3.881088216519269736e+02,3.320925106212817557e+00,3.402762507962153737e+00
6.492636866191983813e+01,6.219069636643463905e-01,2.326160144129896690e+00,3.756301268988189008e+02,5.943271406082469355e+01,5.913805762334239802e+01
7.227102896736060700e+01,5.859366704853380403e-01,5.429429269825396887e+02,2.693175107280330849e+02,7.249153574497634622e+01,7.215932383082679280e+01
8.372135243352714440e+01,6.479882822430116374e-01,1.229268463580568316e+01,3.839218570749450237e+02,7.703264324512845462e+01,7.709251860498257258e+01
2.890590490908967070e+01,4.270254683791304129e-01,5.976644753091749180e+02,3.530211276360506645e+02,3.186552360415126017e+01,3.172549871908731944e+01
2.230659854913438522e+01,7.885868361223240530e-01,8.466638917214848448e+01,3.904388703777647720e+02,3.462622863305934118e+01,3.469688031657840810e+01
6.429380662659220036e+01,5.667561080047603950e-01,2.784416672321763599e+03,3.089292635586045321e+02,6.862475753886094765e+01,6.885261339560446459e+01
8.070042848135595648e+01,3.545367653069635416e-01,1.062883168615865543e+03,2.958523421223765695e+02,5.707269287705071292e+01,5.657805666714542525e+01
9.640341641165211684e+01,2.215791487099126877e-01,8.571206515584619410e+03,3.009550944748954748e+02,5.079024240617733454e+01,5.086655884113262260e+01
1.590195821169657009e+01,2.670533511775353142e-01,2.102269284895714065e+02,3.072807782157808560e+02,1.673762438973088962e+01,1.710501847999161029e+01
4.873902643173431670e+01,3.191054909688744168e-01,2.017708725214392871e+03,3.825316635929896165e+02,4.013346176057579839e+01,4.004420370726465706e+01
8.957687035742117132e+01,6.406235834061047019e-01,4.313751965686386143e+02,3.226954890028961245e+02,9.063500227296970024e+01,9.039175789799843130e+01
4.284897378759828968e+01,6.887126986835687692e-01,8.850030099491611963e+02,2.932129601960645573e+02,5.615505108170692949e+01,5.638072422986081023e+01
5.936070414632076364e+01,7.552717070292653823e-01,3.817332334677881590e+03,3.656283095030373715e+02,8.050312883252672691e+01,8.057916278738916560e+01
3.424577071842956677e+00,5.857461411065415513e-01,1.785282566141894378e+01,2.573301966246740449e+02,5.443115277159947141e+00,5.711880198393215480e+00
6.767252882814095472e+01,3.783661939853064649e-01,1.530019814584433334e+03,3.021202982413124118e+02,5.361216960329305437e+01,5.350860489027767386e+01
9.198977334374842485e+01,7.033214536060932165e-01,5.097433263461845854e+03,3.686984263903112264e+02,1.083038828106408573e+02,1.078593373285241910e+02
8.285570762611538953e+01,7.720821019302808175e-01,9.037697076550983184e+03,3.412660552127281903e+02,1.091317645995281111e+02,1.090987613701147296e+02
8.866650640428473196e+01,6.181423040225499932e-01,3.830647549470387769e+00,3.044023624191625572e+02,7.457274204660831174e+01,7.443899360070494708e+01
6.637518267153181739e+01,2.434148239824840965e-01,1.333253484123294719e+01,2.913102084089863411e+02,3.669006861418726828e+01,3.692266576080154294e+01
2.530967445707458197e+01,4.465891860691816317e-01,4.997070691394439734e+01,2.637587558897984081e+02,2.764687147892992058e+01,2.770496133344306600e+01
7.708318289072917651e+01,3.493661778849789235e-01,3.337311019158305214e+01,2.536611074818673046e+02,4.935927184696376457e+01,4.887001707723323563e+01
2.195579951814353947e+01,7.635563071315827344e-01,5.621814929506613225e+03,2.801132794660973104e+02,3.746546308815304371e+01,3.710691416412208099e+01
8.329620863178165280e+01,6.866740346756428082e-01,1.260418404960536476e+00,3.233170221565108591e+02,7.521325390809768408e+01,7.547839061907386338e+01
7.209074334506056836e+00,2.419562672781276624e-01,3.854356955461847065e+03,3.185826807787422013e+02,8.985218415945029236e+00,9.189147921170382816e+00
8.272329352596202057e+01,5.656591581931167401e-01,2.185003533990425684e+00,3.293914310321088124e+02,6.580326983163254795e+01,6.561119682186000546e+01
1.728621938093602850e+01,7.910885498703068563e-01,5.625746060482644680e+03,2.537402649685642189e+02,3.132275467181769812e+01,3.132244003284751344e+01
3.813955265316754151e+01,5.142836762118802030e-01,4.843775057585232389e+03,3.157659318857162702e+02,4.510813705721899680e+01,4.524180912335184956e+01
3.235707848913946805e+01,7.336648065600090973e-01,8.493980839024868601e+01,3.605528526328816383e+02,4.427996787156455127e+01,4.442048917231873162e+01
6.944236649249639015e+01,6.873984063275713208e-01,4.975121048509222099e+00,3.624801870443187113e+02,6.807751382442900479e+01,6.834038648326331611e+01
1.867861593926281927e+01,4.829224393195999943e-01,5.833307366084272694e+00,3.336912902362450950e+02,2.178092813322239607e+01,2.185787382138886414e+01
4.022936005948165672e+01,4.652050378353289051e-01,1.090559118566399555e+01,3.557005457707909954e+02,3.751586559470152338e+01,3.748741709301097558e+01
1.576634915690113603e+00,2.969907126511263096e-01,2.486963234791251125e+03,2.514207353528350097e+02,2.272640348208564198e+00,2.194985928772210659e+00
2.698697656226004682e+01,4.126817420680062298e-01,1.455448229823911106e+02,3.004586644528325223e+02,2.875502636389393274e+01,2.907174920405390850e+01
4.269769260866657135e+01,3.148200053947897703e-01,3.157173416361034469e+03,3.268382161125933862e+02,3.704804014229215881e+01,3.637278385976859596e+01
1.148620243402512031e+01,7.074245503110665467e-01,1.043777505284969948e+03,3.881314326133211807e+02,1.999965349658064540e+01,1.995805689905324343e+01
6.368283465761921747e+01,5.620419627159328746e-01,7.427035902677476770e+03,2.886117592562818004e+02,6.961729929049228360e+01,6.962719932168749892e+01
3.866200271876670058e+01,7.617453628090811169e-01,4.420870002745051579e+02,2.938739350232598326e+02,5.440772625099664594e+01,5.398012156273559015e+01
7.280409986954764179e+01,4.462125305150749233e-01,4.788257556432979456e+00,3.160772103319145572e+02,5.251742652261137323e+01,5.261727060655278621e+01
6.573273509577104790e+01,6.210255925271198629e-01,1.540834399125187417e+02,3.527179332014399051e+02,6.808615208836465627e+01,6.789076778463163464e+01
4.369144812896320929e+01,6.998901116175731962e-01,9.060150109421535944e+02,3.367834977396910858e+02,5.779908737056656065e+01,5.805782080946128332e+01
8.686473005857772023e+01,2.077263682136152034e-01,2.701579326943679149e+01,3.626348095513767475e+02,3.992313922895012013e+01,3.988546160373982019e+01
6.358137663251653748e+01,3.937123661240553019e-01,9.979525076295733015e+03,2.914506185973391439e+02,5.544641495633901229e+01,5.564716092857585039e+01
8.121716085852361289e+01,4.617378750519737229e-01,7.396922266516981814e+00,3.703368792215835015e+02,5.852734859243132348e+01,5.889300167398268826e+01
3.483767767007118721e+01,7.571620664147491464e-01,5.087701327873663104e+03,3.865328870197138258e+02,5.397643590800864644e+01,5.409131478282268546e+01
5.482325967717710569e+01,7.222933140760845472e-01,9.114548620608505303e+01,3.309579817421640087e+02,6.501601430918574920e+01,6.475329796615889677e+01
2.043339162636058859e+01,2.507049456492692618e-01,2.393862776663022942e+03,2.904528405458709699e+02,2.067181431988554152e+01,2.021751873037414882e+01
9.961797782174416227e+01,7.732754702096102939e-01,1.353343816882421038e+02,3.767908224045178258e+02,1.100725715247978655e+02,1.105985867600527826e+02
2.507833096632638359e+01,5.761422853508957331e-01,1.593866428075146189e+02,3.437185587340140955e+02,3.230440326606435519e+01,3.227101560810810099e+01
2.642987925548317207e+01,2.431601444452504979e-01,6.740529390198552164e+02,3.794696716520852533e+02,2.386027247734325840e+01,2.365370299305296342e+01
8.245817166705631251e+00,6.140733492965863016e-01,1.248207839461899766e+02,3.132866535904977923e+02,1.315239763398068007e+01,1.319567476039892817e+01
2.652250878067692241e+01,7.132175780194141002e-01,6.221296370947231935e+01,3.492043608296242496e+02,3.700524337290376309e+01,3.694781997375896765e+01
7.654972472186126708e+01,3.553131699238312180e-01,2.985409410675950337e+00,2.548852820680708362e+02,4.660032894216129762e+01,4.685597162142510541e+01
7.009146349762505679e+01,3.935969343414927879e-01,4.907981052919228659e+02,2.881801330215567987e+02,5.433903626527560249e+01,5.434921472000673504e+01
1.373864801939977376e+01,3.666156139816421078e-01,6.921076617752791208e+03,2.959325713225860000e+02,1.787421214878962772e+01,1.787833702387515444e+01
3.824761164138132585e+01,6.215044385320657172e-01,5.895267342578267744e+03,3.883840610894376368e+02,5.118497361554268821e+01,5.097059969923279965e+01
4.267121806712882659e+01,6.309675025856114061e-01,1.541331213059136118e+00,3.530143430433103049e+02,4.438922163613282379e+01,4.453009206575707424e+01
6.683344038983410940e+01,6.646095383848795723e-01,5.582755899005496758e+01,2.569169095077724592e+02,6.933858317876864419e+01,6.902842316206215401e+01
4.613696734133113608e+01,7.526246788465054127e-01,2.414871061047294631e+02,3.337192268405283926e+02,6.071148093713929939e+01,6.091124776906848837e+01
5.906531435572760813e+01,3.090969491533776536e-01,2.483069505821291045e+00,3.152328379912574405e+02,3.725410513583749150e+01,3.771128638973453207e+01
8.412877575728529678e+01,6.249487590532754044e-01,6.958758818307338743e+02,3.642984759055300401e+02,8.637901283445347644e+01,8.592160702302372499e+01
7.292088742092467157e+01,5.874217935879766372e-01,5.413174325199755543e+01,2.820331717694892291e+02,6.779563702065537711e+01,6.705576825124998663e+01
3.713571908734733285e+01,3.575726493902192105e-01,3.306077667686209143e+00,3.000672377666523971e+02,3.048260855075167086e+01,3.066767217729796613e+01
4.539123462510394091e+01,7.851850889155580493e-01,7.089101965844305298e+00,2.755562727761617339e+02,5.493602122103349927e+01,5.570039056567843971e+01
3.740225739931065618e+01,4.861761351011589238e-01,1.184055308472380608e+00,3.653566291605540641e+02,3.496501383706586097e+01,3.466473638240429267e+01
1.186373173666297731e+01,7.692964854153310217e-01,8.325854870839430433e+00,3.169167045627231118e+02,1.885365430926041341e+01,1.847844558161981610e+01
2.112091286465226148e+01,7.830642758621975119e-01,6.340223750036331012e+02,2.825354679769047834e+02,3.474573269475725112e+01,3.492242337489139459e+01
2.909684240546897627e+01,7.400288575031783722e-01,9.408989255187591993e+01,3.149564524805610972e+02,4.105663885431626170e+01,4.080442237729877064e+01
3.209925566462791835e+01,4.756912159880559710e-01,8.612657795330692423e+00,3.224531286864787489e+02,3.233595570848635248e+01,3.218414806330532940e+01
3.199173802317383064e+01,3.678660740885132396e-01,1.025678185516060914e+01,3.833330508844498468e+02,2.882722611570406457e+01,2.872279087569893008e+01
5.809327190904225091e+01,5.514571636132159504e-01,7.821477777123675423e+01,2.865449041898882570e+02,5.605055895739950245e+01,5.621015958328704443e+01
9.719730758635571988e+01,4.697214997715833396e-01,8.574015027611566211e+02,2.602101984672991080e+02,7.773240372022721090e+01,7.761081301180927028e+01
7.769174935744946708e+01,4.809209491067432674e-01,8.194000236653204411e+03,2.872102592076901715e+02,7.224187892121432242e+01,7.232524377323836973e+01
7.932226086910772267e+01,3.464488062211574793e-01,9.884098868816515449e+01,2.584281756039560491e+02,5.168863126041372880e+01,5.163567128274565476e+01
7.616758155341841530e+01,7.053518452413700679e-01,5.930532445067856884e+01,2.563319895538133437e+02,7.994914074673158666e+01,7.969573941563611186e+01
6.010178532185188516e+01,6.384344559423689169e-01,3.285520036449584325e+01,3.014682664089699529e+02,6.159713496424357970e+01,6.150118708692061631e+01
9.185153345992036122e+01,7.191857587279240072e-01,1.932690707032297723e+03,3.604141282152015151e+02,1.066671236303260173e+02,1.063820037307756365e+02
6.927338538926100853e+01,5.189232955511167145e-01,2.016486666501739364e+02,3.648653886392471577e+02,6.304806155645128740e+01,6.305001605221221439e+01
5.053528664295022566e+01,2.555982389846500613e-01,4.605092609531589005e+03,3.821034577139109842e+02,3.753620772586212695e+01,3.719904785759243282e+01
8.631297041553336769e+00,7.173853637153888574e-01,1.559017980912479118e+02,3.754724477452903670e+02,1.489396599200065197e+01,1.456609768121207971e+01
4.935647348146686397e+01,2.415507209651673870e-01,6.247079065093296357e+00,3.848528001252807371e+02,3.094323696151688807e+01,3.138032550610846627e+01
2.207026853869309946e+01,2.927096056880200137e-01,2.633062613621993897e+00,2.792866701723830261e+02,2.003649079134437372e+01,2.002053552525277169e+01
1.413693345713193672e+01,7.664720780149913981e-01,1.419602385311869739e+02,2.770014563942953032e+02,2.354760148218289117e+01,2.353143087454127880e+01
5.110042733040792484e+01,5.369028645558399093e-01,5.789748334963035425e+00,2.529744862105090135e+02,4.661928424135228965e+01,4.677274516732757803e+01
7.872344396709894454e+01,6.049984462198345625e-01,6.224877022452491246e+02,3.111820797887461367e+02,7.965086997851895489e+01,7.952461287775429355e+01
3.020563783774642630e+01,6.925956003126940708e-01,1.355263621782736891e+03,3.207189350036485394e+02,4.386030948820337017e+01,4.379174887795992532e+01
7.710840423100748353e+01,5.987342814110721001e-01,1.287076158100795283e+03,2.759222371224157087e+02,7.944697417138380047e+01,7.957451879198337963e+01
5.303732279306315434e+01,4.663827728526391825e-01,4.216552071330688278e+01,3.962723611451613124e+02,4.692340102883207464e+01,4.700812578150539167e+01
1.575575431370054247e+01,5.257996507674852493e-01,1.597287376780164720e+02,3.075721172605785796e+02,2.141036576958391180e+01,2.106257675150418152e+01
9.653180665399383997e+01,4.390902762033615514e-01,8.066074754370395894e+00,3.075425750877653854e+02,6.351223714151051070e+01,6.376223992051141209e+01
4.076198616496323268e+01,5.463142549823535310e-01,1.190439306598359224e+02,3.089626305545431251e+02,4.419832420364195968e+01,4.402119372065524772e+01
3.022819131060688136e+01,2.013242184259833312e-01,1.857932419160823201e+03,2.750941815414221310e+02,2.478322739223620985e+01,2.446640370714195356e+01
8.485283869273922619e+01,5.049596577240453854e-01,3.604484955695710369e+02,3.389181243322843784e+02,7.264904933320505620e+01,7.237890681220534361e+01
1.332157291903250318e+01,2.142930695574452593e-01,4.662758296297167249e+02,2.676595703847141294e+02,1.392211584552243231e+01,1.380495224221583506e+01
7.362545564629664341e+01,2.658031692943854107e-01,6.676571063008953388e+03,3.920934317503321722e+02,4.799636203292688208e+01,4.848455210931380321e+01
1.959464951398136279e+01,7.078209647645798963e-01,1.402991247127792818e+01,3.209081734197656601e+02,2.778889688358690080e+01,2.743623611211066660e+01
3.985668582524566261e+01,5.956316703832683634e-01,3.965363088649682481e+02,3.392384469772873672e+02,4.754071971997164070e+01,4.758874248773194182e+01
2.395808796775170535e+01,3.093007224971810465e-01,3.456353277611076919e+03,3.038766352860233724e+02,2.515274727748206729e+01,2.451139997005489590e+01
8.428157127654630187e+01,6.483215151510979268e-01,2.131875544063486316e+01,3.003573050764682648e+02,7.848917448697937971e+01,7.848870440703582574e+01
3.961738064204631371e+01,4.854699617527056810e-01,1.591466084143948967e+00,3.977924809666021702e+02,3.647770616305925984e+01,3.674757608830206124e+01
9.749458847534663164e+01,2.809077655838773668e-01,1.510995432687515816e+01,2.667817050572132871e+02,4.890304386221033894e+01,4.883204486559190372e+01
6.290088695709557243e+01,7.578114170858192278e-01,1.443243133453928095e+01,2.707189423414654925e+02,6.968695481239859646e+01,6.949814833523359425e+01
6.966866063558860844e+01,2.676830590912410157e-01,1.409189776664543814e+01,3.295114703992880436e+02,3.954041679345135663e+01,3.960987011266891500e+01
5.263098709110933271e+01,2.118457148109752219e-01,1.263413808165210668e+02,2.787776651454886405e+02,3.240131725613291280e+01,3.261136278147810685e+01
3.158785170848352308e+01,3.539610370739570411e-01,1.776128751197663860e+02,2.509887566145571896e+02,2.993402305172226363e+01,3.013312032302748733e+01
4.016008568419044167e+01,2.521159441545401392e-01,3.472105959698144062e+01,3.424300806859968134e+02,2.917257466126919496e+01,2.976431681744813318e+01
9.415248457852827357e+01,2.100328751489414225e-01,1.940842719222953505e+01,2.504827399239480883e+02,4.116745612539108379e+01,4.123020636709196651e+01
2.091911687174178169e+01,5.919451258785326520e-01,1.242891399702888009e+02,3.450010462379760838e+02,2.830480308444093041e+01,2.812708005451505144e+01
9.883367122080100842e+01,2.791772833947750443e-01,8.322381444718901093e+02,2.960483202721339921e+02,5.551221476524339238e+01,5.547442100824739697e+01
7.607228033837802172e+01,5.383279064371928602e-01,1.348837225598340517e+00,3.424306785297886790e+02,5.951856421411601872e+01,5.949681465043007478e+01
3.661890572276841027e+01,3.455538975026520854e-01,2.008817254084760407e+03,3.365663055528274299e+02,3.477604663479442593e+01,3.480866784983786033e+01
6.450984536105472955e+01,7.643900814605060212e-01,3.386391480396343745e+00,3.889661294194057177e+02,6.893052670534336812e+01,6.892151836137453813e+01
3.871717239001566924e+01,3.295135929768835403e-01,4.222886614787770668e+03,2.868090135376456260e+02,3.576328590011408437e+01,3.581547568178294227e+01
3.876780033135208470e+01,5.123928358049429921e-01,9.347465971321007316e+01,3.886013338669262112e+02,4.101903668869098851e+01,4.051778167050645152e+01
5.087649206925843259e+01,6.409923547829938784e-01,1.807261352872121449e+02,3.300775130757792226e+02,5.800812467720098908e+01,5.825701336401300523e+01
2.655559341902331116e+00,3.866779511776853862e-01,8.381012156899039837e+03,2.500023767527912355e+02,4.168784678566717972e+00,3.996362897890408217e+00
4.986358443439622334e+01,6.990436340317969233e-01,3.880369498308647508e+03,3.097887884020734077e+02,6.647445943266063750e+01,6.612251182372652636e+01
9.718824293124191627e+01,3.883873712788454835e-01,6.030451152226531519e+01,2.586689928704340105e+02,6.238164025401937351e+01,6.257296560191180390e+01
2.926105764977226542e+01,4.327160382644616443e-01,6.443670158939486470e+00,3.544027351115580586e+02,2.884931569062694834e+01,2.924451349284277413e+01
7.507357794858459954e+01,4.582329695166430517e-01,2.415459528059896002e+02,3.571628852902077824e+02,6.164859093552559699e+01,6.179649938037542967e+01
4.483610011697901143e+01,4.513364731590831513e-01,1.447899600888375327e+00,2.951221448988464431e+02,3.790041259520769756e+01,3.794876038936135387e+01
2.171882321916076108e+01,5.647661926462488324e-01,1.854779048492753546e+00,2.858262051817396809e+02,2.566642824819165725e+01,2.538676215658007251e+01
9.059525451099482041e+01,3.357473669598984856e-01,8.038534297772454096e+00,3.151841696080909969e+02,5.129444532970970272e+01,5.215591553105375056e+01
2.665901183341086611e+00,3.975284662657779799e-01,4.688141656968000603e+01,3.412749542785280710e+02,3.823569058653062847e+00,4.087646644851515632e+00
3.104738373335155543e+01,3.373832187905089208e-01,5.954159628387138810e+02,2.696300031742670740e+02,2.987828101001595726e+01,2.953649260891306483e+01
9.990356235006981933e+01,3.661671491101350373e-01,2.486854092508660852e+00,2.864523452208260323e+02,5.585604256871755524e+01,5.562215119384563167e+01
2.695253282280895846e+01,6.576693956984033251e-01,2.626728868010037331e+03,3.760534836505095200e+02,3.972989804910625367e+01,3.975599182367782447e+01
8.505540766406792841e+01,5.775600522931210179e-01,6.296667776515987924e+01,3.244713132792908254e+02,7.551577438906736006e+01,7.504935504946855929e+01
6.096263171691472138e+01,7.776735814544208925e-01,5.965836811515309535e+00,2.937876204624163847e+02,6.763028148099645875e+01,6.768087060309960634e+01
8.079753504518524210e+01,7.700780243762290755e-01,2.869437517811510133e+03,2.540602193018834498e+02,1.021962022907950569e+02,1.020584808240812293e+02
6.340145778890434514e+01,3.230512681447035295e-01,5.801169690706943811e+02,2.881886360712103397e+02,4.566953003853355142e+01,4.603741121862841368e+01
3.690698884872698926e+01,3.259676215766873497e-01,2.750224051137950028e+03,3.452252426569976933e+02,3.426700183830218549e+01,3.455564823739065616e+01
