model,task,trial,status,official_reward,recomputed_r2,fixed_scale_r2,rmse,abs_diff_vs_official
haiku-4.5,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__wcLgNsM,ok,0.986781,0.9867810852942185,0.9866764262692019,0.009892207116783493,8.529421846592555e-08
haiku-4.5,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__KeCmeyz,ok,-2.014092,-2.01409245181761,0.9960469737654922,6.36963119237926,4.518176099921334e-07
haiku-4.5,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__bQww7kf,ok,0.111109,0.11110855865885694,0.9988342059032954,3.4590780752193098,4.413411430620462e-07
haiku-4.5,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__f56xbry,ok,0.152204,0.1522041718458853,0.9988881033996889,3.378171081701414,1.7184588529950418e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__EvoANzP,ok,0.974199,0.9741986807157942,0.9999978454187209,0.0007907813842911989,3.1928420585192185e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__cAXyyEN,ok,-0.665576,-0.66557614914781,0.999860913345155,0.006353568654591886,1.491478101023347e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__zTDGDHr,ok,-0.079559,-0.07955879052382375,0.9999098496811694,0.005115153013052831,2.0947617625222126e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__RdiyEtt,ok,-0.34638,-0.346379608879122,0.8963165567998996,0.6325912941390548,3.9112087801829176e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__VsH6nxp,ok,0.813978,0.8139783916587067,0.985674648713298,0.2351370934070511,3.9165870668878e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__wsT32iF,ok,0.887143,0.8871426515744546,0.9913089604164939,0.18314892299842186,3.484255454155871e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__aQVwL54,ok,0.999636,0.9996359402210532,0.9999958864475088,0.001669269999819174,5.977894679265461e-08
haiku-4.5,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__eF9tzff,ok,0.973401,0.9734008856000866,0.9996994536072631,0.014268352380907203,1.1439991332018451e-07
haiku-4.5,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__eG29iDY,ok,0.707009,0.7070089441607355,0.9966894610244261,0.04735517208865967,5.58392645455541e-08
haiku-4.5,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__RB56yrc,ok,0.843557,0.8435568783963308,0.9996866202699232,0.006784637593908666,1.2160366924529598e-07
haiku-4.5,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__W3tbNuv,ok,0.936836,0.9368358381283559,0.9998734724301397,0.004311057216300051,1.6187164408876242e-07
haiku-4.5,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__Yjqwp63,ok,0.995159,0.9951590697857743,0.9999903028692582,0.0011934736335199349,6.978577427041444e-08
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__BXHGzww,ok,-5.126153,-5.1261533226616915,0.999844001839304,0.021875863263309626,3.226616911433666e-07
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__eogZqDK,ok,-457.434047,-457.43404678512644,0.9883263012967091,0.1892385890116416,2.1487358026206493e-07
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__utu3mDy,ok,-14.997827,-14.997827150387364,0.9995926266485428,0.03535100534727133,1.5038736478345527e-07
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__LD9FTL6,ok,0.910735,0.9107346650709709,0.9858283391216932,0.0024277719196999226,3.349290290666218e-07
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__YE4VwKc,ok,0.971966,0.9719664865686499,0.9955494319727539,0.001360520938886504,4.865686499266886e-07
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__i33P9ot,ok,0.978358,0.9783575332756597,0.996564067123803,0.0011954181453957913,4.6672434028671717e-07
haiku-4.5,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__UzW6ggx,ok,-63.624558,-63.624558072399665,0.9995553703703846,2.448490786233081,7.23996649298897e-08
haiku-4.5,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__VqXvKWY,ok,0.925741,0.9257412972131236,0.9999994890855659,0.08299909560551941,2.972131235567943e-07
haiku-4.5,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__iqjTRT8,ok,-31.044664,-31.04466407056502,0.9997795264286236,1.7241599094106757,7.056501871716137e-08
haiku-4.5,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__P7RqxSU,ok,0.198154,0.1981540882291325,0.9997057808545073,0.005178070845797236,8.822913249995068e-08
haiku-4.5,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__rNh2w5E,ok,-0.242284,-0.24228434156725664,0.9995441719760999,0.006445150070831282,3.415672566453587e-07
haiku-4.5,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__vekE4bi,ok,-0.215638,-0.21563791783782138,0.9995539492760837,0.006375652636866773,8.216217861622965e-08
haiku-4.5,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__38hqTmX,ok,0.988999,0.9889994051334138,0.9784452533407023,0.6715342016971447,4.051334138166496e-07
haiku-4.5,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__3tnXTAi,ok,0.856396,0.8563955702041574,0.718619116425758,2.4262970467865377,4.2979584269353666e-07
haiku-4.5,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__5YTWQ9s,ok,0.991639,0.9916389637614241,0.9836172479654604,0.585450395935029,3.623857591783519e-08
haiku-4.5,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__HgHwMKt,ok,0.996391,0.9963909740795764,0.9999941233184414,0.0025802615550973374,2.5920423585290564e-08
haiku-4.5,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__hLmCK3s,ok,-43.285012,-43.2850120206152,0.927889430777057,0.28582296129011253,2.0615196660855872e-08
haiku-4.5,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__sHuUfNv,ok,0.996399,0.9963994353467195,0.9999941370961681,0.002577235102236554,4.3534671945177905e-07
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__3W7XwaD,ok,-243.895709,-243.89570860011494,0.991960114541626,0.0034485056237803795,3.998850672815024e-07
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__Xyz7DRF,ok,-65.210639,-65.21063859924138,0.9978263157263694,0.0017930988806909348,4.007586227317006e-07
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__odzwKv4,ok,-29.009738,-29.009738143601894,0.9990147852786415,0.0012071783946060388,1.4360189481976704e-07
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__2wB6gLb,ok,1.0,1.0,1.0,4.0510971556437914e-17,0.0
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__FQMXY7P,ok,-2.763734,-2.7637335414987256,0.9984143164566573,0.005284682061041366,4.585012742808203e-07
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__MSL3oaW,ok,0.94158,0.9415797744466801,0.999975387208144,0.0006584018526528541,2.255533199102544e-07
opus-4.8,Biology_gen5_v4,Biology_gen5_v4__YNvV4Av,ok,-0.278241,-0.2782406423471848,0.9351062723332697,0.24817382236535074,3.576528151971736e-07
opus-4.8,Biology_gen5_v4,Biology_gen5_v4__qiEBEVX,ok,0.750308,0.7503075512710926,0.9873236124471063,0.10968629396229408,4.487289073651368e-07
opus-4.8,Biology_gen5_v4,Biology_gen5_v4__sDJFErR,ok,0.884726,0.8847259261289145,0.9941477652102436,0.0745273157573847,7.387108547085575e-08
opus-4.8,Economy_gen5_v4,Economy_gen5_v4__XCKnPyv,ok,0.746063,0.7460627544997727,0.9337046915053663,0.09969648472074163,2.4550022736935517e-07
opus-4.8,Economy_gen5_v4,Economy_gen5_v4__Y6zHQwF,ok,0.798136,0.7981363351195886,0.9472995231135078,0.08888852918119293,3.351195886347469e-07
opus-4.8,Economy_gen5_v4,Economy_gen5_v4__oCXCGAg,ok,0.816351,0.8163505962152993,0.9520547139322602,0.08478351242160173,4.037847007865025e-07
opus-4.8,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__EnDhxZr,ok,0.995692,0.9956922548083531,0.999420564851995,0.013624143697132373,2.5480835308400174e-07
opus-4.8,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__QbDkCyr,ok,-0.261488,-0.2614884096236014,0.8303170937886106,0.2331448597101207,4.0962360142726695e-07
opus-4.8,PSEv4_m1_biology_0_004_gen5,PSEv4_m1_biology_0_004_gen5__qqNBJMz,ok,0.994476,0.9944764649918939,0.9992570288671813,0.015427400989690506,4.6499189387816386e-07
opus-4.8,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__5EmaZJK,ok,1.0,0.9999997552007691,1.0,1.8060103329511942e-09,2.447992308862723e-07
opus-4.8,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__XjnCSdr,ok,0.976717,0.9767174040989136,0.9999999999975918,5.569688496950888e-07,4.040989136644413e-07
opus-4.8,PSEv4_nonlinear_cubic_oscillator,PSEv4_nonlinear_cubic_oscillator__hdVzxGW,ok,0.697219,0.6972188648450712,0.9999999999686825,2.008535965226602e-06,1.3515492880422642e-07
opus-4.8,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__GEcWWDD,ok,0.998694,0.9986936626105056,0.9988591065420525,0.041634191823560575,3.3738949434258814e-07
opus-4.8,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__HJv5TaC,ok,0.99998,0.999979522309743,0.9999821157512324,0.005212702565970608,4.776902570169383e-07
opus-4.8,PSEv4_system_20260603_170953,PSEv4_system_20260603_170953__vYm6agD,ok,0.99998,0.9999795281013008,0.9999821208093057,0.005211965378270631,4.7189869922803496e-07
opus-4.8,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__P7rGxTy,ok,1.0,0.9999999641420073,0.9999999999887982,9.259062000285313e-06,3.5857992686239015e-08
opus-4.8,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__n6ocbtH,ok,1.0,0.9999999641408713,0.9999999999887977,9.259208667832322e-06,3.585912866643781e-08
opus-4.8,Physics_42_000_gen5_v4,Physics_42_000_gen5_v4__whJU8KE,ok,0.994385,0.9943848365500049,0.999998245850423,0.0036639978202383573,1.6344999509421143e-07
opus-4.8,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__4UYHsKE,ok,-6.765664,-6.7656639858409156,0.882827226385331,0.11636029211933523,1.4159084571474523e-08
opus-4.8,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__nXAKuKC,ok,-4.293977,-4.293976853252247,0.9201214535578116,0.09607414415833214,1.4674775261624973e-07
opus-4.8,SRBench0728_Mechanics_000_gen5,SRBench0728_Mechanics_000_gen5__tkkS5pJ,ok,-4.553631,-4.553631047545208,0.9162036427715786,0.0984020208463566,4.754520777083826e-08
opus-4.8,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__5gjP7st,ok,0.999996,0.9999961754825923,0.9999977493542871,0.0012569904525942686,1.7548259234612118e-07
opus-4.8,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__XiaFXA7,ok,0.999996,0.9999959395324749,0.99999761050275,0.001295184620350701,6.046752509814013e-08
opus-4.8,SRBench0728_Mechanics_001_gen12,SRBench0728_Mechanics_001_gen12__kii6YVs,ok,0.999998,0.9999980730917358,0.9999988660561944,0.0008922245681183962,7.309173577496608e-08
opus-4.8,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__5oAYMUB,ok,0.999992,0.9999920473033422,0.9999991442356163,0.00017097681252988646,4.7303342243232294e-08
opus-4.8,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__dGRZqdE,ok,0.999992,0.9999918867784571,0.9999991269620442,0.00017269377191465906,1.1322154291892872e-07
opus-4.8,SRBench0728_Mechanics_002_gen15,SRBench0728_Mechanics_002_gen15__naWbZh5,ok,0.999901,0.9999009538271108,0.9999893419564783,0.000603391040639561,4.617288928976393e-08
opus-4.8,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__jahsoUZ,ok,0.999641,0.9996407952076083,0.999654368069992,1.0000488331749653,2.0479239171145025e-07
opus-4.8,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__o7ew8Pm,ok,0.999971,0.9999712750308173,0.9999723604285122,0.2828003431206667,2.7503081723168066e-07
opus-4.8,SRBench0728_PopulationEcology_006_gen8,SRBench0728_PopulationEcology_00__tJMXHd7,ok,0.999897,0.9998971876036276,0.9999010724585539,0.5350235359655435,1.8760362752168191e-07
opus-4.8,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__CxBF3ki,ok,0.218123,0.21812347488874972,0.9974638974946107,4.276283782432895,4.7488874971302053e-07
opus-4.8,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__iwuQd6d,ok,0.093168,0.0931676491561183,0.9970585895303405,4.6053318878544784,3.5084388169681624e-07
opus-4.8,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__oJJWMdT,ok,0.175203,0.17520277023658115,0.9973246794683553,4.392087947142156,2.2976341884639595e-07
opus-4.8,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__DHoxx8P,ok,1.0,0.99999991912398,0.9999999184836547,2.4468378284721883e-05,8.087601999218208e-08
opus-4.8,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__DKjcUBm,ok,0.99999,0.999990399189052,0.9999903231758893,0.00026659331781695697,3.9918905192504184e-07
opus-4.8,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__ki5xSiS,ok,0.999969,0.9999691476233307,0.9999689033536812,0.0004779028418491581,1.4762333067075417e-07
opus-4.8,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__7JbyPGi,ok,0.729896,0.7298955002299462,0.9996457540069795,1.9067858128977315,4.997700537856531e-07
opus-4.8,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__BkbZRCN,ok,0.98446,0.9844595910635157,0.9999796185269022,0.45736952497268984,4.089364843418153e-07
opus-4.8,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__RmMPwgK,ok,0.998732,0.9987320857810255,0.9999983371119995,0.13064143388098792,8.578102550504951e-08
opus-4.8,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__GQmb4zT,ok,0.999997,0.9999966249703285,0.9999999997181627,9.044285811739535e-06,3.7502967153990596e-07
opus-4.8,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__ZGL72i4,ok,0.914361,0.9143611440497449,0.9999928485875563,0.0014406912184880603,1.4404974491011302e-07
opus-4.8,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__sdU6FGe,ok,0.987909,0.9879086477347171,0.9999989902918939,0.0005413434887975426,3.522652829435202e-07
opus-4.8,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__THxCHG3,ok,0.999988,0.999988350552073,0.9999991028868348,0.001860767534669833,3.505520730362477e-07
opus-4.8,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__bDe4uCo,ok,0.999898,0.9998977757484278,0.9999921278053294,0.005512091494699777,2.2425157220062886e-07
opus-4.8,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__vyHEX3G,ok,0.999988,0.9999883506237586,0.9999991028923553,0.0018607618094971167,3.506237585826355e-07
opus-4.8,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__M8nTc6J,ok,1.0,1.0,1.0,9.119919941776283e-17,0.0
opus-4.8,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__MsTVyG4,ok,0.999676,0.9996759678412274,0.9999963387241024,0.0015748322318743825,3.215877264484135e-08
opus-4.8,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__QtEcjLc,ok,0.999886,0.9998859408862608,0.9999987112332134,0.0009343406288801969,5.911373923694896e-08
opus-4.8,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__HX9qX5S,ok,1.0,1.0,1.0,8.62122313907906e-17,0.0
opus-4.8,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__TCu938D,ok,0.998274,0.9982741939144288,0.9999965429439165,0.0007125976994814735,1.9391442884764132e-07
opus-4.8,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__dgHDjNf,ok,0.874217,0.8742169985865654,0.9997480372251133,0.006083582398849956,1.413434591590601e-09
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__BW5ALLs,ok,0.976731,0.9767308512915279,0.9999994074675889,0.0013482223325431534,1.487084720919185e-07
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__PZFRgg4,ok,0.94435,0.9443499812879709,0.9999985829116406,0.0020849897606542464,1.8712029148382214e-08
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__taeuyvZ,ok,0.976731,0.9767308442996326,0.9999994074674108,0.001348222535099526,1.5570036737688753e-07
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__NhTZTbj,ok,0.999952,0.9999524906382922,0.9999924574689245,5.6008773490760045e-05,4.906382922165164e-07
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__bE3Dh2N,ok,0.999864,0.999864075284516,0.9999784207500666,9.473613897515648e-05,7.528451606564346e-08
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__hvaHRZB,ok,0.999909,0.9999091897225304,0.9999855830658386,7.743440504339474e-05,1.8972253035265396e-07
opus-4.8,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__DUbZdhS,ok,1.0,0.9999999985406316,0.99999999999999,1.1635422111935169e-05,1.45936840389993e-09
opus-4.8,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__SC8wMBg,ok,0.999971,0.999970998816445,0.9999999998004662,0.0016402405412775441,1.1835550317584875e-09
opus-4.8,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__azMtrMK,ok,0.999954,0.9999544257421001,0.9999999996864402,0.0020561722033620384,4.2574210012968905e-07
opus-4.8,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__Az4aRDn,ok,0.999101,0.9991012082302467,0.9999996702087738,0.0001733612668370015,2.0823024671212664e-07
opus-4.8,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__b53apdn,ok,0.975991,0.9759905981047426,0.9999911902952853,0.0008960107065769993,4.018952574069701e-07
