model,task,trial,job,status,raw_r2,clipped_r2,uses_interpolator,uses_poly_fit,n_numeric_literals,law_bytes,cost_usd,n_output_tokens
opus-4.8,SRBench0728_PopulationEcology_009_gen5,SRBench0728_PopulationEcology_00__oJJWMdT,b828_opus48,scored,0.175203,0.175203,False,False,5,2295,3.896597250000001,66893
haiku-4.5,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__CvPtLN3,b828_haiku45,scored,1.0,1.0,False,False,32,1783,0.28909155,9080
haiku-4.5,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__pm889Qk,b828_haiku45,scored,0.732238,0.732238,False,False,5,714,0.19498385000000004,7181
haiku-4.5,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__wcLgNsM,b828_haiku45,scored,0.986781,0.986781,False,False,11,1473,0.22878769999999995,9896
opus-4.8,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__DHoxx8P,b828_opus48,scored,1.0,1.0,False,False,18,1582,1.3726162500000003,25384
opus-4.8,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__DKjcUBm,b828_opus48,scored,0.99999,0.99999,False,False,13,1262,1.4814737500000001,27318
opus-4.8,SRBench0826_ai_scaling_u_shape_000,SRBench0826_ai_scaling_u_shape_0__ki5xSiS,b828_opus48,scored,0.999969,0.999969,False,False,12,1357,1.3409512499999998,25116
haiku-4.5,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__KeCmeyz,b828_haiku45,scored,-2.014092,-1.0,False,False,8,1077,0.11945460000000002,9110
haiku-4.5,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__bQww7kf,b828_haiku45,scored,0.111109,0.111109,False,False,14,735,0.14552135,11129
haiku-4.5,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__f56xbry,b828_haiku45,scored,0.152204,0.152204,False,False,12,927,0.12000915,10068
opus-4.8,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__7JbyPGi,b828_opus48,scored,0.729896,0.729896,False,False,8,2921,3.2810565,66501
opus-4.8,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__BkbZRCN,b828_opus48,scored,0.98446,0.98446,False,False,3,1802,2.82246875,56472
opus-4.8,SRBench0826_m2_cell_biology_and_signaling_0_000,SRBench0826_m2_cell_biology_and__RmMPwgK,b828_opus48,scored,0.998732,0.998732,False,False,6,1936,3.1776815000000003,61688
haiku-4.5,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__EvoANzP,b828_haiku45,scored,0.974199,0.974199,False,False,20,1214,0.12002689999999999,11010
haiku-4.5,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__cAXyyEN,b828_haiku45,scored,-0.665576,-0.665576,False,False,16,1406,0.16770264999999998,15817
haiku-4.5,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__zTDGDHr,b828_haiku45,scored,-0.079559,-0.079559,False,False,7,1064,0.12413565,10714
opus-4.8,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__GQmb4zT,b828_opus48,scored,0.999997,0.999997,False,False,7,1793,1.56160075,33459
opus-4.8,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__ZGL72i4,b828_opus48,scored,0.914361,0.914361,False,False,5,1790,2.4279430000000004,49142
opus-4.8,SRBench0826_m2_classical_mechanics_0_001,SRBench0826_m2_classical_mechani__sdU6FGe,b828_opus48,scored,0.987909,0.987909,False,False,5,1974,2.9131302500000005,55914
haiku-4.5,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__RdiyEtt,b828_haiku45,scored,-0.34638,-0.34638,False,False,8,1618,0.190635,16738
haiku-4.5,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__VsH6nxp,b828_haiku45,scored,0.813978,0.813978,False,False,10,1526,0.31227875,22133
haiku-4.5,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__wsT32iF,b828_haiku45,scored,0.887143,0.887143,False,False,2,858,0.1499635,12694
opus-4.8,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__THxCHG3,b828_opus48,scored,0.999988,0.999988,False,False,6,2345,5.914653749999999,108118
opus-4.8,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__bDe4uCo,b828_opus48,scored,0.999898,0.999898,False,False,8,1852,5.806005999999999,92206
opus-4.8,SRBench0826_m2_classical_mechanics_0_006,SRBench0826_m2_classical_mechani__vyHEX3G,b828_opus48,scored,0.999988,0.999988,False,False,9,2761,4.653795249999998,82465
haiku-4.5,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__aQVwL54,b828_haiku45,scored,0.999636,0.999636,False,False,17,1153,0.15560325000000003,13045
haiku-4.5,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__eF9tzff,b828_haiku45,scored,0.973401,0.973401,False,False,17,1371,0.32745799999999997,26497
haiku-4.5,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__eG29iDY,b828_haiku45,scored,0.707009,0.707009,False,False,17,1181,0.19340675000000002,15919
opus-4.8,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__M8nTc6J,b828_opus48,scored,1.0,1.0,False,False,0,970,3.48069225,59869
opus-4.8,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__MsTVyG4,b828_opus48,scored,0.999676,0.999676,False,False,21,3871,3.9079144999999995,66648
opus-4.8,SRBench0826_m2_classical_mechanics_0_009,SRBench0826_m2_classical_mechani__QtEcjLc,b828_opus48,scored,0.999886,0.999886,False,False,8,2562,5.437118250000001,87753
haiku-4.5,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__RB56yrc,b828_haiku45,scored,0.843557,0.843557,False,False,10,1360,0.11472270000000001,8205
haiku-4.5,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__W3tbNuv,b828_haiku45,scored,0.936836,0.936836,False,False,10,1135,0.1378098,10656
haiku-4.5,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__Yjqwp63,b828_haiku45,scored,0.995159,0.995159,False,False,6,860,0.1356002,11748
opus-4.8,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__HX9qX5S,b828_opus48,scored,1.0,1.0,False,False,0,2278,2.5115935,48258
opus-4.8,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__TCu938D,b828_opus48,scored,0.998274,0.998274,False,False,16,2211,2.7909474999999992,54065
opus-4.8,SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,SRBench0826_m2_enzyme_kinetics_a__dgHDjNf,b828_opus48,scored,0.874217,0.874217,False,False,3,1484,2.9078375,54993
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__BXHGzww,b828_haiku45,scored,-5.126153,-1.0,False,False,12,1115,0.20431305000000002,18190
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__eogZqDK,b828_haiku45,scored,-457.434047,-1.0,False,False,8,1231,0.19588905,16124
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__utu3mDy,b828_haiku45,scored,-14.997827,-1.0,False,False,10,1058,0.4624306499999999,20485
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__BW5ALLs,b828_opus48,scored,0.976731,0.976731,False,False,6,2377,8.961324000000003,151164
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__PZFRgg4,b828_opus48,scored,0.94435,0.94435,False,False,9,2733,4.4731105,84272
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,SRBench0826_m2_epidemiology_and__taeuyvZ,b828_opus48,scored,0.976731,0.976731,False,False,13,2464,5.149929,91281
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__LD9FTL6,b828_haiku45,scored,0.910735,0.910735,False,False,22,2022,0.3156032,6905
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__YE4VwKc,b828_haiku45,scored,0.971966,0.971966,False,False,8,1549,0.2912548000000001,22098
haiku-4.5,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__i33P9ot,b828_haiku45,scored,0.978358,0.978358,False,False,8,1555,0.14365120000000003,11475
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__NhTZTbj,b828_opus48,scored,0.999952,0.999952,False,False,7,2088,2.8490397499999993,51897
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__bE3Dh2N,b828_opus48,scored,0.999864,0.999864,False,False,8,2236,4.553728250000001,82437
opus-4.8,SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,SRBench0826_m2_epidemiology_and__hvaHRZB,b828_opus48,scored,0.999909,0.999909,False,False,6,2546,5.23090925,89859
haiku-4.5,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__UzW6ggx,b828_haiku45,scored,-63.624558,-1.0,False,False,8,878,0.0866032,6372
haiku-4.5,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__VqXvKWY,b828_haiku45,scored,0.925741,0.925741,False,False,12,873,0.12128850000000001,10340
haiku-4.5,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__iqjTRT8,b828_haiku45,scored,-31.044664,-1.0,False,False,9,1445,0.17771315000000001,15596
opus-4.8,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__DUbZdhS,b828_opus48,scored,1.0,1.0,False,False,20,2979,4.473756749999999,81941
opus-4.8,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__SC8wMBg,b828_opus48,scored,0.999971,0.999971,False,False,8,2331,7.28050775,129614
opus-4.8,SRBench0826_m2_nuclear_and_particle_physics_0_001,SRBench0826_m2_nuclear_and_parti__azMtrMK,b828_opus48,scored,0.999954,0.999954,False,False,12,3010,5.883242,113865
haiku-4.5,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__P7RqxSU,b828_haiku45,scored,0.198154,0.198154,False,False,10,1065,0.10877655,8751
haiku-4.5,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__rNh2w5E,b828_haiku45,scored,-0.242284,-0.242284,False,False,15,2051,0.11172015,7712
haiku-4.5,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__vekE4bi,b828_haiku45,scored,-0.215638,-0.215638,False,False,14,869,0.11675139999999999,9468
opus-4.8,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__Az4aRDn,b828_opus48,scored,0.999101,0.999101,False,False,27,3074,3.2723340000000007,64441
opus-4.8,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__b53apdn,b828_opus48,scored,0.975991,0.975991,False,False,12,3153,3.2367127500000006,61470
opus-4.8,SRBench0826_m2_physiology_and_homeostasis_0_004,SRBench0826_m2_physiology_and_ho__mqjgxS2,b828_opus48,scored,0.999101,0.999101,False,False,21,2857,3.6212637500000002,70817
haiku-4.5,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__38hqTmX,b828_haiku45,scored,0.988999,0.988999,False,False,12,1559,0.14110689999999998,12206
haiku-4.5,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__3tnXTAi,b828_haiku45,scored,0.856396,0.856396,False,False,15,1771,0.1353438,10997
haiku-4.5,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__5YTWQ9s,b828_haiku45,scored,0.991639,0.991639,False,False,10,1515,0.15259895,13402
opus-4.8,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__2PuMya9,b828_opus48,scored,0.999949,0.999949,False,False,6,1402,0.6426915,12019
opus-4.8,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__NmY9dcn,b828_opus48,scored,0.999949,0.999949,False,False,5,1311,0.9086005000000001,17363
opus-4.8,SRBench0826_m2_population_ecology_0_002,SRBench0826_m2_population_ecolog__tr8X7vd,b828_opus48,scored,0.999949,0.999949,False,False,10,1480,0.51612975,9344
haiku-4.5,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__HgHwMKt,b828_haiku45,scored,0.996391,0.996391,False,False,10,1554,0.12526855,9822
haiku-4.5,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__hLmCK3s,b828_haiku45,scored,-43.285012,-1.0,False,False,7,1026,0.08910675,7315
haiku-4.5,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__sHuUfNv,b828_haiku45,scored,0.996399,0.996399,False,False,11,1385,0.13776335,11094
opus-4.8,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__7fv6NYv,b828_opus48,scored,0.999975,0.999975,False,False,20,2426,3.277022250000001,63674
opus-4.8,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__AjJqJ3D,b828_opus48,scored,0.999974,0.999974,False,False,58,2882,2.712465000000001,54990
opus-4.8,SRBench0826_m2_population_ecology_0_004,SRBench0826_m2_population_ecolog__fj9L4XC,b828_opus48,scored,0.971017,0.971017,False,False,6,1438,2.19238925,42930
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__3W7XwaD,b828_haiku45,scored,-243.895709,-1.0,False,False,5,872,0.1309046,10379
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__Xyz7DRF,b828_haiku45,scored,-65.210639,-1.0,False,False,12,1122,0.13601645,11266
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__odzwKv4,b828_haiku45,scored,-29.009738,-1.0,False,False,13,1149,0.14253514999999997,9392
opus-4.8,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__cTbQQe2,b828_opus48,scored,1.0,1.0,False,False,0,641,0.37858299999999995,6003
opus-4.8,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__py9zGhJ,b828_opus48,scored,1.0,1.0,False,False,0,874,0.33272375,5481
opus-4.8,SRBench0826_m2_quantum_mechanics_0_003,SRBench0826_m2_quantum_mechanics__ygP5hxC,b828_opus48,scored,1.0,1.0,False,False,0,1648,0.7555674999999998,13426
haiku-4.5,SRBench0826_m2_quantum_mechanics_0_007,SRBench0826_m2_quantum_mechanics__2wB6gLb,b828_haiku45,scored,1.0,1.0,False,False,0,707,0.17336929999999998,14516
