task,artifact_risk,holdout_kind,var_ratio,best_dumb_baseline_r2,opus-4.8_n,opus-4.8_median_clipped,opus-4.8_best_clipped,opus-4.8_median_raw,opus-4.8_worst_raw,opus-4.8_cost_usd,opus-4.8_any_interpolator,haiku-4.5_n,haiku-4.5_median_clipped,haiku-4.5_best_clipped,haiku-4.5_median_raw,haiku-4.5_worst_raw,haiku-4.5_cost_usd,haiku-4.5_any_interpolator,winner,margin
SRBench0728_PopulationEcology_009_gen5,high,extrapolation,0.0032436099869201022,0.5400243463743624,3,0.175203,0.218123,0.175203,0.093168,12.494139250000003,False,3,-1.0,0.20682,-13.971625,-18.434553,0.5580559500000001,False,opus,1.175203
SRBench0826_ai_scaling_u_shape_000,high,mixed,1.0079173689630354,0.9999986114635772,3,0.99999,1.0,0.99999,0.999969,4.19504125,False,3,0.986781,1.0,0.986781,0.732238,0.7128631,False,opus,0.013209000000000026
SRBench0826_m2_cell_biology_and_signaling_0_000,high,extrapolation,0.0013115145927670214,-3.654122520387374,3,0.98446,0.998732,0.98446,0.729896,9.28120675,False,3,0.111109,0.152204,0.111109,-2.014092,0.3849851,False,opus,0.873351
SRBench0826_m2_classical_mechanics_0_001,high,extrapolation,8.350663217418267e-05,0.8296838870660058,3,0.987909,0.999997,0.987909,0.914361,6.902674000000001,False,3,-0.079559,0.974199,-0.079559,-0.665576,0.4118652,False,opus,1.067468
SRBench0826_m2_classical_mechanics_0_006,none,extrapolation,0.07700907122800095,0.9592455600193437,3,0.999988,0.999988,0.999988,0.999898,16.374454999999998,False,3,0.813978,0.887143,0.813978,-0.34638,0.6528772500000001,False,opus,0.18601
SRBench0826_m2_classical_mechanics_0_009,none,extrapolation,0.01129911275308687,0.9771998113065432,3,0.999886,1.0,0.999886,0.999676,12.825725,False,3,0.973401,0.999636,0.973401,0.707009,0.6764680000000001,False,opus,0.026485000000000092
SRBench0826_m2_enzyme_kinetics_and_biochemistry_0_005,high,extrapolation,0.002003154417173712,0.9973672972887141,3,0.998274,1.0,0.998274,0.874217,8.2103785,False,3,0.936836,0.995159,0.936836,0.843557,0.38813270000000005,False,opus,0.06143799999999999
SRBench0826_m2_epidemiology_and_disease_dynamics_0_000,high,extrapolation,2.5464292595969777e-05,0.22168830423845598,3,0.976731,0.976731,0.976731,0.94435,18.584363500000002,False,3,-1.0,-1.0,-14.997827,-457.434047,0.86263275,False,opus,1.976731
SRBench0826_m2_epidemiology_and_disease_dynamics_0_005,high,extrapolation,0.1587588383505649,-0.018990267398410143,3,0.999909,0.999952,0.999909,0.999864,12.63367725,False,3,0.971966,0.978358,0.971966,0.910735,0.7505092000000002,False,opus,0.02794300000000005
SRBench0826_m2_nuclear_and_particle_physics_0_001,high,extrapolation,6.880196056696096e-06,-3.6182317226490346,3,0.999971,1.0,0.999971,0.999954,17.637506499999997,False,3,-1.0,0.925741,-31.044664,-63.624558,0.38560485,False,opus,1.999971
SRBench0826_m2_physiology_and_homeostasis_0_004,high,extrapolation,0.00036692728761679536,-0.24223852561151316,3,0.999101,0.999101,0.999101,0.975991,10.130310500000002,False,3,-0.215638,0.198154,-0.215638,-0.242284,0.3372481,False,opus,1.214739
SRBench0826_m2_population_ecology_0_002,none,extrapolation,1.959416460719709,0.8563955702043494,3,0.999949,0.999949,0.999949,0.999949,2.0674217500000003,False,3,0.988999,0.991639,0.988999,0.856396,0.42904964999999995,False,opus,0.010950000000000015
SRBench0826_m2_population_ecology_0_004,high,extrapolation,0.001628328997390238,0.9903314696063076,3,0.999974,0.999975,0.999974,0.971017,8.181876500000001,False,3,0.996391,0.996399,0.996391,-43.285012,0.35213865,False,opus,0.003583000000000003
SRBench0826_m2_quantum_mechanics_0_003,high,extrapolation,3.282983399068922e-05,0.17821161720179213,3,1.0,1.0,1.0,1.0,1.4668742499999996,False,3,-1.0,-1.0,-65.210639,-243.895709,0.40945619999999994,False,opus,2.0
SRBench0826_m2_quantum_mechanics_0_007,high,extrapolation,0.0004213060052894145,0.999366414550977,3,1.0,1.0,1.0,1.0,1.8883485000000002,False,3,0.94158,1.0,0.94158,-2.763734,0.6395720999999999,False,opus,0.05842000000000003
