r,q,T,n_ext,phi,phi_noisy
1.529077779417779892e+00,1.937350598661567336e+00,6.429986924672538295e-01,8.066514315595851858e-01,6.091611081776393544e-01,6.007172999461123375e-01
9.711296421206090379e-01,7.887301725796111995e-01,1.829773490359130284e+00,1.926343841949697433e+00,5.949544651908915682e-01,5.992273251408637424e-01
4.855641983437436693e+00,9.589136393822468296e-01,1.929998785220780944e+00,4.317792035610268364e-01,3.841491947090995562e-02,4.276135809136123039e-02
2.677129210629817901e+00,1.397990626456074192e+00,5.838356651859464286e-01,3.906758312071469952e-01,1.589842670460623331e-01,2.013410421470833156e-01
7.561549398596976168e-01,1.891673047479808023e+00,6.488356719068300027e-01,3.454665703865293924e-01,1.699177279204636015e+00,1.676936863950790446e+00
3.192750826580001977e+00,1.853654072908987205e+00,1.186488656588434942e+00,1.937660674555608642e+00,2.001552480100727560e-01,1.926031478675327979e-01
3.928078948843030105e+00,1.759963961921112929e+00,1.662397818478354328e+00,1.704472963851327627e+00,1.359374640094737352e-01,1.767928961593203396e-01
3.142415845054594481e+00,2.893150782546805022e+00,1.424042474783123957e+00,2.386358001119466277e-01,2.695562571528188345e-01,2.824903170768557903e-01
4.603028982996332452e+00,1.773352732359552597e+00,9.975804507405122701e-01,1.968046980838913163e+00,8.929286640602349112e-02,1.025541338535487235e-01
3.900458079881737317e-01,2.332740343784245329e+00,1.395261735928787328e+00,1.366227108213681207e+00,6.694409647102238736e+00,6.684129519668489117e+00
2.737228463648103904e+00,1.335749426472620405e+00,1.696943614603105610e+00,1.577472714287145195e+00,1.967213619628178090e-01,1.637598585457047395e-01
2.404812237849938139e+00,2.360834179686754020e+00,1.882248091908226506e+00,1.473317578697422414e+00,4.410957020831247632e-01,4.444449969675796086e-01
4.992779799194028700e-01,2.369726558485003132e+00,7.074863961734825235e-01,1.668108673108128492e+00,5.217342156767723615e+00,5.219522438524154317e+00
3.278375211868999717e+00,2.173913434628542696e+00,1.764530624656492241e+00,1.379194847130629231e+00,2.283801756704978425e-01,2.038331345856063681e-01
4.292637624707152710e+00,2.385739372496924027e+00,1.471865504752777332e+00,8.778290095342464738e-01,1.300012297529507255e-01,1.163366965173394801e-01
3.046116886900563259e+00,1.930891739709546417e+00,1.304455784884323899e+00,7.843558169765110222e-01,2.017048311458195520e-01,2.002639575512749903e-01
1.448467749138671268e+00,2.639098938140126194e+00,1.161165448012292156e+00,9.728000814290518328e-01,9.727142781467547072e-01,9.538192456855391077e-01
4.231431300950761809e+00,2.581334836866432614e+00,1.266206765521427302e+00,1.164753166550183128e+00,1.467702891697101886e-01,1.448048898126658435e-01
2.645580231303245267e+00,7.409744347478065540e-01,1.188087531846503841e+00,8.258666676289709851e-01,9.862824484057522434e-02,1.005379053899643077e-01
2.652266645439358417e+00,1.620889468390356747e+00,1.506036046211077339e+00,6.035620740982539090e-02,2.059057976397726253e-01,2.066175223808823513e-01
3.814544996970453905e+00,8.016801609971244691e-01,1.868047110295495861e+00,3.092814339902600906e-01,5.345333661676810594e-02,4.332750345048180796e-02
9.100257717677915359e-01,2.876347598229267444e+00,8.553234015960844427e-01,9.058839413630299653e-01,2.181189122603386377e+00,2.193064084039102912e+00
4.134208251772529152e+00,1.587227990697596791e+00,5.030965738461525838e-01,1.593707943296493790e+00,7.685690926193738948e-02,9.468024834758395625e-02
3.479777148815634380e+00,1.050195795251958497e+00,5.386370706949301645e-01,7.727664145352224345e-01,6.663663923661969357e-02,7.305360532795096562e-02
3.978065319463044869e+00,2.594071354306420218e+00,1.867544939490101585e+00,1.727657456955242088e+00,2.032766531733553317e-01,1.869120486255491931e-01
1.119758043296649186e+00,7.180403989905723705e-01,1.893249049221742641e+00,1.834532067430223012e+00,4.430696203140931932e-01,4.577026659898020267e-01
4.051347973445744266e+00,8.852173716147213600e-01,1.812723501318662001e+00,1.619767622819263675e-01,4.946966326008426368e-02,3.944086289074321544e-02
1.118354845074561288e+00,2.197074841873842388e+00,1.373709683616489041e+00,1.446168635633807709e+00,1.307743167546841168e+00,1.325326379912600938e+00
5.914525633448610709e-01,1.768558307222060755e+00,1.377817842859274444e+00,1.906379475912855392e+00,2.731171793517318758e+00,2.709736045179770070e+00
4.305089476577936836e+00,1.168236665678952235e+00,1.105865413695964028e+00,5.963422813202619022e-01,5.380465434936897162e-02,7.209399841194459591e-02
4.334160781652808048e+00,1.940699423155447079e+00,1.006729536381518741e+00,8.912101847671398680e-01,9.204648030609632881e-02,9.164521121378671475e-02
4.407378062799586438e+00,1.018459184528829109e+00,1.899834292434559480e+00,9.221406039560275936e-01,5.673474486990814913e-02,3.175976706321984033e-02
2.465166652922193169e+00,1.273089027243369031e+00,1.295508088848026151e+00,8.983215983374452929e-01,1.953473572769449940e-01,1.890693678376080267e-01
1.515432265345847629e+00,2.027651535352236856e+00,9.128140341517442247e-01,1.655928649761331029e+00,7.175308702395917226e-01,7.186129158150226237e-01
2.340407772951980658e-01,2.707330386975446146e+00,1.485839574728271550e+00,1.841450955359025921e+00,1.786363208474331543e+01,1.786908791152660569e+01
3.299460298759749666e+00,2.257945681934776516e+00,6.374898538839085527e-01,1.675068358650918521e+00,1.974839720681734467e-01,1.778402095693538965e-01
3.655565040841726621e+00,2.108069460355574520e+00,1.525532817449923195e+00,2.575668097071075469e-01,1.453202358481418266e-01,1.231727749048379672e-01
4.210732239201315785e+00,2.366617842679215045e+00,9.086175275386577654e-01,1.785624760999267480e+00,1.370319813218264515e-01,1.410236719787680559e-01
1.553013571349802113e+00,1.445939451579709711e+00,1.541171540933631956e+00,1.373615035147342622e+00,5.145023449246306502e-01,5.051673525870346015e-01
1.233047202382273166e+00,2.952445150509682925e+00,1.222891639437593714e+00,1.872518271703530468e+00,1.598628509828011079e+00,1.603338622062615570e+00
3.268790624319621863e+00,2.028150450019834850e+00,1.791775334574699619e+00,7.857235141147269619e-01,1.967088268021250919e-01,2.118992172516926675e-01
4.064263199096046719e+00,1.143903188779014535e+00,1.634932073673911246e+00,6.113645616316873976e-01,6.849151297694876239e-02,3.551576564992979523e-02
4.825620189655860592e+00,5.899131196246361064e-01,1.974890734687655414e+00,6.794012596652732050e-01,2.586157925297134785e-02,3.094934158332369317e-02
9.225191860216519490e-01,7.793889632397303924e-01,1.371008129417970123e+00,7.637437095437449308e-01,5.423450398989482224e-01,5.668379792496628378e-01
2.514619463356815299e+00,9.962728790369765886e-01,1.739321927010719193e+00,1.767088847906528093e+00,1.748573141029730604e-01,1.689067772155636027e-01
4.494636138541633130e+00,2.335931597525435777e+00,1.488070688824431498e+00,9.692731867052817307e-01,1.174489009561514308e-01,1.012326092914000303e-01
2.229041153338099157e+00,2.536302911181536057e+00,1.605104280410874606e+00,5.761728026141939019e-01,4.615269529932459758e-01,4.765718295368378543e-01
3.029609898003430946e+00,2.813632112621938575e+00,1.843159989130166210e+00,1.541710793373831878e+00,3.541441582304869495e-01,3.592130885546497843e-01
3.175552519681433816e-01,2.107275587943922890e+00,9.693901114924821094e-01,9.773595499565401745e-02,7.558565852853083911e+00,7.576483514268635311e+00
3.432607458334107076e+00,1.243192474938776604e+00,1.694261395700952022e+00,6.949373098841653551e-01,1.071825477871529708e-01,1.002782335861273771e-01
4.611625374242348308e+00,2.597172723358721402e+00,1.890256830733922921e+00,1.582645685204149499e+00,1.486123879107091039e-01,1.189760224362648722e-01
4.168761581872260535e+00,2.883675424709502444e+00,1.983521667746267481e+00,1.216880736169709154e+00,1.925345204988904990e-01,1.903343052046654882e-01
4.450497280207744488e+00,2.242259600093958305e+00,7.187270732072745805e-01,7.253648322555010797e-01,7.941132552367047293e-02,7.049476246344582586e-02
3.369705826498512025e+00,6.808950999270170223e-01,9.218422727285018325e-01,5.508027787864846481e-01,5.278038352065581029e-02,6.828685996160729910e-02
1.378650882767252339e+00,1.527454941954923484e+00,1.137018309973231833e+00,1.834500785306454329e-01,5.533022127682096780e-01,5.571748697357528091e-01
3.888881594702020994e+00,1.122359074520745237e+00,1.071273755905415515e+00,4.881476642489723794e-02,5.412257840516045831e-02,2.150559375645843402e-02
1.216038764516050419e+00,2.848151279714927764e+00,1.906203704189629811e+00,4.015103928812977507e-01,1.373628081914914922e+00,1.349724820312850904e+00
4.190119206389413264e+00,2.527808477815178367e+00,5.376930260863755917e-01,9.775602954201449979e-01,1.006676951872742670e-01,1.183434759190193780e-01
5.010460283396875880e-01,6.748177803255318574e-01,1.844731974719103107e+00,9.144357437165631097e-01,1.121792049568145044e+00,1.135387349916501920e+00
4.162341504289067906e+00,2.023579825804652899e+00,6.272945538980330138e-01,1.058552413761451039e+00,9.194491350110560457e-02,7.914004618293582483e-02
9.896348790756861469e-01,2.962868957792944791e+00,1.906317546774806804e+00,4.987019958085614491e-02,1.860907261736624463e+00,1.860886285805278817e+00
2.000705583183880698e+00,1.809515317549500679e+00,1.881943987447856959e+00,8.768790918095503706e-01,4.193267423907415248e-01,4.282382134662652273e-01
1.720343199473428619e+00,2.723603360666704276e+00,1.223416728860498681e+00,1.474038035105088351e+00,8.157287472592098521e-01,8.250968339761554082e-01
3.518417769333157974e+00,2.530826693031547059e+00,7.613013694729945380e-01,1.499735827257582921e+00,1.973363390266043016e-01,2.148611829488913105e-01
1.057145015236985230e+00,1.678843497164999699e+00,7.872180727580391224e-01,1.115883869816600926e+00,9.649388864912827879e-01,9.700685990357140742e-01
2.102029578641535057e+00,1.605020990980536855e+00,8.891184550251871599e-01,1.409340610277213468e+00,3.211336995189436050e-01,3.192371327395736591e-01
2.279580565183085550e-01,9.041279693796928640e-01,1.773376011900033911e+00,1.894313803780023342e-02,4.015288743939625427e+00,4.010111782643868139e+00
1.459974621200487155e+00,1.386173925283359143e+00,1.311123785836207034e+00,6.727821927044332906e-01,4.846623468390513501e-01,5.057772028497163896e-01
2.221706308298985189e+00,9.784166891449572745e-01,1.812236914008626076e+00,1.024509548167912287e+00,1.923307932852214575e-01,1.473137077836507158e-01
7.084219361951573646e-01,2.614268959629443945e+00,1.631977974885962412e+00,1.841752434844282194e+00,3.280294003686716309e+00,3.277520897184889481e+00
3.239167740975477550e+00,2.008508177983053145e+00,1.951555821246036437e+00,5.148234567504237358e-01,1.935105929813731862e-01,1.941705950610543852e-01
2.026036495455355357e+00,2.840605678371170839e+00,1.492065404191216915e+00,5.849858003101313653e-01,6.013042800762677942e-01,5.727973008588640447e-01
3.681410902765946513e+00,1.525885543812812051e+00,7.550665635145239474e-01,8.810294710921939831e-01,9.758131529284107264e-02,1.042375875556020015e-01
3.338556853128292978e+00,2.254273302196332374e+00,1.320408487067080694e+00,1.369572442685865754e+00,2.139150284546880165e-01,2.008894082058201302e-01
2.269888394131549969e+00,2.582875465073221299e+00,1.608925772438134505e+00,1.157113303195881349e+00,4.921078497750068226e-01,5.093567457013217226e-01
4.363138427082556170e+00,5.321932008900632782e-01,1.036856646622569933e+00,1.501797460685023733e+00,2.829293659112052522e-02,2.578109491043398260e-02
3.234248564000802073e+00,1.307134858850230286e+00,1.999666202670193904e+00,5.526749146311886740e-01,1.274809721702006016e-01,1.408640369859896491e-01
4.089316890110235470e+00,1.590574479383223716e+00,8.258941455389631203e-01,1.604491722954446642e+00,9.311278705079445439e-02,1.174896591542189117e-01
1.840614674912542270e+00,2.821508610061453926e+00,1.889945603093344806e+00,1.820438493596184371e+00,8.622823077227144140e-01,8.699408993769838228e-01
2.809612590408586907e+00,2.676222141983684910e+00,1.234900687241360373e+00,1.079439756562186714e+00,3.324313134790043422e-01,3.149168906105474508e-01
1.142225048550816302e+00,7.112706068719552022e-01,1.767162219399502243e+00,5.393712072782799183e-01,3.651136677356785487e-01,3.348272951015857646e-01
4.981477712569414074e+00,2.888647792540043113e+00,1.299278053659288723e+00,1.690544298726904815e+00,1.269213104180628715e-01,1.619889927683903219e-01
1.367434228670370011e+00,2.067259522295398444e+00,1.325919471160582175e+00,1.249580783120187721e+00,8.717696442173367144e-01,8.695438003535863603e-01
1.432963842690093026e+00,6.798339351885436255e-01,1.560760252495997591e+00,1.726262288694469849e+00,2.814096711127759831e-01,2.676383721600895660e-01
5.513123474766367105e-01,2.225305622069109202e+00,1.286107589702048415e+00,8.438220478733038377e-01,3.610838653873876591e+00,3.613723795635093161e+00
1.437454971184335406e+00,2.638406575080891603e+00,1.172705334055248683e+00,1.322724811061656736e+00,1.030158190814554064e+00,1.026329964204901080e+00
3.863016956211455355e+00,1.147138208015963112e+00,6.781264615539193130e-01,6.513709424094460410e-02,4.150946170081019210e-02,5.855230698506394549e-02
3.549889139278790573e+00,1.306653893089553042e+00,1.509088579055108958e+00,5.090684402874239289e-01,1.001749278669772369e-01,1.008534915157192485e-01
8.176314191224132166e-01,1.194231724923508597e+00,1.940065121373989232e+00,6.124342843011467696e-01,1.028360011284600528e+00,1.028635002956968858e+00
2.005944806854852214e+00,2.256268493883606840e+00,1.913938814209303230e+00,1.845120814525835096e+00,6.002972948330987935e-01,5.860057004124394897e-01
2.220422694163822097e+00,2.295697927440047081e+00,5.704609899771438952e-01,1.373524573910804403e+00,4.024094987217331498e-01,4.118008606966830354e-01
3.391924382537411464e+00,2.435873076603664700e+00,1.155068239673321395e+00,9.222546010363252833e-02,1.775569171946020375e-01,1.568795827475023830e-01
2.388459022609994431e+00,2.802602828527105849e+00,1.393585230165496069e+00,1.116256357873711913e+00,4.744128155372187572e-01,4.877306043324980966e-01
3.015287968762550896e+00,9.545706214724067884e-01,6.481208286688699971e-01,8.697711732167661136e-01,9.199261099677885634e-02,1.224713612565814930e-01
4.230486097322923023e+00,2.270619829388647037e+00,1.565949419248927388e+00,1.523979678740400079e+00,1.449655749263020488e-01,1.144718541643190146e-01
3.687073329499378271e+00,2.114257473283235544e+00,1.150044504980867188e+00,4.271089569265231756e-01,1.378610499195468964e-01,8.853646529252054420e-02
1.952034864841082795e+00,1.156552705792579960e+00,6.947423944899795423e-01,6.675631702220317099e-01,2.457935230850684105e-01,2.581310981881548283e-01
2.352302284853524661e+00,2.938271203814824428e+00,8.189717086460326367e-01,3.407503036821564191e-01,4.533853930528858323e-01,5.043433493625483210e-01
1.964957934512031601e+00,1.692400562921495322e+00,5.275144959552688917e-01,1.538088388807387519e+00,3.630880093864630176e-01,3.430695124090251680e-01
7.267263872321443330e-01,2.872068689230545147e+00,8.451608136379423764e-01,8.922227275029750437e-01,3.164237926445841342e+00,3.139224011269801551e+00
1.175559411619503614e+00,2.929434482759155856e+00,1.550789219242603600e+00,4.338062396920641106e-01,1.459849493112523211e+00,1.471628871788132731e+00
1.562271146931829113e+00,2.750120239596576255e+00,1.240078614717562644e+00,8.660860330741477764e-01,8.952120451211896812e-01,8.783976133200235292e-01
1.707842698891050448e+00,1.648713399950233027e+00,8.506764469401272288e-01,9.660417158197163179e-01,4.438363530344312524e-01,4.337158433556965176e-01
1.702629722335700757e+00,1.199441975368805036e+00,8.791291695825819152e-01,1.777774011792664810e+00,3.479043000186347045e-01,3.409419506849591386e-01
2.968158638014169792e+00,1.964404848388399794e+00,1.209983305886112692e+00,4.872653891985097019e-01,2.061178692601548235e-01,2.167579109859907871e-01
4.864111882974822443e+00,1.623839582381596980e+00,1.599944090134980623e+00,1.361359795639880410e-01,5.286771810995467141e-02,4.476167088209229844e-02
3.918387847633913346e+00,1.670503954611430197e+00,1.967560989560038998e+00,4.961367894358692521e-01,1.106240690878416977e-01,1.161817258894449062e-01
3.997442951229465358e+00,1.110203359254822608e+00,1.248101405344739900e+00,1.123756747194140093e-01,5.502054652906584326e-02,5.148988135119433873e-02
3.844488802589983933e+00,2.605632688505708394e+00,1.164910132328689674e+00,8.442652738417799618e-02,1.376411089998718362e-01,1.207476869268397646e-01
3.065541106514031000e+00,2.326810233093203450e+00,1.068726545015224350e+00,6.862435521195993093e-01,2.305742686015592735e-01,2.241777434466948604e-01
4.604922834420380973e+00,2.663273994699683289e+00,1.732310884414218766e+00,1.472188376202686833e+00,1.459326249288905308e-01,1.269246316255321638e-01
3.510224746145988561e+00,1.828847064796319311e+00,1.364223258009809259e+00,1.531538515189962313e+00,1.623600112606579104e-01,1.624903109780528876e-01
2.601710867536980665e+00,7.316593291027085888e-01,1.873714388145600873e+00,1.761379436185479985e+00,1.232276193684158638e-01,1.007502948171031254e-01
5.700022808025859700e-01,2.655772348814120054e+00,1.322319171555189410e+00,1.672965969937204811e+00,4.575294582665883958e+00,4.553436695279978963e+00
2.544556290010514754e+00,6.731280040215308347e-01,7.983788759581338379e-01,1.798037335003742632e+00,9.861550001128796539e-02,1.277547363173930639e-01
1.221588777633604739e+00,8.862900237000832515e-01,6.576729449943239381e-01,3.904889356317740035e-01,3.807395230228549643e-01,3.796758386167481403e-01
8.369422282245788658e-01,2.860300325062463678e+00,1.307062520152665552e+00,3.600194185906038236e-01,2.358286248580140576e+00,2.357208208070699751e+00
2.629111628140990309e+00,1.903761935649332715e+00,7.859973824397428199e-01,3.965981614012004108e-02,2.245794638863522763e-01,2.348101922847046497e-01
3.968409404465403245e+00,2.187493525915977344e+00,1.547799041003406817e+00,8.157610638499488420e-01,1.412193621142698308e-01,1.328022220632923966e-01
1.616030925466493295e+00,2.552481667969558110e+00,1.674508917904026006e+00,9.429191333819806342e-01,8.311074987859935481e-01,8.265367914364304402e-01
3.890104447563999202e+00,2.161392839212799899e+00,1.666101592054284986e+00,3.456298282988758963e-01,1.354188013914670585e-01,1.439217760981052474e-01
2.723021711178819526e+00,1.609928220219329686e+00,1.109359050468160968e+00,1.950298148602151338e+00,2.277553965955961823e-01,2.334037134404842173e-01
9.154305121794201749e-01,1.857498544864521595e+00,1.326268647306290349e+00,7.676282301410477515e-01,1.359121962348051049e+00,1.335936027809402349e+00
4.831845171102731484e+00,1.496209484180672789e+00,8.399983409837238346e-01,7.672343345035386175e-01,4.611040076202136545e-02,6.277725269541460651e-02
2.127853874664884071e+00,1.942976062426472916e+00,1.278390221832273799e+00,7.861684073939081419e-01,3.778809069726198344e-01,3.660722081068389921e-01
1.617124427180939739e+00,5.055175767749304772e-01,1.725886217308505444e+00,3.345890872189616339e-01,1.490682372124808308e-01,1.279466582061971058e-01
4.265592179041902021e+00,1.770665240516855476e+00,1.458816206456189146e+00,1.185574991097125386e+00,1.031108579350168558e-01,8.510135653503582420e-02
7.974095960743032840e-01,5.595544564893552009e-01,1.500741088807575396e+00,2.354609384628547630e-01,4.507413363330440847e-01,4.429304294459376345e-01
3.721234213153776338e+00,7.741798720599392114e-01,1.934207553438605398e+00,1.894579090004428812e+00,7.114763942480198389e-02,1.036936445172633309e-01
1.101558764314247929e+00,2.615920686519082050e+00,9.301456105978700428e-01,9.454423122635420285e-01,1.453514640837827443e+00,1.430003922739411903e+00
2.083960524860395847e+00,2.148465293263617681e+00,1.474356109875542220e+00,1.189845959697165334e+00,4.649389300473215081e-01,4.681404478980083494e-01
1.313119416618264479e+00,9.554196770715877030e-01,1.826981797169308974e+00,7.183551371469782953e-01,4.124585042832398796e-01,3.697020171214283613e-01
4.237894364923457502e+00,2.368006313129574103e+00,9.982856928444652223e-01,6.714307343529100081e-01,1.115802644462427495e-01,1.115489257833388176e-01
2.072357849311336153e+00,1.689458173969606625e+00,5.756740204147076101e-01,1.970566412888029140e+00,3.427328058614111383e-01,3.607241342109313020e-01
4.878525501834988454e+00,8.371156899328222600e-01,9.422236818467886188e-01,2.237560674295104857e-01,1.955162301503038727e-02,1.481835657380128554e-02
3.201255125192512541e+00,2.824214237857579857e+00,9.347523124715888532e-01,2.762525645528732809e-01,2.333120163895348320e-01,2.207249179118679905e-01
3.529389606573992921e+00,7.820127462135041396e-01,9.308635564316876110e-01,1.060152938657174193e+00,5.960432293327235648e-02,6.423454421444310669e-02
2.703320586235604228e+00,5.493571450457299665e-01,1.288079607161450424e+00,3.837022019398488304e-01,6.826591931577324912e-02,8.226895433878625430e-02
1.683047355562837355e+00,1.141504321141487477e+00,1.343552916687076326e+00,1.318342152742935092e-02,3.051372271825855687e-01,3.184103786029336969e-01
2.098670821051658031e+00,7.171497673105837745e-01,1.077722363844343612e+00,1.232401075813290614e+00,1.443200096662268783e-01,1.837694867448227132e-01
4.716484100777128319e+00,5.418036464539226493e-01,9.829963785254308695e-01,6.436532319307852745e-03,1.232769135876996686e-02,1.651104080549550129e-02
1.165775363478389393e+00,2.133104691160552679e+00,1.285412443583459075e+00,1.266680616506348001e+00,1.153259630851639406e+00,1.141411428856580645e+00
4.943450725857019279e+00,8.299053474782293049e-01,1.595092856447579699e+00,6.139776036284529948e-01,3.123168594295134062e-02,2.871210214321848544e-02
3.839868137618328348e+00,1.909699610154969696e+00,5.487348287113593681e-01,1.232409047063849350e+00,1.066576406599419602e-01,1.052076697475457234e-01
1.926977247164529006e+00,1.106474572927716782e+00,1.738602661232219848e+00,1.154217407371032289e+00,2.772178317869836706e-01,2.793925794565460530e-01
3.279265229626896261e+00,2.851625339418774718e+00,6.986514360702068549e-01,1.852881725592076423e+00,2.614340539197627100e-01,2.608334976551739959e-01
2.028711388606819988e+00,1.039639970737014751e+00,1.859603532763228539e+00,4.907868471686080980e-01,2.216884875869644111e-01,2.251678063648884787e-01
2.031166076671615972e+00,1.801636815853929097e+00,1.239010209805958551e+00,1.848017784892349580e+00,4.252608387996780204e-01,3.918438375873757873e-01
2.618254160933742192e+00,2.337468144929141012e+00,1.346382860593594577e+00,1.067700174343723107e+00,3.328244354223362511e-01,3.494170145431371166e-01
2.802695438498100100e-01,1.277824796573689081e+00,1.971236176479721269e+00,3.169003721636975968e-05,4.494633580447088050e+00,4.483138795068667193e+00
2.569143487728301700e+00,2.579348475132487106e+00,1.845827405806208965e+00,7.971838453609785269e-01,3.883264251792108990e-01,3.648632512502704150e-01
4.863672384545062677e+00,1.284947380328522737e+00,1.167631176479994259e+00,1.155865716057871140e-01,3.344585977697066281e-02,4.620088296979937836e-02
1.570233098170776387e+00,1.469650159435256676e+00,8.034249880563364421e-01,1.392036468154107531e+00,4.638951901361182406e-01,4.902417102838398932e-01
3.791446203567738316e+00,1.575970706319345771e+00,1.393624911918054821e+00,1.428838470536103467e+00,1.195004867671806276e-01,1.293610497571694717e-01
2.325386672338376481e+00,1.547235304829512881e+00,5.602769181499603901e-01,6.016285986512859285e-01,2.406240443332263723e-01,2.438472306101367726e-01
1.204549004565370174e+00,2.019859136026036062e+00,6.006095680546285065e-01,4.776827357565287535e-01,9.083061808387384861e-01,8.896617747312994817e-01
4.544012339927022026e+00,1.065614028999577023e+00,8.394413259104174241e-01,8.691222614412137393e-01,4.100404640761681069e-02,9.843539316388678906e-02
2.807709664650223647e-01,1.323035276107408009e+00,1.126625272196653649e+00,1.216999390380374635e+00,5.447711905171218838e+00,5.465317077584448846e+00
1.656842847677651109e+00,1.072430078293787226e+00,1.540557677641186229e+00,2.617333756568944736e-01,3.000578300359346695e-01,2.772719366290751775e-01
4.995324235154900094e+00,1.192363121292228989e+00,6.483688644887057873e-01,4.860312696110140607e-01,2.181984313667540212e-02,6.227084811880511522e-03
1.458304621711949522e+00,2.406955815410013688e+00,1.782280717644406431e+00,1.680713115340126684e+00,1.023682151175294486e+00,1.025421736146732599e+00
4.275413704924505787e+00,2.073166884554670908e+00,1.174666542406561653e+00,9.929508437238772078e-01,1.092629803085482798e-01,7.816835766862856305e-02
3.107279113547380511e+00,2.906973256060086275e+00,7.908767635891928993e-01,5.838349394988853192e-01,2.623185567171131272e-01,2.656911648573234142e-01
4.068971396130192986e+00,2.875325101567620667e+00,1.796673789648260078e+00,5.413625735844607156e-02,1.535405844362568439e-01,1.443591533220016654e-01
3.225525226128695522e+00,1.012713617269597854e+00,1.536318338469919054e+00,5.091818142828044014e-01,9.412815806356303328e-02,1.186535700698873874e-01
1.940944913877672207e+00,1.024865089902863957e+00,1.789763028396701205e+00,1.269669902093302660e+00,2.591713322356033466e-01,2.784144255081683061e-01
