t,H,dH_dt,dH_dt_noisy
3.334074238719715755e+00,3.346750282025275913e-01,-4.135720658580935294e-03,-4.124793759341163595e-03
3.400755723494109706e+00,3.343998090316614991e-01,-4.119047478157672124e-03,-4.245290768768721947e-03
3.467437208268504101e+00,3.341256981732909637e-01,-4.102475368068595959e-03,-3.821993063552207425e-03
3.534118693042898496e+00,3.338526888890291366e-01,-4.086004171456537187e-03,-3.576040054933440557e-03
3.600800177817292891e+00,3.335807744540723596e-01,-4.069633727019208308e-03,-4.330725759180636437e-03
3.667481662591687286e+00,3.333099481571999978e-01,-4.053363869116870417e-03,-4.077839753741708574e-03
3.734163147366081681e+00,3.330402033007746065e-01,-4.037194427878669153e-03,-4.105968315185779156e-03
3.800844632140475632e+00,3.327715332007418203e-01,-4.021125229307643580e-03,-4.178467408472088564e-03
3.867526116914870027e+00,3.325039311866304081e-01,-4.005156095384427087e-03,-4.296036970614969946e-03
3.934207601689264422e+00,3.322373906015522738e-01,-3.989286844169602150e-03,-3.851287595955831672e-03
4.000889086463658373e+00,3.319719048022023444e-01,-3.973517289904739298e-03,-3.739636273867087170e-03
4.067570571238053212e+00,3.317074671588587931e-01,-3.957847243112130702e-03,-3.859035393090052071e-03
4.134252056012447163e+00,3.314440710553828162e-01,-3.942276510693162872e-03,-4.085598806345801075e-03
4.200933540786842002e+00,3.311817098892188005e-01,-3.926804896025414340e-03,-3.847631237708110368e-03
4.267615025561235953e+00,3.309203770713941006e-01,-3.911432199058401116e-03,-3.607591746367824152e-03
4.334296510335629904e+00,3.306600660265193170e-01,-3.896158216408035849e-03,-3.748051631296377660e-03
4.400977995110024743e+00,3.304007701927882401e-01,-3.880982741449753425e-03,-3.571444178502513125e-03
4.467659479884418694e+00,3.301424830219775175e-01,-3.865905564410345926e-03,-3.908821526067030906e-03
4.534340964658813533e+00,3.298851979794471534e-01,-3.850926472458493510e-03,-3.592291900714363832e-03
4.601022449433207484e+00,3.296289085441401756e-01,-3.836045249793990780e-03,-3.622662283363102965e-03
4.667703934207601435e+00,3.293736082085827466e-01,-3.821261677735686858e-03,-3.979980546967775042e-03
4.734385418981996274e+00,3.291192904788840523e-01,-3.806575534808132218e-03,-3.831998270653174873e-03
4.801066903756390225e+00,3.288659488747365800e-01,-3.791986596826952671e-03,-3.981023301759928010e-03
4.867748388530785064e+00,3.286135769294157294e-01,-3.777494636982930976e-03,-3.719737012234053484e-03
4.934429873305179015e+00,3.283621681897801459e-01,-3.763099425924848994e-03,-3.795312990641144975e-03
5.001111358079572966e+00,3.281117162162715539e-01,-3.748800731841012753e-03,-3.715317017969172689e-03
5.067792842853967805e+00,3.278622145829147572e-01,-3.734598320539591829e-03,-3.727511548336026083e-03
5.134474327628361756e+00,3.276136568773178048e-01,-3.720491955527652477e-03,-3.879799717467912953e-03
5.201155812402756595e+00,3.273660367006716587e-01,-3.706481398088949577e-03,-3.543081571224870798e-03
5.267837297177150546e+00,3.271193476677505818e-01,-3.692566407360542424e-03,-4.014856376282549197e-03
5.334518781951544497e+00,3.268735834069118606e-01,-3.678746740408102549e-03,-3.667139870325052727e-03
5.401200266725939336e+00,3.266287375600959164e-01,-3.665022152300054063e-03,-4.342732428488203442e-03
5.467881751500333287e+00,3.263848037828262494e-01,-3.651392396180494927e-03,-3.945845440166881150e-03
5.534563236274728126e+00,3.261417757442095500e-01,-3.637857223340894806e-03,-3.419761432558041363e-03
5.601244721049122077e+00,3.258996471269355322e-01,-3.624416383290621560e-03,-3.690050007339392389e-03
5.667926205823516916e+00,3.256584116272771556e-01,-3.611069623826265555e-03,-3.520910302800776565e-03
5.734607690597910867e+00,3.254180629550903481e-01,-3.597816691099791752e-03,-3.875734888709801967e-03
5.801289175372304818e+00,3.251785948338142274e-01,-3.584657329685525615e-03,-4.033621541227719147e-03
5.867970660146699657e+00,3.249400010004709904e-01,-3.571591282645967657e-03,-3.890091510751563474e-03
5.934652144921093608e+00,3.247022752056660799e-01,-3.558618291596473901e-03,-3.558522106627083192e-03
6.001333629695488447e+00,3.244654112336610718e-01,-3.545738097080696448e-03,-3.666218150492847952e-03
6.068015114469882398e+00,3.242294030309751385e-01,-3.532950440630319103e-03,-3.007111406356175951e-03
6.134696599244276349e+00,3.239942444618559292e-01,-3.520255061025537400e-03,-2.954476059601084635e-03
6.201378084018671188e+00,3.237599293781920351e-01,-3.507651695442819302e-03,-3.248029959594841021e-03
6.268059568793065139e+00,3.235264516500890863e-01,-3.495140079989121108e-03,-3.739032625245804990e-03
6.334741053567459979e+00,3.232938051658698075e-01,-3.482719949759806397e-03,-3.441947723222454469e-03
6.401422538341853929e+00,3.230619838320738513e-01,-3.470391038895440875e-03,-3.605398660376971098e-03
6.468104023116247880e+00,3.228309815734578536e-01,-3.458153080637555062e-03,-3.616727123833746345e-03
6.534785507890642720e+00,3.226007923329956006e-01,-3.446005807383321472e-03,-3.541646259833851774e-03
6.601466992665036670e+00,3.223714100718776399e-01,-3.433948950739189668e-03,-3.426317658101300789e-03
6.668148477439431510e+00,3.221428287695117798e-01,-3.421982241573493910e-03,-3.502511776811474339e-03
6.734829962213825461e+00,3.219150424235226460e-01,-3.410105410068010878e-03,-3.425248786017027602e-03
6.801511446988219411e+00,3.216880450497520139e-01,-3.398318185768503877e-03,-3.947146600171395556e-03
6.868192931762614251e+00,3.214618306822584759e-01,-3.386620297634274773e-03,-3.549254854698658587e-03
6.934874416537008202e+00,3.212363933733178856e-01,-3.375011474086694625e-03,-3.174772380289274647e-03
7.001555901311403041e+00,3.210117271934228578e-01,-3.363491443056748978e-03,-3.201491746658752507e-03
7.068237386085796992e+00,3.207878262312832129e-01,-3.352059932031620400e-03,-3.741784976401909147e-03
7.134918870860190943e+00,3.205646845938255884e-01,-3.340716668100283948e-03,-3.266738623303063176e-03
7.201600355634585782e+00,3.203422964061937717e-01,-3.329461377998145944e-03,-3.317530382225051915e-03
7.268281840408979733e+00,3.201206558117485335e-01,-3.318293788150752932e-03,-3.695534696866896538e-03
7.334963325183374572e+00,3.198997569720675727e-01,-3.307213624716534399e-03,-3.272394484910364550e-03
7.401644809957768523e+00,3.196795940669456826e-01,-3.296220613628639967e-03,-3.163581227928451665e-03
7.468326294732163362e+00,3.194601612943945845e-01,-3.285314480635839838e-03,-3.301367155352382364e-03
7.535007779506557313e+00,3.192414528706430943e-01,-3.274494951342540958e-03,-2.760728234697893118e-03
7.601689264280951264e+00,3.190234630301369556e-01,-3.263761751247873811e-03,-3.444184531463341525e-03
7.668370749055346103e+00,3.188061860255389512e-01,-3.253114605783916178e-03,-3.188502452617411609e-03
7.735052233829740054e+00,3.185896161277288474e-01,-3.242553240353029595e-03,-3.107724198429446128e-03
7.801733718604134893e+00,3.183737476258035048e-01,-3.232077380364321503e-03,-3.096062855210381364e-03
7.868415203378528844e+00,3.181585748270766567e-01,-3.221686751269260424e-03,-3.367430176302980277e-03
7.935096688152922795e+00,3.179440920570791307e-01,-3.211381078596425940e-03,-3.064525252644102055e-03
8.001778172927316746e+00,3.177302936595586824e-01,-3.201160087985436414e-03,-3.113036205360542822e-03
8.068459657701712473e+00,3.175171739964802176e-01,-3.191023505220032773e-03,-2.500544487861640786e-03
8.135141142476106424e+00,3.173047274480254587e-01,-3.180971056260355201e-03,-2.790143093640694728e-03
8.201822627250500375e+00,3.170929484125933340e-01,-3.171002467274391511e-03,-3.180291278691752422e-03
8.268504112024894326e+00,3.168818313067995884e-01,-3.161117464668636648e-03,-2.756939667031792565e-03
8.335185596799288277e+00,3.166713705654770616e-01,-3.151315775117960287e-03,-3.435429803344874390e-03
8.401867081573684004e+00,3.164615606416756877e-01,-3.141597125594687741e-03,-3.065956494375604580e-03
8.468548566348077955e+00,3.162523960066622175e-01,-3.131961243396897635e-03,-2.651936745203410835e-03
8.535230051122471906e+00,3.160438711499205522e-01,-3.122407856175978425e-03,-3.680312113059332549e-03
8.601911535896865857e+00,3.158359805791515207e-01,-3.112936691963406888e-03,-2.797701090163486146e-03
8.668593020671259808e+00,3.156287188202729910e-01,-3.103547479196782418e-03,-2.950273825144888399e-03
8.735274505445655535e+00,3.154220804174198700e-01,-3.094239946745140548e-03,-3.282340319185702519e-03
8.801955990220049486e+00,3.152160599329440482e-01,-3.085013823933521401e-03,-2.832938275602913877e-03
8.868637474994443437e+00,3.150106519474143441e-01,-3.075868840566810865e-03,-3.435420110018301554e-03
8.935318959768837388e+00,3.148058510596166704e-01,-3.066804726952892211e-03,-2.792465302069179617e-03
9.002000444543231339e+00,3.146016518865539235e-01,-3.057821213925082139e-03,-3.064484411194359943e-03
9.068681929317627066e+00,3.143980490634460390e-01,-3.048918032863856455e-03,-2.753758913908273091e-03
9.135363414092021017e+00,3.141950372437298800e-01,-3.040094915717918723e-03,-3.389547806065826632e-03
9.202044898866414968e+00,3.139926110990593489e-01,-3.031351595024565481e-03,-2.857492556303966539e-03
9.268726383640808919e+00,3.137907653193054425e-01,-3.022687803929402679e-03,-2.777909234730756381e-03
9.335407868415202870e+00,3.135894946125559746e-01,-3.014103276205359547e-03,-3.313983894993685012e-03
9.402089353189598597e+00,3.133887937051159644e-01,-3.005597746271103984e-03,-2.524948034543041554e-03
9.468770837963992548e+00,3.131886573415072483e-01,-2.997170949208764930e-03,-3.335644648070758105e-03
9.535452322738386499e+00,3.129890802844689235e-01,-2.988822620781031100e-03,-2.350804212715849884e-03
9.602133807512780450e+00,3.127900573116009220e-01,-2.980552497395962987e-03,-2.379782580857776365e-03
9.668815292287174401e+00,3.125915831410295831e-01,-2.972360314978584293e-03,-3.217007150382745779e-03
9.735496777061570128e+00,3.123936525652818985e-01,-2.964245811047027616e-03,-2.465499767192330834e-03
9.802178261835964079e+00,3.121962604311090961e-01,-2.956208724416374209e-03,-2.853297124417318760e-03
9.868859746610358030e+00,3.119994016011070070e-01,-2.948248794621829809e-03,-2.838912347604853614e-03
9.935541231384751981e+00,3.118030709537157330e-01,-2.940365761932163969e-03,-2.832489604622345346e-03
1.000222271615914593e+01,3.116072633832199235e-01,-2.932559367362545279e-03,-3.452378116091360787e-03
1.006890420093354166e+01,3.114119737997486648e-01,-2.924829352686788078e-03,-2.930869013432496444e-03
1.013558568570793561e+01,3.112171971292754247e-01,-2.917175460449034953e-03,-2.996492311009095987e-03
1.020226717048232956e+01,3.110229283136181078e-01,-2.909597433974842919e-03,-2.743218977120486912e-03
1.026894865525672351e+01,3.108291623104391110e-01,-2.902095017381740947e-03,-3.562313407270518203e-03
1.033563014003111746e+01,3.106358940932452128e-01,-2.894667955589190749e-03,-2.897640648287293143e-03
1.040231162480551319e+01,3.104431186513876839e-01,-2.887315994328024972e-03,-2.584245365513304724e-03
1.046899310957990714e+01,3.102508309900621764e-01,-2.880038880149305997e-03,-3.081700174655565769e-03
1.053567459435430109e+01,3.100590261303088346e-01,-2.872836360432686007e-03,-2.705121968644542615e-03
1.060235607912869504e+01,3.098676991090121846e-01,-2.865708183394192424e-03,-2.696534002924330480e-03
1.066903756390308899e+01,3.096768449789012445e-01,-2.858654098093507678e-03,-2.934417304707298384e-03
1.073571904867748472e+01,3.094864588085494139e-01,-2.851673854440725520e-03,-2.763745760073292243e-03
1.080240053345187867e+01,3.092965356823745848e-01,-2.844767203202563498e-03,-2.590669135493397189e-03
1.086908201822627262e+01,3.091070707006390306e-01,-2.837933896008112272e-03,-3.297403589821642882e-03
1.093576350300066657e+01,3.089180589794495169e-01,-2.831173685354022862e-03,-2.640744567187969759e-03
1.100244498777506230e+01,3.087294956507571908e-01,-2.824486324609228570e-03,-2.914098277531836003e-03
1.106912647254945625e+01,3.085413758623577474e-01,-2.817871568019170332e-03,-2.811737644613627150e-03
1.113580795732385020e+01,3.083536947778911519e-01,-2.811329170709497751e-03,-2.947965552453502523e-03
1.120248944209824415e+01,3.081664475768419176e-01,-2.804858888689328641e-03,-2.973977293107343128e-03
1.126917092687263811e+01,3.079796294545389945e-01,-2.798460478853991192e-03,-2.588968367348007567e-03
1.133585241164703383e+01,3.077932356221557697e-01,-2.792133698987303830e-03,-2.667297659811760681e-03
1.140253389642142778e+01,3.076072613067099559e-01,-2.785878307763387570e-03,-2.881118355582111285e-03
1.146921538119582173e+01,3.074217017510639249e-01,-2.779694064748002187e-03,-3.268470942766249065e-03
1.153589686597021569e+01,3.072365522139242633e-01,-2.773580730399413143e-03,-2.663328873090066787e-03
1.160257835074460964e+01,3.070518079698421055e-01,-2.767538066068817894e-03,-2.617901614240791212e-03
1.166925983551900536e+01,3.068674643092129672e-01,-2.761565834000305128e-03,-2.166592701345557322e-03
1.173594132029339931e+01,3.066835165382769679e-01,-2.755663797330361667e-03,-2.961828464990635956e-03
1.180262280506779327e+01,3.064999599791183860e-01,-2.749831720086930945e-03,-2.695687263654781597e-03
1.186930428984218722e+01,3.063167899696661589e-01,-2.744069367188048218e-03,-2.819053064670972754e-03
1.193598577461658117e+01,3.061340018636936056e-01,-2.738376504440007825e-03,-3.536015314685358492e-03
1.200266725939097689e+01,3.059515910308184261e-01,-2.732752898535111084e-03,-2.949185090310493893e-03
1.206934874416537085e+01,3.057695528565028131e-01,-2.727198317048987446e-03,-2.597894046674592908e-03
1.213603022893976480e+01,3.055878827420533961e-01,-2.721712528437476332e-03,-2.921543237775992875e-03
1.220271171371415875e+01,3.054065761046212413e-01,-2.716295302033078316e-03,-2.219313309951697656e-03
1.226939319848855270e+01,3.052256283772017964e-01,-2.710946408041014707e-03,-2.557544872327090039e-03
1.233607468326294843e+01,3.050450350086350015e-01,-2.705665617534828288e-03,-2.805524964005952099e-03
1.240275616803734238e+01,3.048647914636052336e-01,-2.700452702451596344e-03,-2.383165221443738803e-03
1.246943765281173633e+01,3.046848932226413065e-01,-2.695307435586727363e-03,-2.800900988238105328e-03
1.253611913758613028e+01,3.045053357821164708e-01,-2.690229590588333591e-03,-2.378414178169448515e-03
1.260280062236052423e+01,3.043261146542483586e-01,-2.685218941951220649e-03,-2.598028960698065860e-03
1.266948210713491996e+01,3.041472253670991499e-01,-2.680275265010453878e-03,-2.527744993050250275e-03
1.273616359190931391e+01,3.039686634645752950e-01,-2.675398335934524828e-03,-2.853743695372860153e-03
1.280284507668370786e+01,3.037904245064279030e-01,-2.670587931718136545e-03,-2.646721749107776561e-03
1.286952656145810181e+01,3.036125040682523535e-01,-2.665843830174576858e-03,-2.549514532082554786e-03
1.293620804623249576e+01,3.034348977414884629e-01,-2.661165809927688777e-03,-2.597485885740623713e-03
1.300288953100689149e+01,3.032576011334206512e-01,-2.656553650403483974e-03,-2.461586317645894379e-03
1.306957101578128544e+01,3.030806098671775528e-01,-2.652007131821326920e-03,-2.118462440044520563e-03
1.313625250055567939e+01,3.029039195817323504e-01,-2.647526035184756890e-03,-2.693906103494241640e-03
1.320293398533007334e+01,3.027275259319027745e-01,-2.643110142271927043e-03,-2.858075212285147645e-03
1.326961547010446729e+01,3.025514245883507147e-01,-2.638759235625632790e-03,-2.420136331313330318e-03
1.333629695487886302e+01,3.023756112375827754e-01,-2.634473098543000172e-03,-2.778565955121726268e-03
1.340297843965325697e+01,3.022000815819498865e-01,-2.630251515064744878e-03,-2.174774432496587567e-03
1.346965992442765092e+01,3.020248313396473594e-01,-2.626094269964111220e-03,-2.747032480126237325e-03
1.353634140920204487e+01,3.018498562447149980e-01,-2.622001148735379587e-03,-2.859163722313210615e-03
1.360302289397643882e+01,3.016751519952911575e-01,-2.617971936779330943e-03,-2.510638758217090608e-03
1.366970437875083455e+01,3.015007142726368605e-01,-2.614006419684954206e-03,-2.934980792052553113e-03
1.373638586352522850e+01,3.013265388415211632e-01,-2.610104384774214470e-03,-2.739668141380267093e-03
1.380306734829962245e+01,3.011526214808440405e-01,-2.606265620013479764e-03,-2.378552277825989134e-03
1.386974883307401640e+01,3.009789579830015049e-01,-2.602489913990283562e-03,-3.138261788048905473e-03
1.393643031784841035e+01,3.008055441538856623e-01,-2.598777055899531563e-03,-2.520859592858905058e-03
1.400311180262280608e+01,3.006323758128847112e-01,-2.595126835529372802e-03,-2.737858557075837414e-03
1.406979328739720003e+01,3.004594487928828883e-01,-2.591539043246670043e-03,-2.591782143126633315e-03
1.413647477217159398e+01,3.002867589402605786e-01,-2.588013469982118446e-03,-2.302064456594675197e-03
1.420315625694598793e+01,3.001143021148940937e-01,-2.584549907214998225e-03,-2.477372426551885214e-03
1.426983774172038189e+01,2.999420741901559495e-01,-2.581148146957549551e-03,-2.397996943830385270e-03
1.433651922649477761e+01,2.997700710529146439e-01,-2.577807981738986648e-03,-2.728094996902675779e-03
1.440320071126917156e+01,2.995982886035348236e-01,-2.574529204589155393e-03,-2.161609036402561187e-03
1.446988219604356551e+01,2.994267227558771172e-01,-2.571311609021813185e-03,-2.436728160450567313e-03
1.453656368081795947e+01,2.992553694372983020e-01,-2.568154989017548857e-03,-3.137225750977108187e-03
1.460324516559235342e+01,2.990842245886512485e-01,-2.565059139006345239e-03,-2.179173733846352570e-03
1.466992665036674914e+01,2.989132841642846983e-01,-2.562023853849771347e-03,-2.939970554249389956e-03
1.473660813514114309e+01,2.987425441320437636e-01,-2.559048928822818536e-03,-2.202273505928287363e-03
1.480328961991553705e+01,2.985720004732694277e-01,-2.556134159595363671e-03,-2.840617867822184481e-03
1.486997110468993100e+01,2.984016491827987116e-01,-2.553279342213295340e-03,-2.405653781152870038e-03
1.493665258946432672e+01,2.982314862689648960e-01,-2.550484273079237606e-03,-2.219759410033146294e-03
1.500333407423872067e+01,2.980615077535971880e-01,-2.547748748932964109e-03,-2.616248379255544342e-03
1.507001555901311463e+01,2.978917096720208324e-01,-2.545072566831397577e-03,-2.437372932200104585e-03
1.513669704378750858e+01,2.977220880730573338e-01,-2.542455524128297076e-03,-2.355719948647362529e-03
1.520337852856190253e+01,2.975526390190240122e-01,-2.539897418453554954e-03,-3.073895132204777607e-03
1.527006001333629825e+01,2.973833585857344475e-01,-2.537398047692135568e-03,-1.979218313693850879e-03
1.533674149811069221e+01,2.972142428624983124e-01,-2.534957209962669222e-03,-2.588223965410038543e-03
1.540342298288508616e+01,2.970452879521211509e-01,-2.532574703595671852e-03,-2.393583149982034947e-03
1.547010446765948011e+01,2.968764899709047667e-01,-2.530250327111408654e-03,-2.487878380544959484e-03
1.553678595243387406e+01,2.967078450486469454e-01,-2.527983879197398184e-03,-2.253361371469689810e-03
1.560346743720826979e+01,2.965393493286415660e-01,-2.525775158685553481e-03,-2.501782242233011565e-03
1.567014892198266374e+01,2.963709989676785450e-01,-2.523623964528967124e-03,-2.888623604305578119e-03
1.573683040675705769e+01,2.962027901360439475e-01,-2.521530095778337643e-03,-2.261999657781399442e-03
1.580351189153145164e+01,2.960347190175198762e-01,-2.519493351558014724e-03,-3.202535126309300970e-03
1.587019337630584559e+01,2.958667818093844160e-01,-2.517513531041719148e-03,-2.247539290256717753e-03
1.593687486108024132e+01,2.956989747224118559e-01,-2.515590433427865921e-03,-3.034785486250691968e-03
1.600355634585463349e+01,2.955312939808725226e-01,-2.513723857914556062e-03,-2.179815384067174209e-03
1.607023783062902922e+01,2.953637358225326692e-01,-2.511913603674175918e-03,-2.330200065456328445e-03
1.613691931540342495e+01,2.951962964986548643e-01,-2.510159469827671647e-03,-2.492918645056307198e-03
1.620360080017781712e+01,2.950289722739975473e-01,-2.508461255418428619e-03,-2.645385758574551362e-03
1.627028228495221285e+01,2.948617594268153619e-01,-2.506818759385806041e-03,-2.503590904812102828e-03
1.633696376972660502e+01,2.946946542488588783e-01,-2.505231780538305121e-03,-2.751845453527131807e-03
1.640364525450100075e+01,2.945276530453748709e-01,-2.503700117526375980e-03,-2.309897330026753747e-03
1.647032673927539648e+01,2.943607521351061518e-01,-2.502223568814863734e-03,-2.357497509321342544e-03
1.653700822404978865e+01,2.941939478502915151e-01,-2.500801932655077279e-03,-2.211306633024008768e-03
1.660368970882418438e+01,2.940272365366659590e-01,-2.499435007056524140e-03,-2.767640454258870134e-03
1.667037119359857655e+01,2.938606145534605196e-01,-2.498122589758248070e-03,-2.685912780279454699e-03
1.673705267837297228e+01,2.936940782734021593e-01,-2.496864478199829242e-03,-2.658261937995493648e-03
1.680373416314736801e+01,2.935276240827141558e-01,-2.495660469492003673e-03,-3.091076405189394950e-03
1.687041564792176018e+01,2.933612483811156579e-01,-2.494510360386932232e-03,-2.897697408743292544e-03
1.693709713269615591e+01,2.931949475818219075e-01,-2.493413947248091043e-03,-2.389351230861880455e-03
1.700377861747054808e+01,2.930287181115444062e-01,-2.492371026019818848e-03,-2.115240659297996841e-03
1.707046010224494381e+01,2.928625564104904155e-01,-2.491381392196468855e-03,-2.636184098674830643e-03
1.713714158701933954e+01,2.926964589323635679e-01,-2.490444840791235757e-03,-2.732462008116057911e-03
1.720382307179373171e+01,2.925304221443633668e-01,-2.489561166304573355e-03,-2.049630991337711775e-03
1.727050455656812744e+01,2.923644425271854641e-01,-2.488730162692293860e-03,-3.038903589873043556e-03
1.733718604134251962e+01,2.921985165750216051e-01,-2.487951623333270381e-03,-2.203969195267397371e-03
1.740386752611691534e+01,2.920326407955595172e-01,-2.487225340996782486e-03,-3.006695469949322280e-03
1.747054901089131107e+01,2.918668117099830761e-01,-2.486551107809511357e-03,-2.347323792084551278e-03
1.753723049566570324e+01,2.917010258529722511e-01,-2.485928715222157203e-03,-2.499775791011836848e-03
1.760391198044009897e+01,2.915352797727029932e-01,-2.485357953975688913e-03,-2.306133044689189122e-03
1.767059346521449115e+01,2.913695700308473469e-01,-2.484838614067253707e-03,-2.420208226877709843e-03
1.773727494998888687e+01,2.912038932025735050e-01,-2.484370484715700371e-03,-2.605176829743986039e-03
1.780395643476328260e+01,2.910382459215755668e-01,-2.483953355048863255e-03,-2.557630358865224402e-03
1.787063791953767478e+01,2.908726248833919392e-01,-2.483587014124319543e-03,-2.639525684721776011e-03
1.793731940431207050e+01,2.907070266852285756e-01,-2.483271248324312504e-03,-2.172472147789967275e-03
1.800400088908646268e+01,2.905414479362374847e-01,-2.483005843085584786e-03,-2.791844244630227456e-03
1.807068237386085841e+01,2.903758852622637665e-01,-2.482790582939343842e-03,-2.175165401532514007e-03
1.813736385863525413e+01,2.902103353058456126e-01,-2.482625251474809749e-03,-2.561053191393434288e-03
1.820404534340964631e+01,2.900447947262143056e-01,-2.482509631302396141e-03,-2.843243797967021091e-03
1.827072682818404203e+01,2.898792601992942197e-01,-2.482443504016560235e-03,-2.088495140590073979e-03
1.833740831295843421e+01,2.897137284177028205e-01,-2.482426650158284665e-03,-2.836350602636236989e-03
1.840408979773282994e+01,2.895481960907506647e-01,-2.482458849177222784e-03,-2.832698187815843854e-03
1.847077128250722566e+01,2.893826599444414005e-01,-2.482539879393488337e-03,-2.502454330537254561e-03
1.853745276728161784e+01,2.892171167214717675e-01,-2.482669517959099504e-03,-2.422908693946224795e-03
