t,q,dq_dt,dq_dt_noisy
8.179595465659035280e-01,9.150390474824907083e-02,8.942636463392190926e-02,8.536375542662071048e-02
8.357412758390753149e-01,9.309024480549757397e-02,8.899762461275093073e-02,9.752692301732795999e-02
8.535230051122471018e-01,9.466897809871989422e-02,8.857079866527559076e-02,8.418038376258492328e-02
8.713047343854188886e-01,9.624013922068197502e-02,8.814591679529119872e-02,7.883323978859235748e-02
8.890864636585906755e-01,9.780376310100324933e-02,8.772300652436909596e-02,1.028544268062916711e-01
9.068681929317625734e-01,9.935988500615661190e-02,8.730209302733941967e-02,1.007096664040761647e-01
9.246499222049343603e-01,1.009085405394684054e-01,8.688319925943384370e-02,8.820175781142226834e-02
9.424316514781061471e-01,1.024497656411184898e-01,8.646634607567502129e-02,6.510137226629321427e-02
9.602133807512780450e-01,1.039835965881401730e-01,8.605155234305329748e-02,8.463537592916239860e-02
9.779951100244498319e-01,1.055100699944202247e-01,8.563883504598812646e-02,7.157670712257573065e-02
9.957768392976216187e-01,1.070292228106989318e-01,8.522820938553356263e-02,1.059555071937515747e-01
1.013558568570793517e+00,1.085410923245700432e-01,8.481968887275098679e-02,8.995419316015750011e-02
1.031340297843965192e+00,1.100457161604807138e-01,8.441328541664012974e-02,8.818324545823788552e-02
1.049122027117137090e+00,1.115431322797316854e-01,8.400900940698985409e-02,9.298949257082381181e-02
1.066903756390308988e+00,1.130333789674176498e-01,8.360686979600590041e-02,9.095013101370659492e-02
1.084685485663480664e+00,1.145164939612087346e-01,8.320687440686773406e-02,7.086626445335648949e-02
1.102467214936652562e+00,1.159925153050442997e-01,8.280902977247456276e-02,8.915488973735621880e-02
1.120248944209824238e+00,1.174614815009325797e-01,8.241334116006865385e-02,8.596743057661392073e-02
1.138030673482996136e+00,1.189234310420348717e-01,8.201981275888592382e-02,5.591880542677381272e-02
1.155812402756168034e+00,1.203784024126652863e-01,8.162844773831623435e-02,9.371659039857657691e-02
1.173594132029339709e+00,1.218264340882909413e-01,8.123924830282183707e-02,8.571075216443189981e-02
1.191375861302511607e+00,1.232675645355318511e-01,8.085221574381504239e-02,7.990616843649264722e-02
1.209157590575683283e+00,1.247018322121609679e-01,8.046735048868522422e-02,8.598978078504926348e-02
1.226939319848855181e+00,1.261292755671042098e-01,8.008465214714918790e-02,7.168081323056853249e-02
1.244721049122027079e+00,1.275499330404403497e-01,7.970411955508935331e-02,9.054585077577420593e-02
1.262502778395198755e+00,1.289638430634011401e-01,7.932575081603052136e-02,7.546927311214290945e-02
1.280284507668370653e+00,1.303710440583712993e-01,7.894954334039783195e-02,6.601792979502410508e-02
1.298066236941542551e+00,1.317715744388884280e-01,7.857549388268775248e-02,9.976556252860245555e-02
1.315847966214714226e+00,1.331654726096430097e-01,7.820359857667517900e-02,8.675807283170164363e-02
1.333629695487886124e+00,1.345527769664785767e-01,7.783385296877187720e-02,7.872535172913704138e-02
1.351411424761058022e+00,1.359335258845393024e-01,7.746625205279757120e-02,8.047533527021082100e-02
1.369193154034229698e+00,1.373077572636777766e-01,7.710079042076505018e-02,8.272741841416134112e-02
1.386974883307401596e+00,1.386755090190040784e-01,7.673746216036902990e-02,9.211870844334235642e-02
1.404756612580573272e+00,1.400368191140011209e-01,7.637626087318716284e-02,8.412937792835079032e-02
1.422538341853745170e+00,1.413917253584896228e-01,7.601717975385484383e-02,9.039705925972930933e-02
1.440320071126917068e+00,1.427402654086280531e-01,7.566021161411329299e-02,6.909645984179135780e-02
1.458101800400088743e+00,1.440824767669125483e-01,7.530534890562273764e-02,6.786107249411199582e-02
1.475883529673260641e+00,1.454183967821770507e-01,7.495258374160908288e-02,7.749642892920556581e-02
1.493665258946432317e+00,1.467480626495931695e-01,7.460190791740868577e-02,7.938796320229485337e-02
1.511446988219604215e+00,1.480715114106703756e-01,7.425331292997196242e-02,7.396519328445196051e-02
1.529228717492776113e+00,1.493887799532557514e-01,7.390678999638265745e-02,6.547553557171253980e-02
1.547010446765947789e+00,1.506999050115341576e-01,7.356233007144608038e-02,7.060137665731695822e-02
1.564792176039119687e+00,1.520049231660282330e-01,7.321992386439674094e-02,8.249897804316672079e-02
1.582573905312291584e+00,1.533038708435983388e-01,7.287956185477212356e-02,8.147019322820166221e-02
1.600355634585463260e+00,1.545967843174425593e-01,7.254123430749738477e-02,6.076518502842066100e-02
1.618137363858635158e+00,1.558836997070967290e-01,7.220493128722273168e-02,8.082461519962466645e-02
1.635919093131807056e+00,1.571646529784344049e-01,7.187064267195233946e-02,7.685427043964553062e-02
1.653700822404978732e+00,1.584396799436668946e-01,7.153835816600209729e-02,7.554260251902136791e-02
1.671482551678150630e+00,1.597088161322960942e-01,7.120806734588236431e-02,8.094689315500828986e-02
1.689264280951322306e+00,1.609720968194020274e-01,7.087975966443421649e-02,7.400453494568513813e-02
1.707046010224494204e+00,1.622295571918431489e-01,7.055342441868599213e-02,8.862813452815614113e-02
1.724827739497666101e+00,1.634812322362120818e-01,7.022905078958785463e-02,6.531223768733158963e-02
1.742609468770837777e+00,1.647271567387183222e-01,6.990662785204002083e-02,6.052553005750715975e-02
1.760391198044009675e+00,1.659673652851881842e-01,6.958614458439990602e-02,7.274820168812345944e-02
1.778172927317181351e+00,1.672018922610647162e-01,6.926758987752369701e-02,7.425305817765856520e-02
1.795954656590353249e+00,1.684307718514077568e-01,6.895095254336562618e-02,5.832120859049919059e-02
1.813736385863525147e+00,1.696540380408940452e-01,6.863622132315673474e-02,7.392505471206170520e-02
1.831518115136696823e+00,1.708717246138169443e-01,6.832338489518477442e-02,7.156251094909515942e-02
1.849299844409868721e+00,1.720838651540868014e-01,6.801243188219412150e-02,5.668230736537317738e-02
1.867081573683040618e+00,1.732904930452306147e-01,6.770335085842496547e-02,6.479941115742067492e-02
1.884863302956212294e+00,1.744916414703922281e-01,6.739613035630917515e-02,7.876004145395179568e-02
1.902645032229384192e+00,1.756873434123323308e-01,6.709075887283974526e-02,7.716304223839942633e-02
1.920426761502556090e+00,1.768776316534283188e-01,6.678722487562940846e-02,5.584169581272345473e-02
1.938208490775727766e+00,1.780625387756744615e-01,6.648551680867384461e-02,7.458567591910626737e-02
1.955990220048899664e+00,1.792420971606817626e-01,6.618562309783318498e-02,6.700673650596736253e-02
1.973771949322071340e+00,1.804163389896780711e-01,6.588753215604555014e-02,8.787483924976599581e-02
1.991553678595243237e+00,1.815852962418502414e-01,6.559123238870565031e-02,6.375078033004709377e-02
2.009335407868415135e+00,1.827490006642338571e-01,6.529671220599146675e-02,7.193891593394609318e-02
2.027117137141587033e+00,1.839074837747555202e-01,6.500396002651868954e-02,4.919441432084582094e-02
2.044898866414758487e+00,1.850607768890256410e-01,6.471296427479317215e-02,7.635418725807639750e-02
2.062680595687930385e+00,1.862089111212615888e-01,6.442371338502750344e-02,6.426511464388168227e-02
2.080462324961102283e+00,1.873519173842876639e-01,6.413619580499128892e-02,5.865215762463989180e-02
2.098244054234274181e+00,1.884898263895351256e-01,6.385039999967045965e-02,5.885407555409621905e-02
2.116025783507446079e+00,1.896226686470421363e-01,6.356631445474428266e-02,6.213213031461054664e-02
2.133807512780617976e+00,1.907504744654538176e-01,6.328392767988859358e-02,5.755112886607156863e-02
2.151589242053789430e+00,1.918732739520222219e-01,6.300322821191335632e-02,6.921747313106721422e-02
2.169370971326961328e+00,1.929910970126063607e-01,6.272420461774196043e-02,5.788651222967948484e-02
2.187152700600133226e+00,1.941039733516721488e-01,6.244684549723967387e-02,5.960970161947119761e-02
2.204934429873305124e+00,1.952119324722924876e-01,6.217113948589813449e-02,9.239291640793817484e-02
2.222716159146477022e+00,1.963150036761471262e-01,6.189707525738234045e-02,6.144579642177985107e-02
2.240497888419648476e+00,1.974132160635228561e-01,6.162464152594637756e-02,6.674057900334440241e-02
2.258279617692820374e+00,1.985065985333133998e-01,6.135382704872405224e-02,6.446185936898991831e-02
2.276061346965992271e+00,1.995951797830193275e-01,6.108462062789978692e-02,6.052390903762188551e-02
2.293843076239164169e+00,2.006789883087482240e-01,6.081701111276532901e-02,6.223822899583342921e-02
2.311624805512336067e+00,2.017580524052146052e-01,6.055098740166747068e-02,4.707343224977893897e-02
2.329406534785507521e+00,2.028324001657398623e-01,6.028653844385143540e-02,6.778998551127755900e-02
2.347188264058679419e+00,2.039020595164089122e-01,6.002365323281706744e-02,6.250491868198139456e-02
2.364969993331851317e+00,2.049670582139877517e-01,5.976232080854329554e-02,6.129339502469320633e-02
2.382751722605023215e+00,2.060274237326726321e-01,5.950253028683250012e-02,4.808655912432106827e-02
2.400533451878195113e+00,2.070831833598705540e-01,5.924427083721494486e-02,6.885250057114505884e-02
2.418315181151366566e+00,2.081343642001719785e-01,5.898753168339550962e-02,4.490386703365781274e-02
2.436096910424538464e+00,2.091809931753511043e-01,5.873230210459810807e-02,5.782533352065109822e-02
2.453878639697710362e+00,2.102230970243656460e-01,5.847857143683407588e-02,5.147151150715963130e-02
2.471660368970882260e+00,2.112607023033568621e-01,5.822632907409814457e-02,4.384806243067085330e-02
2.489442098244054158e+00,2.122938353856496374e-01,5.797556446949473502e-02,7.359893961117726369e-02
2.507223827517226056e+00,2.133225224617524562e-01,5.772626713629828987e-02,7.206459775548848534e-02
2.525005556790397510e+00,2.143467895393573741e-01,5.747842664894978193e-02,7.034827114602576481e-02
2.542787286063569407e+00,2.153666624433400179e-01,5.723203264399290280e-02,5.717064907377565619e-02
2.560569015336741305e+00,2.163821668157596412e-01,5.698707482095184684e-02,4.809081637845245144e-02
2.578350744609913203e+00,2.173933281158590414e-01,5.674354294315395869e-02,5.857865958794714750e-02
2.596132473883085101e+00,2.184001716200646148e-01,5.650142683849918024e-02,5.508727809226507399e-02
2.613914203156256555e+00,2.194027224219863292e-01,5.626071640017870495e-02,3.801728766251508129e-02
2.631695932429428453e+00,2.204010054324177792e-01,5.602140158734519870e-02,6.806379020992034401e-02
2.649477661702600351e+00,2.213950453793361306e-01,5.578347242573659936e-02,6.415028596650909631e-02
2.667259390975772249e+00,2.223848668079020929e-01,5.554691900825546591e-02,4.922112804301533723e-02
2.685041120248944146e+00,2.233704940804600303e-01,5.531173149550601409e-02,4.491234395485812353e-02
2.702822849522116044e+00,2.243519513765378226e-01,5.507790011629051102e-02,5.432024269270691735e-02
2.720604578795287498e+00,2.253292627396560610e-01,5.484541515694030950e-02,5.695347947837230834e-02
2.738386308068459396e+00,2.263024521133816247e-01,5.461426695326511427e-02,7.657786311698289161e-02
2.756168037341631294e+00,2.272715431381625850e-01,5.438444593923251469e-02,5.852717012805153801e-02
2.773949766614803192e+00,2.282365592877069471e-01,5.415594261483090699e-02,4.382522232221895686e-02
2.791731495887975090e+00,2.291975238782222868e-01,5.392874754423455930e-02,6.053471533885273342e-02
2.809513225161146543e+00,2.301544600684155839e-01,5.370285135613655364e-02,4.138694658233015716e-02
2.827294954434318441e+00,2.311073908594933612e-01,5.347824474405201561e-02,4.295229647743163681e-02
2.845076683707490339e+00,2.320563390951614624e-01,5.325491846659234640e-02,5.836648551925210926e-02
2.862858412980662237e+00,2.330013274616253294e-01,5.303286334771206006e-02,5.082489553521098158e-02
2.880640142253834135e+00,2.339423784875897805e-01,5.281207027692948891e-02,3.830955671579912292e-02
2.898421871527005589e+00,2.348795145442591215e-01,5.259253020952196767e-02,4.551105903866166369e-02
2.916203600800177487e+00,2.358127578453371176e-01,5.237423416669743231e-02,4.753240080563862074e-02
2.933985330073349385e+00,2.367421304470269938e-01,5.215717323574262793e-02,4.164359376321769002e-02
2.951767059346521282e+00,2.376676542480314069e-01,5.194133857014961164e-02,4.701346911152321645e-02
2.969548788619693180e+00,2.385893509895525566e-01,5.172672138972108508e-02,5.301229377822297417e-02
2.987330517892864634e+00,2.395072422552919911e-01,5.151331298065568026e-02,4.881264300280936663e-02
3.005112247166036532e+00,2.404213494714508015e-01,5.130110469561404568e-02,4.250072121606093822e-02
3.022893976439208430e+00,2.413316939067295386e-01,5.109008795376659973e-02,5.854142637219577477e-02
3.040675705712380328e+00,2.422382966723281572e-01,5.088025424082377735e-02,6.670911734406435867e-02
3.058457434985552226e+00,2.431411787219460996e-01,5.067159510904953312e-02,5.949929081548538390e-02
3.076239164258724124e+00,2.440403608517822676e-01,5.046410217725872532e-02,3.951246718554838472e-02
3.094020893531895577e+00,2.449358637005350225e-01,5.025776713079953273e-02,4.204286465478469792e-02
3.111802622805067475e+00,2.458277077577508130e-01,5.005258171960157154e-02,5.099957141871070548e-02
3.129584352078239373e+00,2.467159135024593331e-01,4.984853772631983593e-02,5.167966762372720735e-02
3.147366081351411271e+00,2.476005011610385442e-01,4.964562702202624661e-02,4.010677833206720277e-02
3.165147810624583169e+00,2.484814907655436556e-01,4.944384155262401132e-02,5.428081116215347640e-02
3.182929539897754623e+00,2.493589022164471036e-01,4.924317332436234373e-02,4.946057313017251239e-02
3.200711269170926521e+00,2.502327552826385526e-01,4.904361440378396386e-02,3.673125818577103324e-02
3.218492998444098419e+00,2.511030696014249219e-01,4.884515691766168344e-02,3.111545443923992987e-02
3.236274727717270316e+00,2.519698646785303864e-01,4.864779305292379202e-02,4.870521387554255233e-02
3.254056456990442214e+00,2.528331598880962372e-01,4.845151505656937474e-02,4.174970449165350816e-02
3.271838186263614112e+00,2.536929744726811320e-01,4.825631523557334657e-02,6.786016413775738942e-02
3.289619915536785566e+00,2.545493275432608726e-01,4.806218595678246608e-02,3.856454763268378494e-02
3.307401644809957464e+00,2.554022380792286273e-01,4.786911964680200249e-02,4.187565621332843546e-02
3.325183374083129362e+00,2.562517249283945975e-01,4.767710879187415235e-02,7.602466168833496574e-02
3.342965103356301260e+00,2.570978068069864064e-01,4.748614593774800469e-02,3.570152276590440876e-02
3.360746832629473158e+00,2.579405022996487662e-01,4.729622368954197048e-02,5.767357619506135319e-02
3.378528561902644611e+00,2.587798298594436996e-01,4.710733471159865571e-02,4.904969009452401357e-02
3.396310291175816509e+00,2.596158078078505405e-01,4.691947172733283017e-02,4.393348308541264458e-02
3.414092020448988407e+00,2.604484543347656555e-01,4.673262751907271417e-02,3.591782946200662574e-02
3.431873749722160305e+00,2.612777874985027782e-01,4.654679492789476347e-02,4.798793132482540025e-02
3.449655478995332203e+00,2.621038252257928969e-01,4.636196685345272961e-02,6.215328540682148184e-02
3.467437208268503657e+00,2.629265853117840890e-01,4.617813625380064180e-02,5.510028660336488415e-02
3.485218937541675555e+00,2.637460854200419091e-01,4.599529614521066789e-02,4.607002373246627674e-02
3.503000666814847452e+00,2.645623430825489453e-01,4.581343960198581977e-02,5.521697563927995683e-02
3.520782396088019350e+00,2.653753756997050406e-01,4.563255975626760025e-02,4.211436422274818930e-02
3.538564125361191248e+00,2.661852005609559035e-01,4.545264979325966404e-02,4.750144106739663530e-02
3.556345854634362702e+00,2.669918349762756549e-01,4.527370292191130324e-02,5.742423840784303263e-02
3.574127583907534600e+00,2.677952959964853830e-01,4.509571243686419373e-02,4.603751795899915789e-02
3.591909313180706498e+00,2.685956005238134825e-01,4.491867169360167639e-02,5.385088647034062814e-02
3.609691042453878396e+00,2.693927653526919652e-01,4.474257409920323614e-02,4.621600562843627275e-02
3.627472771727050294e+00,2.701868071697562934e-01,4.456741311216497192e-02,3.405764198181548963e-02
3.645254501000222191e+00,2.709777425538455464e-01,4.439318224221637521e-02,5.784930388716092581e-02
3.663036230273393645e+00,2.717655879760021986e-01,4.421987505013376396e-02,3.717770649752329820e-02
3.680817959546565543e+00,2.725503597994724525e-01,4.404748514755041366e-02,5.776869836850702378e-02
3.698599688819737441e+00,2.733320742797058500e-01,4.387600619676386426e-02,5.490567414836337173e-02
3.716381418092909339e+00,2.741107475643556612e-01,4.370543191054001436e-02,5.824240595577284685e-02
3.734163147366081237e+00,2.748863956932784958e-01,4.353575605191492559e-02,5.160244993318741091e-02
3.751944876639252691e+00,2.756590345985345802e-01,4.336697243399390000e-02,4.185548480298619672e-02
3.769726605912424588e+00,2.764286801043877584e-01,4.319907491974810804e-02,3.417327818937582196e-02
3.787508335185596486e+00,2.771953479273052134e-01,4.303205742180934990e-02,3.791915542075769557e-02
3.805290064458768384e+00,2.779590536759578567e-01,4.286591390226247161e-02,3.773458126605385571e-02
3.823071793731940282e+00,2.787198128512199391e-01,4.270063837243590760e-02,5.340177605129718674e-02
3.840853523005112180e+00,2.794776408461694395e-01,4.253622489269055784e-02,2.598000656418632953e-02
3.858635252278283634e+00,2.802325529460877318e-01,4.237266757220701369e-02,5.236019764908330515e-02
3.876416981551455532e+00,2.809845643284598071e-01,4.220996056877111130e-02,3.969408894308049107e-02
3.894198710824627430e+00,2.817336900629741070e-01,4.204809808855830555e-02,4.665487308478348527e-02
3.911980440097799328e+00,2.824799451115226345e-01,4.188707438591658672e-02,5.126581960430758034e-02
3.929762169370971225e+00,2.832233443282009544e-01,4.172688376314824532e-02,4.812654930707185863e-02
3.947543898644142679e+00,2.839639024593080818e-01,4.156752057029079739e-02,5.238436098062840968e-02
3.965325627917314577e+00,2.847016341433467601e-01,4.140897920489660516e-02,3.460310452069435133e-02
3.983107357190486475e+00,2.854365539117858508e-01,4.125125411164832362e-02,3.703277376365415874e-02
4.000889086463658373e+00,2.861686763189930094e-01,4.109433975430860225e-02,2.782512884703214340e-02
4.018670815736830271e+00,2.868980157783828644e-01,4.093823065073200207e-02,3.895439095312495936e-02
4.036452545010002169e+00,2.876245865159208215e-01,4.078292138252569143e-02,3.966843663889834531e-02
4.054234274283174067e+00,2.883484026704156711e-01,4.062840657331617811e-02,4.476461004228311780e-02
4.072016003556345964e+00,2.890694782935198104e-01,4.047468088855443041e-02,4.652766581251370492e-02
4.089797732829516974e+00,2.897878273497289103e-01,4.032173903532008941e-02,5.273651094697497099e-02
4.107579462102688872e+00,2.905034637163823041e-01,4.016957576212525777e-02,5.340735387076590152e-02
4.125361191375860770e+00,2.912164011836627098e-01,4.001818585871762951e-02,3.431057223804667711e-02
4.143142920649032668e+00,2.919266534545962299e-01,3.986756415588331437e-02,3.803120357915485555e-02
4.160924649922204566e+00,2.926342341450526296e-01,3.971770552524910708e-02,3.589906394695415587e-02
4.178706379195376464e+00,2.933391567837449476e-01,3.956860487908470114e-02,3.671255503429147332e-02
4.196488108468548361e+00,2.940414348122297739e-01,3.942025717010436137e-02,5.082418597720687187e-02
4.214269837741720259e+00,2.947410815849072496e-01,3.927265739126865191e-02,5.489953255013516054e-02
4.232051567014892157e+00,2.954381103690207899e-01,3.912580057558588675e-02,4.662071628596809597e-02
4.249833296288064055e+00,2.961325343446574165e-01,3.897968179591360105e-02,4.478952416553869803e-02
4.267615025561235953e+00,2.968243666047476470e-01,3.883429616475997381e-02,3.037814755525429164e-02
4.285396754834406963e+00,2.975136201550652726e-01,3.868963883408518822e-02,3.365007141745431085e-02
4.303178484107578861e+00,2.982003079142279134e-01,3.854570499510306253e-02,3.767309975793423082e-02
4.320960213380750758e+00,2.988844427136962412e-01,3.840248987808272951e-02,1.509618769458139984e-02
4.338741942653922656e+00,2.995660372977746455e-01,3.825998875215042005e-02,4.242412240195014145e-02
4.356523671927094554e+00,3.002451043236109562e-01,3.811819692509147567e-02,3.657546508827544396e-02
4.374305401200266452e+00,3.009216563611964435e-01,3.797710974315288146e-02,5.655087798297585983e-02
4.392087130473438350e+00,3.015957058933658175e-01,3.783672259084566725e-02,3.669969358543634375e-02
4.409868859746610248e+00,3.022672653157972289e-01,3.769703089074803726e-02,2.097826074463303783e-02
4.427650589019782146e+00,3.029363469370124906e-01,3.755803010330868719e-02,3.903025176037287075e-02
4.445432318292954044e+00,3.036029629783766337e-01,3.741971572665056534e-02,3.608440476345055326e-02
4.463214047566125053e+00,3.042671255783621076e-01,3.728208329549209665e-02,4.014631619713697475e-02
4.480995776839296951e+00,3.049288469262397827e-01,3.714512835330493340e-02,2.604879024944025540e-02
4.498777506112468849e+00,3.055881390541277387e-01,3.700884649525565395e-02,3.756953121407961838e-02
4.516559235385640747e+00,3.062450138527016419e-01,3.687323336467880630e-02,1.896469111009341582e-02
4.534340964658812645e+00,3.068994831428062398e-01,3.673828463805630523e-02,4.069941911673581603e-02
4.552122693931984543e+00,3.075515586754556385e-01,3.660399602484620124e-02,3.510502900418992905e-02
4.569904423205156441e+00,3.082012521318331366e-01,3.647036326731192823e-02,1.366733557504454591e-02
4.587686152478328339e+00,3.088485751232912802e-01,3.633738214035191205e-02,4.369607040343210375e-02
4.605467881751500236e+00,3.094935391913519185e-01,3.620504845132969940e-02,4.723658313701243477e-02
4.623249611024672134e+00,3.101361558077060376e-01,3.607335803990437822e-02,4.791054243164669102e-02
4.641031340297844032e+00,3.107764363742139269e-01,3.594230677786158790e-02,4.326510790985884508e-02
4.658813069571015042e+00,3.114143922229051231e-01,3.581189056894499428e-02,2.995122967305852493e-02
4.676594798844186940e+00,3.120500346159784666e-01,3.568210534868831996e-02,2.853451525993234636e-02
4.694376528117358838e+00,3.126833747458019896e-01,3.555294708424786010e-02,4.085628796302993859e-02
4.712158257390530736e+00,3.133144237349128614e-01,3.542441177423560211e-02,4.690422861903334462e-02
4.729939986663702634e+00,3.139431926360177205e-01,3.529649544855289339e-02,6.350264651284653894e-02
4.747721715936874531e+00,3.145696924319922316e-01,3.516919416822472666e-02,3.872130256337412424e-02
4.765503445210046429e+00,3.151939340358814734e-01,3.504250402523464980e-02,1.756021861082414717e-02
4.783285174483218327e+00,3.158159282908996612e-01,3.491642114236030714e-02,3.182361716689585673e-02
4.801066903756390225e+00,3.164356859704303138e-01,3.479094167300959134e-02,4.346236646946068788e-02
4.818848633029562123e+00,3.170532177780261418e-01,3.466606180105751694e-02,4.130229893031600596e-02
4.836630362302733133e+00,3.176685343474091594e-01,3.454177774068369761e-02,4.532331737664407889e-02
4.854412091575905031e+00,3.182816462424705728e-01,3.441808573621062128e-02,2.553065281102170209e-02
4.872193820849076928e+00,3.188925639572709470e-01,3.429498206194250831e-02,3.019905294284026126e-02
4.889975550122248826e+00,3.195012979160399280e-01,3.417246302200496050e-02,4.135389597669225648e-02
4.907757279395420724e+00,3.201078584731765209e-01,3.405052495018535963e-02,3.843104964462118467e-02
4.925539008668592622e+00,3.207122559132489226e-01,3.392916420977389741e-02,3.810040896769647384e-02
4.943320737941764520e+00,3.213145004509945779e-01,3.380837719340549358e-02,2.781238100886055178e-02
4.961102467214936418e+00,3.219146022313202349e-01,3.368816032290235241e-02,2.898607647189181333e-02
4.978884196488108316e+00,3.225125713793561277e-01,3.356851003910758802e-02,3.885344990758317352e-02
4.996665925761280214e+00,3.231084180408865802e-01,3.344942279371153349e-02,4.266761718421226840e-02
5.014447655034452112e+00,3.237021521675220725e-01,3.333089509206219048e-02,2.059897052734197681e-02
5.032229384307623121e+00,3.242937836466687762e-01,3.321292346696568670e-02,3.545473529807216528e-02
5.050011113580795019e+00,3.248833223101390555e-01,3.309550447682513274e-02,3.911756184532828862e-02
5.067792842853966917e+00,3.254707779341513008e-01,3.297863470550410625e-02,3.617682281855798265e-02
5.085574572127138815e+00,3.260561602393299840e-01,3.286231076219063574e-02,3.637280705477649589e-02
5.103356301400310713e+00,3.266394788907058255e-01,3.274652928126185747e-02,3.197545373930741480e-02
5.121138030673482611e+00,3.272207434977155160e-01,3.263128692214937315e-02,2.528439950141035675e-02
5.138919759946654509e+00,3.277999636142019946e-01,3.251658036920521133e-02,4.425478404322348569e-02
