t,V,w,z,ca,dV_dt,dV_dt_noisy
1.200240048009602045e+00,-1.294107577190702019e+00,-7.892933381777290924e-02,2.792528058539743650e-03,1.284017811979421345e-03,9.122262368333448890e-02,1.511072449467972534e-01
1.280256051210242108e+00,-1.286759061065370524e+00,-8.391535876990602327e-02,2.960891150027412586e-03,1.355533712870010980e-03,9.246408404814959736e-02,9.643629479631549151e-02
1.360272054410882170e+00,-1.279308496657281635e+00,-8.883314777736343870e-02,3.131845720665555298e-03,1.427742608694140304e-03,9.377565310692367873e-02,6.452997801041482351e-02
1.440288057611522454e+00,-1.271749722694072382e+00,-9.368254093848217556e-02,3.305556479010520344e-03,1.500726156235542052e-03,9.517055672068966410e-02,1.697971048500544755e-02
1.520304060812162517e+00,-1.264075622322448522e+00,-9.846331861865716129e-02,3.482199364096824797e-03,1.574570588734318854e-03,9.666024879805799885e-02,7.094102473617092119e-02
1.600320064012802579e+00,-1.256278165962336546e+00,-1.031751962856237992e-01,3.661962981268931071e-03,1.649367379724392011e-03,9.825592455439002837e-02,9.907014260622437618e-02
1.680336067213442863e+00,-1.248348391665691004e+00,-1.078178190283054227e-01,3.845050217202934054e-03,1.725213987825514059e-03,9.996956919832641897e-02,7.240927866838937910e-02
1.760352070414082926e+00,-1.240276328259429794e+00,-1.123907555919594486e-01,4.031680075906452290e-03,1.802214701989250049e-03,1.018146877846501375e-01,2.312210692244708599e-01
1.840368073614722988e+00,-1.232050854455887023e+00,-1.168934918852003596e-01,4.222089765566089739e-03,1.880481600253179663e-03,1.038067796480945520e-01,2.044792111786739863e-01
1.920384076815363272e+00,-1.223659516609226783e+00,-1.213254234762207590e-01,4.416537133011706577e-03,1.960135668512341407e-03,1.059638188265486364e-01,-1.651524290700482345e-01
2.000400080016003113e+00,-1.215088297977487075e+00,-1.256858468619660996e-01,4.615303520892309608e-03,2.041308114180543851e-03,1.083067882105839819e-01,-8.059453638618330196e-02
2.080416083216643397e+00,-1.206321354357829279e+00,-1.299739488791790409e-01,4.818697195486392089e-03,2.124141945977912720e-03,1.108604578933759383e-01,9.338324868785974342e-02
2.160432086417283681e+00,-1.197340680073514463e+00,-1.341887941545246432e-01,5.027057442220124808e-03,2.208793864007392669e-03,1.136543067139981350e-01,7.143526555636277309e-02
2.240448089617923522e+00,-1.188125686805614256e+00,-1.383293101397460034e-01,5.240759493376636637e-03,2.295436537223940338e-03,1.167236663896575183e-01,1.380879661395186253e-01
2.320464092818563806e+00,-1.178652677263270832e+00,-1.423942690283653834e-01,5.460220524502281889e-03,2.384261380118543779e-03,1.201112193409632767e-01,1.418434124432196297e-01
2.400480096019204090e+00,-1.168894180866681953e+00,-1.463822657435930041e-01,5.685907018515836027e-03,2.475481969699446470e-03,1.238689786970399720e-01,3.356528542021448014e-01
2.480496099219843931e+00,-1.158818106121785041e+00,-1.502916909287446146e-01,5.918343899782930843e-03,2.569338292893734443e-03,1.280609343876561168e-01,1.685885811842798010e-02
2.560512102420484215e+00,-1.148386646370558317e+00,-1.541206975115052003e-01,6.158125987039565936e-03,2.666102084236050482e-03,1.327666335430143507e-01,9.500613283031453249e-02
2.640528105621124499e+00,-1.137554849175660632e+00,-1.578671589058746327e-01,6.405932525430098334e-03,2.766083614405286540e-03,1.380860932169533650e-01,3.423632539661863872e-01
2.720544108821764340e+00,-1.126268720075399576e+00,-1.615286161887343475e-01,6.662545868183330534e-03,2.869640438173672817e-03,1.441466468687955249e-01,2.088169464889802207e-01
2.800560112022404624e+00,-1.114462671186225329e+00,-1.651022105277185348e-01,6.928875843085529479e-03,2.977188832278087564e-03,1.511126515338509502e-01,2.174189887714771396e-01
2.880576115223044908e+00,-1.102056031512920420e+00,-1.685845955576534549e-01,7.205992050271300617e-03,3.089218993967233953e-03,1.591995160736700554e-01,1.077988789049237617e-01
2.960592118423684749e+00,-1.088948188506794201e+00,-1.719718219911866852e-01,7.495167451374159032e-03,3.206315604490004006e-03,1.686944102188253636e-01,3.886893133260072020e-03
3.040608121624325033e+00,-1.075011690781406681e+00,-1.752591829703327442e-01,7.797938404063811842e-03,3.329186224550245623e-03,1.799875615848361143e-01,1.967340360071102301e-01
3.120624124824965318e+00,-1.060082205938561062e+00,-1.784410028144907123e-01,8.116189309494878726e-03,3.458701437361796742e-03,1.936207421865291378e-01,2.045221509686838968e-01
3.200640128025605158e+00,-1.043943522887434305e+00,-1.815103422948423639e-01,8.452275069396107329e-03,3.595953063404960359e-03,2.103647015041069102e-01,8.762949607964948262e-02
3.280656131226245442e+00,-1.026304577477468838e+00,-1.844585768153275407e-01,8.809203460487937537e-03,3.742341082738181481e-03,2.313471654820067058e-01,1.630244993039504653e-01
3.360672134426885727e+00,-1.006762908360927078e+00,-1.872747740155655816e-01,9.190917125252787145e-03,3.899708386602129210e-03,2.582724036534017054e-01,2.510680356806789804e-01
3.440688137627525567e+00,-9.847443430940208131e-01,-1.899447455871701440e-01,9.602747193906581782e-03,4.070558088957633089e-03,2.938153561658246593e-01,1.993401938597469114e-01
3.520704140828165851e+00,-9.593987632943284938e-01,-1.924495424284933809e-01,1.005218065366807190e-02,4.258422056940134454e-03,3.423670331831857316e-01,3.325400363979639784e-01
3.600720144028806136e+00,-9.294101073756740883e-01,-1.947629505692673457e-01,1.055023815836991438e-02,4.468524227252334766e-03,4.115347305924780263e-01,4.210830333394234848e-01
3.680736147229445976e+00,-8.926262047997356452e-01,-1.968470719375585154e-01,1.111414275119979728e-02,4.709068495783984461e-03,5.153975562049203374e-01,5.189561799104689399e-01
3.760752150430086260e+00,-8.452772727627761995e-01,-1.986439228608147811e-01,1.177301300792960199e-02,4.993992500420612116e-03,6.822564916003341917e-01,6.316273257689026810e-01
3.840768153630726545e+00,-7.801515020223291907e-01,-2.000578842774200505e-01,1.258164517768118468e-02,5.349648773711315752e-03,9.753398344022051747e-01,1.034714641580787520e+00
3.920784156831366385e+00,-6.817398329012124281e-01,-2.009138693385681962e-01,1.366037557583428194e-02,5.834167613272846047e-03,1.556816116239783110e+00,1.645932811668015860e+00
4.000800160032006225e+00,-5.109926364924202158e-01,-2.008365128437015201e-01,1.534381435452103308e-02,6.609819355436534656e-03,2.923659385392675336e+00,2.955744215849331891e+00
4.080816163232646510e+00,-1.482259183565572402e-01,-1.987793809570932713e-01,1.895713773883031528e-02,8.320832541515768219e-03,6.883940352460841794e+00,6.802117329721810712e+00
4.160832166433286794e+00,7.643437468958775849e-01,-1.913781291734501511e-01,2.937462202513838050e-02,1.332533336716002284e-02,1.629846032462832994e+01,1.637162555300687572e+01
4.240848169633927078e+00,1.820284622319341405e+00,-1.757945803712770705e-01,4.492955716772367020e-02,2.070642792614738742e-02,5.977863562380604456e+00,5.927719560533899035e+00
4.320864172834567363e+00,1.985314468573672109e+00,-1.566170858205335470e-01,6.066227683350761124e-02,2.798877750120714117e-02,2.876700566009377513e-01,3.755861184297362709e-01
4.400880176035207647e+00,1.987604055114642776e+00,-1.371825600978535953e-01,7.630806385189457808e-02,3.504317181786117258e-02,-7.376104594727130037e-02,-1.809397876350157253e-01
4.480896179235847043e+00,1.980624293060538221e+00,-1.178457999235049680e-01,9.185219882234495203e-02,4.186492540462093126e-02,-9.263854724374867566e-02,-1.191826930870554246e-03
4.560912182436487328e+00,1.973144408526753990e+00,-9.862865855276366223e-02,1.072854914183376807e-01,4.845269340092360488e-02,-9.390123387093117502e-02,-9.590757933247921752e-02
4.640928185637127612e+00,1.965616591272598024e+00,-7.953533176190802356e-02,1.225999619560443621e-01,5.480639388456511052e-02,-9.423164053343098534e-02,-2.191065295668725432e-01
4.720944188837767896e+00,1.958065727201476314e+00,-6.056934426616673861e-02,1.377885526313996634e-01,6.092707195320908736e-02,-9.449856450363773586e-02,-1.258885117003225029e-01
4.800960192038408181e+00,1.950494276624575862e+00,-4.173436494155805671e-02,1.528450324787692660e-01,6.681681963209500086e-02,-9.474638664369706975e-02,-8.933615876654267540e-02
4.880976195239048465e+00,1.942903638966624102e+00,-2.303418166605767509e-02,1.677639208581883923e-01,7.247867714228348190e-02,-9.497914358217178499e-02,-6.770000966572640999e-02
4.960992198439687861e+00,1.935295047900470466e+00,-4.472626369111340830e-03,1.825404190030425755e-01,7.791652051487094055e-02,-9.519403862214938228e-02,-1.934128511162471753e-01
5.041008201640328146e+00,1.927669902782842559e+00,1.394650258380146501e-02,1.971703480698407396e-01,8.313494304686569469e-02,-9.539385830318429516e-02,-2.061311630197036060e-01
5.121024204840968430e+00,1.920029442733119929e+00,3.221951745233743447e-02,2.116500929002003428e-01,8.813913663810592214e-02,-9.557651026641661440e-02,-7.561805698170853685e-02
5.201040208041608714e+00,1.912374978570813955e+00,5.034291147557826140e-02,2.259765508169570836e-01,9.293477744769450266e-02,-9.574381138242916978e-02,-1.424187730704093713e-01
5.281056211242248999e+00,1.904707735148604142e+00,6.831342186471504874e-02,2.401470849749499925e-01,9.752791896680640393e-02,-9.589683427308620667e-02,-7.234627310006368217e-02
5.361072214442888395e+00,1.897028804876780050e+00,8.612808207912030223e-02,2.541594818124157107e-01,1.019248944191218365e-01,-9.603510090163118462e-02,-2.008314865379326464e-02
5.441088217643528679e+00,1.889339298155575886e+00,1.037842617538530937e-01,2.680119122289352229e-01,1.061322295072096578e-01,-9.616209330025100865e-02,-2.610408299353458861e-01
5.521104220844168964e+00,1.881640101673580201e+00,1.212796951548426178e-01,2.817028961861516856e-01,1.101565658273961357e-01,-9.627777718757747627e-02,-7.083896553581574274e-02
5.601120224044809248e+00,1.873932018300630276e+00,1.386124964559170281e-01,2.952312704047378999e-01,1.140045947533750437e-01,-9.638354252388646459e-02,2.608115422968677877e-02
5.681136227245449533e+00,1.866215779261884089e+00,1.557811639192286934e-01,3.085961589142999228e-01,1.176830012694293492e-01,-9.648272305001204252e-02,-1.262354074870593590e-01
5.761152230446089817e+00,1.858491878677504205e+00,1.727845744578616893e-01,3.217969462151868965e-01,1.211984170041365549e-01,-9.657548582165317863e-02,-1.776569441454101672e-01
5.841168233646729213e+00,1.850760720456283259e+00,1.896219689581578882e-01,3.348332528049273726e-01,1.245573815911751175e-01,-9.666350195066918116e-02,-2.143911923270989950e-02
5.921184236847369498e+00,1.843022619740612988e+00,2.062929312998127429e-01,3.477049128854433624e-01,1.277663114551095269e-01,-9.674983970303085989e-02,-7.140518808221671399e-02
6.001200240048009782e+00,1.835277682215548989e+00,2.227973628149609031e-01,3.604119540604444616e-01,1.308314751141938237e-01,-9.683515407807041786e-02,-7.246847000314374232e-03
6.081216243248650066e+00,1.827525900732904551e+00,2.391354529504605142e-01,3.729545788297190523e-01,1.337589741261558385e-01,-9.692049676019789950e-02,-1.314420677653258818e-01
6.161232246449290351e+00,1.819767193175701792e+00,2.553076483291225607e-01,3.853331477337380018e-01,1.365547288761299327e-01,-9.700819257946954877e-02,-2.451900199516906798e-01
6.241248249649930635e+00,1.812001345831217858e+00,2.713146215691420449e-01,3.975481640035352648e-01,1.392244684729815885e-01,-9.709991280845917117e-02,-1.081009892795842670e-01
6.321264252850570031e+00,1.804227998452111681e+00,2.871572404998974926e-01,4.096002595726913054e-01,1.417737240931519760e-01,-9.719605939343123335e-02,-1.417788746945544687e-01
6.401280256051210316e+00,1.796446720077972126e+00,3.028365383877513195e-01,4.214901823234106226e-01,1.442078251895316798e-01,-9.729774727429488235e-02,-1.976536506953746608e-02
6.481296259251850600e+00,1.788657010382754819e+00,3.183536861759534431e-01,4.332187844643222707e-01,1.465318980625458234e-01,-9.740658676641866798e-02,-7.804330192870329030e-02
6.561312262452490884e+00,1.780858279648000586e+00,3.337099669528182933e-01,4.447870119337419270e-01,1.487508663537434050e-01,-9.752390544833372532e-02,-2.606088286918438746e-01
6.641328265653131169e+00,1.773049830639990665e+00,3.489067527811246516e-01,4.561958947332762082e-01,1.508694530854360061e-01,-9.765009308485492201e-02,-2.171664010951749046e-01
6.721344268853771453e+00,1.765230906604616345e+00,3.639454837651032726e-01,4.674465381011140841e-01,1.528921839242773362e-01,-9.778578266030901744e-02,-9.406879001583490219e-03
6.801360272054410849e+00,1.757400696875060397e+00,3.788276496442018471e-01,4.785401144554703445e-01,1.548233914019989388e-01,-9.793184529196252708e-02,-2.995534355017787087e-02
6.881376275255051134e+00,1.749558336207044151e+00,3.935547737178571315e-01,4.894778560355116381e-01,1.566672198655173764e-01,-9.808924007419020374e-02,-1.621135766650390608e-01
6.961392278455691418e+00,1.741702902938431219e+00,4.081283989446967131e-01,5.002610481755821459e-01,1.584276309672464356e-01,-9.825886298254690732e-02,-9.836374263927497030e-02
7.041408281656331702e+00,1.733833408395527576e+00,4.225500760698094327e-01,5.108910231557293180e-01,1.601084095393162376e-01,-9.844120291458563488e-02,-5.388384753696701807e-02
7.121424284856971987e+00,1.725948812664087173e+00,4.368213534840760248e-01,5.213691545729637333e-01,1.617131697211980357e-01,-9.863670307550947980e-02,-5.179626949078168507e-02
7.201440288057612271e+00,1.718048032214835708e+00,4.509437687295187458e-01,5.316968521885513388e-01,1.632453612367749940e-01,-9.884591011491972168e-02,-1.122169050348470476e-02
7.281456291258251667e+00,1.710129939089787499e+00,4.649188414673814940e-01,5.418755572086847438e-01,1.647082757354340066e-01,-9.906942071412211392e-02,-7.342085799196591822e-02
7.361472294458891952e+00,1.702193360230826791e+00,4.787480677038217780e-01,5.519067379587453415e-01,1.661050531282196596e-01,-9.930784958762442494e-02,-1.087906834844742376e-01
7.441488297659532236e+00,1.694237076795061636e+00,4.924329151069636312e-01,5.617918859158227418e-01,1.674386878644492094e-01,-9.956181274261496905e-02,-1.254466192213995190e-01
7.521504300860172521e+00,1.686259823359427035e+00,5.059748192626410956e-01,5.715325120674349391e-01,1.687120351059068213e-01,-9.983192179200475747e-02,5.742358261320371082e-03
7.601520304060812805e+00,1.678260286930572498e+00,5.193751807306542512e-01,5.811301435673400517e-01,1.699278167654731941e-01,-1.001187858770222205e-01,-3.252042133848759842e-01
7.681536307261453089e+00,1.670237105687937706e+00,5.326353627778998012e-01,5.905863206619944572e-01,1.710886273850979189e-01,-1.004230184347698618e-01,-1.142885509439035968e-01
7.761552310462092485e+00,1.662188867280163018e+00,5.457566896792017674e-01,5.999025938636171063e-01,1.721969398346568647e-01,-1.007452440016917694e-01,-9.744523360328576078e-02
7.841568313662732770e+00,1.654114106825072872e+00,5.587404454887856531e-01,6.090805213479347779e-01,1.732551108186355382e-01,-1.010861081754049762e-01,-2.436210042624237515e-01
7.921584316863373054e+00,1.646011305154210680e+00,5.715878731959663783e-01,6.181216665565414381e-01,1.742653861819664085e-01,-1.014463021141595589e-01,-6.816494080035490066e-02
8.001600320064012450e+00,1.637878885615807301e+00,5.843001741977840169e-01,6.270275959858510051e-01,1.752299060100740435e-01,-1.018265639656165678e-01,-1.669546652099559714e-01
8.081616323264652735e+00,1.629715210464333985e+00,5.968785080216485461e-01,6.357998771458330811e-01,1.761507095208549867e-01,-1.022276814327607863e-01,-1.598320180118610601e-02
8.161632326465293019e+00,1.621518576858627547e+00,6.093239922431665789e-01,6.444400766732119035e-01,1.770297397486623181e-01,-1.026504961980784225e-01,-1.152097046015111426e-01
8.241648329665933304e+00,1.613287212430214446e+00,6.216377025522044075e-01,6.529497585850612129e-01,1.778688480221479185e-01,-1.030959097394437696e-01,-3.618058566049849045e-02
8.321664332866573588e+00,1.605019270391646158e+00,6.338206729268307527e-01,6.613304826598244146e-01,1.786697982391919903e-01,-1.035648904287367333e-01,1.831947008838559487e-02
8.401680336067213872e+00,1.596712824155781307e+00,6.458738958804643993e-01,6.695838029337641828e-01,1.794342709431910321e-01,-1.040584819876427813e-01,-6.576552371629554306e-02
8.481696339267854157e+00,1.588365861453741035e+00,6.577983227523230836e-01,6.777112663017035299e-01,1.801638672057361557e-01,-1.045778138512851174e-01,-1.921499281935696857e-01
8.561712342468494441e+00,1.579976277111316607e+00,6.695948640187818768e-01,6.857144112118375157e-01,1.808601123213370021e-01,-1.051240982538573232e-01,-2.565559614243211883e-01
8.641728345669134725e+00,1.571541865298521801e+00,6.812643895999453969e-01,6.935947664447373873e-01,1.815244593200454892e-01,-1.056986322215333618e-01,6.963977953010391797e-02
8.721744348869775010e+00,1.563060311519579360e+00,6.928077291405038141e-01,7.013538499672995474e-01,1.821582923040477309e-01,-1.063028104687335773e-01,-1.174320297874855146e-01
8.801760352070415294e+00,1.554529183672454851e+00,7.042256722499635746e-01,7.089931678530412285e-01,1.827629296144676896e-01,-1.069381375247896448e-01,-1.757946322882218138e-01
8.881776355271053802e+00,1.545945922327728317e+00,7.155189686857051923e-01,7.165142132603528058e-01,1.833396268344982538e-01,-1.076062438485209105e-01,-9.318053504243840879e-02
8.961792358471694087e+00,1.537307830168512357e+00,7.266883284643225194e-01,7.239184654606420910e-01,1.838895796348643252e-01,-1.083089067073536582e-01,-1.274500397556185827e-01
9.041808361672334371e+00,1.528612060517765325e+00,7.377344218874846149e-01,7.312073889084836908e-01,1.844139264674179435e-01,-1.090480765378210037e-01,-2.383385011655222985e-02
9.121824364872974655e+00,1.519855604860721465e+00,7.486578794689606742e-01,7.383824323459916572e-01,1.849137511123927491e-01,-1.098259094370945821e-01,-1.064330911933845519e-01
9.201840368073614940e+00,1.511035279252208818e+00,7.594592917494055184e-01,7.454450279336162222e-01,1.853900850845176251e-01,-1.106448064374709883e-01,-1.092698480756290336e-01
9.281856371274255224e+00,1.502147706191252263e+00,7.701392090020680037e-01,7.523965904006307825e-01,1.858439099033309116e-01,-1.115074071289065549e-01,-1.829653792322029626e-01
9.361872374474895508e+00,1.493189283873815887e+00,7.806981408577976511e-01,7.592385162102983642e-01,1.862761592336363847e-01,-1.124164204051300575e-01,-6.545961053038071298e-02
9.441888377675535793e+00,1.484156174093657299e+00,7.911365556774548891e-01,7.659721827211632972e-01,1.866877208951358280e-01,-1.133748066306644597e-01,-2.167614788661627045e-01
9.521904380876176077e+00,1.475044284694606356e+00,8.014548797675894454e-01,7.725989473423662268e-01,1.870794387478854626e-01,-1.143859030239599561e-01,-4.779695904756324498e-02
9.601920384076816362e+00,1.465849246505437575e+00,8.116534964206753022e-01,7.791201466735211412e-01,1.874521144564776920e-01,-1.154535044305460278e-01,3.694024686846716921e-02
9.681936387277456646e+00,1.456566385456256052e+00,8.217327447550042407e-01,7.855370956187026632e-01,1.878065091350267779e-01,-1.165819231871895179e-01,-2.690505269971047442e-01
9.761952390478096930e+00,1.447190663473149286e+00,8.316929184825647692e-01,7.918510864755118339e-01,1.881433448803076502e-01,-1.177756667030627202e-01,-3.643985898381945088e-01
9.841968393678735438e+00,1.437716646542589682e+00,8.415342642539337392e-01,7.980633879625378402e-01,1.884633061822450217e-01,-1.190396142595265272e-01,-5.735173874409457695e-02
9.921984396879375723e+00,1.428138484874209357e+00,8.512569796062554595e-01,8.041752441731464529e-01,1.887670412123785557e-01,-1.203794273423250405e-01,1.344103542059875700e-01
1.000200040008001601e+01,1.418449868212451337e+00,8.608612106794117924e-01,8.101878734545179261e-01,1.890551629963745650e-01,-1.218016809855740346e-01,-2.218941658727633937e-01
1.008201640328065629e+01,1.408643930315029547e+00,8.703470498386832732e-01,8.161024672115551049e-01,1.893282504766702901e-01,-1.233134452852488461e-01,-2.483830211654476650e-01
1.016203240648129658e+01,1.398713183615429623e+00,8.797145326608069027e-01,8.219201885730903490e-01,1.895868494416157179e-01,-1.249224500652582059e-01,-6.602555668721082904e-02
1.024204840968193686e+01,1.388649489603144493e+00,8.889636341257036722e-01,8.276421708806911415e-01,1.898314733083085737e-01,-1.266378306306617518e-01,-2.107099896364925395e-01
1.032206441288257714e+01,1.378443953222719953e+00,8.980942646408012209e-01,8.332695160318156491e-01,1.900626037812135072e-01,-1.284700603315702683e-01,-1.790726087252439147e-01
1.040208041608321743e+01,1.368086758343384002e+00,9.071062657612245506e-01,8.388032926445427861e-01,1.902806913776166620e-01,-1.304304551898435860e-01,-1.652422018582213603e-01
1.048209641928385771e+01,1.357567122228495959e+00,9.159994042130751302e-01,8.442445338692508017e-01,1.904861557426020813e-01,-1.325323657380736431e-01,-7.933215710889378325e-02
1.056211242248449800e+01,1.346873143147874652e+00,9.247733655727418123e-01,8.495942349322874731e-01,1.906793858028330846e-01,-1.347913603571851415e-01,-1.753215964964970064e-01
1.064212842568513828e+01,1.335991546509019967e+00,9.334277475119862055e-01,8.548533503672820499e-01,1.908607397463099598e-01,-1.372247336779985893e-01,-1.094364496699825745e-01
1.072214442888577679e+01,1.324907584700397933e+00,9.419620503692501812e-01,8.600227906225386132e-01,1.910305446862983758e-01,-1.398531477155698366e-01,-1.575064736049273662e-01
1.080216043208641707e+01,1.313604728769191876e+00,9.503756674682954930e-01,8.651034182260943783e-01,1.911890961093820340e-01,-1.427005730143662832e-01,-2.271676833795266137e-01
1.088217643528705736e+01,1.302064342842651934e+00,9.586678734399066704e-01,8.700960432309811088e-01,1.913366569853591215e-01,-1.457948450316687294e-01,-1.777774708059908226e-01
1.096219243848769764e+01,1.290265408304369199e+00,9.668378092711248373e-01,8.750014176401544885e-01,1.914734564081283508e-01,-1.491695060844219767e-01,-2.442094726012138395e-01
1.104220844168833793e+01,1.278183930952385694e+00,9.748844667392828622e-01,8.798202289955054933e-01,1.915996878774798295e-01,-1.528637618940884013e-01,-1.522122633071135156e-01
1.112222444488897821e+01,1.265792519342209932e+00,9.828066669081145790e-01,8.845530922366477977e-01,1.917155068071681734e-01,-1.569253785144941737e-01,-2.693120012710578104e-01
1.120224044808961850e+01,1.253059534435957634e+00,9.906030371317801064e-01,8.892005401428492162e-01,1.918210274450774522e-01,-1.614115738286250878e-01,-2.707010107581493963e-01
1.128225645129025878e+01,1.239948309404095950e+00,9.982719801807087290e-01,8.937630111264039945e-01,1.919163186382056296e-01,-1.663928010165377502e-01,-2.069661948601220214e-02
1.136227245449089907e+01,1.226415868675171605e+00,1.005811639156080073e+00,8.982408344047102533e-01,1.920013985111667654e-01,-1.719555246014609073e-01,-1.772739466319950552e-01
1.144228845769153935e+01,1.212411541906169621e+00,1.013219850964762969e+00,9.026342108138333264e-01,1.920762272688386618e-01,-1.782081818906350312e-01,-1.835983844378393237e-01
1.152230446089217963e+01,1.197874849197134273e+00,1.020494091308723261e+00,9.069431887974001016e-01,1.921406979948294957e-01,-1.852873060450455078e-01,-1.341336640532836133e-01
1.160232046409281992e+01,1.182732963314720331e+00,1.027631401286147828e+00,9.111676326459865471e-01,1.921946241291682678e-01,-1.933681911811868659e-01,-2.354538914360739810e-01
1.168233646729345843e+01,1.166897025562587453e+00,1.034628296005377646e+00,9.153071811709567740e-01,1.922377229235942009e-01,-2.026785954387738675e-01,-2.255321321865896844e-01
1.176235247049409871e+01,1.150257169581647032e+00,1.041480643576377485e+00,9.193611919548436706e-01,1.922695927476741062e-01,-2.135196940482614325e-01,-1.710048205150705436e-01
1.184236847369473900e+01,1.132675511057496864e+00,1.048183503865625310e+00,9.233286649453428252e-01,1.922896815669601078e-01,-2.262975265177158413e-01,-1.980559422932756941e-01
1.192238447689537928e+01,1.113975952875543740e+00,1.054730911222266920e+00,9.272081357195439688e-01,1.922972424390810287e-01,-2.415710852889246807e-01,-3.575007579821676273e-01
1.200240048009601956e+01,1.093929115740044589e+00,1.061115573009756563e+00,9.309975219807474778e-01,1.922912688800828551e-01,-2.601288643224036745e-01,-1.767946046554375039e-01
1.208241648329665985e+01,1.072229411444004965e+00,1.067328441141309092e+00,9.346938963296657077e-01,1.922703983540801909e-01,-2.831146442929116658e-01,-3.421581386218159881e-01
1.216243248649730013e+01,1.048458752176566033e+00,1.073358084699485016e+00,9.382931370894487255e-01,1.922327627554892560e-01,-3.122414950192303751e-01,-4.178493900506489722e-01
1.224244848969794042e+01,1.022027333075324007e+00,1.079189743631197018e+00,9.417893720249611578e-01,1.921757486096460632e-01,-3.501739658818225909e-01,-4.402214728817277489e-01
1.232246449289858070e+01,9.920718745077200529e-01,1.084803837207047428e+00,9.451740431587779545e-01,1.920955911445936526e-01,-4.012446387235357737e-01,-4.402991731590680802e-01
1.240248049609922099e+01,9.572717872089457902e-01,1.090173503611103545e+00,9.484342415506866741e-01,1.919866471237081373e-01,-4.728846433111999481e-01,-3.101546178488931993e-01
1.248249649929986127e+01,9.154945123912661131e-01,1.095260295471438328e+00,9.515495107941989161e-01,1.918399912758929626e-01,-5.786968828452587754e-01,-6.962504733373368060e-01
1.256251250250050155e+01,8.630559309710914562e-01,1.100006086129518668e+00,9.544851080358901507e-01,1.916404433080008129e-01,-7.456803081068580363e-01,-7.296727188534239961e-01
1.264252850570114006e+01,7.930146914857466589e-01,1.104316330530598522e+00,9.571758784836745804e-01,1.913594294207014157e-01,-1.033227343266004850e+00,-1.247009779075062497e+00
1.272254450890178035e+01,6.907252294122881997e-01,1.108020791836585195e+00,9.594805722056503061e-01,1.909347417906963051e-01,-1.590530015167942901e+00,-1.590686708482462519e+00
1.280256051210242063e+01,5.202458046023381577e-01,1.110762459347721887e+00,9.610166032537988956e-01,1.901977309004996008e-01,-2.861225691315255393e+00,-2.771269049567654630e+00
1.288257651530306092e+01,1.753986220831473819e-01,1.111580180106998883e+00,9.603424301508773908e-01,1.885232104471039616e-01,-6.394355962576686814e+00,-6.418022294782832482e+00
