t,x,v,z,e,dv_dt,dv_dt_noisy
1.960392078415683081e-01,9.711658645974815540e-01,-2.952125382422210453e-01,-2.842239856140206522e-02,4.117368411162360175e-04,-1.531766159563279217e+00,-1.522854490020455920e+00
2.000400080016003224e-01,9.699725143049980902e-01,-3.013445559651644068e-01,-2.958113946210910727e-02,4.463462328926668743e-04,-1.533637352732284409e+00,-1.530428869686618842e+00
2.040408081616323366e-01,9.687546159259403655e-01,-3.074841531679591289e-01,-3.076229162918929505e-02,4.830924448701970656e-04,-1.535555066644446409e+00,-1.543737368918349562e+00
2.080416083216643230e-01,9.675121387421063979e-01,-3.136315156199973586e-01,-3.196579956087158836e-02,5.220616970218225177e-04,-1.537519105764648453e+00,-1.530202582926794008e+00
2.120424084816963373e-01,9.662450513093969739e-01,-3.197868282225025394e-01,-3.319160676947151972e-02,5.633419211313716712e-04,-1.539529266657408080e+00,-1.544543666842078666e+00
2.160432086417283515e-01,9.649533214578150941e-01,-3.259502750085290779e-01,-3.443965578139116662e-02,6.070227607935036384e-04,-1.541585337554249424e+00,-1.532793731371369539e+00
2.200440088017603657e-01,9.636369162914669717e-01,-3.321220391429626773e-01,-3.570988813711915150e-02,6.531955714137093957e-04,-1.543687097913363448e+00,-1.554404972082137792e+00
2.240448089617923522e-01,9.622958021885608115e-01,-3.383023029225200595e-01,-3.700224439123064868e-02,7.019534202083109161e-04,-1.545834317971484850e+00,-1.536689645940197080e+00
2.280456091218243664e-01,9.609299448014079204e-01,-3.444912477757494651e-01,-3.831666411238740522e-02,7.533910862044631207e-04,-1.548026758287945448e+00,-1.548227392834100158e+00
2.320464092818563806e-01,9.595393090647261758e-01,-3.506890541662885941e-01,-3.965308587325269002e-02,8.076050620209281918e-04,-1.550264169198975139e+00,-1.562751658102319308e+00
2.360472094418883671e-01,9.581238591859733145e-01,-3.568959013119298307e-01,-4.101144723904552591e-02,8.646935749809646788e-04,-1.552546289986046713e+00,-1.555685284705715210e+00
2.400480096019203813e-01,9.566835585794996044e-01,-3.631119678029193776e-01,-4.239168483816743022e-02,9.247565823328424226e-04,-1.554872848865604062e+00,-1.554331826077888667e+00
2.440488097619523955e-01,9.552183699653963300e-01,-3.693374310094492685e-01,-4.379373427461406149e-02,9.878957599894514982e-04,-1.557243562140014470e+00,-1.554515648748370005e+00
2.480496099219844097e-01,9.537282553797591378e-01,-3.755724669989057851e-01,-4.521753011766087293e-02,1.054214502579864810e-03,-1.559658133600080543e+00,-1.569480014849490290e+00
2.520504100820163962e-01,9.522131761746873702e-01,-3.818172505358697344e-01,-4.666300590186309855e-02,1.123817923449339394e-03,-1.562116253978282687e+00,-1.573189984449934631e+00
2.560512102420484104e-01,9.506730930182847317e-01,-3.880719550821161157e-01,-4.813009412705580858e-02,1.196812854659315764e-03,-1.564617600394348162e+00,-1.562621755065877416e+00
2.600520104020804246e-01,9.491079658946586228e-01,-3.943367527966142316e-01,-4.961872625835382633e-02,1.273307846987417266e-03,-1.567161835793096092e+00,-1.571829331961894116e+00
2.640528105621124388e-01,9.475177541039205842e-01,-4.006118145355277438e-01,-5.112883272615176278e-02,1.353413169927450074e-03,-1.569748608374520682e+00,-1.567393552257218436e+00
2.680536107221444531e-01,9.459024162621862963e-01,-4.068973098522144505e-01,-5.266034292612405132e-02,1.437240811689404277e-03,-1.572377551016064245e+00,-1.564782355791280555e+00
2.720544108821764118e-01,9.442619103262527291e-01,-4.131934066769384351e-01,-5.421318519194499863e-02,1.524904481802046496e-03,-1.575048280339064188e+00,-1.591536154002573644e+00
2.760552110422084260e-01,9.425961935514434176e-01,-4.195002712170036174e-01,-5.578728681138209883e-02,1.616519637174249633e-03,-1.577760395815476890e+00,-1.575216514650300770e+00
2.800560112022404402e-01,9.409052224516734064e-01,-4.258180686370606760e-01,-5.738257407721319286e-02,1.712203471113208589e-03,-1.580513479930848675e+00,-1.568267010255491423e+00
2.840568113622724544e-01,9.391889529176956630e-01,-4.321469621486790924e-01,-5.899897218546238525e-02,1.812074896841769358e-03,-1.583307096711631834e+00,-1.586282365155336604e+00
2.880576115223044686e-01,9.374473402204253070e-01,-4.384871129788213695e-01,-6.063640523226722368e-02,1.916254547307223244e-03,-1.586140791012803808e+00,-1.594248936845179543e+00
2.920584116823364829e-01,9.356803390109398322e-01,-4.448386803698429759e-01,-6.229479621387870591e-02,2.024864775181307083e-03,-1.589014087829277555e+00,-1.581491649557481560e+00
2.960592118423684971e-01,9.338879033204783298e-01,-4.512018215794925680e-01,-6.397406702666123823e-02,2.138029652860204757e-03,-1.591926491600300198e+00,-1.589392026438218863e+00
3.000600120024004558e-01,9.320699865604425982e-01,-4.575766918809116013e-01,-6.567413846709269087e-02,2.255874972464541779e-03,-1.594877485506842385e+00,-1.585918654799066685e+00
3.040608121624324700e-01,9.302265415223960332e-01,-4.639634445626349413e-01,-6.739493023176441888e-02,2.378528245839396996e-03,-1.597866530761969717e+00,-1.601318687862482548e+00
3.080616123224644842e-01,9.283575203780644047e-01,-4.703622309285900860e-01,-6.913636091738115108e-02,2.506118704554288062e-03,-1.600893065894200440e+00,-1.615711248631422459e+00
3.120624124824964984e-01,9.264628747231584693e-01,-4.767731997653724130e-01,-7.089834798052441212e-02,2.638777296317008827e-03,-1.603956505347077233e+00,-1.605056612994189669e+00
3.160632126425285127e-01,9.245425555296595821e-01,-4.831964972642759371e-01,-7.268080775601079568e-02,2.776636714329483880e-03,-1.607056238426405992e+00,-1.611514519956518399e+00
3.200640128025605269e-01,9.225965130876543352e-01,-4.896322679616578744e-01,-7.448365551813063146e-02,2.919831394214879826e-03,-1.610191629797440793e+00,-1.602438391576965104e+00
3.240648129625925411e-01,9.206246971619936881e-01,-4.960806534344434637e-01,-7.630680535939436682e-02,3.068497478611831482e-03,-1.613362017200866472e+00,-1.611425688717095017e+00
3.280656131226244998e-01,9.186270569957065701e-01,-5.025417922668077297e-01,-7.815017018770892276e-02,3.222772816584338826e-03,-1.616566710572829635e+00,-1.632875202897180689e+00
3.320664132826565140e-01,9.166035413100003248e-01,-5.090158200501754271e-01,-8.001366172637777718e-02,3.382796963621776103e-03,-1.619804991199451871e+00,-1.631756622000483770e+00
3.360672134426885282e-01,9.145540983042601546e-01,-5.155028693832210962e-01,-8.189719051410077055e-02,3.548711181638875348e-03,-1.623076110866332966e+00,-1.614238220500460397e+00
3.400680136027205425e-01,9.124786756560497869e-01,-5.220030698718689521e-01,-8.380066590497425860e-02,3.720658438975739824e-03,-1.626379291003135830e+00,-1.619581640828957392e+00
3.440688137627525567e-01,9.103772205211109192e-01,-5.285165481292929401e-01,-8.572399606849107068e-02,3.898783410397839259e-03,-1.629713721823337513e+00,-1.636116155482422396e+00
3.480696139227845709e-01,9.082496795333633299e-01,-5.350434277759167356e-01,-8.766708798954052362e-02,4.083232477096008541e-03,-1.633078561459244682e+00,-1.633089049424917505e+00
3.520704140828165851e-01,9.060959988648459307e-01,-5.415838287883785185e-01,-8.962984742345266043e-02,4.274153711701236293e-03,-1.636472934163940351e+00,-1.632017198626178445e+00
3.560712142428485438e-01,9.039161242152717879e-01,-5.481378670661996022e-01,-9.161217888541779708e-02,4.471696899310241557e-03,-1.639895928595204389e+00,-1.635211885236731666e+00
3.600720144028805580e-01,9.017100006757211572e-01,-5.547056560481684606e-01,-9.361398575573241787e-02,4.676013568546273126e-03,-1.643346599246140460e+00,-1.634584177284996942e+00
3.640728145629125723e-01,8.994775729533402986e-01,-5.612873048408302257e-01,-9.563517012952726937e-02,4.887256917132295000e-03,-1.646823963014223402e+00,-1.644259106742007814e+00
3.680736147229445865e-01,8.972187853799289403e-01,-5.678829181377325064e-01,-9.767563281073500525e-02,5.105581809335975503e-03,-1.650326998089320707e+00,-1.651275281479005708e+00
3.720744148829766007e-01,8.949335819119400570e-01,-5.744925962194241675e-01,-9.973527331209010305e-02,5.331144775969680338e-03,-1.653854642950896903e+00,-1.656443123598775324e+00
3.760752150430086149e-01,8.926219061304805358e-01,-5.811164349534564399e-01,-1.018139898551289058e-01,5.564104014390475195e-03,-1.657405795364563339e+00,-1.646848367359230902e+00
3.800760152030406291e-01,8.902837012413101769e-01,-5.877545257943819212e-01,-1.039116793701895386e-01,5.804619388500124877e-03,-1.660979311378204093e+00,-1.683487854128989492e+00
3.840768153630725879e-01,8.879189100748428043e-01,-5.944069557837553530e-01,-1.060282374964120200e-01,6.052852428745088970e-03,-1.664574004317953548e+00,-1.665960557568866962e+00
3.880776155231046021e-01,8.855274750861450439e-01,-6.010738075501331767e-01,-1.081635585817382617e-01,6.308966332116536582e-03,-1.668188643784273006e+00,-1.667858642744432407e+00
3.920784156831366163e-01,8.831093384293403625e-01,-6.077551585870127893e-01,-1.103175356371839388e-01,6.573125933475588469e-03,-1.671821953520353343e+00,-1.686075443129055218e+00
3.960792158431686305e-01,8.806644420175314680e-01,-6.144510802394183013e-01,-1.124900602855784942e-01,6.845497696889901555e-03,-1.675472608612529557e+00,-1.672144472481149169e+00
4.000800160032006447e-01,8.781927272687738428e-01,-6.211616402117883240e-01,-1.146810229170657225e-01,7.126249814160340139e-03,-1.679139238366534670e+00,-1.685652048490968502e+00
4.040808161632326589e-01,8.756941354183396253e-01,-6.278869000537472544e-01,-1.168903125130792420e-01,7.415552068580981773e-03,-1.682820421497739805e+00,-1.674195973534582382e+00
4.080816163232646732e-01,8.731686075388200852e-01,-6.346269149825496392e-01,-1.191178166345433220e-01,7.713575826636441882e-03,-1.686514684724588653e+00,-1.687770605564931969e+00
4.120824164832966874e-01,8.706160845401251791e-01,-6.413817338830797299e-01,-1.213634214218728691e-01,8.020494038001870288e-03,-1.690220501637861972e+00,-1.683528969229967531e+00
4.160832166433286461e-01,8.680365071694835510e-01,-6.481513993078514835e-01,-1.236270115949733850e-01,8.336481235542952950e-03,-1.693936291577426090e+00,-1.681747855525713931e+00
4.200840168033606603e-01,8.654298160114428651e-01,-6.549359474770093392e-01,-1.259084704532411336e-01,8.661713535315923237e-03,-1.697660418516986791e+00,-1.693831122689852142e+00
4.240848169633926745e-01,8.627959514878693614e-01,-6.617354082783269975e-01,-1.282076798755629465e-01,8.996368636567539379e-03,-1.701391189957372596e+00,-1.710148401391601070e+00
4.280856171234246887e-01,8.601348538579485226e-01,-6.685498052672083080e-01,-1.305245203203162785e-01,9.340625821735098339e-03,-1.705126855828902777e+00,-1.720270042145949141e+00
4.320864172834567030e-01,8.574464633129291746e-01,-6.753791548396431699e-01,-1.328588707777635658e-01,9.694665909307219678e-03,-1.708865606015309346e+00,-1.691331764840145579e+00
4.360872174434887172e-01,8.547307201213152350e-01,-6.822234646159353044e-01,-1.352106086829684140e-01,1.005867119571630594e-02,-1.712605566359466369e+00,-1.713718488291341657e+00
4.400880176035207314e-01,8.519875642367319424e-01,-6.890827368644061313e-01,-1.375796101101160740e-01,1.043282565315187087e-02,-1.716344803274851838e+00,-1.723230452751195019e+00
4.440888177635526901e-01,8.492169357146386321e-01,-6.959569653130678324e-01,-1.399657495793806827e-01,1.081731470598059665e-02,-1.720081317447077929e+00,-1.718638746566469644e+00
4.480896179235847043e-01,8.464187747477170953e-01,-7.028461348595299585e-01,-1.423689000398532800e-01,1.121232521242951016e-02,-1.723813042159605846e+00,-1.725727155464432228e+00
4.520904180836167185e-01,8.435930216658723557e-01,-7.097502215709990958e-01,-1.447889328695415867e-01,1.161804546458594656e-02,-1.727537842116067868e+00,-1.719016419473941015e+00
4.560912182436487328e-01,8.407396169362320038e-01,-7.166691926842791993e-01,-1.472257178753702545e-01,1.203466518839757700e-02,-1.731253512284000928e+00,-1.730914230459629888e+00
4.600920184036807470e-01,8.378585011631467516e-01,-7.236030066057712595e-01,-1.496791232931806992e-01,1.246237554367239306e-02,-1.734957776760940762e+00,-1.734820280924756597e+00
4.640928185637127612e-01,8.349496150881899892e-01,-7.305516129114735246e-01,-1.521490157877311289e-01,1.290136912407871539e-02,-1.738648287663814962e+00,-1.745794084874144669e+00
4.680936187237447754e-01,8.320128995901581170e-01,-7.375149523469817225e-01,-1.546352604526966268e-01,1.335183995714519373e-02,-1.742322624042615287e+00,-1.737626943055140316e+00
4.720944188837767341e-01,8.290482958138603031e-01,-7.444929558163106975e-01,-1.571377207585936409e-01,1.381398342754589989e-02,-1.745978289030940989e+00,-1.756316956254490913e+00
4.760952190438087483e-01,8.260557454044584746e-01,-7.514855422436964583e-01,-1.596562584405431806e-01,1.428799615499824413e-02,-1.749612704832184118e+00,-1.742953810434544337e+00
4.800960192038407626e-01,8.230351899602970089e-01,-7.584926228633971368e-01,-1.621907337155072959e-01,1.477407632419551475e-02,-1.753223219223216445e+00,-1.737983844093315078e+00
4.840968193638727768e-01,8.199865715785091824e-01,-7.655140973234215718e-01,-1.647410050817699756e-01,1.527242333972072055e-02,-1.756807097781862392e+00,-1.772053958162853826e+00
4.880976195239047910e-01,8.169098329045927365e-01,-7.725498533130810142e-01,-1.673069292998021207e-01,1.578323779560494508e-02,-1.760361522134320511e+00,-1.785023814447833646e+00
4.920984196839368052e-01,8.138049171324107656e-01,-7.795997665629891271e-01,-1.698883613922617386e-01,1.630672147532734664e-02,-1.763883588892555032e+00,-1.757714801341011768e+00
4.960992198439688194e-01,8.106717680041910512e-01,-7.866637008450622082e-01,-1.724851546439936933e-01,1.684307735181516871e-02,-1.767370308635263232e+00,-1.741891330480431987e+00
5.001000200040007782e-01,8.075103298105262839e-01,-7.937415079725186340e-01,-1.750971606020298443e-01,1.739250958744370523e-02,-1.770818604933939833e+00,-1.780827853422658702e+00
5.041008201640327924e-01,8.043205473903742853e-01,-8.008330277998796376e-01,-1.777242290755892129e-01,1.795522353403637000e-02,-1.774225313425570993e+00,-1.786732271013590889e+00
5.081016203240648066e-01,8.011023661310576749e-01,-8.079380882229686422e-01,-1.803662081360775382e-01,1.853142573286461689e-02,-1.777587180933499544e+00,-1.771697491595694895e+00
5.121024204840968208e-01,7.978557321510816314e-01,-8.150565039012547253e-01,-1.830229440596994883e-01,1.912132378921871032e-02,-1.780900862308326893e+00,-1.789308078208909913e+00
5.161032206441288350e-01,7.945805926198629132e-01,-8.221880737428853836e-01,-1.856942812021655509e-01,1.972512617797132772e-02,-1.784162914869670935e+00,-1.789223169709038386e+00
5.201040208041608492e-01,7.912768950398900714e-01,-8.293325859218496632e-01,-1.883800622196043772e-01,2.034304274050535710e-02,-1.787369806763846380e+00,-1.790850981430684108e+00
5.241048209641928635e-01,7.879445879503197414e-01,-8.364898133100733268e-01,-1.910801278756306953e-01,2.097528417404934120e-02,-1.790517908066312280e+00,-1.785197887203394229e+00
5.281056211242248777e-01,7.845836209862327992e-01,-8.436595130772664985e-01,-1.937943170239052049e-01,2.162206198986179814e-02,-1.793603489317380451e+00,-1.797656512931311568e+00
5.321064212842568919e-01,7.811939448786340279e-01,-8.508414266909231083e-01,-1.965224666081346050e-01,2.228358851323121795e-02,-1.796622720852332211e+00,-1.793843892451530531e+00
5.361072214442889061e-01,7.777755114544522286e-01,-8.580352799163215582e-01,-1.992644116620715389e-01,2.296007688347605907e-02,-1.799571672207957551e+00,-1.801337004796893293e+00
5.401080216043209203e-01,7.743282736365403318e-01,-8.652407828165241677e-01,-2.020199853095146492e-01,2.365174105394476922e-02,-1.802446311607722951e+00,-1.810893022644239014e+00
5.441088217643528235e-01,7.708521854436755083e-01,-8.724576297523771728e-01,-2.047890187643085225e-01,2.435879579201573331e-02,-1.805242505527818508e+00,-1.808440768105250784e+00
5.481096219243848378e-01,7.673472019905585029e-01,-8.796854993825118374e-01,-2.075713413303438837e-01,2.508145667909737406e-02,-1.807956018346335458e+00,-1.817460014998014683e+00
5.521104220844168520e-01,7.638132797493619730e-01,-8.869240530753794705e-01,-2.103667803423263094e-01,2.581993990831153718e-02,-1.810582509176442700e+00,-1.810517359317745267e+00
5.561112222444488662e-01,7.602503769402384481e-01,-8.941729322311582351e-01,-2.131751610399920949e-01,2.657446201976930086e-02,-1.813117526592439521e+00,-1.824356188868095918e+00
5.601120224044808804e-01,7.566584526374424691e-01,-9.014317637211142209e-01,-2.159963067675429449e-01,2.734524059501442644e-02,-1.815556518443760314e+00,-1.826485462136712812e+00
5.641128225645128946e-01,7.530374676547402224e-01,-9.087001548659946470e-01,-2.188300388132222996e-01,2.813249353203738090e-02,-1.817894822830901758e+00,-1.803325204677849181e+00
5.681136227245449088e-01,7.493873846082753643e-01,-9.159776930664413896e-01,-2.216761763964840981e-01,2.893643899524035723e-02,-1.820127667466495236e+00,-1.820659509669548592e+00
5.721144228845769231e-01,7.457081679165697974e-01,-9.232639458029909818e-01,-2.245345366679928067e-01,2.975729541543725362e-02,-1.822250169822079213e+00,-1.822789190076799626e+00
5.761152230446089373e-01,7.419997838005228941e-01,-9.305584606360745026e-01,-2.274049347096232521e-01,3.059528148985368040e-02,-1.824257337396082868e+00,-1.819141973196906736e+00
5.801160232046409515e-01,7.382622002834120511e-01,-9.378607652060177990e-01,-2.302871835344608709e-01,3.145061618212696003e-02,-1.826144068105976404e+00,-1.830352638131465204e+00
5.841168233646729657e-01,7.344953871908922460e-01,-9.451703672330413752e-01,-2.331810940868015436e-01,3.232351872230613404e-02,-1.827905150807513035e+00,-1.830190504482294589e+00
5.881176235247049799e-01,7.306993161509963697e-01,-9.524867545172603922e-01,-2.360864752421515389e-01,3.321420860685194570e-02,-1.829535265943996070e+00,-1.825283778590677031e+00
5.921184236847369942e-01,7.268739609614088826e-01,-9.598093930917741545e-01,-2.390031337567003755e-01,3.412290528189055455e-02,-1.831028983099215246e+00,-1.828204824676771256e+00
5.961192238447690084e-01,7.230192980200821351e-01,-9.671377246527480542e-01,-2.419308741520948269e-01,3.504982782782288531e-02,-1.832380757161444329e+00,-1.843973724430768568e+00
6.001200240048009116e-01,7.191353052718111316e-01,-9.744711718945271439e-01,-2.448694988622830138e-01,3.599519586590566034e-02,-1.833584938728985758e+00,-1.825251512762289030e+00
6.041208241648329258e-01,7.152219632825650431e-01,-9.818091335314472756e-01,-2.478188081424050060e-01,3.695922857502972891e-02,-1.834635766878938146e+00,-1.840540116311828678e+00
6.081216243248649400e-01,7.112792552993555395e-01,-9.891509840083888561e-01,-2.507786000621269884e-01,3.794214463851733332e-02,-1.835527370035016759e+00,-1.846088159538158635e+00
6.121224244848969542e-01,7.073071672502359020e-01,-9.964960735007779569e-01,-2.537486705056417602e-01,3.894416224412215743e-02,-1.836253767506636603e+00,-1.845258518206627230e+00
6.161232246449289685e-01,7.033056877443020216e-01,-1.003843727914586204e+00,-2.567288131716684019e-01,3.996549908402936141e-02,-1.836808871204051341e+00,-1.840714324647604538e+00
6.201240248049609827e-01,6.992748080716916226e-01,-1.011193248886329998e+00,-2.597188195734526639e-01,4.100637235485554699e-02,-1.837186487532911805e+00,-1.820913484986681041e+00
6.241248249649929969e-01,6.952145222035845951e-01,-1.018543913783071853e+00,-2.627184790387664948e-01,4.206699875764877139e-02,-1.837380319471548784e+00,-1.849135678520756665e+00
6.281256251250250111e-01,6.911248267922028843e-01,-1.025894975702419165e+00,-2.657275787099083741e-01,4.314759449788854034e-02,-1.837383968834222170e+00,-1.835783209908878666e+00
