t,x,y,a,s,dx_dt,dx_dt_noisy
3.480696139227845709e+00,9.272951588559645852e-01,2.934607676663359976e-01,1.526709384944843206e-01,9.393609814798358215e-01,6.186592093667216651e-03,-8.861722044975983703e-03
3.600720144028805692e+00,9.280301048647415785e-01,2.993255651584432186e-01,1.544676299237462691e-01,9.373454129000493573e-01,6.059510457489709900e-03,1.447409939202970799e-02
3.720744148829766118e+00,9.287496117223159597e-01,3.051441967263252009e-01,1.562625517623986438e-01,9.353351081909890841e-01,5.929274327124208800e-03,7.216430901864893770e-03
3.840768153630726101e+00,9.294532771321027953e-01,3.109173031950267507e-01,1.580556559096767399e-01,9.333300914248037206e-01,5.795525995738562072e-03,1.657895040313154406e-02
3.960792158431686083e+00,9.301406577234109241e-01,3.166455171542950087e-01,1.598468934517306150e-01,9.313303871855651561e-01,5.657881884592284860e-03,1.288219060766727583e-02
4.080816163232646510e+00,9.308112635109753175e-01,3.223294640113484322e-01,1.616362144476738150e-01,9.293360207320022770e-01,5.515931155355684005e-03,7.621649279108489231e-03
4.200840168033606936e+00,9.314645507161269933e-01,3.279697631036722627e-01,1.634235676790897485e-01,9.273470181869786222e-01,5.369234400342102857e-03,8.209615852845811301e-03
4.320864172834566475e+00,9.320999270782170942e-01,3.335670268407111561e-01,1.652089008439675821e-01,9.253634063899004447e-01,5.217321127148324446e-03,3.519716149916970321e-03
4.440888177635526901e+00,9.327167354803725940e-01,3.391218641184378102e-01,1.669921598949335728e-01,9.233852134009277179e-01,5.059689157695426188e-03,1.374429126981052685e-02
4.560912182436487328e+00,9.333142533518857809e-01,3.446348804387640019e-01,1.687732890155887455e-01,9.214124685189916120e-01,4.895802541420293461e-03,-6.401357076387255776e-03
4.680936187237447754e+00,9.338916926682137021e-01,3.501066779095405312e-01,1.705522306205091432e-01,9.194452022817938275e-01,4.725089384521007074e-03,5.065011227378445405e-04
4.800960192038407293e+00,9.344481999509783865e-01,3.555378552445572771e-01,1.723289253552456601e-01,9.174834464658069288e-01,4.546939666868199392e-03,6.976328197855551777e-03
4.920984196839367719e+00,9.349828465443156267e-01,3.609290091519636867e-01,1.741033116974274042e-01,9.155272343868026130e-01,4.360703945343823683e-03,2.237491252983715359e-02
5.041008201640328146e+00,9.354946207607012232e-01,3.662807351311307968e-01,1.758753256946047894e-01,9.135766010919389446e-01,4.165691913659769381e-03,-3.478949243544224128e-03
5.161032206441288572e+00,9.359824313833505771e-01,3.715936272378240202e-01,1.776449010692966179e-01,9.116315832831051180e-01,3.961169984285703785e-03,-6.829434607083720646e-03
5.281056211242248111e+00,9.364450883481277854e-01,3.768682811686950851e-01,1.794119683711198343e-01,9.096922199602324177e-01,3.746361010913429150e-03,-1.886510974126949340e-03
5.401080216043208537e+00,9.368813024506874587e-01,3.821052943057022810e-01,1.811764549643222200e-01,9.077585524307248965e-01,3.520442419459118410e-03,1.321316443084074796e-02
5.521104220844168964e+00,9.372896853464748324e-01,3.873052657161105694e-01,1.829382850277825601e-01,9.058306243094600418e-01,3.282544489586069689e-03,9.324894206678116700e-04
5.641128225645129390e+00,9.376687493998974166e-01,3.924687961693374416e-01,1.846973795474066704e-01,9.039084815245739257e-01,3.031748879576490543e-03,1.627521907194606071e-02
5.761152230446088929e+00,9.380168892273966774e-01,3.975964900361113608e-01,1.864536554496962761e-01,9.019921729713631375e-01,2.767089087499377889e-03,-1.595820608856086259e-02
5.881176235247049355e+00,9.383323833596668440e-01,4.026889547477321973e-01,1.882070258356499382e-01,9.000817503211981929e-01,2.487549448436893445e-03,1.377278086744167414e-02
6.001200240048009782e+00,9.386133850040583315e-01,4.077468022671795755e-01,1.899573993568289543e-01,8.981772685089288721e-01,2.192065526191619342e-03,1.254072792548700799e-02
6.121224244848969320e+00,9.388579102065598425e-01,4.127706505197567544e-01,1.917046795775430856e-01,8.962787862215907397e-01,1.879525243409571091e-03,-1.230713165460527864e-02
6.241248249649929747e+00,9.390638378517985885e-01,4.177611233930907386e-01,1.934487649748506677e-01,8.943863658984054776e-01,1.548769551196754225e-03,3.084588416556332049e-03
6.361272254450890173e+00,9.392289096630405121e-01,4.227188507371320569e-01,1.951895489385585825e-01,8.925000737307808851e-01,1.198593805554091715e-03,1.335617015749945499e-02
6.481296259251850600e+00,9.393507264191159889e-01,4.276444685444160121e-01,1.969269194880250984e-01,8.906199798818679181e-01,8.277503127124783431e-04,1.706940735807702201e-03
6.601320264052810138e+00,9.394267289817428424e-01,4.325386197674325750e-01,1.986607582390462479e-01,8.887461592661580756e-01,4.349532059172175435e-04,1.043196742743501826e-02
6.721344268853770565e+00,9.394542048256629974e-01,4.374019540118210259e-01,2.003909408801526626e-01,8.868786911808658191e-01,1.888202026411576700e-05,2.376775115343555261e-02
6.841368273654730991e+00,9.394302787281064715e-01,4.422351281033422565e-01,2.021173359297683547e-01,8.850176602995553088e-01,-4.218120349090220497e-04,2.317510511014276957e-03
6.961392278455691418e+00,9.393519115624310301e-01,4.470388061510330302e-01,2.038398046207210157e-01,8.831631567630654489e-01,-8.884992638029104569e-04,-3.692322403232289624e-03
7.081416283256650956e+00,9.392159002981224081e-01,4.518136595472055927e-01,2.055582009002420996e-01,8.813152761795092216e-01,-1.382563340671999572e-03,-9.093084938867306358e-03
7.201440288057611383e+00,9.390188784960549206e-01,4.565603667580986902e-01,2.072723713382170485e-01,8.794741197003698163e-01,-1.905391616821472574e-03,4.575254398623379917e-03
7.321464292858571810e+00,9.387573131844345609e-01,4.612796114176473949e-01,2.089821540608504113e-01,8.776397948729758314e-01,-2.458363154390992913e-03,-4.425663817968230294e-03
7.441488297659532236e+00,9.384274966312499133e-01,4.659720832909343136e-01,2.106873790471790187e-01,8.758124153719583083e-01,-3.042834825592685699e-03,-4.830298533533363553e-03
7.561512302460491775e+00,9.380255682444483822e-01,4.706384751947225720e-01,2.123878672783622856e-01,8.739921017682787951e-01,-3.660127772077770639e-03,-4.712725556228089703e-03
7.681536307261452201e+00,9.375475177575265384e-01,4.752794823331526475e-01,2.140834304990211212e-01,8.721789817340702688e-01,-4.311510424358767912e-03,2.187186101496171528e-03
7.801560312062412628e+00,9.369891852295293422e-01,4.798958022977423687e-01,2.157738712172379836e-01,8.703731900426378010e-01,-4.998179361225875764e-03,-1.566157548287500090e-02
7.921584316863372166e+00,9.363462646776152809e-01,4.844881345033828501e-01,2.174589826683404614e-01,8.685748686079517444e-01,-5.721238517367569811e-03,-2.102000342407313316e-02
8.041608321664332593e+00,9.356143332238603394e-01,4.890571740053600291e-01,2.191385482432393061e-01,8.667841670266976939e-01,-6.481678041221979221e-03,-3.082044501271136508e-02
8.161632326465293019e+00,9.347888303665173870e-01,4.936036132390664299e-01,2.208123415170152037e-01,8.650012424992609139e-01,-7.280347861555082865e-03,4.706361132345700422e-03
8.281656331266253446e+00,9.338651262752020177e-01,4.981281344941975719e-01,2.224801261671308372e-01,8.632262600962438137e-01,-8.117936555216304431e-03,-7.380002959383642064e-03
8.401680336067213872e+00,9.328385356221043923e-01,5.026314081236828990e-01,2.241416559010571685e-01,8.614593928566124381e-01,-8.994944683731499746e-03,6.106249447491959512e-03
8.521704340868174299e+00,9.317043175819887946e-01,5.071140925436855573e-01,2.257966744562736050e-01,8.597008217876958014e-01,-9.911656368856163954e-03,-1.000121934996015330e-02
8.641728345669132949e+00,9.304576890091639241e-01,5.115768326243832487e-01,2.274449156986429743e-01,8.579507358170808118e-01,-1.086811157954566641e-02,-1.828966613153744022e-02
8.761752350470093376e+00,9.290938969500690536e-01,5.160202484204270412e-01,2.290861040533249682e-01,8.562093316313209579e-01,-1.186408239083913858e-02,-7.084789402842578063e-03
8.881776355271053802e+00,9.276081913423767089e-01,5.204449373520987354e-01,2.307199543504944994e-01,8.544768137508108596e-01,-1.289904316742157553e-02,-1.366492729679354146e-02
9.001800360072014229e+00,9.259959482730387714e-01,5.248514629704708057e-01,2.323461730120542634e-01,8.527533938495999166e-01,-1.397215387580064833e-02,-2.651402049553695794e-02
9.121824364872974655e+00,9.242526871459029181e-01,5.292403531605658351e-01,2.339644581978719828e-01,8.510392906767151322e-01,-1.508223769713790303e-02,-2.393290351164562360e-02
9.241848369673935082e+00,9.223740706817126211e-01,5.336121001413570708e-01,2.355744998057804351e-01,8.493347300561616686e-01,-1.622776092483874111e-02,1.440032250007140802e-03
9.361872374474895508e+00,9.203559316074978458e-01,5.379671578692171163e-01,2.371759799439066285e-01,8.476399445418941747e-01,-1.740681926671606289e-02,-1.386331331348080592e-02
9.481896379275855935e+00,9.181943853661657107e-01,5.423059271843745366e-01,2.387685748846826994e-01,8.459551720799345365e-01,-1.861713467610894707e-02,-1.445326932580716893e-02
9.601920384076814585e+00,9.158857955970384213e-01,5.466287583606679323e-01,2.403519545889772624e-01,8.442806563742601966e-01,-1.985604799061316261e-02,-2.262156517382327842e-02
9.721944388877775012e+00,9.134269190024942864e-01,5.509359423341698703e-01,2.419257854372500738e-01,8.426166447689867889e-01,-2.112053277436412232e-02,-2.801772841202504125e-02
9.841968393678735438e+00,9.108149201561339670e-01,5.552277095546195307e-01,2.434897304985181032e-01,8.409633880451621302e-01,-2.240720590763158743e-02,-1.349064775192224466e-02
9.961992398479695865e+00,9.080473715027801429e-01,5.595042299854237067e-01,2.450434495303557003e-01,8.393211404207661097e-01,-2.371234488023882953e-02,-2.475860940697574564e-02
1.008201640328065629e+01,9.051222642609654256e-01,5.637656126719842176e-01,2.465865994002590378e-01,8.376901591690419924e-01,-2.503191405551063314e-02,-3.262299517298993673e-02
1.020204040808161672e+01,9.020381270578773369e-01,5.680118948988739369e-01,2.481188380400832227e-01,8.360707013520299880e-01,-2.636160672871815103e-02,-2.770289192221362870e-02
1.032206441288257714e+01,8.987940042163939935e-01,5.722430383715770841e-01,2.496398232878972723e-01,8.344630251355126260e-01,-2.769688215043506277e-02,-3.675294231765857678e-02
1.044208841768353579e+01,8.953895070959135838e-01,5.764589373350441637e-01,2.511492160721320310e-01,8.328673864091613588e-01,-2.903302039445142951e-02,-2.713256200854030978e-02
1.056211242248449622e+01,8.918248303848331782e-01,5.806594189320467558e-01,2.526466811532309675e-01,8.312840380646950855e-01,-3.036517717713853315e-02,-1.907290087644813309e-02
1.068213642728545665e+01,8.881007521005488403e-01,5.848442432031771832e-01,2.541318871236499244e-01,8.297132299958801527e-01,-3.168844137620294155e-02,-4.004929303763540838e-02
1.080216043208641707e+01,8.842186335894557381e-01,5.890131030868488438e-01,2.556045064078574236e-01,8.281552090985305759e-01,-3.299789559429062297e-02,-1.871245554258278015e-02
1.092218443688737750e+01,8.801804026842776629e-01,5.931656294059933776e-01,2.570642168670397298e-01,8.266102173676130871e-01,-3.428867864444394564e-02,-4.096487813105852138e-02
1.104220844168833793e+01,8.759886011544694151e-01,5.973013863399450063e-01,2.585107058950338321e-01,8.250784883257175073e-01,-3.555605176409130236e-02,-3.402193013685190365e-02
1.116223244648929835e+01,8.716463563599096132e-01,6.014198752071117093e-01,2.599436683228494305e-01,8.235602488320109549e-01,-3.679545647697658739e-02,-4.515932173001847155e-02
1.128225645129025878e+01,8.671572742506191700e-01,6.055205568668162730e-01,2.613628078927331955e-01,8.220557160537945718e-01,-3.800256840588721319e-02,-4.022492006943056281e-02
1.140228045609121743e+01,8.625254375363567982e-01,6.096028521391455568e-01,2.627678373191271177e-01,8.205650973774816226e-01,-3.917334878838434065e-02,-3.869930466344307513e-02
1.152230446089217786e+01,8.577554056866188992e-01,6.136661418049499384e-01,2.641584782886685079e-01,8.190885904085966063e-01,-4.030408980247725259e-02,-4.465093926421152132e-02
1.164232846569313828e+01,8.528522149306397848e-01,6.177097666058437575e-01,2.655344614601899966e-01,8.176263829717760334e-01,-4.139145278994257188e-02,-4.842033174566762188e-02
1.176235247049409871e+01,8.478212589047229297e-01,6.217330423873851375e-01,2.668955270510299238e-01,8.161786511828855728e-01,-4.243249236151561826e-02,-4.921135426815222841e-02
1.188237647529505914e+01,8.426682689453520725e-01,6.257352629501506946e-01,2.682414272331919425e-01,8.147455571475432645e-01,-4.342467825035327411e-02,-5.163627774286187050e-02
1.200240048009601956e+01,8.373992887382991634e-01,6.297157045717428625e-01,2.695719236545804920e-01,8.133272508012303614e-01,-4.436590728322529348e-02,-6.006670721246958056e-02
1.212242448489697999e+01,8.320205121772377144e-01,6.336736469225549007e-01,2.708867863424683220e-01,8.119238689245613649e-01,-4.525449973732975639e-02,-4.788419584810434809e-02
1.224244848969793864e+01,8.265382831385723605e-01,6.376083730944737127e-01,2.721857937032100550e-01,8.105355351408487508e-01,-4.608919721972901812e-02,-4.207761512362764855e-02
1.236247249449889907e+01,8.209590954814383057e-01,6.415191696008800681e-01,2.734687325222420751e-01,8.091623599161028579e-01,-4.686915376761249113e-02,-3.778513451668499834e-02
1.248249649929985949e+01,8.152895928726854313e-01,6.454053263935911611e-01,2.747353979616547481e-01,8.078044405593891586e-01,-4.759392101796034585e-02,-4.112289373249930491e-02
1.260252050410081992e+01,8.095364245837621819e-01,6.492661510654718082e-01,2.759855920762864234e-01,8.064618610283272870e-01,-4.826341843875782411e-02,-2.369005321533358341e-02
1.272254450890178035e+01,8.037062148359425118e-01,6.531009729603375336e-01,2.772191245795237458e-01,8.051346908124472623e-01,-4.887790752695164720e-02,-4.569109117617323190e-02
1.284256851370274077e+01,7.978055595253005228e-01,6.569091436092637792e-01,2.784358109936377335e-01,8.038229865601341784e-01,-4.943796382938399347e-02,-5.400130276870417079e-02
1.296259251850370120e+01,7.918409249262550187e-01,6.606900464375066173e-01,2.796354707594744804e-01,8.025267927327127682e-01,-4.994444019574147825e-02,-3.122809382558080007e-02
1.308261652330466163e+01,7.858186476915693941e-01,6.644430967645026387e-01,2.808179272364555445e-01,8.012461416044465157e-01,-5.039843607440500778e-02,-6.087061701034583716e-02
1.320264052810562028e+01,7.797449348523516344e-01,6.681677418038689531e-01,2.819830077025776705e-01,7.999810532625382109e-01,-5.080126645309154115e-02,-4.111649035786936468e-02
1.332266453290658070e+01,7.736258637416910666e-01,6.718634606667306386e-01,2.831305433525482251e-01,7.987315356093021013e-01,-5.115443113064295499e-02,-6.070587882788981704e-02
1.344268853770754113e+01,7.674673151936295401e-01,6.755297681159458945e-01,2.842603677543972807e-01,7.974975856974404476e-01,-5.145957938433544376e-02,-4.791846280832041949e-02
1.356271254250850156e+01,7.612749370853464370e-01,6.791662186039134630e-01,2.853723159920792396e-01,7.962791893710404745e-01,-5.171847878468936038e-02,-7.140244630706801821e-02
1.368273654730946198e+01,7.550541732798833339e-01,6.827724029313281262e-01,2.864662247873528966e-01,7.950763222418258946e-01,-5.193299040227536412e-02,-4.294025332576929116e-02
1.380276055211042241e+01,7.488102326555517996e-01,6.863479489250446930e-01,2.875419316246806689e-01,7.938889510741486966e-01,-5.210504130024511821e-02,-5.368751745296077016e-02
1.392278455691138284e+01,7.425480891059335065e-01,6.898925214380773330e-01,2.885992747512286516e-01,7.927170337849894777e-01,-5.223660194386558348e-02,-6.191341666110767444e-02
1.404280856171234149e+01,7.362724815398797862e-01,6.934058223496003537e-01,2.896380931768663958e-01,7.915605194439568892e-01,-5.232966582922968929e-02,-3.554547544160809036e-02
1.416283256651330191e+01,7.299879138843052839e-01,6.968875905636007229e-01,2.906582266745417753e-01,7.904193482738722798e-01,-5.238623134520155322e-02,-4.473268450754033787e-02
1.428285657131426234e+01,7.236986557393108033e-01,7.003375987708396755e-01,2.916595162651929307e-01,7.892934533292470523e-01,-5.240828555825031987e-02,-5.195020720045655932e-02
1.440288057611522277e+01,7.174087222951218701e-01,7.037556550232397790e-01,2.926418024765846115e-01,7.881827606492134430e-01,-5.239778865509014255e-02,-5.985222254299141925e-02
1.452290458091618319e+01,7.111218972382661319e-01,7.071416005528505799e-01,2.936049269517463922e-01,7.870871894999977858e-01,-5.235666414665266638e-02,-5.279029004827019006e-02
1.464292858571714362e+01,7.048417466649568031e-01,7.104953058033416369e-01,2.945487339061217402e-01,7.860066538567107575e-01,-5.228678993301501265e-02,-5.392607756256697499e-02
1.476295259051810405e+01,6.985716190810932202e-01,7.138166704300030752e-01,2.954730701275679050e-01,7.849410624033468231e-01,-5.218999015835344701e-02,-4.494222522294251398e-02
1.488297659531906447e+01,6.923146454022598428e-01,7.171056232997449209e-01,2.963777849763560845e-01,7.838903185327846801e-01,-5.206802860861558385e-02,-4.408727679701765489e-02
1.500300060012002312e+01,6.860737389537272524e-01,7.203621224910978782e-01,2.972627303851711478e-01,7.828543203467872580e-01,-5.192260349512549389e-02,-5.860016729275282360e-02
1.512302460492098355e+01,6.798516146334498966e-01,7.235861516785926373e-01,2.981277630128804645e-01,7.818329616517245562e-01,-5.175534502265850129e-02,-5.724905063022901752e-02
1.524304860972194398e+01,6.736507994586692361e-01,7.267777170840392653e-01,2.989727445827992658e-01,7.808261330514789655e-01,-5.156781319429149663e-02,-5.688846647207760482e-02
1.536307261452290440e+01,6.674736227196915728e-01,7.299368501308216572e-01,2.997975411600392048e-01,7.798337210742658510e-01,-5.136149520946670100e-02,-6.485466767204572935e-02
1.548309661932386483e+01,6.613222554056249480e-01,7.330636010327439278e-01,3.006020282850562220e-01,7.788556097152532498e-01,-5.113780768603644333e-02,-5.705355651494860292e-02
1.560312062412482526e+01,6.551987107905893337e-01,7.361580386915961283e-01,3.013860910453906583e-01,7.778916804629479875e-01,-5.089809626588766983e-02,-5.182217691795160813e-02
1.572314462892578568e+01,6.491048444337170764e-01,7.392202506971541354e-01,3.021496240756669227e-01,7.769418122991958997e-01,-5.064363575235780041e-02,-4.373411630630139046e-02
1.584316863372674433e+01,6.430423541791523423e-01,7.422503433271793183e-01,3.028925315575936583e-01,7.760058816991810549e-01,-5.037563073006286196e-02,-3.717183583639507849e-02
1.596319263852770476e+01,6.370127842308798138e-01,7.452484409382725827e-01,3.036147277906352526e-01,7.750837627632695126e-01,-5.009521693091308070e-02,-5.817867570650639419e-02
1.608321664332866519e+01,6.310175679119989223e-01,7.482146792277138969e-01,3.043161430866285766e-01,7.741753287641027770e-01,-4.980346621927111972e-02,-4.429370090045810920e-02
1.620324064812962561e+01,6.250579923435871654e-01,7.511492102337845589e-01,3.049967188155544018e-01,7.732804511406307091e-01,-4.950138510382220275e-02,-5.394595336087763815e-02
1.632326465293058604e+01,6.191352339417690587e-01,7.540521977024348121e-01,3.056564126316044239e-01,7.723990003332865673e-01,-4.918991961846304328e-02,-2.843804185530914019e-02
1.644328865773154646e+01,6.132503702827091230e-01,7.569238153899860988e-01,3.062952001603169161e-01,7.715308461320875555e-01,-4.886995823877422068e-02,-4.935719368503125454e-02
1.656331266253250689e+01,6.074043801026128842e-01,7.597642470631315037e-01,3.069130749985767292e-01,7.706758576766344904e-01,-4.854233386977015174e-02,-4.352106416568400638e-02
1.668333666733346732e+01,6.015981432977260956e-01,7.625736864989355324e-01,3.075100487146153472e-01,7.698339034561122451e-01,-4.820782589860600487e-02,-5.756944742998433562e-02
1.680336067213442774e+01,5.958324409243350717e-01,7.653523374848340000e-01,3.080861508480107203e-01,7.690048513092889726e-01,-4.786716228100442588e-02,-5.597405692399887167e-02
1.692338467693538817e+01,5.901079585151900453e-01,7.681004133735699346e-01,3.086414291120895825e-01,7.681885685074972825e-01,-4.752102191081365029e-02,-4.550406890210727251e-02
1.704340868173634860e+01,5.844253242536333603e-01,7.708181316906461689e-01,3.091759531503221470e-01,7.673849228274061129e-01,-4.717003991808051133e-02,-5.101058442304177987e-02
1.716343268653730902e+01,5.787850736190054413e-01,7.735057186096198079e-01,3.096898139946112072e-01,7.665937817826915524e-01,-4.681480682834422008e-02,-4.328192090263880548e-02
1.728345669133826590e+01,5.731876764052390438e-01,7.761634058278900072e-01,3.101831232670785865e-01,7.658150130798521138e-01,-4.645587273055920563e-02,-6.207411392341662115e-02
1.740348069613922632e+01,5.676335477435808796e-01,7.787914291493958086e-01,3.106560135392758548e-01,7.650484848668893667e-01,-4.609375014712607105e-02,-3.947370044563669467e-02
1.752350470094018675e+01,5.621230481025923931e-01,7.813900284846154731e-01,3.111086383321839954e-01,7.642940657333079368e-01,-4.572891593408649064e-02,-5.472371951188382405e-02
1.764352870574114718e+01,5.566564832881488734e-01,7.839594478505667041e-01,3.115411721162137937e-01,7.635516247101152842e-01,-4.536181310952205892e-02,-2.813757914585910541e-02
1.776355271054210760e+01,5.512341044434402315e-01,7.864999353708065355e-01,3.119538103112055039e-01,7.628210312698218143e-01,-4.499285260622237770e-02,-4.787752502690211659e-02
1.788357671534306803e+01,5.458561080489705564e-01,7.890117432754315541e-01,3.123467692864290712e-01,7.621021553264410997e-01,-4.462241494619564874e-02,-3.364976457733602488e-02
1.800360072014402846e+01,5.405226400526337294e-01,7.914951273955554978e-01,3.127202852419915247e-01,7.613948673127223232e-01,-4.425085214983243143e-02,-5.820068537846262435e-02
1.812362472494498888e+01,5.352338259561689737e-01,7.939503431858787597e-01,3.130746093958091114e-01,7.606990388651353463e-01,-4.387849163096927546e-02,-3.958902918582037078e-02
1.824364872974594931e+01,5.299897348881955628e-01,7.963776498897617850e-01,3.134100203216276803e-01,7.600145422462243339e-01,-4.350563497615849567e-02,-5.238593148410437134e-02
1.836367273454690974e+01,5.247904031104467792e-01,7.987773081290286958e-01,3.137268122786927016e-01,7.593412505881833585e-01,-4.313256098476371536e-02,-4.800145167162304244e-02
1.848369673934787016e+01,5.196358409716904658e-01,8.011495790984688448e-01,3.140252928105805585e-01,7.586790380038219705e-01,-4.275952752430992737e-02,-4.251356370239742222e-02
1.860372074414883059e+01,5.145260329077299133e-01,8.034947245658365933e-01,3.143057827451986586e-01,7.580277795865650869e-01,-4.238677278972830670e-02,-4.555752245907453146e-02
1.872374474894979102e+01,5.094609374414029723e-01,8.058130068718512007e-01,3.145686161947852666e-01,7.573873514104534355e-01,-4.201451648361723828e-02,-3.937196023215241286e-02
1.884376875375075144e+01,5.044404871825828307e-01,8.081046889301976011e-01,3.148141405559098382e-01,7.567576305301429995e-01,-4.164296092139357919e-02,-3.416640663333152250e-02
1.896379275855171187e+01,4.994645888281772361e-01,8.103700342275255153e-01,3.150427165094725201e-01,7.561384949809055733e-01,-4.127229206521693117e-02,-3.474447067431835762e-02
1.908381676335266874e+01,4.945331231621293289e-01,8.126093068234496730e-01,3.152547180207045940e-01,7.555298237786283178e-01,-4.090268049053562283e-02,-4.177749531947019118e-02
1.920384076815362917e+01,4.896459452929176059e-01,8.148227713237187197e-01,3.154505321440464471e-01,7.549314969223948069e-01,-4.053428230624855910e-02,-5.416858740609205303e-02
1.932386477295458960e+01,4.848029044524894138e-01,8.170106904697600481e-01,3.156305440600772894e-01,7.543433956805595253e-01,-4.016724146072096768e-02,-4.821370252580926136e-02
1.944388877775555002e+01,4.800038305469184197e-01,8.191733262953356798e-01,3.157951508204902558e-01,7.537654025932735147e-01,-3.980168962201205418e-02,-4.175925170678969345e-02
