t,N,crowding_load,dN_dt
9.481896379275854825e-01,1.515517975977903973e+02,1.043455798309195046e+02,6.274127712837717752e+01
9.601920384076814141e-01,1.523058675996770432e+02,1.044596654460379028e+02,6.291154649961532641e+01
9.721944388877774568e-01,1.530619709543191789e+02,1.045752879536058373e+02,6.308012778371059426e+01
9.841968393678734994e-01,1.538200884170686322e+02,1.046924485376421785e+02,6.324702890209847084e+01
9.961992398479695421e-01,1.545801994032537436e+02,1.048111482906352023e+02,6.341225812473452095e+01
1.008201640328065585e+00,1.553422835147696333e+02,1.049313882585316264e+02,6.357582477175676416e+01
1.020204040808161627e+00,1.561063205843906019e+02,1.050531694418555304e+02,6.373773923415986076e+01
1.032206441288257670e+00,1.568722906757699889e+02,1.051764927957083984e+02,6.389801297371473510e+01
1.044208841768353491e+00,1.576401740834403142e+02,1.053013592297691332e+02,6.405665852245834913e+01
1.056211242248449533e+00,1.584099513328131081e+02,1.054277696082940139e+02,6.421368948175313562e+01
1.068213642728545576e+00,1.591816031801790814e+02,1.055557247501167524e+02,6.436912052091643943e+01
1.080216043208641619e+00,1.599551106127080118e+02,1.056852254286484367e+02,6.452296737541993821e+01
1.092218443688737661e+00,1.607304548484487157e+02,1.058162723718775737e+02,6.467524684465971063e+01
1.104220844168833704e+00,1.615076173363292185e+02,1.059488662623700463e+02,6.482597678929741392e+01
1.116223244648929747e+00,1.622865797561565557e+02,1.060830077372691420e+02,6.497517612817344457e+01
1.128225645129025789e+00,1.630673240186169153e+02,1.062186973882955954e+02,6.512286483479320509e+01
1.140228045609121832e+00,1.638498322652755803e+02,1.063559357617474603e+02,6.526906393338752821e+01
1.152230446089217875e+00,1.646340868685768726e+02,1.064947233585002806e+02,6.541379549454866549e+01
1.164232846569313695e+00,1.654200704318442945e+02,1.066350606340069191e+02,6.555708263044368778e+01
1.176235247049409738e+00,1.662077657892804439e+02,1.067769479982977145e+02,6.569894948960664749e+01
1.188237647529505780e+00,1.669971560059669571e+02,1.069203858159803389e+02,6.583942125131174805e+01
1.200240048009601823e+00,1.677882243778645943e+02,1.070653744062399113e+02,6.597852411952960949e+01
1.212242448489697866e+00,1.685809544318132396e+02,1.072119140428389272e+02,6.611628531646888973e+01
1.224244848969793908e+00,1.693753299255318439e+02,1.073600049541173007e+02,6.625273307570576264e+01
1.236247249449889951e+00,1.701713348476184819e+02,1.075096473229923362e+02,6.638789663490408088e+01
1.248249649929985994e+00,1.709689541571457880e+02,1.076608413406289060e+02,6.652180654571014884e+01
1.260252050410082036e+00,1.717681739869655075e+02,1.078135872095896985e+02,6.665449475064201579e+01
1.272254450890177857e+00,1.725689794789387292e+02,1.079678849894509227e+02,6.678599364428936269e+01
1.284256851370273900e+00,1.733713562354077453e+02,1.081237347123849872e+02,6.691633668803065405e+01
1.296259251850369942e+00,1.741752903685369347e+02,1.082811363868999734e+02,6.704555842055711423e+01
1.308261652330465985e+00,1.749807685003129052e+02,1.084400899978395643e+02,6.717369444679235357e+01
1.320264052810562028e+00,1.757877777625444367e+02,1.086005955063831436e+02,6.730078142642872763e+01
1.332266453290658070e+00,1.765963057968624241e+02,1.087626528500456971e+02,6.742685706208631302e+01
1.344268853770754113e+00,1.774063407547199915e+02,1.089262619426778969e+02,6.755196008710179001e+01
1.356271254250850156e+00,1.782178712973924632e+02,1.090914226744660596e+02,6.767613025295426610e+01
1.368273654730946198e+00,1.790308865959772788e+02,1.092581349119321459e+02,6.779940831633422249e+01
1.380276055211042019e+00,1.798453763313940499e+02,1.094263984979337323e+02,6.792183602586351299e+01
1.392278455691138062e+00,1.806613306943846453e+02,1.095962132516640963e+02,6.804345610847337866e+01
1.404280856171234104e+00,1.814787403855130208e+02,1.097675789686521597e+02,6.816431225544735639e+01
1.416283256651330147e+00,1.822975966151653608e+02,1.099404954207624456e+02,6.828444910813755087e+01
1.428285657131426190e+00,1.831178911035499652e+02,1.101149623561951785e+02,6.840391224336096343e+01
1.440288057611522232e+00,1.839396160806973910e+02,1.102909794994862125e+02,6.852274815848412004e+01
1.452290458091618275e+00,1.847627642864602819e+02,1.104685465515070462e+02,6.864100425620344481e+01
1.464292858571714318e+00,1.855873289705135107e+02,1.106476631894648222e+02,6.875872882902956462e+01
1.476295259051810360e+00,1.864133038923541505e+02,1.108283290669023557e+02,6.887597104348344601e+01
1.488297659531906181e+00,1.872406833213013329e+02,1.110105438136981064e+02,6.899278092401205242e+01
1.500300060012002223e+00,1.880694620364965317e+02,1.111943070360661494e+02,6.910920933663267363e+01
1.512302460492098266e+00,1.888996356610977045e+02,1.113796183650197094e+02,6.922530810492239084e+01
1.524304860972194309e+00,1.897312013751287623e+02,1.115664775487021672e+02,6.934113027523054029e+01
1.536307261452290351e+00,1.905641560047268968e+02,1.117548841734856353e+02,6.945672934025986933e+01
1.548309661932386394e+00,1.913984969868597545e+02,1.119448378172026679e+02,6.957215960404059274e+01
1.560312062412482437e+00,1.922342224861959892e+02,1.121363380666970500e+02,6.968747620969280376e+01
1.572314462892578479e+00,1.930713313951051475e+02,1.123293845178238541e+02,6.980273512058113283e+01
1.584316863372674522e+00,1.939098233336576413e+02,1.125239767754493556e+02,6.991799310127601075e+01
1.596319263852770343e+00,1.947496986496248041e+02,1.127201144534511315e+02,7.003330769833252134e+01
1.608321664332866385e+00,1.955909584184790049e+02,1.129177971747180180e+02,7.014873722089630803e+01
1.620324064812962428e+00,1.964336044433933637e+02,1.131170245711500826e+02,7.026434072114761875e+01
1.632326465293058471e+00,1.972776392552420077e+02,1.133177962836586659e+02,7.038017797459323788e+01
1.644328865773154513e+00,1.981230661125999291e+02,1.135201119621663537e+02,7.049630946021693489e+01
1.656331266253250556e+00,1.989698890017430983e+02,1.137239712656069912e+02,7.061279634049861897e+01
1.668333666733346599e+00,1.998181126366483227e+02,1.139293738619256970e+02,7.072970044131186285e+01
1.680336067213442641e+00,2.006677424589933594e+02,1.141363194280788349e+02,7.084708423171116465e+01
1.692338467693538684e+00,2.015187846381568875e+02,1.143448076500339994e+02,7.096501080361802849e+01
1.704340868173634505e+00,2.023712460712185077e+02,1.145548382227700870e+02,7.108354385141605292e+01
1.716343268653730547e+00,2.032251343829586858e+02,1.147664108502772393e+02,7.120274765146584173e+01
1.728345669133826590e+00,2.040804579258588944e+02,1.149795252455568146e+02,7.132268704154904526e+01
1.740348069613922632e+00,2.049372257801013859e+02,1.151941811306215016e+02,7.144342740025111027e+01
1.752350470094018675e+00,2.057954477535694195e+02,1.154103782364951627e+02,7.156503462629383705e+01
1.764352870574114718e+00,2.066551344847996745e+02,1.156281163345747842e+02,7.168757515415958892e+01
1.776355271054210760e+00,2.075162979980241005e+02,1.158473953888166363e+02,7.181111613082119050e+01
1.788357671534306803e+00,2.083789506971858430e+02,1.160682152392929538e+02,7.193572504036157511e+01
1.800360072014402846e+00,2.092431057222580932e+02,1.162905757364425767e+02,7.206146980573564065e+01
1.812362472494498666e+00,2.101087770634429717e+02,1.165144767779812014e+02,7.218841880756598073e+01
1.824364872974594709e+00,2.109759795611714992e+02,1.167399183089014087e+02,7.231664086287561588e+01
1.836367273454690752e+00,2.118447289061036258e+02,1.169669003214726501e+02,7.244620520385433338e+01
1.848369673934786794e+00,2.127150416391281738e+02,1.171954228552412332e+02,7.257718145666822807e+01
1.860372074414882837e+00,2.135869351513628658e+02,1.174254859970303357e+02,7.270963962032232075e+01
1.872374474894978880e+00,2.144604276841544106e+02,1.176570898809400205e+02,7.284365004558495116e+01
1.884376875375074922e+00,2.153355383290783891e+02,1.178902346883472205e+02,7.297928341398394991e+01
1.896379275855170965e+00,2.162122870279392828e+02,1.181249206479057250e+02,7.311661071688300240e+01
1.908381676335267008e+00,2.170906945727704738e+02,1.183611480355462078e+02,7.325570323464739886e+01
1.920384076815362828e+00,2.179707826058343016e+02,1.185989171744761990e+02,7.339663251590772575e+01
1.932386477295458871e+00,2.188525736196220066e+02,1.188382284351801133e+02,7.353947035693023793e+01
1.944388877775554914e+00,2.197360909568537295e+02,1.190790822354192215e+02,7.368428878110175617e+01
1.956391278255650956e+00,2.206213588104784833e+02,1.193214790402316794e+02,7.383116001853781540e+01
1.968393678735746999e+00,2.215084022236742953e+02,1.195654193619324985e+02,7.398015648582169490e+01
1.980396079215843042e+00,2.223972470898480083e+02,1.198109037601135896e+02,7.413135076588201855e+01
1.992398479695939084e+00,2.232879201526354507e+02,1.200579328416437050e+02,7.428481558801681217e+01
2.004400880176035127e+00,2.241804490063662456e+02,1.203065072614526514e+02,7.444062380812596302e+01
2.016403280656131169e+00,2.250748622189235562e+02,1.205566278770436242e+02,7.459884841180864612e+01
2.028405681136227212e+00,2.259711893112119299e+02,1.208082955851921980e+02,7.475956251221570881e+01
2.040408081616323255e+00,2.268694606342292843e+02,1.210615112567853089e+02,7.492283929374292484e+01
2.052410482096419297e+00,2.277697074126432994e+02,1.213162758489773267e+02,7.508875199191996330e+01
2.064412882576515340e+00,2.286719617447916164e+02,1.215725904051899988e+02,7.525737387434509174e+01
2.076415283056611383e+00,2.295762566026816671e+02,1.218304560551125206e+02,7.542877822181532110e+01
2.088417683536706981e+00,2.304826258319907026e+02,1.220898740147014649e+02,7.560303830965776228e+01
2.100420084016803024e+00,2.313911041520659921e+02,1.223508455861808670e+02,7.578022738926749469e+01
2.112422484496899067e+00,2.323017271559244818e+02,1.226133721580421394e+02,7.596041866985758872e+01
2.124424884976995109e+00,2.332145313102530508e+02,1.228774552050441145e+02,7.614368530042598593e+01
2.136427285457091152e+00,2.341295539554084826e+02,1.231430962882130302e+02,7.633010035194409681e+01
2.148429685937187195e+00,2.350468333054172945e+02,1.234102970548425731e+02,7.651973679977180609e+01
2.160432086417283237e+00,2.359664084479759367e+02,1.236790592384937923e+02,7.671266750630293529e+01
2.172434486897379280e+00,2.368883193444507640e+02,1.239493846589952000e+02,7.690896520384552559e+01
2.184436887377475323e+00,2.378126068298778932e+02,1.242212752224426850e+02,7.710870247774045083e+01
2.196439287857571365e+00,2.387393126129633458e+02,1.244947329211995708e+02,7.731195174972205564e+01
2.208441688337667408e+00,2.396684792760829623e+02,1.247697598338965861e+02,7.751878526152424342e+01
2.220444088817763451e+00,2.406001502752825161e+02,1.250463581254318939e+02,7.772927505873489906e+01
2.232446489297859493e+00,2.415343699402775712e+02,1.253245300469710202e+02,7.794349297490154527e+01
2.244448889777955536e+00,2.424711834739132144e+02,1.256042779362507673e+02,7.816151061563780900e+01
2.256451290258051579e+00,2.434106367444985892e+02,1.258856043531820461e+02,7.838339924287771510e+01
2.268453690738147621e+00,2.443527766033608941e+02,1.261685119506548887e+02,7.860922990019720658e+01
2.280456091218243664e+00,2.452976509293950755e+02,1.264530033967305940e+02,7.883907342740178592e+01
2.292458491698339706e+00,2.462453084115190336e+02,1.267390814815839235e+02,7.907300034659101584e+01
2.304460892178435749e+00,2.471957985486735936e+02,1.270267491175031296e+02,7.931108084781664047e+01
2.316463292658531348e+00,2.481491716498224491e+02,1.273160093388898559e+02,7.955338477498632699e+01
2.328465693138627390e+00,2.491054788339523327e+02,1.276068653022592372e+02,7.979998161201415030e+01
2.340468093618723433e+00,2.500647720300727883e+02,1.278993202862398704e+02,8.005094046921753659e+01
2.352470494098819476e+00,2.510271039772162851e+02,1.281933776915737724e+02,8.030633006996148993e+01
2.364472894578915518e+00,2.519925282244382743e+02,1.284890410411164225e+02,8.056621873754959040e+01
2.376475295059011561e+00,2.529610991308170753e+02,1.287863139798367911e+02,8.083067438236167845e+01
2.388477695539107604e+00,2.539328718654539614e+02,1.290852002748172254e+02,8.109976448923721648e+01
2.400480096019203646e+00,2.549079024074731024e+02,1.293857038152535779e+02,8.137355610510472559e+01
2.412482496499299689e+00,2.558862475460216217e+02,1.296878286124551778e+02,8.165211582685466851e+01
2.424484896979395732e+00,2.568679648802694828e+02,1.299915787998447456e+02,8.193550978945647500e+01
2.436487297459491774e+00,2.578531128194097164e+02,1.302969586329584786e+02,8.222380365431692439e+01
2.448489697939587817e+00,2.588417505826581078e+02,1.306039724894460221e+02,8.251706259787896158e+01
2.460492098419683860e+00,2.598339381992535095e+02,1.309126248690704983e+02,8.281535130045924120e+01
2.472494498899779902e+00,2.608297365084575858e+02,1.312229203937084776e+02,8.311873393532202670e+01
2.484496899379875945e+00,2.618292071577335491e+02,1.315348638077528847e+02,8.342727415724021967e+01
2.496499299859971988e+00,2.628324121157609738e+02,1.318484600950698393e+02,8.374103489046113680e+01
2.508501700340068030e+00,2.638394142926449035e+02,1.321637143650968085e+02,8.406007856871154615e+01
2.520504100820164073e+00,2.648502776989997187e+02,1.324806317920792935e+02,8.438446719501907012e+01
2.532506501300259671e+00,2.658650670203422237e+02,1.327992177020314557e+02,8.471426215844154228e+01
2.544508901780355714e+00,2.668838476170918739e+02,1.331194775727361446e+02,8.504952422437061443e+01
2.556511302260451757e+00,2.679066855245704915e+02,1.334414170337449832e+02,8.539031352501891092e+01
2.568513702740547799e+00,2.689336474530022087e+02,1.337650418663782830e+02,8.573668955008595560e+01
2.580516103220643842e+00,2.699648007875138092e+02,1.340903580037250435e+02,8.608871113760102389e+01
2.592518503700739885e+00,2.710002135881344429e+02,1.344173715306430097e+02,8.644643646493761935e+01
2.604520904180835927e+00,2.720399545897956273e+02,1.347460886837586429e+02,8.680992303999742887e+01
2.616523304660931970e+00,2.730840932023315304e+02,1.350765158514670929e+02,8.717922769255888227e+01
2.628525705141028013e+00,2.741326995104785738e+02,1.354086595739322547e+02,8.755440656578682024e+01
2.640528105621124055e+00,2.751858442738757162e+02,1.357425265430867114e+02,8.793551510789936287e+01
2.652530506101220098e+00,2.762435989270643972e+02,1.360781236026317913e+02,8.832260806398768693e+01
2.664532906581316141e+00,2.773060355794885368e+02,1.364154577480375110e+02,8.871573946798429233e+01
2.676535307061412183e+00,2.783732270154943080e+02,1.367545361265426038e+02,8.911496263477597779e+01
2.688537707541508226e+00,2.794452466943305922e+02,1.370953660371545482e+02,8.952033015245677916e+01
2.700540108021604269e+00,2.805221687501485803e+02,1.374379549306495107e+02,8.993189387471666407e+01
2.712542508501700311e+00,2.816040679920019443e+02,1.377823104095723465e+02,9.034970491336085274e+01
2.724544908981796354e+00,2.826910199038468363e+02,1.381284402282366557e+02,9.077381363095629752e+01
2.736547309461892397e+00,2.837831001874545791e+02,1.384763523447747104e+02,9.120426945265690222e+01
2.748549709941987995e+00,2.848803848065211355e+02,1.388260549350845849e+02,9.164112087205506896e+01
2.760552110422084038e+00,2.859829511356827538e+02,1.391775562571486944e+02,9.208441589988781573e+01
2.772554510902180080e+00,2.870908770499506204e+02,1.395308647391594263e+02,9.253420169993924560e+01
2.784556911382276123e+00,2.882042409020552327e+02,1.398859889819090370e+02,9.299052457289442941e+01
2.796559311862372166e+00,2.893231215224465132e+02,1.402429377587897932e+02,9.345342994917116641e+01
2.808561712342468208e+00,2.904475982192937522e+02,1.406017200157938021e+02,9.392296238180246348e+01
2.820564112822564251e+00,2.915777507784854379e+02,1.409623448715131815e+02,9.439916553936491539e+01
2.832566513302660294e+00,2.927136594636294262e+02,1.413248216171398610e+02,9.488208219894936235e+01
2.844568913782756336e+00,2.938554050160530551e+02,1.416891597164658094e+02,9.537175423916937689e+01
2.856571314262852379e+00,2.950030686548028029e+02,1.420553688058828357e+02,9.586822263320382831e+01
2.868573714742948422e+00,2.961567320766445732e+02,1.424234586943827310e+02,9.637152744186933262e+01
2.880576115223044464e+00,2.973164774560635806e+02,1.427934393635571837e+02,9.688170780671892146e+01
2.892578515703140507e+00,2.984823874452644077e+02,1.431653209675977791e+02,9.739880194316278050e+01
2.904580916183236550e+00,2.996545451741708916e+02,1.435391138332960850e+02,9.792284713360756143e+01
2.916583316663332592e+00,3.008330342504262376e+02,1.439148284600435659e+02,9.845387972061030268e+01
2.928585717143428635e+00,3.020179387593930755e+02,1.442924755198316120e+02,9.899193510004299412e+01
2.940588117623524678e+00,3.032093432641531763e+02,1.446720658572515106e+02,9.953704771426521347e+01
2.952590518103620720e+00,3.044073328055077923e+02,1.450536104894945026e+02,1.000892510453001165e+02
2.964592918583716319e+00,3.056119929019773735e+02,1.454371206063517263e+02,1.006485776080107399e+02
2.976595319063812362e+00,3.068234095476408356e+02,1.458226075702929165e+02,1.012150589424315115e+02
2.988597719543908404e+00,3.080416681550557882e+02,1.462100829598470568e+02,1.017887251931293804e+02
3.000600120024004447e+00,3.092668547769968654e+02,1.465995585380969999e+02,1.023696055742484674e+02
3.012602520504100490e+00,3.104990566201817046e+02,1.469910462197678669e+02,1.029577285671637696e+02
3.024604920984196532e+00,3.117383611046749365e+02,1.473845581012836021e+02,1.035531215474794635e+02
3.036607321464292575e+00,3.129848558638882992e+02,1.477801064607669730e+02,1.041558107772994219e+02
3.048609721944388617e+00,3.142386287445805806e+02,1.481777037580395984e+02,1.047658213974346637e+02
3.060612122424484660e+00,3.154997678068576192e+02,1.485773626346219487e+02,1.053831774195475504e+02
3.072614522904580703e+00,3.167683613241724174e+02,1.489790959137332891e+02,1.060079017182317926e+02
3.084616923384676745e+00,3.180444977833248572e+02,1.493829166002917646e+02,1.066400160230275560e+02
3.096619323864772788e+00,3.193282658844620983e+02,1.497888378809142864e+02,1.072795409103721909e+02
3.108621724344868831e+00,3.206197545410782368e+02,1.501968731239166743e+02,1.079264957954849962e+02
3.120624124824964873e+00,3.219190528800145330e+02,1.506070358793135142e+02,1.085808989241876077e+02
3.132626525305060916e+00,3.232262502414591268e+02,1.510193398788183003e+02,1.092427673646593718e+02
3.144628925785156959e+00,3.245414361789474356e+02,1.514337990358433217e+02,1.099121169991282159e+02
3.156631326265253001e+00,3.258647004593618703e+02,1.518504274454996903e+02,1.105889625154978830e+02
3.168633726745349044e+00,3.271961330629319491e+02,1.522692393845973697e+02,1.112733173989124111e+02
3.180636127225445087e+00,3.285358241832341264e+02,1.526902493116451751e+02,1.119651939232581555e+02
3.192638527705540685e+00,3.298838642271919639e+02,1.531134718668506594e+02,1.126646031426055572e+02
3.204640928185636728e+00,3.312403438150763577e+02,1.535389218721203690e+02,1.133715548825917381e+02
3.216643328665732771e+00,3.326053537805048563e+02,1.539666143310595885e+02,1.140860577317444324e+02
3.228645729145828813e+00,3.339789851704423995e+02,1.543965644289723969e+02,1.148081190327513070e+02
3.240648129625924856e+00,3.353613289282783967e+02,1.548287875277885348e+02,1.155377447492753191e+02
3.252650530106020899e+00,3.367524743846756792e+02,1.552632991494495798e+02,1.162749388607443137e+02
3.264652930586116941e+00,3.381525127241936275e+02,1.557001150357569372e+02,1.170197047114777149e+02
3.276655331066212984e+00,3.395615354142631759e+02,1.561392511111696990e+02,1.177720443903381948e+02
3.288657731546309027e+00,3.409796337790452299e+02,1.565807234749588019e+02,1.185319585537334319e+02
3.300660132026405069e+00,3.424068989994304957e+02,1.570245484012069710e+02,1.192994464152765772e+02
3.312662532506501112e+00,3.438434221130397077e+02,1.574707423388086056e+02,1.200745057353831555e+02
3.324664932986597154e+00,3.452892940142232874e+02,1.579193219114700355e+02,1.208571328108114642e+02
3.336667333466693197e+00,3.467446054540616274e+02,1.583703039177092080e+02,1.216473224641530066e+02
3.348669733946789240e+00,3.482094470403651485e+02,1.588237053308559723e+02,1.224450680332793127e+02
3.360672134426885282e+00,3.496839092376739018e+02,1.592795432990518236e+02,1.232503613607532884e+02
3.372674534906981325e+00,3.511680823672580232e+02,1.597378351452501590e+02,1.240631927832125427e+02
3.384676935387077368e+00,3.526620566071173926e+02,1.601985983672160501e+02,1.248835511207312550e+02
3.396679335867173410e+00,3.541659219919819179e+02,1.606618506375264133e+02,1.257114236661696367e+02
3.408681736347269009e+00,3.556797684133113080e+02,1.611276098035698965e+02,1.265467961745190877e+02
3.420684136827365052e+00,3.572036856192951291e+02,1.615958938875469357e+02,1.273896528522505633e+02
3.432686537307461094e+00,3.587377632148529187e+02,1.620667210864697267e+02,1.282399763466756326e+02
3.444688937787557137e+00,3.602820906616340721e+02,1.625401097721622534e+02,1.290977477353286531e+02
3.456691338267653180e+00,3.618367572780177852e+02,1.630160784912602878e+02,1.299629465153786896e+02
3.468693738747749222e+00,3.634018522391132251e+02,1.634946459652113333e+02,1.308355505930814502e+02
3.480696139227845265e+00,3.649774645767594734e+02,1.639758310902747098e+02,1.317155362732792696e+02
