t,C,S,R,dC_dt,dC_dt_noisy
5.401080216043209203e-01,2.365847500369448131e+00,4.333733393441471793e-01,6.435874573247534203e-01,-2.933306696072338626e-01,-3.017744778387609350e-01
5.601120224044808804e-01,2.359301619046249243e+00,4.283748318282612488e-01,6.319438919309569025e-01,-3.597092678283524414e-01,-3.554364078783802117e-01
5.801160232046409515e-01,2.351508878425726756e+00,4.246172766413680577e-01,6.205322446703761541e-01,-4.181886913177507714e-01,-4.138422526972995175e-01
6.001200240048010226e-01,2.342616085603814735e+00,4.219528659530616399e-01,6.093503244646460981e-01,-4.698601390332682870e-01,-4.275033639322473045e-01
6.201240248049609827e-01,2.332749886038073317e+00,4.202540506708840051e-01,5.983958203892147942e-01,-5.156526301287204239e-01,-5.378930453825661040e-01
6.401280256051210538e-01,2.322019745933492363e+00,4.194105433286236528e-01,5.876663230334793209e-01,-5.563584414563224056e-01,-5.639105415988623360e-01
6.601320264052811249e-01,2.310520477815271700e+00,4.193267802476188244e-01,5.771593433110285831e-01,-5.926544005132085013e-01,-5.517989683633619524e-01
6.801360272054410849e-01,2.298334354669516078e+00,4.199197973028314101e-01,5.668723284066347068e-01,-6.251196038486451778e-01,-6.121855439246082220e-01
7.001400280056011560e-01,2.285532910721820077e+00,4.211174205992294639e-01,5.568026759808075710e-01,-6.542503161987539562e-01,-6.409890487512287516e-01
7.201440288057612271e-01,2.272178485713127305e+00,4.228567149261873714e-01,5.469477465941313676e-01,-6.804725485928606599e-01,-6.907526760266099464e-01
7.401480296059211872e-01,2.258325506309924346e+00,4.250826964534756836e-01,5.373048734631024059e-01,-7.041524949724811133e-01,-7.371139983895941272e-01
7.601520304060812583e-01,2.244021591531413229e+00,4.277472221653839668e-01,5.278713715373102300e-01,-7.256053864196716496e-01,-7.222560915352168598e-01
7.801560312062413294e-01,2.229308513723844865e+00,4.308080244667100711e-01,5.186445452348643625e-01,-7.451030350719030082e-01,-7.429227533154720842e-01
8.001600320064012895e-01,2.214222974936519872e+00,4.342279313772444693e-01,5.096216938569322341e-01,-7.628800216560084335e-01,-7.874270627408999079e-01
8.201640328065613605e-01,2.198797322829380896e+00,4.379741472764528409e-01,5.008001179304976125e-01,-7.791391436810815030e-01,-7.928036769166927344e-01
8.401680336067214316e-01,2.183060121636356765e+00,4.420176795449074492e-01,4.921771225005234229e-01,-7.940558614162525064e-01,-7.954967350107970958e-01
8.601720344068813917e-01,2.167036667412334250e+00,4.463328209499677901e-01,4.837500215649500057e-01,-8.077821713352311139e-01,-8.266772037964467135e-01
8.801760352070414628e-01,2.150749426463905323e+00,4.508967094192976588e-01,4.755161404996386398e-01,-8.204498832839323130e-01,-8.224152826409766304e-01
9.001800360072015339e-01,2.134218399933299981e+00,4.556889618940098141e-01,4.674728186487217552e-01,-8.321733605721302052e-01,-8.302637000227410802e-01
9.201840368073614940e-01,2.117461464104520186e+00,4.606913326650966534e-01,4.596174112320671745e-01,-8.430519567594341179e-01,-8.423402320183244196e-01
9.401880376075215651e-01,2.100494631785754684e+00,4.658874509959126664e-01,4.519472906661820000e-01,-8.531719757953275529e-01,-8.632978089616138995e-01
9.601920384076816362e-01,2.083332313533434288e+00,4.712625589430042283e-01,4.444598478501551320e-01,-8.626084793367186920e-01,-8.507335179010022674e-01
9.801960392078415962e-01,2.065987511525220199e+00,4.768033168413707279e-01,4.371524929076092691e-01,-8.714267181773701632e-01,-8.536033790917235686e-01
1.000200040008001556e+00,2.048472013778847245e+00,4.824976085523895453e-01,4.300226555591086242e-01,-8.796834560975888007e-01,-8.732664900062575564e-01
1.020204040808161627e+00,2.030796548591233375e+00,4.883343865408423801e-01,4.230677860131213941e-01,-8.874280549246287286e-01,-9.037926594724349227e-01
1.040208041608321698e+00,2.012970917591640596e+00,4.943035387636324218e-01,4.162853540388438689e-01,-8.947034115646814723e-01,-8.800703658889726944e-01
1.060212042408481770e+00,1.995004132707833611e+00,5.003957512257308782e-01,4.096728506234729728e-01,-9.015468285947093596e-01,-9.115756289640504217e-01
1.080216043208641841e+00,1.976904494215085961e+00,5.066024303484726321e-01,4.032277856191855969e-01,-9.079906420410306378e-01,-8.904074296752709783e-01
1.100220044008801912e+00,1.958679717870304815e+00,5.129155753799258255e-01,3.969476900922243034e-01,-9.140629434718030577e-01,-9.354986918093519677e-01
1.120224044808961761e+00,1.940336978127514822e+00,5.193277358501043883e-01,3.908301134632343188e-01,-9.197880030646912175e-01,-9.014986590021155655e-01
1.140228045609121832e+00,1.921883011302690569e+00,5.258319082804175926e-01,3.848726251483445826e-01,-9.251868320509941679e-01,-9.255881011433038097e-01
1.160232046409281903e+00,1.903324157283410312e+00,5.324214949530816643e-01,3.790728132493764724e-01,-9.302775275897767759e-01,-9.552525053964651125e-01
1.180236047209441974e+00,1.884666415784261861e+00,5.390902482381266791e-01,3.734282835965989644e-01,-9.350756360767180642e-01,-9.413536255160550592e-01
1.200240048009602045e+00,1.865915511485237488e+00,5.458322055220879987e-01,3.679366612956693761e-01,-9.395945076047631517e-01,-9.385124620293322506e-01
1.220244048809762116e+00,1.847076904254742802e+00,5.526416801455459327e-01,3.625955873854278533e-01,-9.438454847016313209e-01,-9.383896579183422793e-01
1.240248049609921965e+00,1.828155859698932684e+00,5.595131910234498740e-01,3.574027212286258193e-01,-9.478382294621057191e-01,-9.674819919609253249e-01
1.260252050410082036e+00,1.809157459837520188e+00,5.664414528798749071e-01,3.523557386325036900e-01,-9.515808757592202349e-01,-9.737283367025241221e-01
1.280256051210242108e+00,1.790086631648795334e+00,5.734213487471503390e-01,3.474523310032134882e-01,-9.550802175581103448e-01,-9.510885269011687404e-01
1.300260052010402179e+00,1.770948192815463784e+00,5.804478845643946672e-01,3.426902074107585627e-01,-9.583419202948076920e-01,-9.676769126324037407e-01
1.320264052810562250e+00,1.751746842140947003e+00,5.875162003036334957e-01,3.380670911666376344e-01,-9.613705913110890400e-01,-9.566604790764845490e-01
1.340268053610722099e+00,1.732487203240066886e+00,5.946215270617554172e-01,3.335807219031527993e-01,-9.641699655449418316e-01,-9.489795750953742282e-01
1.360272054410882170e+00,1.713173838395147586e+00,6.017591740846057746e-01,3.292288555186524412e-01,-9.667430097845796100e-01,-9.997187571115986326e-01
1.380276055211042241e+00,1.693811242514582593e+00,6.089245365853964698e-01,3.250092616565515846e-01,-9.690919795518336821e-01,-9.640042172214813299e-01
1.400280056011202312e+00,1.674403885440079565e+00,6.161130542236227248e-01,3.209197269729225921e-01,-9.712185713049831248e-01,-9.467256319542685095e-01
1.420284056811362383e+00,1.654956204875645209e+00,6.233202195895088948e-01,3.169580533696533253e-01,-9.731239626779129015e-01,-9.790744995653223315e-01
1.440288057611522454e+00,1.635472610491999435e+00,6.305415759884146487e-01,3.131220573352168079e-01,-9.748088731038805355e-01,-9.910251647686318943e-01
1.460292058411682303e+00,1.615957515731127225e+00,6.377726865776697229e-01,3.094095730675590628e-01,-9.762736720649195510e-01,-9.612287955213276724e-01
1.480296059211842374e+00,1.596415321441921664e+00,6.450091526209681403e-01,3.058184499694102110e-01,-9.775183893330561258e-01,-9.724494590088933466e-01
1.500300060012002445e+00,1.576850426800956662e+00,6.522466045991276440e-01,3.023465536036086254e-01,-9.785427735447715936e-01,-9.606251121292204154e-01
1.520304060812162517e+00,1.557267251286169163e+00,6.594806813937877932e-01,2.989917683447941288e-01,-9.793463658517256309e-01,-9.862506800527511830e-01
1.540308061612322588e+00,1.537670214867044916e+00,6.667070523990900055e-01,2.957519947608200916e-01,-9.799284957156070286e-01,-1.009564861190051177e+00
1.560312062412482659e+00,1.518063751536500972e+00,6.739214062612284284e-01,2.926251516222531102e-01,-9.802883309555262548e-01,-9.824885462497512378e-01
1.580316063212642508e+00,1.498452324899094190e+00,6.811194366855666260e-01,2.896091782323337860e-01,-9.804249284270627474e-01,-9.893414914872873389e-01
1.600320064012802579e+00,1.478840407507644228e+00,6.882968657477253061e-01,2.867020319737619283e-01,-9.803372220442094775e-01,-9.648307456032579887e-01
1.620324064812962650e+00,1.459232493886037485e+00,6.954494334999795635e-01,2.839016908386710059e-01,-9.800240606600075788e-01,-9.761514036924644477e-01
1.640328065613122721e+00,1.439633113164158207e+00,7.025728869852555514e-01,2.812061557265072564e-01,-9.794842445822413701e-01,-1.012101229230943478e+00
1.660332066413282792e+00,1.420046808829253715e+00,7.096630034069949522e-01,2.786134482439843740e-01,-9.787165091662848315e-01,-1.002619770768348850e+00
1.680336067213442863e+00,1.400478149063901778e+00,7.167155828801511364e-01,2.761216132950961577e-01,-9.777195490589231097e-01,-9.600437683271779710e-01
1.700340068013602712e+00,1.380931739037741801e+00,7.237264380984996803e-01,2.737287216256902300e-01,-9.764920460513233369e-01,-9.628967457029664612e-01
1.720344068813762783e+00,1.361412202218307499e+00,7.306914161095479088e-01,2.714328679292559721e-01,-9.750326510005854486e-01,-9.878375183187552144e-01
1.740348069613922855e+00,1.341924186243175221e+00,7.376063960485306215e-01,2.692321730551481274e-01,-9.733399941617371098e-01,-9.733609700930827557e-01
1.760352070414082926e+00,1.322472376534460814e+00,7.444672779331847901e-01,2.671247870120282419e-01,-9.714127072519369577e-01,-9.625012361764132551e-01
1.780356071214242997e+00,1.303061480687180973e+00,7.512700013627376938e-01,2.651088874889643288e-01,-9.692494067949271042e-01,-9.598813200779815480e-01
1.800360072014403068e+00,1.283696228300666320e+00,7.580105497820519567e-01,2.631826812419399975e-01,-9.668486912555241952e-01,-9.493238473332371585e-01
1.820364072814562917e+00,1.264381386634896520e+00,7.646849379171239969e-01,2.613444076538573024e-01,-9.642091584254159908e-01,-9.590794458809847045e-01
1.840368073614722988e+00,1.245121749796332944e+00,7.712892254939371917e-01,2.595923378474206400e-01,-9.613293932936274322e-01,-9.632259600729974336e-01
1.860372074414883059e+00,1.225922131637086521e+00,7.778195287768637778e-01,2.579247749094412123e-01,-9.582079541946322276e-01,-9.633849154903891820e-01
1.880376075215043130e+00,1.206787383043054662e+00,7.842720072957476418e-01,2.563400578928765050e-01,-9.548433857274172265e-01,-9.337285297167522424e-01
1.900380076015203201e+00,1.187722387183473005e+00,7.906428711811198662e-01,2.548365616940041489e-01,-9.512342134071788413e-01,-9.962512989087496384e-01
1.920384076815363272e+00,1.168732046410078773e+00,7.969283988748309122e-01,2.534126961140771850e-01,-9.473789230679652285e-01,-9.501520295697919449e-01
1.940388077615523121e+00,1.149821299078183312e+00,8.031249251729781768e-01,2.520669097993465946e-01,-9.432759696499370961e-01,-9.426159675702558971e-01
1.960392078415683192e+00,1.130995120936534093e+00,8.092288422445359508e-01,2.507976909705331159e-01,-9.389237788967906839e-01,-9.674307581141944334e-01
1.980396079215843264e+00,1.112258510139800816e+00,8.152366192165046987e-01,2.496035658816908032e-01,-9.343207272771990590e-01,-9.276644550144381718e-01
2.000400080016003113e+00,1.093616498772389534e+00,8.211447956857159669e-01,2.484831016720426833e-01,-9.294651468219694568e-01,-9.424907670708373431e-01
2.020404080816163184e+00,1.075074160352685437e+00,8.269499772858703857e-01,2.474349080886939500e-01,-9.243553329107156991e-01,-9.071064369844007436e-01
2.040408081616323255e+00,1.056636597841622338e+00,8.326488513950205395e-01,2.464576360009077538e-01,-9.189895340778989619e-01,-9.215013757585854837e-01
2.060412082416483326e+00,1.038308945148526785e+00,8.382381904456078781e-01,2.455499783072455089e-01,-9.133659527266952960e-01,-8.999828879109061930e-01
2.080416083216643397e+00,1.020096379927279528e+00,8.437148431397087922e-01,2.447106724352647866e-01,-9.074827604639892353e-01,-8.831058883605648058e-01
2.100420084016803468e+00,1.002004117455555399e+00,8.490757430513768966e-01,2.439384994623536862e-01,-9.013381029857158167e-01,-8.936795113314464079e-01
2.120424084816963539e+00,9.840374016189492590e-01,8.543179216614620319e-01,2.432322829306259315e-01,-8.949301011831983788e-01,-9.124445240516553257e-01
2.140428085617123610e+00,9.662015190353016036e-01,8.594384984857423859e-01,2.425908912733679423e-01,-8.882568758759052940e-01,-9.185432485099980227e-01
2.160432086417283681e+00,9.485017990664328380e-01,8.644346826721184263e-01,2.420132377662997381e-01,-8.813165689374248268e-01,-8.462488865870974042e-01
2.180436087217443752e+00,9.309435997383151973e-01,8.693037898254978302e-01,2.414982780899842252e-01,-8.741073542047650413e-01,-8.763331980685153955e-01
2.200440088017603824e+00,9.135323150394440983e-01,8.740432373967340629e-01,2.410450112884005291e-01,-8.666274713197135160e-01,-8.803987702723999886e-01
2.220444088817763451e+00,8.962733801864427585e-01,8.786505409743151640e-01,2.406524803593668160e-01,-8.588752639448630211e-01,-8.559901221836465623e-01
2.240448089617923522e+00,8.791722594654812761e-01,8.831233269222753535e-01,2.403197698373428504e-01,-8.508492102653518740e-01,-8.546774368750048589e-01
2.260452090418083593e+00,8.622344400880355142e-01,8.874593388756871759e-01,2.400460042763030710e-01,-8.425479638166177843e-01,-8.255051185323640794e-01
2.280456091218243664e+00,8.454654393374705368e-01,8.916564305449959926e-01,2.398303487011520241e-01,-8.339704122504698613e-01,-8.332918486017278914e-01
2.300460092018403735e+00,8.288707979563296746e-01,8.957125711782911726e-01,2.396720070668327818e-01,-8.251157292667856691e-01,-8.248407375944172282e-01
2.320464092818563806e+00,8.124560616381142353e-01,8.996258611880633138e-01,2.395702184530766887e-01,-8.159834258431395426e-01,-8.302750202637988464e-01
2.340468093618723877e+00,7.962267826684306105e-01,9.033945263927060099e-01,2.395242562793120922e-01,-8.065734269762742104e-01,-7.971820650013243803e-01
2.360472094418883948e+00,7.801885176085366913e-01,9.070169179197582476e-01,2.395334273490441479e-01,-7.968861431532655581e-01,-8.175634776003651849e-01
2.380476095219044019e+00,7.643468049076702631e-01,9.104915278519615240e-01,2.395970673080716207e-01,-7.869225372364783144e-01,-7.736047484411989750e-01
2.400480096019204090e+00,7.487071528488959959e-01,9.138169925740456945e-01,2.397145376605941958e-01,-7.766842070823107846e-01,-7.462054568225081619e-01
2.420484096819364161e+00,7.332750360877092755e-01,9.169920888523340752e-01,2.398852241949235298e-01,-7.661734755297167077e-01,-7.966671962916997973e-01
2.440488097619524233e+00,7.180558784300546948e-01,9.200157429744205695e-01,2.401085335401612619e-01,-7.553934679067136893e-01,-8.047180525337400692e-01
2.460492098419683860e+00,7.030550247038995781e-01,9.228870449589522407e-01,2.403838877281606612e-01,-7.443481899899780929e-01,-7.320106148868916751e-01
2.480496099219843931e+00,6.882777295778519377e-01,9.256052438109525493e-01,2.407107211969258254e-01,-7.330426246217006669e-01,-6.820846683120381782e-01
2.500500100020004002e+00,6.737291474308346739e-01,9.281697499032642851e-01,2.410884786787385603e-01,-7.214828078790956889e-01,-7.415013048565335385e-01
2.520504100820164073e+00,6.594142943552823155e-01,9.305801528543673484e-01,2.415166084240422395e-01,-7.096758945286931741e-01,-7.346898097047329657e-01
2.540508101620324144e+00,6.453380266133494914e-01,9.328362216193752943e-01,2.419945580192748025e-01,-6.976302333846924331e-01,-6.858508547090829133e-01
2.560512102420484215e+00,6.315050284264408509e-01,9.349379022273728301e-01,2.425217717990977850e-01,-6.853554303628722755e-01,-7.021698621640384275e-01
2.580516103220644286e+00,6.179197809425154286e-01,9.368853296957226906e-01,2.430976857095411003e-01,-6.728623855160377198e-01,-6.829828951947723992e-01
2.600520104020804357e+00,6.045865257978764173e-01,9.386788377246372272e-01,2.437217214048612857e-01,-6.601633210468556001e-01,-6.671256703805311661e-01
2.620524104820964428e+00,5.915092475268303174e-01,9.403189518893945165e-01,2.443932830277456836e-01,-6.472718104637261716e-01,-6.366317687378901802e-01
2.640528105621124499e+00,5.786916562463821911e-01,9.418063932968021579e-01,2.451117545085016447e-01,-6.342027703797427085e-01,-6.423088176076050537e-01
2.660532106421284571e+00,5.661371407870836592e-01,9.431420935530396843e-01,2.458764927658766419e-01,-6.209724250012518265e-01,-6.154147681996485764e-01
2.680536107221444198e+00,5.538487497473533194e-01,9.443271862386706239e-01,2.466868249519748868e-01,-6.075982744614206732e-01,-6.111289396392921569e-01
2.700540108021604269e+00,5.418291798308133567e-01,9.453630036693673189e-01,2.475420467020356119e-01,-5.940990313278126100e-01,-6.109924534008446262e-01
2.720544108821764340e+00,5.300807383577710308e-01,9.462510870986725608e-01,2.484414173383723556e-01,-5.804945178958729191e-01,-5.868910430507373599e-01
2.740548109621924411e+00,5.186053191492654424e-01,9.469931833926503728e-01,2.493841571329155349e-01,-5.668055562901770372e-01,-5.858135495935353765e-01
2.760552110422084482e+00,5.074043967937102995e-01,9.475912324521079677e-01,2.503694467561986547e-01,-5.530538499090944526e-01,-5.529235501916994755e-01
2.780556111222244553e+00,4.964790088090159093e-01,9.480473692049244949e-01,2.513964254308065360e-01,-5.392618235082663469e-01,-5.617391480595790298e-01
2.800560112022404624e+00,4.858297271493812741e-01,9.483639260615297495e-01,2.524641883295106193e-01,-5.254524414304518887e-01,-5.473103288163567726e-01
2.820564112822564695e+00,4.754566648269596962e-01,9.485434114195075983e-01,2.535717882497253162e-01,-5.116490459050453410e-01,-4.825098095989402425e-01
2.840568113622724766e+00,4.653594735680715022e-01,9.485885045948304617e-01,2.547182357486003079e-01,-4.978751627509696021e-01,-4.989388471570764261e-01
2.860572114422884837e+00,4.555373236725865915e-01,9.485020568397969365e-01,2.559024981441324065e-01,-4.841542829688438299e-01,-4.852323234782847106e-01
2.880576115223044908e+00,4.459889186200869382e-01,9.482870703536573354e-01,2.571235026061391427e-01,-4.705096754646576063e-01,-4.602789470663052329e-01
2.900580116023204980e+00,4.367125084975654326e-01,9.479466826108270405e-01,2.583801384624621611e-01,-4.569641967700951435e-01,-4.653813368210725776e-01
2.920584116823364607e+00,4.277058872325470440e-01,9.474841631530195318e-01,2.596712581522804819e-01,-4.435400812502489631e-01,-4.481107885998121265e-01
2.940588117623524678e+00,4.189664045131090142e-01,9.469029000109537852e-01,2.609956803299753880e-01,-4.302587541586769815e-01,-4.217557794520387926e-01
2.960592118423684749e+00,4.104910021288757371e-01,9.462063723177567276e-01,2.623521951655820583e-01,-4.171406860081549040e-01,-4.114923691632668690e-01
2.980596119223844820e+00,4.022762228480117330e-01,9.453981439677443532e-01,2.637395660980679790e-01,-4.042052279163324546e-01,-4.273911624549810440e-01
3.000600120024004891e+00,3.943182225820093256e-01,9.444818554584208936e-01,2.651565330880128468e-01,-3.914704615474430827e-01,-3.748036096140498485e-01
3.020604120824164962e+00,3.866128189052404074e-01,9.434611947639253149e-01,2.666018192344956628e-01,-3.789531141228178468e-01,-3.907618129885986891e-01
3.040608121624325033e+00,3.791555128618715464e-01,9.423398846400022899e-01,2.680741337751244013e-01,-3.666684672589491378e-01,-3.877900462652328351e-01
3.060612122424485104e+00,3.719415058632891680e-01,9.411216762243507228e-01,2.695721752685015793e-01,-3.546302734571458171e-01,-3.726397748571268487e-01
3.080616123224645175e+00,3.649657383908550545e-01,9.398103305027654120e-01,2.710946369935358091e-01,-3.428507213189428970e-01,-3.506616282060493472e-01
3.100620124024805246e+00,3.582229343333771521e-01,9.384095958855673825e-01,2.726402123476582284e-01,-3.313404345480872593e-01,-2.987944294556258984e-01
3.120624124824965318e+00,3.517076160911080107e-01,9.369232032419396727e-01,2.742075969653174905e-01,-3.201084566976308277e-01,-3.436191747960464227e-01
3.140628125625125389e+00,3.454141307928295657e-01,9.353548583744658584e-01,2.757954925743151264e-01,-3.091622615367733418e-01,-3.059607436860865004e-01
3.160632126425285016e+00,3.393367027419956772e-01,9.337082190218846112e-01,2.774026129174319566e-01,-2.985078187280315043e-01,-3.412643058898430226e-01
3.180636127225445087e+00,3.334694528251445078e-01,9.319868870900700486e-01,2.790276859731601888e-01,-2.881496409670118997e-01,-2.881809796299158455e-01
3.200640128025605158e+00,3.278064180527008320e-01,9.301944059487593508e-01,2.806694564395573743e-01,-2.780908374651821502e-01,-2.600995091156619865e-01
3.220644128825765229e+00,3.223415851634306994e-01,9.283342497722514297e-01,2.823266894450070508e-01,-2.683331983959473255e-01,-2.730664648371764480e-01
3.240648129625925300e+00,3.170689275154451869e-01,9.264098095074410066e-01,2.839981743140743697e-01,-2.588772967638439115e-01,-2.714643952415107253e-01
3.260652130426085371e+00,3.119824147793364144e-01,9.244243916040175701e-01,2.856827255352638595e-01,-2.497225667964627083e-01,-2.450923455152919650e-01
3.280656131226245442e+00,3.070760312969923467e-01,9.223812178020439623e-01,2.873791845966775504e-01,-2.408673915181639702e-01,-2.268643564951509650e-01
3.300660132026405513e+00,3.023438091178624609e-01,9.202834144740302813e-01,2.890864230160073989e-01,-2.323092167174324874e-01,-2.190360652970843591e-01
3.320664132826565584e+00,2.977798437733807368e-01,9.181340080853555019e-01,2.908033437709909297e-01,-2.240446487535638354e-01,-1.845951716749680005e-01
3.340668133626725655e+00,2.933783021814058145e-01,9.159359274565346265e-01,2.925288817312247103e-01,-2.160695406771540594e-01,-2.118861912304285111e-01
3.360672134426885727e+00,2.891334363002763252e-01,9.136920040808338417e-01,2.942620045632761694e-01,-2.083790837180759248e-01,-2.202272857131345740e-01
3.380676135227045354e+00,2.850396067744053186e-01,9.114049659506087142e-01,2.960017145585536746e-01,-2.009679106967103557e-01,-2.034874944964432109e-01
3.400680136027205425e+00,2.810912874560745900e-01,9.090774373881448378e-01,2.977470488872194787e-01,-1.938301766897513878e-01,-1.952801476021476246e-01
3.420684136827365496e+00,2.772830689635868984e-01,9.067119444715765475e-01,2.994970791691941581e-01,-1.869596311523904764e-01,-1.847848834828280939e-01
3.440688137627525567e+00,2.736096689056209952e-01,9.043109150587773648e-01,3.012509118659668639e-01,-1.803496957011403723e-01,-1.809502519657290587e-01
3.460692138427685638e+00,2.700659436998658625e-01,9.018766771325003040e-01,3.030076889140544960e-01,-1.739935398357264351e-01,-1.705142210578023676e-01
3.480696139227845709e+00,2.666468891416369225e-01,8.994114603926010032e-01,3.047665874884766257e-01,-1.678841405868781722e-01,-2.013011417991804330e-01
3.500700140028005780e+00,2.633476388171680505e-01,8.969174033700010318e-01,3.065268187929489074e-01,-1.620143324600041290e-01,-1.454217533392032635e-01
3.520704140828165851e+00,2.601634705046219076e-01,8.943965537917164532e-01,3.082876280909631617e-01,-1.563768633983924350e-01,-1.678716487768130705e-01
3.540708141628325922e+00,2.570898105407057876e-01,8.918508692702534768e-01,3.100482946628357328e-01,-1.509644438321361137e-01,-1.744276177610765977e-01
3.560712142428485993e+00,2.541222322338616557e-01,8.892822198294906277e-01,3.118081312472743560e-01,-1.457697853028465662e-01,-1.330147621100178645e-01
3.580716143228646065e+00,2.512564506294947542e-01,8.866923952147509613e-01,3.135664824033034814e-01,-1.407856296522246586e-01,-1.144391095045030199e-01
3.600720144028806136e+00,2.484883253189742736e-01,8.840831059685665405e-01,3.153227242500541427e-01,-1.360047836696243462e-01,-1.261442206796354881e-01
3.620724144828965763e+00,2.458138611134794149e-01,8.814559849642962241e-01,3.170762641218947686e-01,-1.314201475460269608e-01,-1.281969612691165605e-01
3.640728145629125834e+00,2.432292053585765612e-01,8.788125900062694340e-01,3.188265398837019649e-01,-1.270247365896870761e-01,-1.456691426971261083e-01
3.660732146429285905e+00,2.407306405364154356e-01,8.761544108058902935e-01,3.205730180868192614e-01,-1.228116943760081958e-01,-6.538034761973821052e-02
3.680736147229445976e+00,2.383145844017184323e-01,8.734828704859808335e-01,3.223151935304001681e-01,-1.187743109018924714e-01,-1.011691384886623107e-01
3.700740148029606047e+00,2.359775888145815848e-01,8.707993274556378172e-01,3.240525887523733051e-01,-1.149060365252056737e-01,-1.376919299320651935e-01
3.720744148829766118e+00,2.337163373573792891e-01,8.681050772226577283e-01,3.257847534856301852e-01,-1.112004924546170642e-01,-1.267932507794119479e-01
3.740748149629926189e+00,2.315276365949712478e-01,8.654013589789084637e-01,3.275112626841785723e-01,-1.076514728539725296e-01,-1.059118878825344445e-01
3.760752150430086260e+00,2.294084147129735740e-01,8.626893571157912000e-01,3.292317160323167125e-01,-1.042529520577754054e-01,-1.353475746976951222e-01
