x,H,lam,y
2.605792435338357027e+00,1.201336423663292408e+02,1.068675313949274397e+00,2.794967778480702547e-01
6.108567712548238493e-01,1.066264014012433279e+02,1.130283497702373241e+00,1.837256811303195764e-02
3.380783346317572047e+00,8.215905495557029781e+01,1.199384350543960753e+00,7.987062679621187433e-01
3.212263737708128453e+00,1.187723888478117118e+02,1.038530980958248140e+00,4.185445468810460867e-01
1.185666939073922954e+00,1.179332369223328953e+02,1.023781973185521554e+00,5.636986139348196950e-02
3.542991653999604473e+00,1.121073909478540571e+02,1.025673079011202304e+00,5.356865372847895435e-01
5.167017287792190494e-01,1.379490355317451247e+02,1.283038329491053231e+00,1.134135364973321014e-02
1.543633124018943370e+00,8.094802002629069193e+01,1.118361344911418920e+00,1.554381019632084249e-01
8.560340275109045161e-01,1.445690906177312058e+02,1.200716020661611871e+00,2.770378991599656282e-02
1.966255656602361901e+00,1.481599583452347417e+02,1.487777500999271529e+00,1.767625432589587930e-01
3.246399800062989005e+00,9.046019457310852374e+01,9.622979776922963024e-01,5.294982147585891585e-01
1.153376173276865480e+00,1.409458750474357203e+02,8.473355410286036449e-01,3.647364139926877885e-02
4.924788139383155516e-01,1.230320140349868723e+02,9.641611364641323734e-01,8.750132248880257424e-03
1.796841807339654373e+00,1.437265528638686192e+02,1.291481730407043615e+00,1.322976528284190434e-01
1.034498264684244662e+00,1.322972672753976440e+02,1.328366143947267153e+00,4.925463514551355060e-02
6.357862687907510635e-01,1.265196556360721161e+02,9.327319364372471666e-01,1.369434441426945100e-02
2.447229828151347597e+00,1.347475467350659244e+02,1.068582120604071095e+00,2.178052185608831126e-01
1.405175691430013751e+00,9.970874814522245799e+01,1.098843047894833003e+00,1.015799762425519115e-01
2.786381048438529628e+00,1.148503303925955095e+02,1.089254462325212947e+00,3.420641627873824420e-01
1.038207142682389339e+00,1.142511771914643930e+02,1.294900623636094039e+00,5.655083810833237690e-02
3.785818508874041921e+00,9.112713478195000505e+01,1.480357500923758396e+00,1.121657164260092099e+00
1.650907622505865646e+00,9.604510618250955645e+01,9.514876199361032016e-01,1.263114125761254369e-01
6.903325344098492078e-01,8.112357819144514792e+01,1.133094891572565377e+00,3.134563855618742456e-02
2.627700160696924137e+00,1.418428451929828213e+02,1.139383117421188141e+00,2.535058267274908350e-01
3.730471846351109733e+00,8.325381472818504847e+01,9.250519876307203848e-01,7.359664607871725384e-01
1.929395472448400817e+00,8.653979519836796896e+01,1.161432740368318894e+00,2.355562262288718733e-01
3.831984826655727705e+00,1.288670410220801728e+02,9.569899009775261201e-01,5.032915048517481171e-01
2.149614510644294096e+00,1.405561315483745375e+02,1.205423561743435235e+00,1.811205904152402568e-01
1.873345911941579622e+00,1.287806271015217305e+02,1.016106996185275557e+00,1.272578959798239262e-01
2.594789772456898014e+00,1.298897266294752342e+02,1.020155321348194200e+00,2.432090822553186205e-01
3.981857069370699165e+00,1.061602118380523905e+02,1.136992202051124501e+00,7.993052044959164659e-01
3.811091597269731679e+00,1.348616713404030634e+02,1.460441736658952383e+00,7.286113346884423025e-01
2.002167015443655718e+00,1.341175198394189465e+02,1.418311454300190677e+00,1.945624316490367767e-01
3.103596727640678399e+00,1.051829771081253568e+02,1.269285263068554936e+00,5.454761956969167436e-01
2.140463973304190137e+00,1.445425120638160763e+02,1.493934298504556057e+00,2.161696535071586378e-01
2.258454992728050392e+00,1.119996900425741160e+02,1.041988399186878800e+00,2.203854526777690725e-01
3.207407092641088031e+00,1.270851088005410787e+02,8.271780720247484675e-01,3.084844450546647132e-01
1.834226642615981895e+00,1.080805457959754250e+02,1.049329969883551872e+00,1.518863475654781414e-01
3.017589215618298848e+00,1.201544415197172953e+02,1.116394458572050663e+00,3.921652002009489157e-01
2.931228648562074657e+00,8.602715050488419024e+01,1.140425673919328142e+00,5.404134313223764030e-01
3.748620840469499615e+00,1.094461264130288640e+02,1.381450909611459998e+00,8.359792016047917773e-01
7.252507431393492299e-01,1.333992873981196396e+02,1.019088557304909770e+00,1.839843300153179775e-02
2.997355933182344945e+00,1.387223477298964838e+02,1.163025553539313028e+00,3.452966012957920383e-01
3.731468535910871687e+00,1.038627623056848250e+02,1.399942093349826777e+00,8.891184252905548480e-01
3.881326902721192074e+00,8.383983565991282205e+01,9.277827951134774986e-01,7.940055471929875486e-01
3.544133283718663430e-01,9.181402078548997281e+01,1.436407816270225180e+00,9.198375322828182543e-03
3.495468333908630321e+00,9.980971826392823232e+01,8.959205077198039158e-01,5.146736181212212546e-01
3.930421648245474131e+00,1.146384516389505421e+02,1.284490004802789631e+00,8.119161141670379056e-01
3.841677664560565475e+00,9.842098036115933724e+01,1.465519418055655887e+00,1.050561586066455444e+00
8.504268452602422590e-01,1.059264154070516781e+02,1.224959081900658608e+00,3.887602724251421754e-02
3.898726611144933685e+00,8.120185994371995264e+01,1.279475256677625072e+00,1.159675136019178820e+00
3.592761556165926518e+00,1.089906670495454080e+02,1.337260488475556564e+00,7.448098002380321159e-01
3.342783161909360867e+00,1.287494745572071224e+02,9.689044115572709170e-01,3.876012955962770956e-01
2.075955318088979151e+00,1.114232904207908632e+02,8.696337928456063793e-01,1.560678816256936274e-01
1.159779802665424242e+00,9.358138612132609069e+01,1.105731801829047178e+00,7.440528329151993581e-02
3.266958141257739090e+00,1.451228821444155130e+02,1.205889337722743315e+00,4.054861356328448574e-01
3.717061591198837611e+00,9.289587442800842609e+01,9.889118051960520406e-01,6.957096299222863545e-01
1.284682007481482646e+00,1.407828791054949704e+02,8.306601464899123766e-01,4.441845760311080582e-02
2.294057308202091860e+00,9.334612842290258072e+01,1.386387955062724053e+00,3.684619948840354153e-01
1.938185467205766566e+00,9.056313305375469724e+01,1.325768872003971532e+00,2.589776421303546794e-01
3.744764069130273487e+00,1.141430088461894172e+02,1.462359156122117421e+00,8.451530765585540950e-01
4.498896313972081673e-01,1.262215167875709056e+02,9.076142975874785801e-01,6.688618322496614824e-03
3.008422923929274795e+00,1.117084019304721068e+02,8.233423549221601245e-01,3.099708611422942739e-01
2.573181013711287601e+00,1.155706677491243823e+02,1.317200992427873363e+00,3.508139845222921771e-01
4.049518509200278893e-01,1.236426005465960145e+02,1.406437476554424082e+00,8.585068807491989459e-03
2.961113159458939492e+00,1.138329357180956691e+02,9.554912649288435089e-01,3.419018192508043175e-01
3.591693992372163025e-01,1.469798223052941353e+02,1.064143511953311583e+00,4.244707093911358198e-03
3.104418708718784004e+00,9.059245751427160087e+01,1.393237740923379375e+00,7.054000346977327141e-01
2.197207276069689019e+00,1.073936907520730415e+02,8.080370352597315842e-01,1.689175486004163562e-01
3.737685616948922984e+00,8.894081348349283189e+01,9.869559242729107895e-01,7.356550998905899696e-01
5.445052378790765646e-01,9.382900178476022290e+01,8.908353694979712634e-01,1.316180783398540610e-02
3.412873934565817891e+00,1.234027250306005641e+02,1.463494209172326865e+00,6.431511624476758948e-01
5.467530324382752216e-01,1.406585471109206651e+02,8.310211882202069855e-01,8.054240471833756798e-03
1.573946921575263280e+00,1.048340939123832669e+02,1.172918820245786309e+00,1.290982074516856537e-01
1.892105308206983194e+00,1.398331997130745776e+02,1.291344880711059018e+00,1.511281697989257933e-01
3.874429698901059815e+00,1.066099354239501906e+02,1.132615843755929497e+00,7.497005745135291166e-01
2.380257816245291203e+00,1.296508499477549492e+02,9.839407529229764471e-01,1.976591951223215793e-01
1.257798994732449271e+00,8.776472480682315336e+01,1.031599575773263000e+00,8.734299930639931320e-02
1.194200142149076438e+00,1.186187416595179656e+02,9.562997893995632825e-01,5.308214032321764003e-02
3.586037786438965647e+00,8.270470808593695722e+01,1.398307145327998047e+00,1.050445228930552366e+00
1.135716885144100186e+00,9.000526943146394387e+01,8.019838968799869461e-01,5.387521288330092417e-02
7.608524115905489493e-01,1.013019682690871264e+02,8.880957445247481541e-01,2.363957115962665029e-02
1.366823800928037125e+00,8.343262145083957648e+01,1.406650965247309149e+00,1.486048595841727160e-01
2.468655339807111382e+00,1.410686272198549318e+02,1.486751935024470672e+00,2.941329484386201454e-01
2.350134858041091235e+00,1.374915049580611708e+02,1.109925067805859644e+00,2.041463615561306955e-01
3.295929870877277956e+00,1.452276600674597944e+02,1.341441464844920439e+00,4.593627545739099594e-01
2.373761022422887557e+00,9.573103661914966267e+01,1.419593974239724332e+00,3.936094345703582964e-01
1.367158493395478791e+00,1.112295186558205984e+02,1.375132446473946723e+00,1.072473849735618850e-01
1.827716467919302978e+00,1.366286525335527813e+02,1.094355773444168456e+00,1.224474084070767271e-01
3.327047592592368819e+00,9.933325740057976816e+01,1.415621783195326833e+00,7.472054488131510963e-01
2.618073910953087946e+00,1.253135494357548936e+02,1.121103148287678319e+00,2.829787987175997332e-01
3.848587277980536570e+00,1.041680832058316923e+02,1.285026181318381200e+00,8.637534585633569462e-01
1.666796321039219375e+00,1.063826178344267817e+02,1.489592607084897269e+00,1.813314470347349994e-01
2.344662588928762670e+00,1.272760769706113990e+02,1.044360572389634978e+00,2.076921266145557998e-01
2.497519545968722721e+00,1.457539019931541588e+02,1.064377189273035373e+00,2.075956789779372369e-01
3.438677470617722332e+00,1.366977668477713053e+02,1.316049649326908488e+00,5.242212788906913667e-01
8.382520912901675336e-01,1.043631872144436556e+02,1.329460989471659582e+00,4.164648523912409250e-02
1.804088245968068716e+00,8.484512384607229762e+01,8.598590899339790816e-01,1.552927198286988830e-01
3.666848158150498804e+00,1.478292295327196939e+02,9.493589294218264252e-01,3.937589471817263265e-01
4.593474877023554503e-01,1.038156694149576680e+02,1.084336569993099353e+00,1.025041098580060928e-02
3.344013236671557365e+00,1.303541017023375446e+02,1.089107037189319005e+00,4.307151755163088347e-01
1.836920938273531201e+00,8.401624934066660444e+01,8.900124994138410850e-01,1.684123969595136550e-01
3.370274745528980098e+00,8.082487872205007307e+01,9.041333219318667958e-01,6.041862319573804152e-01
3.368318749869802509e-01,1.249114970666191908e+02,1.004273084395331583e+00,4.194951825066394260e-03
1.650670783705601385e+00,1.404922996350124720e+02,1.334055611214848724e+00,1.181785496601168300e-01
5.909311375128675214e-01,1.102828641144635782e+02,1.151374372512345534e+00,1.690048191862680502e-02
2.714673932445562432e+00,1.246151023899872996e+02,9.679301642819881923e-01,2.640657704190805255e-01
1.313241664818361576e+00,1.292054430787576393e+02,9.383382088495588746e-01,5.749912563880700545e-02
2.899812661441209638e+00,1.394682435953208426e+02,8.453529944526465556e-01,2.330489230317163429e-01
3.792065279685735923e+00,8.636427743854802941e+01,1.119045979082263331e+00,8.900128414392346476e-01
7.692232783666167473e-01,1.174173671807550647e+02,1.490289367735458059e+00,3.469614413796792696e-02
3.499679692982864410e+00,1.109605636305215342e+02,9.910602772467057564e-01,5.102880747678266715e-01
5.200173609212522807e-01,1.038180317809085551e+02,1.240874063240202441e+00,1.503465914851609235e-02
1.708850880750290901e+00,1.059485618522892310e+02,1.124241210546803371e+00,1.442602315557965642e-01
1.890164026360733551e+00,1.090813186979499108e+02,1.184052057434243688e+00,1.803612373135084768e-01
2.108743323283817972e+00,9.204227000563804495e+01,9.571125814480812011e-01,2.170989792111681360e-01
3.912910591163365037e+00,1.404588873847722255e+02,1.340884036435940674e+00,6.735309146663819302e-01
3.170057395976765058e+00,1.002150952257522647e+02,1.319941915910059604e+00,6.243120235826882247e-01
1.442772242061265864e+00,1.079805611146991424e+02,1.333050739761705517e+00,1.194992779463737997e-01
1.298396106352960544e+00,1.209367195598855318e+02,1.200930368237172141e+00,7.723305641083526296e-02
3.493544755500475940e+00,1.280372062952004057e+02,8.602749639923223945e-01,3.779161588186698562e-01
3.560836539129452749e+00,1.143372227391792819e+02,1.373882552280097702e+00,7.138839648310851826e-01
2.189614070511487487e+00,1.109844835512827643e+02,8.099502686884295644e-01,1.623788960072821419e-01
1.573894204560603471e+00,1.056648484831684129e+02,9.692780806327879750e-01,1.057185785628169672e-01
3.981194188195396055e+00,1.152885349886699089e+02,1.085972416444169752e+00,6.971940638291204140e-01
1.468991117860490858e+00,9.633095135627654315e+01,1.014375657868573866e+00,1.062648236418969050e-01
9.760358020282811076e-01,8.141815632669843694e+01,1.149414122108254999e+00,6.336632632168584522e-02
3.556363048825057938e+00,1.440610167180995802e+02,1.059160978030114331e+00,4.252744034695976061e-01
3.305640973011640060e+00,9.319701137453374429e+01,1.032302205331052214e+00,5.714205785423682737e-01
2.771190800613999805e+00,1.080367411554414900e+02,9.843329892378733792e-01,3.260855543157125669e-01
3.846130437578422434e+00,1.176991318054091948e+02,8.504124926201720447e-01,4.961059023690502223e-01
3.725143935693349562e+00,1.035119293512526610e+02,1.104005232501679590e+00,6.962128850647624212e-01
3.068519462216490190e+00,1.099545280652153423e+02,8.219013993903345749e-01,3.274341325965933192e-01
3.484595215326407480e+00,1.074558307503017573e+02,8.594972837245520303e-01,4.532503154716400195e-01
1.214442939191797688e+00,1.117157450429704255e+02,9.253919645144874639e-01,5.661579326850262744e-02
8.226122605338169747e-01,1.338028964388702775e+02,1.024138896902739848e+00,2.371160628517406110e-02
2.779228842465263138e+00,1.166608145811388795e+02,1.484018434229213312e+00,4.577385036423132214e-01
2.944088585622585352e+00,1.408692508439082189e+02,1.356654323904725734e+00,3.826748815292065897e-01
9.180958364944070693e-01,1.271903129072051115e+02,8.146882479902491925e-01,2.480355712550209174e-02
1.763561910488041118e+00,1.161219431626798695e+02,1.313588985398467690e+00,1.629854565564121949e-01
3.667946334999402591e+00,1.032867186400915358e+02,9.176811340666515271e-01,5.602392507216835682e-01
2.377182839935824799e+00,8.541353950179629351e+01,9.133106843357351456e-01,2.850234603537137312e-01
2.439842885227208935e+00,1.019016825133462731e+02,1.338115628876074048e+00,3.664730276129833930e-01
1.018280159695936327e+00,1.235272325781091354e+02,9.399400469756565846e-01,3.632409398766247438e-02
2.246282319886138357e+00,1.146001612565022896e+02,1.098784791424116225e+00,2.244050311277779042e-01
2.236708491361203865e+00,8.920747109116631179e+01,1.204145466772835738e+00,3.184885322276102548e-01
6.290618689112063011e-01,1.199609818820233897e+02,1.317341680534272808e+00,2.004277447853951635e-02
3.933187964568813033e+00,1.004636378959113046e+02,1.299915788712135312e+00,9.507223369639169475e-01
2.414163721686365616e+00,9.880135576415996468e+01,1.066041540700395585e+00,2.945934378771060680e-01
3.237128658579476181e-01,1.016178882583582919e+02,1.159967647345220954e+00,5.569658909039098237e-03
3.158802044533937980e+00,1.280907394296226016e+02,1.012303651152397066e+00,3.635651851573256099e-01
3.919583141208539345e+00,1.264802582954338845e+02,1.272060933203550404e+00,7.181195398474671254e-01
2.482519104787516806e+00,8.591342650461463393e+01,1.095311924419334115e+00,3.714510943777363239e-01
1.482822054245860555e+00,9.455287877113691763e+01,1.360313111197739122e+00,1.482916701355354860e-01
9.937785481928042008e-01,1.219143741597043231e+02,1.499818747586789014e+00,5.601652506192213166e-02
2.788348545492416619e+00,8.609222347838321809e+01,1.057995555354550810e+00,4.522219434970284890e-01
1.021897374290178684e+00,1.333704089233533239e+02,1.080147854279025932e+00,3.873448257517961985e-02
2.437445202316079307e+00,1.319853618586818129e+02,1.365849773524034916e+00,2.828631831185025036e-01
2.528284952604615388e+00,9.254295326179931180e+01,1.013780509033045174e+00,3.293418294407277624e-01
3.860965444560209736e+00,1.490443808777804975e+02,1.020363433345920390e+00,4.655945417074742743e-01
5.673814824605440954e-01,1.366399940055430875e+02,1.177768876877149040e+00,1.268248520388222736e-02
2.149899447536888442e+00,8.816861008521181020e+01,1.059273114396664717e+00,2.615904204751042794e-01
3.053160673345798770e+00,1.423726666048091545e+02,8.778025837184183500e-01,2.624657508304783504e-01
9.557389397562375821e-01,1.002739559077022733e+02,1.006467044891075968e+00,4.274286486602848351e-02
1.735846907602721201e+00,1.131601404576371124e+02,1.498461458249572775e+00,1.852958707829494012e-01
5.327133442833938970e-01,8.974153653606678915e+01,1.109657527714439151e+00,1.644428240731312871e-02
2.985759195970373980e+00,1.112889870735421027e+02,1.393858395596115241e+00,5.222257051088258217e-01
6.247411810101010099e-01,1.373840911814450010e+02,8.895078842652122120e-01,1.154491701555140047e-02
1.761839320924480035e+00,1.195898186331594673e+02,1.109509164406452753e+00,1.330472453753495932e-01
3.532033735146709041e+00,8.519132178051584958e+01,8.790788581342824370e-01,6.103083244663607410e-01
2.047511245975042637e+00,1.023951343180227553e+02,1.307519092003870398e+00,2.503083243294692006e-01
3.676701154471277100e+00,1.180520413842469765e+02,1.030597693977892249e+00,5.486680533461193443e-01
3.133893335633827881e+00,1.112512093671852540e+02,1.430082131863496198e+00,5.914616143022208838e-01
3.686698652413533672e+00,1.138110907268587511e+02,1.048991128085333679e+00,5.842675223092788084e-01
7.713911334809534504e-01,1.495419830877895322e+02,1.497384066345034404e+00,2.705013519073079520e-02
5.721827497233384907e-01,1.146031194782671179e+02,1.156614095126791142e+00,1.528163440795044133e-02
5.602071382061069027e-01,1.486922002048816296e+02,1.483727357693725768e+00,1.422116071975930256e-02
3.514760889085081441e+00,8.409240559547522764e+01,1.097901984700239808e+00,7.694422964408197396e-01
2.646058923585540068e+00,1.420701936474742695e+02,1.017242446916732490e+00,2.289769495388616627e-01
2.137315267055756252e+00,1.091487518389490390e+02,1.352499140997835969e+00,2.637524825242241189e-01
9.051106399269770453e-01,1.401292698422456624e+02,1.060123498018776145e+00,2.827823521703098225e-02
2.792813719590912847e+00,1.443891989491216918e+02,1.034511063825181543e+00,2.549982610795817894e-01
1.476664335029452824e+00,1.178387811151565643e+02,1.420330514038534053e+00,1.215763381600786924e-01
2.930255494083996215e+00,8.719184018996264740e+01,1.239977125999939922e+00,5.799274155185504265e-01
2.003314716809101892e+00,1.056550565563256043e+02,1.126250238548287319e+00,1.993722297482084238e-01
2.177638484014750464e+00,8.499128812266808097e+01,1.332716090154913990e+00,3.521138213423151142e-01
3.221763210101520336e+00,1.372587330534943817e+02,1.012654679959812620e+00,3.511911506535114191e-01
6.431582594365087280e-01,1.485483076501337223e+02,9.188690837890021168e-01,1.161943909813833477e-02
2.441406462296959567e+00,1.275712683412339459e+02,1.387718272544942844e+00,2.991530641794594714e-01
1.029769304994713641e+00,1.067019602636902391e+02,9.731668918044202865e-01,4.493475588970774481e-02
3.290105981710202077e+00,1.320165061542381295e+02,9.374660189273429367e-01,3.534705407336729555e-01
2.108730333678261903e+00,1.497840116675970705e+02,1.031678057492407152e+00,1.391691678502315066e-01
3.958172733460933124e+00,1.130152107609687135e+02,8.903553726186486106e-01,5.751906948529409425e-01
9.768903013001593028e-01,8.672200404753351677e+01,1.412057025643910668e+00,7.304172443317699659e-02
3.863170818459789047e+00,1.214396438285477871e+02,1.125510481263104490e+00,6.431637106553678151e-01
3.263393035451853663e+00,1.399292730140001026e+02,9.076984378037088463e-01,3.161081563781333870e-01
2.080663837328494026e+00,1.284358648380988086e+02,1.144465430930328598e+00,1.774693984056237017e-01
3.310076037464651399e+00,1.355409002002124055e+02,1.090951500377872696e+00,4.052205605453802484e-01
2.530540949392130479e+00,1.129551420061570610e+02,1.119135134799943199e+00,2.948871576793506422e-01
2.723947936768106981e+00,1.342265792345451700e+02,8.017575575811636268e-01,2.031601116158000542e-01
3.680655822017339318e+00,1.234359690006647128e+02,1.026928453994695234e+00,5.221459990554575548e-01
5.415005407217781119e-01,9.228198601390799638e+01,1.386798095867850300e+00,2.062607800130813671e-02
3.389456354646082303e+00,1.382396235436844734e+02,1.187721496619742911e+00,4.533410332316686331e-01
1.712714685875083687e+00,1.041711799750441401e+02,1.331173308266858646e+00,1.748583776575693416e-01
1.504518779572606491e+00,1.272256701215405883e+02,1.151483614736503513e+00,9.421118986763399317e-02
3.977899053476941837e+00,1.100313117690269991e+02,9.202046344193050009e-01,6.182869476257849550e-01
3.190404857682599626e+00,1.444282484907706134e+02,8.672555544551105999e-01,2.788377870779479850e-01
2.096480013484474991e+00,1.062646273223282662e+02,9.590238100345773731e-01,1.846771419880230691e-01
1.863725066771690697e+00,9.024607968061894780e+01,1.322206902326749534e+00,2.395973731899991022e-01
3.546856951725645857e+00,1.067398460039005101e+02,1.122176202905328157e+00,6.201837571275187200e-01
6.212150271951083491e-01,9.271041862250686449e+01,9.776925357330265021e-01,1.904199374503381254e-02
2.921149400581304345e+00,1.408533752358142124e+02,9.462920859086849656e-01,2.620650783979873166e-01
3.219872107709040421e+00,1.098884827866005764e+02,1.395439712586567182e+00,6.174809134491868745e-01
3.257026604949624815e+00,1.150727934038538365e+02,1.277917319652483785e+00,5.495896728351682414e-01
1.492460881537377659e+00,1.373961432044543756e+02,8.034024105759417500e-01,5.952613284594877874e-02
3.247564976160401962e+00,1.424985000893077540e+02,1.479102965813447801e+00,5.026370026012302317e-01
1.133715234939961070e+00,1.272407002309802095e+02,1.344237064792380698e+00,6.242476078102215942e-02
1.640539416792905714e+00,1.206200805076208269e+02,1.366322835558319904e+00,1.408410722636835033e-01
1.844558015156205322e+00,1.251639798463778561e+02,8.652903067603863185e-01,1.082698670885365311e-01
2.303216939431608878e+00,1.373686367714421692e+02,1.255832220506224228e+00,2.221870163418584454e-01
7.166705625000615587e-01,1.042961942729946827e+02,1.062704824852607421e+00,2.433997522190547991e-02
1.805706862365432652e+00,1.389543200329214017e+02,1.101583721773295332e+00,1.181364549968091926e-01
3.011125533956147682e-01,1.493808450059792108e+02,1.088366388190761480e+00,2.998305859334615339e-03
3.054208687485376661e+00,1.072161769445185939e+02,1.096286538251626475e+00,4.457712566784054475e-01
3.451940875266751085e+00,1.358291502011920784e+02,8.334927597158049428e-01,3.353283562829079689e-01
8.140472127447309081e-01,1.376557536283593777e+02,8.780391627281829425e-01,1.930910627654941134e-02
2.904007346287151847e+00,1.128502398350430269e+02,1.403629619783902438e+00,4.898567176099485332e-01
3.338081427060163531e+00,1.356311156504220605e+02,8.340424219240039072e-01,3.142063271299765370e-01
3.932764794625636995e+00,8.384869356782647287e+01,1.278711152835074527e+00,1.139023120660233257e+00
3.422025080764289129e+00,8.699479334938382635e+01,1.440616850325417531e+00,9.312653145865135151e-01
1.869193996142847647e+00,8.254908515567639427e+01,1.220668876453412821e+00,2.442706475756776796e-01
3.924848221485729205e+00,1.401664552071341348e+02,1.049507512856056479e+00,5.293853346056900389e-01
3.903742297953714413e+00,1.076871000898462398e+02,8.952176173773445100e-01,5.923746034973710328e-01
2.163604823042142300e+00,1.313762288418348305e+02,1.372447964530873588e+00,2.248712324894037717e-01
3.087752192760449432e+00,1.007117453036346149e+02,1.097775314007654490e+00,4.879325371535498945e-01
3.681199370390702885e+00,1.399513532570281882e+02,1.171523706464885350e+00,5.209670622127540174e-01
2.061744166284386282e+00,1.014463360632464628e+02,1.155546327301487430e+00,2.263082087022615374e-01
3.496009092059214396e+00,1.282238573405148827e+02,1.417319896586284989e+00,6.267630158549634123e-01
2.895803694428929376e+00,1.434924477711594477e+02,1.308699703220616017e+00,3.498555933139361751e-01
1.387519747105863344e+00,1.091511760759657363e+02,1.219150882890040366e+00,9.988005650028079774e-02
3.140313398938852529e+00,1.393443290789182072e+02,1.473888337969604612e+00,4.796050810431826683e-01
2.411533707680146854e+00,1.288398645706085972e+02,1.344979899244578281e+00,2.797758570600338834e-01
6.472270677032331276e-01,8.730222732492937610e+01,1.031146012326795924e+00,2.321886538132694397e-02
1.748107577327257633e+00,1.088397618666377724e+02,1.101262329413659868e+00,1.437139715185255517e-01
