t,Ca,B,Ca_er,dCa_dt,dCa_dt_noisy
1.120224044808961761e-01,3.602467577776910623e+00,3.960125608926556295e-01,9.997457449525833795e+01,-3.079634382177526497e+00,-3.075361522227554101e+00
1.160232046409281903e-01,3.590206437542597051e+00,4.084386436024742273e-01,9.997367367293364282e+01,-3.049764324812070271e+00,-3.045417886191618795e+00
1.200240048009601906e-01,3.578064140394496384e+00,4.207595998185177932e-01,9.997277331577174664e+01,-3.020223951452482680e+00,-2.977867176351461698e+00
1.240248049609922049e-01,3.566039377533498200e+00,4.329766106868299658e-01,9.997187342052905024e+01,-2.991008625244508945e+00,-3.013249040498354514e+00
1.280256051210242052e-01,3.554130857723758474e+00,4.450908411724777691e-01,9.997097398397774271e+01,-2.962113789476291892e+00,-2.969665889618831933e+00
1.320264052810562194e-01,3.542337307292702686e+00,4.571034400595513914e-01,9.997007500290574455e+01,-2.933534966601837546e+00,-2.892679534451990886e+00
1.360272054410882059e-01,3.530657470131023157e+00,4.690155399511641843e-01,9.996917647411669350e+01,-2.905267757282516072e+00,-2.892333697358479228e+00
1.400280056011202201e-01,3.519090107692680824e+00,4.808282572694530521e-01,9.996827839443004393e+01,-2.877307839446255233e+00,-2.864046571998729807e+00
1.440288057611522343e-01,3.507633998994904356e+00,4.925426922555777853e-01,9.996738076068093903e+01,-2.849650967364194543e+00,-2.859931094797943718e+00
1.480296059211842485e-01,3.496287940571491060e+00,5.041599290130501787e-01,9.996648356972029603e+01,-2.822292970637222176e+00,-2.855254474054335301e+00
1.520304060812162350e-01,3.485050744053954208e+00,5.156810377599466699e-01,9.996558681841626992e+01,-2.795229747754464533e+00,-2.791880452870009854e+00
1.560312062412482492e-01,3.473921238784805521e+00,5.271070724203893443e-01,9.996469050365494979e+01,-2.768457271231286931e+00,-2.766276989474855785e+00
1.600320064012802634e-01,3.462898270616246776e+00,5.384390717203214605e-01,9.996379462233900881e+01,-2.741971584028328301e+00,-2.766518625113219887e+00
1.640328065613122499e-01,3.451980700276920722e+00,5.496780606986180207e-01,9.996289917138767578e+01,-2.715768795014223080e+00,-2.729433328249834201e+00
1.680336067213442641e-01,3.441167403371913291e+00,5.608250507070859925e-01,9.996200414773680620e+01,-2.689845078194460282e+00,-2.691285951789004649e+00
1.720344068813762783e-01,3.430457270382753610e+00,5.718810394104635320e-01,9.996110954833882545e+01,-2.664196671954161211e+00,-2.683091704415376810e+00
1.760352070414082926e-01,3.419849206667411323e+00,5.828470107864210936e-01,9.996021537016279979e+01,-2.638819878314560441e+00,-2.640785277671604980e+00
1.800360072014402790e-01,3.409342132460300601e+00,5.937239351255603204e-01,9.995932161019433693e+01,-2.613711062202992874e+00,-2.611801401653603971e+00
1.840368073614722932e-01,3.398934982872276134e+00,6.045127690314151536e-01,9.995842826543567128e+01,-2.588866650736119546e+00,-2.588154925995009847e+00
1.880376075215043075e-01,3.388626707736071886e+00,6.152144555638692225e-01,9.995753533290566395e+01,-2.564283132167618273e+00,-2.574408965333904398e+00
1.920384076815362939e-01,3.378416269095945168e+00,6.258299265788064281e-01,9.995664280964096804e+01,-2.539957049535894740e+00,-2.528082088100178204e+00
1.960392078415683081e-01,3.368302644651392175e+00,6.363600995466012211e-01,9.995575069269695234e+01,-2.515885007761124115e+00,-2.498061668675477520e+00
2.000400080016003224e-01,3.358284825788638184e+00,6.468058793574528176e-01,9.995485897914599605e+01,-2.492063668571552260e+00,-2.485646702480221126e+00
2.040408081616323366e-01,3.348361816417270376e+00,6.571681593975329250e-01,9.995396766607727557e+01,-2.468489747269261958e+00,-2.484854351817068263e+00
2.080416083216643230e-01,3.338532632970238723e+00,6.674478215489858535e-01,9.995307675059679298e+01,-2.445160012131169402e+00,-2.430526966455460514e+00
2.120424084816963373e-01,3.328796304403856432e+00,6.776457361899279608e-01,9.995218622982740442e+01,-2.422071283820647736e+00,-2.432100084189988909e+00
2.160432086417283515e-01,3.319151872197799058e+00,6.877627621944480962e-01,9.995129610090877748e+01,-2.399220434809560931e+00,-2.381637222443801161e+00
2.200440088017603657e-01,3.309598390355105835e+00,6.977997469326073787e-01,9.995040636099740539e+01,-2.376604388810579227e+00,-2.398040137148127915e+00
2.240448089617923522e-01,3.300134925402177455e+00,7.077575262704393078e-01,9.994951700726663546e+01,-2.354220120219573165e+00,-2.335930776156997624e+00
2.280456091218243664e-01,3.290760556388778291e+00,7.176369245699497634e-01,9.994862803690661224e+01,-2.332064653567970325e+00,-2.332465922660279745e+00
2.320464092818563806e-01,3.281474373907764974e+00,7.274387555998690358e-01,9.994773944712432012e+01,-2.310135060812364749e+00,-2.335110038619053086e+00
2.360472094418883671e-01,3.272275479133242460e+00,7.371638234481642238e-01,9.994685123514524605e+01,-2.288428458673195109e+00,-2.294706448112532104e+00
2.400480096019203813e-01,3.263162986936795296e+00,7.468129196250897772e-01,9.994596339821309527e+01,-2.266942015036006453e+00,-2.265859969460575662e+00
2.440488097619523955e-01,3.254136022856304322e+00,7.563868258592332250e-01,9.994507593358817132e+01,-2.245672941757969276e+00,-2.240217114974680346e+00
2.480496099219844097e-01,3.245193722921469348e+00,7.658863142590480733e-01,9.994418883854731916e+01,-2.224618493814860543e+00,-2.244262256313680037e+00
2.520504100820163962e-01,3.236335233653807375e+00,7.753121473128530283e-01,9.994330211038398204e+01,-2.203775968842740518e+00,-2.225923429786044405e+00
2.560512102420484104e-01,3.227559712066655262e+00,7.846650778888327737e-01,9.994241574640808778e+01,-2.183142706687584145e+00,-2.179151016030642651e+00
2.600520104020804246e-01,3.218866325665168393e+00,7.939458492350376373e-01,9.994152974394613409e+01,-2.162716088962723049e+00,-2.172051081300319098e+00
2.640528105621124388e-01,3.210254252446319345e+00,8.031551949793833689e-01,9.994064410034120272e+01,-2.142493538613983617e+00,-2.137783426379379126e+00
2.680536107221444531e-01,3.201722680898900553e+00,8.122938391296513627e-01,9.993975881295287422e+01,-2.122472519492405674e+00,-2.107282129042838292e+00
2.720544108821764118e-01,3.193270810003522087e+00,8.213624960734886571e-01,9.993887387915728482e+01,-2.102650535934423637e+00,-2.135626283261442548e+00
2.760552110422084260e-01,3.184897848815617660e+00,8.303618709654063679e-01,9.993798929634702688e+01,-2.083025131440978228e+00,-2.077937369110625987e+00
2.800560112022404402e-01,3.176603014477799913e+00,8.392926615859848116e-01,9.993710506193166054e+01,-2.063593883938666718e+00,-2.039100944587952213e+00
2.840568113622724544e-01,3.168385536015181358e+00,8.481555548279078316e-01,9.993622117333949006e+01,-2.044354413653579172e+00,-2.050304950540988713e+00
2.880576115223044686e-01,3.160244651773964630e+00,8.569512290501619667e-01,9.993533762801504849e+01,-2.025304377168261283e+00,-2.041520668833012753e+00
2.920584116823364829e-01,3.152179608857450521e+00,8.656803545995317428e-01,9.993445442341872820e+01,-2.006441465835573812e+00,-1.991396589291982044e+00
2.960592118423684971e-01,3.144189663126038869e+00,8.743435938105988958e-01,9.993357155702680927e+01,-1.987763405426809626e+00,-1.982694475102646736e+00
3.000600120024004558e-01,3.136274079197229003e+00,8.829416010057430375e-01,9.993268902633143114e+01,-1.969267955785785507e+00,-1.951350294370234328e+00
3.040608121624324700e-01,3.128432130445617965e+00,8.914750224951417668e-01,9.993180682884062094e+01,-1.950952910488787717e+00,-1.957857224689813380e+00
3.080616123224644842e-01,3.120663099002902729e+00,8.999444965767700033e-01,9.993092496207827935e+01,-1.932816096510319159e+00,-1.962452461984763419e+00
3.120624124824964984e-01,3.112966275757877543e+00,9.083506535364003209e-01,9.993004342358419478e+01,-1.914855373894530199e+00,-1.917055589188755294e+00
3.160632126425285127e-01,3.105340960356436586e+00,9.166941156476033914e-01,9.992916221091401496e+01,-1.897068635432253014e+00,-1.905985198492477606e+00
3.200640128025605269e-01,3.097786461201572639e+00,9.249754971717469854e-01,9.992828132163928956e+01,-1.879453806343566846e+00,-1.863947329902615468e+00
3.240648129625925411e-01,3.090302094865007732e+00,9.331954049041474297e-01,9.992740075334712913e+01,-1.862008842705152656e+00,-1.858136185737609525e+00
3.280656131226244998e-01,3.082887184631291966e+00,9.413544395424459088e-01,9.992652050364071670e+01,-1.844731728017702244e+00,-1.877348712666404351e+00
3.320664132826565140e-01,3.075541064014368331e+00,9.494531924266450540e-01,9.992564057014142520e+01,-1.827620480443168605e+00,-1.851523742045232623e+00
3.360672134426885282e-01,3.068263074150614056e+00,9.574922479364227357e-01,9.992476095048581897e+01,-1.810673146949056900e+00,-1.792997366217311761e+00
3.400680136027205425e-01,3.061052563465038290e+00,9.654721837997304323e-01,9.992388164232541214e+01,-1.793887802322564617e+00,-1.780292501974207742e+00
3.440688137627525567e-01,3.053908887671285211e+00,9.733935710927933416e-01,9.992300264332662607e+01,-1.777262548903965289e+00,-1.790067416222135055e+00
3.480696139227845709e-01,3.046831409771632249e+00,9.812569742401097139e-01,9.992212395117086032e+01,-1.760795516324408450e+00,-1.760816492255754095e+00
3.520704140828165851e-01,3.039819500056990975e+00,9.890629510144515191e-01,9.992124556355443588e+01,-1.744484861248077223e+00,-1.735573390172553410e+00
3.560712142428485438e-01,3.032872536106906658e+00,9.968120525368640017e-01,9.992036747818859510e+01,-1.728328767118631815e+00,-1.718960680401686147e+00
3.600720144028805580e-01,3.025989902789557817e+00,1.004504823276666459e+00,9.991948969279954440e+01,-1.712325443909881173e+00,-1.694800599987594136e+00
3.640728145629125723e-01,3.019170992261756670e+00,1.012141801051450685e+00,9.991861220512842579e+01,-1.696473127880615328e+00,-1.691343415336184153e+00
3.680736147229445865e-01,3.012415203968950461e+00,1.019723517027082638e+00,9.991773501293130266e+01,-1.680770081333532673e+00,-1.682666648112902674e+00
3.720744148829766007e-01,3.005721944642471222e+00,1.027250495720244627e+00,9.991685811397917405e+01,-1.665214592372417757e+00,-1.670391553668174600e+00
3.760752150430086149e-01,2.999090626562795237e+00,1.034723256613550912e+00,9.991598150605693718e+01,-1.649804971005278453e+00,-1.628690114994613358e+00
3.800760152030406291e-01,2.992520669377475517e+00,1.042142312492619460e+00,9.991510518696631493e+01,-1.634539552737200863e+00,-1.679556638238771660e+00
3.840768153630725879e-01,2.986011500483815695e+00,1.049508169070981989e+00,9.991422915452486109e+01,-1.619416699170352025e+00,-1.622189805672178853e+00
3.880776155231046021e-01,2.979562553333189978e+00,1.056821326553536666e+00,9.991335340656392816e+01,-1.604434794226772043e+00,-1.603774792147090844e+00
3.920784156831366163e-01,2.973173267431045819e+00,1.064082279636548556e+00,9.991247794092873846e+01,-1.589592243945492145e+00,-1.618099223162895894e+00
3.960792158431686305e-01,2.966843088336900358e+00,1.071291517507648949e+00,9.991160275547836989e+01,-1.574887476282942345e+00,-1.568231204020181346e+00
4.000800160032006447e-01,2.960571467664343981e+00,1.078449523845835811e+00,9.991072784808569907e+01,-1.560318940916599395e+00,-1.573344561165467281e+00
4.040808161632326589e-01,2.954357863081037650e+00,1.085556776821474001e+00,9.990985321663747243e+01,-1.545885109051829964e+00,-1.528636213125515120e+00
4.080816163232646732e-01,2.948201738308713793e+00,1.092613749096294828e+00,9.990897885903427778e+01,-1.531584473231864196e+00,-1.534096314912550829e+00
4.120824164832966874e-01,2.942102563123176751e+00,1.099620907823395832e+00,9.990810477319055849e+01,-1.517415547150890776e+00,-1.504032482335101673e+00
4.160832166433286461e-01,2.936059813354302772e+00,1.106578714647241446e+00,9.990723095703454248e+01,-1.503376865470184676e+00,-1.478999993366760135e+00
4.200840168033606603e-01,2.930072970886038242e+00,1.113487625703663220e+00,9.990635740850837010e+01,-1.489466983637246056e+00,-1.481808391982976536e+00
4.240848169633926745e-01,2.924141523656403230e+00,1.120348091619858710e+00,9.990548412556796620e+01,-1.475684477707909892e+00,-1.493198900576366839e+00
4.280856171234246887e-01,2.918264964545225659e+00,1.127160558547538827e+00,9.990461110618214491e+01,-1.462027941860930991e+00,-1.492314314495023719e+00
4.320864172834567030e-01,2.912442791735254222e+00,1.133925467850999125e+00,9.990373834833434330e+01,-1.448495988962232861e+00,-1.413428306611905327e+00
4.360872174434887172e-01,2.906674510533786115e+00,1.140643254405842688e+00,9.990286585002370146e+01,-1.435087254189722827e+00,-1.437313098053473182e+00
4.400880176035207314e-01,2.900959631297967078e+00,1.147314348508158721e+00,9.990199360926206396e+01,-1.421800390578343176e+00,-1.435571689531029538e+00
4.440888177635526901e-01,2.895297669406695196e+00,1.153939175900495773e+00,9.990112162407397989e+01,-1.408634068809221374e+00,-1.405748927048004804e+00
4.480896179235847043e-01,2.889688145260618679e+00,1.160518157771861292e+00,9.990024989249663179e+01,-1.395586977059516620e+00,-1.399415203669169605e+00
4.520904180836167185e-01,2.884130584282137200e+00,1.167051710757721183e+00,9.989937841257993512e+01,-1.382657820854647834e+00,-1.365614975570394130e+00
4.560912182436487328e-01,2.878624516915401443e+00,1.173540246940000253e+00,9.989850718238643879e+01,-1.369845322922884190e+00,-1.369166759274142109e+00
4.600920184036807470e-01,2.873169478626313555e+00,1.179984173847081985e+00,9.989763619999138200e+01,-1.357148223052239588e+00,-1.356873231379871259e+00
4.640928185637127612e-01,2.867765009902526696e+00,1.186383894453808985e+00,9.989676546348270847e+01,-1.344565277949645754e+00,-1.358856872370304947e+00
4.680936187237447754e-01,2.862410656253445040e+00,1.192739807181482758e+00,9.989589497096099535e+01,-1.332095261102383077e+00,-1.322703899127433136e+00
4.720944188837767341e-01,2.857105968210223335e+00,1.199052305897863047e+00,9.989502472053953852e+01,-1.319736962641722577e+00,-1.340414297088822204e+00
4.760952190438087483e-01,2.851850501325768672e+00,1.205321779917169378e+00,9.989415471034428151e+01,-1.307489189208751235e+00,-1.294171400413471895e+00
4.800960192038407626e-01,2.846643816169737384e+00,1.211548614004700930e+00,9.989328493851387236e+01,-1.295350763812121331e+00,-1.264872013552318597e+00
4.840968193638727768e-01,2.841485476848122360e+00,1.217733189752750356e+00,9.989241540319802937e+01,-1.283320522666402397e+00,-1.313814243428385486e+00
4.880976195239047910e-01,2.836375052739988245e+00,1.223875883994385738e+00,9.989154610256109379e+01,-1.271397318602531801e+00,-1.320721903229558070e+00
4.920984196839368052e-01,2.831312118739135908e+00,1.229977068559258369e+00,9.989067703478110616e+01,-1.259580021454324239e+00,-1.247242446351237932e+00
4.960992198439688194e-01,2.826296253901495081e+00,1.236037111517961806e+00,9.988980819804757516e+01,-1.247867515181344533e+00,-1.196909558871682044e+00
5.001000200040007782e-01,2.821327041445127026e+00,1.242056377182031879e+00,9.988893959056156291e+01,-1.236258697755418190e+00,-1.256277194732856151e+00
5.041008201640327924e-01,2.816404068750222756e+00,1.248035226103946460e+00,9.988807121053564231e+01,-1.224752481048902553e+00,-1.249766396224942344e+00
5.081016203240648066e-01,2.811526927359103922e+00,1.253974015077125914e+00,9.988720305619389705e+01,-1.213347790724695008e+00,-1.201568412049085488e+00
5.121024204840968208e-01,2.806695212976223264e+00,1.259873097135933095e+00,9.988633512577190743e+01,-1.202043566127948937e+00,-1.218857997929115200e+00
5.161032206441288350e-01,2.801908525468162825e+00,1.265732821555672460e+00,9.988546741751680713e+01,-1.190838760179476541e+00,-1.200959269858211220e+00
5.201040208041608492e-01,2.797166468863636180e+00,1.271553533852591400e+00,9.988459992968722645e+01,-1.179732339270818553e+00,-1.186694688604494008e+00
5.241048209641928635e-01,2.792468651353486209e+00,1.277335575783879351e+00,9.988373266055330646e+01,-1.168723283160949977e+00,-1.158083241435114097e+00
5.281056211242248777e-01,2.787814685290687322e+00,1.283079285347667797e+00,9.988286560839672745e+01,-1.157810584874600313e+00,-1.165916632102462769e+00
5.321064212842568919e-01,2.783204187190344125e+00,1.288784996783030934e+00,9.988199877151065209e+01,-1.146993250602172720e+00,-1.141435593800569581e+00
5.361072214442889061e-01,2.778636777729690976e+00,1.294453040569984559e+00,9.988113214819979646e+01,-1.136270299601221723e+00,-1.139800964779093206e+00
5.401080216043209203e-01,2.774112081268517827e+00,1.300083743873669428e+00,9.988026573677970532e+01,-1.125640763131714905e+00,-1.142534185204747033e+00
5.441088217643528235e-01,2.769629725076523830e+00,1.305677431277340927e+00,9.987939953557666684e+01,-1.115103682788708195e+00,-1.121500207943572525e+00
5.481096219243848378e-01,2.765189341878864226e+00,1.311234422427114410e+00,9.987853354293142161e+01,-1.104658115544751684e+00,-1.123666108848110134e+00
5.521104220844168520e-01,2.760790568031963321e+00,1.316755033700345967e+00,9.987766775719536838e+01,-1.094303129996744506e+00,-1.094172830279349640e+00
5.561112222444488662e-01,2.756433043340769551e+00,1.322239578373945346e+00,9.987680217673032246e+01,-1.084037805912975161e+00,-1.106515130464287955e+00
5.601120224044808804e-01,2.752116411058758594e+00,1.327688366624375060e+00,9.987593679990851570e+01,-1.073861234149553479e+00,-1.095719121535458251e+00
5.641128225645128946e-01,2.747840317887929373e+00,1.333101705527650394e+00,9.987507162511256809e+01,-1.063772516568110671e+00,-1.034633280262005517e+00
5.681136227245449088e-01,2.743604413978808054e+00,1.338479899059339617e+00,9.987420665073551618e+01,-1.053770765954756161e+00,-1.054834450360863096e+00
5.721144228845769231e-01,2.739408352930444934e+00,1.343823248094563549e+00,9.987334187518077044e+01,-1.043855105940265204e+00,-1.044933146449706030e+00
5.761152230446089373e-01,2.735251791790416220e+00,1.349132050407996219e+00,9.987247729686215791e+01,-1.034024670921482203e+00,-1.023793942523129719e+00
5.801160232046409515e-01,2.731134391054823141e+00,1.354406600673864425e+00,9.987161291420393638e+01,-1.024278605983927726e+00,-1.032695746034905104e+00
5.841168233646729657e-01,2.727055814668292832e+00,1.359647190465947730e+00,9.987074872564070915e+01,-1.014616066825594354e+00,-1.019186774175157462e+00
5.881176235247049799e-01,2.723015730023977010e+00,1.364854108257578691e+00,9.986988472961752450e+01,-1.005036219681897158e+00,-9.965332449752589694e-01
5.921184236847369942e-01,2.719013807963553742e+00,1.370027639421642629e+00,9.986902092458980462e+01,-9.955382412517868040e-01,-9.898899244068988246e-01
5.961192238447690084e-01,2.715049722777225227e+00,1.375168066230577857e+00,9.986815730902341670e+01,-9.861213186249909723e-01,-1.009307253163639562e+00
6.001200240048009116e-01,2.711123151850779234e+00,1.380275668182672444e+00,9.986729388139401919e+01,-9.767846485076709939e-01,-9.601177965742777598e-01
6.041208241648329258e-01,2.707233774809481464e+00,1.385350722809129520e+00,9.986643064018660709e+01,-9.675274354352352280e-01,-9.793361343010160702e-01
6.081216243248649400e-01,2.703381275941355355e+00,1.390393503438398737e+00,9.986556758389957622e+01,-9.583488965246422797e-01,-9.794704755309260324e-01
6.121224244848969542e-01,2.699565342613515107e+00,1.395404280639310324e+00,9.986470471104112789e+01,-9.492482582726767815e-01,-9.672577596726578131e-01
6.161232246449289685e-01,2.695785665050472346e+00,1.400383322424809007e+00,9.986384202012878575e+01,-9.402247560526808545e-01,-9.480356629397873602e-01
6.201240248049609827e-01,2.692041936334137020e+00,1.405330894251954010e+00,9.986297950968945258e+01,-9.312776340526786045e-01,-8.987316289602172992e-01
6.241248249649929969e-01,2.688333852403815172e+00,1.410247259021918831e+00,9.986211717825939616e+01,-9.224061452144256545e-01,-9.459168633128413051e-01
6.281256251250250111e-01,2.684661112056212051e+00,1.415132677079991019e+00,9.986125502438423496e+01,-9.136095511733612895e-01,-9.104080333226745037e-01
6.321264252850570253e-01,2.681023416945429449e+00,1.419987406215572623e+00,9.986039304661895244e+01,-9.048871221994628788e-01,-9.476436093612744527e-01
6.361272254450890395e-01,2.677420471582967476e+00,1.424811701662180408e+00,9.985953124352791122e+01,-8.962381371389754880e-01,-8.962694758018794339e-01
6.401280256051210538e-01,2.673851983337723226e+00,1.429605816097444748e+00,9.985866961368481043e+01,-8.876618833570231182e-01,-8.696705550075030100e-01
6.441288257651530680e-01,2.670317662435992112e+00,1.434369999643110738e+00,9.985780815567272839e+01,-8.791576566810668236e-01,-8.838909231222958907e-01
6.481296259251850822e-01,2.666817221961466089e+00,1.439104499865038189e+00,9.985694686808407994e+01,-8.707247613452210322e-01,-8.833118598228878460e-01
6.521304260852170964e-01,2.663350377855236317e+00,1.443809561773200301e+00,9.985608574952067329e+01,-8.623625099354014223e-01,-8.577322886542306790e-01
6.561312262452489996e-01,2.659916848915790055e+00,1.448485427821685212e+00,9.985522479859365319e+01,-8.540702233352949202e-01,-8.400671883122818873e-01
6.601320264052810138e-01,2.656516356799012435e+00,1.453132337908695337e+00,9.985436401392352934e+01,-8.458472306731458223e-01,-8.325740792527976941e-01
6.641328265653130281e-01,2.653148625268464400e+00,1.457750530069759742e+00,9.985350339413895426e+01,-8.376928677943306090e-01,-7.982433907157348019e-01
6.681336267253450423e-01,2.649813380601320656e+00,1.462340240123854773e+00,9.985264293787841439e+01,-8.296064779908735032e-01,-8.254231285441480104e-01
6.721344268853770565e-01,2.646510352799931631e+00,1.466901700544650078e+00,9.985178264379193536e+01,-8.215874143420305309e-01,-8.334356163370891801e-01
6.761352270454090707e-01,2.643239274249531867e+00,1.471435141686012305e+00,9.985092251053792722e+01,-8.136350370389945352e-01,-8.161546208387273627e-01
6.801360272054410849e-01,2.639999879703714747e+00,1.475940791795350870e+00,9.985006253678322707e+01,-8.057487133103473642e-01,-8.071986842227436565e-01
6.841368273654730991e-01,2.636791906284429832e+00,1.480418877013617074e+00,9.984920272120308482e+01,-7.979278173766827242e-01,-7.957530697071203418e-01
6.881376275255051134e-01,2.633615093481984637e+00,1.484869621375305648e+00,9.984834306248114899e+01,-7.901717304058951674e-01,-7.907722866704838260e-01
6.921384276855371276e-01,2.630469183155042856e+00,1.489293246808453652e+00,9.984748355930945252e+01,-7.824798404691197806e-01,-7.790005216911957131e-01
6.961392278455691418e-01,2.627353919530625248e+00,1.493689973134640914e+00,9.984662421038848379e+01,-7.748515424973159149e-01,-8.082685437096182035e-01
7.001400280056011560e-01,2.624269049204110527e+00,1.498060018068989141e+00,9.984576501442708718e+01,-7.672862382384925128e-01,-7.506936591176917029e-01
7.041408281656331702e-01,2.621214321139233583e+00,1.502403597220163922e+00,9.984490597014253410e+01,-7.597833362155450576e-01,-7.712781215939656931e-01
7.081416283256651845e-01,2.618189486668086374e+00,1.506720924090372504e+00,9.984404707626050879e+01,-7.523422516847287911e-01,-7.758054256136692750e-01
7.121424284856970877e-01,2.615194299491118368e+00,1.511012210075364903e+00,9.984318833151509409e+01,-7.449624065947269003e-01,-7.322073834018981708e-01
7.161432286457291019e-01,2.612228515677135654e+00,1.515277664464434126e+00,9.984232973464875727e+01,-7.376432295463285493e-01,-7.112967093986068967e-01
7.201440288057611161e-01,2.609291893663302275e+00,1.519517494440415506e+00,9.984147128441242103e+01,-7.303841557526984385e-01,-7.205235927627096082e-01
7.241448289657931303e-01,2.606384194255138009e+00,1.523731905079687143e+00,9.984061297956536407e+01,-7.231846270002283417e-01,-7.199614407233179136e-01
7.281456291258251445e-01,2.603505180345868197e+00,1.527921099610406452e+00,9.983975481887475212e+01,-7.160440910649680246e-01,-7.346884971724070290e-01
7.321464292858571588e-01,2.600654616264062913e+00,1.532085280026853402e+00,9.983889680111502685e+01,-7.089620003959170580e-01,-6.515306536396471282e-01
7.361472294458891730e-01,2.597832269739568822e+00,1.536224645284794077e+00,9.983803892507198441e+01,-7.019378158917678467e-01,-6.843326434785377277e-01
7.401480296059211872e-01,2.595037910642383761e+00,1.540339392443010436e+00,9.983718118953936482e+01,-6.949710044325995151e-01,-7.177568978394590626e-01
7.441488297659532014e-01,2.592271310806498086e+00,1.544429716824291088e+00,9.983632359331842565e+01,-6.880610385047642996e-01,-7.036537968295591972e-01
7.481496299259852156e-01,2.589532244029892905e+00,1.548495812015432405e+00,9.983546613521797042e+01,-6.812073961674368627e-01,-6.794678111959987499e-01
