t,phi,omega,theta,domega_dt,domega_dt_noisy
1.840368073614722932e-01,2.386270393899631248e+00,-1.279813607354439942e+00,7.572503017636935674e-01,-7.899138025367916427e+00,-7.892020777956819444e+00
1.880376075215043075e-01,2.381086735877473881e+00,-1.311537940172580630e+00,7.702124594358976672e-01,-7.960031724103205697e+00,-8.061290055766068718e+00
1.920384076815362939e-01,2.375775665543843118e+00,-1.343507978298220662e+00,7.830294930652575980e-01,-8.021964499153110495e+00,-7.903214884795946027e+00
1.960392078415683081e-01,2.370336190455779590e+00,-1.375727825529156068e+00,7.957015400444293896e-01,-8.084904742177970505e+00,-7.906671351321504559e+00
2.000400080016003224e-01,2.364767304050784169e+00,-1.408201436962716269e+00,8.082287284767618596e-01,-8.148819510071215078e+00,-8.084649849157901969e+00
2.040408081616323366e-01,2.359067982279912545e+00,-1.440932656734036144e+00,8.206111774029032357e-01,-8.213674538838899863e+00,-8.377320584316962027e+00
2.080416083216643230e-01,2.353237186804019831e+00,-1.473925182273991386e+00,8.328489966741497996e-01,-8.279434239406088025e+00,-8.133103782649000024e+00
2.120424084816963373e-01,2.347273865770285184e+00,-1.507182555896465992e+00,8.449422868961518063e-01,-8.346061699288632951e+00,-8.446349702982043794e+00
2.160432086417283515e-01,2.341176953812211803e+00,-1.540708164798350044e+00,8.568911394289129291e-01,-8.413518685438454270e+00,-8.237686561780856564e+00
2.200440088017603657e-01,2.334945372049627821e+00,-1.574505241059540817e+00,8.686956363867908149e-01,-8.481765646017638716e+00,-8.696123129393127371e+00
2.240448089617923522e-01,2.328578028088684526e+00,-1.608576861642942113e+00,8.803558506384968618e-01,-8.550761711111604768e+00,-8.367868270485848470e+00
2.280456091218243664e-01,2.322073816021858583e+00,-1.642925948394465596e+00,8.918718458070965527e-01,-8.620464692391657024e+00,-8.624477383314752998e+00
2.320464092818563806e-01,2.315431619931733298e+00,-1.677555241673577502e+00,9.032436761987937546e-01,-8.690831069981966195e+00,-8.940580848048849560e+00
2.360472094418883671e-01,2.308650314037939744e+00,-1.712467304311411809e+00,9.144713864859576047e-01,-8.761815987526389904e+00,-8.824595881919758966e+00
2.400480096019203813e-01,2.301728760558442666e+00,-1.747664535553073994e+00,9.255550119219224658e-01,-8.833373259026810587e+00,-8.822552803272502686e+00
2.440488097619523955e-01,2.294665814352719657e+00,-1.783149133002382092e+00,9.364945784543833307e-01,-8.905455353645516325e+00,-8.850897085812626131e+00
2.480496099219844097e-01,2.287460322938761337e+00,-1.818923092487844784e+00,9.472901027254476691e-01,-8.978013393851087542e+00,-9.174451018839283378e+00
2.520504100820163962e-01,2.280111126493073570e+00,-1.854988208062659627e+00,9.579415920716352062e-01,-9.050997152830849046e+00,-9.272471762263887030e+00
2.560512102420484104e-01,2.272617057850673472e+00,-1.891346072004715051e+00,9.684490445238785883e-01,-9.124355051137500894e+00,-9.084438144568084184e+00
2.600520104020804246e-01,2.264976942505092961e+00,-1.927998074816587915e+00,9.788124488075222729e-01,-9.198034152592711621e+00,-9.291384075968672107e+00
2.640528105621124388e-01,2.257189598609026682e+00,-1.964945405221462105e+00,9.890317843423630517e-01,-9.271980159470022187e+00,-9.224879037123976389e+00
2.680536107221444531e-01,2.249253843005916131e+00,-2.002189014132644385e+00,9.991070214733658306e-01,-9.346137388751554198e+00,-9.194233484255878608e+00
2.720544108821764118e-01,2.241168489043117162e+00,-2.039729634159620275e+00,1.009038120918973158e+00,-9.420448769867320493e+00,-9.750206243137510498e+00
2.760552110422084260e-01,2.232932345118861850e+00,-2.077567783891630437e+00,1.018825034055329537e+00,-9.494855848107542684e+00,-9.443978224804018495e+00
2.800560112022404402e-01,2.224544220482252754e+00,-2.115703729783073417e+00,1.028467703396661159e+00,-9.569298766550751623e+00,-9.324369373043605691e+00
2.840568113622724544e-01,2.216002925233262921e+00,-2.154137486153508529e+00,1.037966062595275352e+00,-9.643716263435123892e+00,-9.703221632309219302e+00
2.880576115223044686e-01,2.207307270322733661e+00,-2.192868815187655862e+00,1.047320036441561797e+00,-9.718045669260444441e+00,-9.880208585907958252e+00
2.920584116823364829e-01,2.198456067552378546e+00,-2.231897226935394940e+00,1.056529540863991645e+00,-9.792222903665138034e+00,-9.641774138229219915e+00
2.960592118423684971e-01,2.189448129574779855e+00,-2.271221979311765615e+00,1.065594482929117515e+00,-9.866182472125068159e+00,-9.815493168883440589e+00
3.000600120024004558e-01,2.180282269893389913e+00,-2.310842078096968066e+00,1.074514760841573713e+00,-9.939857462522979858e+00,-9.760680848367467632e+00
3.040608121624324700e-01,2.170957307594815422e+00,-2.350756253327558998e+00,1.083290264372017031e+00,-1.001317953071794875e+01,-1.008222267272820538e+01
3.080616123224644842e-01,2.161472071799616312e+00,-2.390962942088814991e+00,1.091920874784183981e+00,-1.008607888467744118e+01,-1.038244253942188422e+01
3.120624124824964984e-01,2.151825392244975710e+00,-2.431460333799679852e+00,1.100406464139187301e+00,-1.015848430803633917e+01,-1.018048646097858878e+01
3.160632126425285127e-01,2.142016109507753452e+00,-2.472246314336365103e+00,1.108746896680775418e+00,-1.023032314283987532e+01,-1.031948877344212256e+01
3.200640128025605269e-01,2.132043075359531858e+00,-2.513318464179850942e+00,1.116942028875131721e+00,-1.030152129308343234e+01,-1.014645652867391767e+01
3.240648129625925411e-01,2.121905152766615732e+00,-2.554674058415889792e+00,1.124991709410875007e+00,-1.037200322961225751e+01,-1.033327665993682665e+01
3.280656131226244998e-01,2.111601215890031025e+00,-2.596310066735003197e+00,1.132895779199059261e+00,-1.044169199568436746e+01,-1.076786184217138853e+01
3.320664132826565140e-01,2.101130150085527060e+00,-2.638223153432487145e+00,1.140654071373173650e+00,-1.051050921327698440e+01,-1.074954182929762503e+01
3.360672134426885282e-01,2.090490851903575198e+00,-2.680409677408404523e+00,1.148266411289142530e+00,-1.057837509022009748e+01,-1.040161728290264698e+01
3.400680136027205425e-01,2.079682230545687460e+00,-2.722865686250222517e+00,1.155732616727215278e+00,-1.064520842610530948e+01,-1.050925542262173984e+01
3.440688137627525567e-01,2.068703220611979088e+00,-2.765586866391198662e+00,1.163052499309820575e+00,-1.071092660215055048e+01,-1.083897527533224903e+01
3.480696139227845709e-01,2.057552767132391214e+00,-2.808568605039041710e+00,1.170225862168304820e+00,-1.077544561705276571e+01,-1.077565537636622217e+01
3.520704140828165851e-01,2.046229835367905370e+00,-2.851805946364112554e+00,1.177252501952313679e+00,-1.083868009458665504e+01,-1.074956538383141869e+01
3.560712142428485438e-01,2.034733414223550252e+00,-2.895293577224777426e+00,1.184132209371803635e+00,-1.090054330139280303e+01,-1.080686243422334769e+01
3.600720144028805580e-01,2.023062516248400833e+00,-2.939025827167406568e+00,1.190864769197043982e+00,-1.096094717144455544e+01,-1.078569873222168596e+01
3.640728145629125723e-01,2.011216177635577917e+00,-2.982996668426372455e+00,1.197449960258615276e+00,-1.101980233247397933e+01,-1.096850520702966669e+01
3.680736147229445865e-01,1.999193458222250586e+00,-3.027199715924053347e+00,1.203887555447409552e+00,-1.107701813447168959e+01,-1.109598380226538872e+01
3.720744148829766007e-01,1.986993441489632861e+00,-3.071628227270830180e+00,1.210177321714631216e+00,-1.113250268037729818e+01,-1.118427229333486750e+01
3.760752150430086149e-01,1.974615234562985933e+00,-3.116275102765088345e+00,1.216319020071795487e+00,-1.118616285907944707e+01,-1.097501429897279657e+01
3.800760152030406291e-01,1.962057979014991016e+00,-3.161132854517292312e+00,1.222312407396724865e+00,-1.123790437310517554e+01,-1.168807522812088351e+01
3.840768153630725879e-01,1.949320848191773869e+00,-3.206193612282498773e+00,1.228157235337167030e+00,-1.128763178436755865e+01,-1.131536284938582604e+01
3.880776155231046021e-01,1.936403041970250483e+00,-3.251449138544374229e+00,1.233853249955467746e+00,-1.133524856687611759e+01,-1.132864854607930560e+01
3.920784156831366163e-01,1.923303798108825013e+00,-3.296890796762343090e+00,1.239400194041746728e+00,-1.138065715259599919e+01,-1.166572694477003758e+01
3.960792158431686305e-01,1.910022392250430245e+00,-3.342509551363008313e+00,1.244797807114459198e+00,-1.142375899054551169e+01,-1.135719626791790304e+01
4.000800160032006447e-01,1.896558137922528475e+00,-3.388295967740148296e+00,1.250045825420398105e+00,-1.146445460946023687e+01,-1.159471081194891617e+01
4.040808161632326589e-01,1.882910386537110625e+00,-3.434240212254719538e+00,1.255143981934692565e+00,-1.150264368414688221e+01,-1.133015472488373199e+01
4.080816163232646732e-01,1.869078527390696909e+00,-3.480332052234854423e+00,1.260092006360808314e+00,-1.153822510565034420e+01,-1.156334352245720964e+01
4.120824164832966874e-01,1.855061987664337053e+00,-3.526560855975862108e+00,1.264889625130547923e+00,-1.157109705535519772e+01,-1.143726640719730803e+01
4.160832166433286461e-01,1.840860236705953001e+00,-3.572915587865637121e+00,1.269536562331185170e+00,-1.160115708133627699e+01,-1.135738836030203203e+01
4.200840168033606603e-01,1.826472798728273617e+00,-3.619384786717685376e+00,1.274032541934799756e+00,-1.162830218436366536e+01,-1.155171626782097150e+01
4.240848169633926745e-01,1.811899234564593009e+00,-3.665956584665631013e+00,1.278377283834501332e+00,-1.165242892253467488e+01,-1.182757315121924435e+01
4.280856171234246887e-01,1.797139156574731889e+00,-3.712618698841990028e+00,1.282570507784343672e+00,-1.167343349997518231e+01,-1.197629722631610960e+01
4.320864172834567030e-01,1.782192230356990370e+00,-3.759358429855246264e+00,1.286611933803369467e+00,-1.169121187514195270e+01,-1.134053505163867825e+01
4.360872174434887172e-01,1.767058174748148414e+00,-3.806162661789852297e+00,1.290501282175609443e+00,-1.170565987537506558e+01,-1.172791831401256957e+01
4.400880176035207314e-01,1.751736761823464938e+00,-3.853017862206228550e+00,1.294238273450083909e+00,-1.171667331659834410e+01,-1.185438630612520861e+01
4.440888177635526901e-01,1.736227816896678933e+00,-3.899910082140763290e+00,1.297822628440801651e+00,-1.172414812823077490e+01,-1.169529671061861009e+01
4.480896179235847043e-01,1.720531218520008343e+00,-3.946824956105814852e+00,1.301254068226759930e+00,-1.172798048336047572e+01,-1.176626274945700601e+01
4.520904180836167185e-01,1.704646899248871694e+00,-3.993747703456994369e+00,1.304532314367632617e+00,-1.172806693323740923e+01,-1.155763848039487129e+01
4.560912182436487328e-01,1.688574861777813574e+00,-4.040663145897720021e+00,1.307657093030784035e+00,-1.172430453912201109e+01,-1.171751890263459117e+01
4.600920184036807470e-01,1.672315164323245007e+00,-4.087555664492159124e+00,1.310628130301089600e+00,-1.171659106009356854e+01,-1.171384114336988524e+01
4.640928185637127612e-01,1.655867927551945451e+00,-4.134409234921967879e+00,1.313445155067394232e+00,-1.170482508552298384e+01,-1.184774102972957621e+01
4.680936187237447754e-01,1.639233340660346094e+00,-4.181207442180152611e+00,1.316107900886777760e+00,-1.168890619362312577e+01,-1.159499257387362725e+01
4.720944188837767341e-01,1.622411661374530745e+00,-4.227933480571068436e+00,1.318616105984556475e+00,-1.166873512722848005e+01,-1.187550847169947588e+01
4.760952190438087483e-01,1.605403215950234497e+00,-4.274570153710422815e+00,1.320969513254281580e+00,-1.164421397516667156e+01,-1.151103608721387772e+01
4.800960192038407626e-01,1.588208399172845953e+00,-4.321099874525268447e+00,1.323167870257740075e+00,-1.161524635911523085e+01,-1.131045885651720440e+01
4.840968193638727768e-01,1.570827674357405002e+00,-4.367504665254012153e+00,1.325210929224954093e+00,-1.158173762581229660e+01,-1.188667483343212616e+01
4.880976195239047910e-01,1.553261573348604152e+00,-4.413766157446406879e+00,1.327098447054181785e+00,-1.154359504446461315e+01,-1.203684089073487584e+01
4.920984196839368052e-01,1.535510704273232330e+00,-4.459865640843473145e+00,1.328830188150710745e+00,-1.150072797896229204e+01,-1.137735222793142853e+01
4.960992198439688194e-01,1.517575756903055906e+00,-4.505784047786745461e+00,1.330405925116358690e+00,-1.145304812574480913e+01,-1.094346856264818335e+01
5.001000200040007782e-01,1.499457490945824034e+00,-4.551501897495946913e+00,1.331825435008716196e+00,-1.140046976333958817e+01,-1.160065473311396644e+01
5.041008201640327924e-01,1.481156747771610327e+00,-4.596999409077142218e+00,1.333088504680737252e+00,-1.134290989420989604e+01,-1.159304904597029307e+01
5.081016203240648066e-01,1.462674450626853195e+00,-4.642256503207340401e+00,1.334194930867975692e+00,-1.128028847330581996e+01,-1.116249468654972610e+01
5.121024204840968208e-01,1.444011604634356294e+00,-4.687252802134504570e+00,1.335144520188586093e+00,-1.121252864166990371e+01,-1.138067295968156500e+01
5.161032206441288350e-01,1.425169296793287410e+00,-4.731967629677545695e+00,1.335937089143323986e+00,-1.113955696353982994e+01,-1.124076206032717806e+01
5.201040208041608492e-01,1.406148695979179575e+00,-4.776380011226323496e+00,1.336572464115545422e+00,-1.106130366651896502e+01,-1.113092715985572134e+01
5.241048209641928635e-01,1.386951052943930840e+00,-4.820468673741649113e+00,1.337050481371206523e+00,-1.097770288435032882e+01,-1.087130246709196868e+01
5.281056211242248777e-01,1.367577700577316424e+00,-4.864212051907297329e+00,1.337370987248842624e+00,-1.088869289651709416e+01,-1.096975336879571827e+01
5.321064212842568919e-01,1.348030064342037981e+00,-4.907588464583040988e+00,1.337533844185128551e+00,-1.079421623452318180e+01,-1.073863966650714907e+01
5.361072214442889061e-01,1.328309657573798708e+00,-4.950575879406875046e+00,1.337538924526315398e+00,-1.069422015592477138e+01,-1.072952680770348621e+01
5.401080216043209203e-01,1.308418080574669018e+00,-4.993152038548553939e+00,1.337386113233970608e+00,-1.058865676700997938e+01,-1.075759098774030065e+01
5.441088217643528235e-01,1.288357023957541925e+00,-5.035294566747281486e+00,1.337075310980978760e+00,-1.047748317464163215e+01,-1.054144842619027678e+01
5.481096219243848378e-01,1.268128268646129708e+00,-5.076980971311713553e+00,1.336606434151540679e+00,-1.036066173417988701e+01,-1.055074166721347062e+01
5.521104220844168520e-01,1.247733685874967913e+00,-5.118188642119955389e+00,1.335979414841173885e+00,-1.023816029589896637e+01,-1.023685729872501682e+01
5.561112222444488662e-01,1.227175237189412904e+00,-5.158894851619559851e+00,1.335194200856712143e+00,-1.010995244914384372e+01,-1.033472569465697077e+01
5.601120224044808804e-01,1.206454974445642758e+00,-5.199076754827533620e+00,1.334250755716305914e+00,-9.976017763440699682e+00,-1.019459663729974785e+01
5.641128225645128946e-01,1.185575039810656817e+00,-5.238711389330330981e+00,1.333149058649421903e+00,-9.836342025744800210e+00,-9.544949662683748670e+00
5.681136227245449088e-01,1.164537665816222312e+00,-5.277775680353122389e+00,1.331889104713837035e+00,-9.690917467683139108e+00,-9.701554311744207126e+00
5.721144228845769231e-01,1.143345179578955984e+00,-5.316246660962774762e+00,1.330470910261231099e+00,-9.539742772090862744e+00,-9.550523177185270995e+00
5.761152230446089373e-01,1.122000003700097448e+00,-5.354101316044394210e+00,1.328894509943530533e+00,-9.382823470165160273e+00,-9.280516186181635874e+00
5.801160232046409515e-01,1.100504651295641345e+00,-5.391316643007984410e+00,1.327159957082591824e+00,-9.220172058046777863e+00,-9.304343458556552093e+00
5.841168233646729657e-01,1.078861726103253371e+00,-5.427869758974565251e+00,1.325267325944599950e+00,-9.051808075842279422e+00,-9.097515149337910501e+00
5.881176235247049799e-01,1.057073922482270500e+00,-5.463737900776172829e+00,1.323216711740067941e+00,-8.877758294738317346e+00,-8.792728547671934791e+00
5.921184236847369942e-01,1.035144025413701208e+00,-5.498898424955862119e+00,1.321008230623837765e+00,-8.698056894274914796e+00,-8.641573725826035002e+00
5.961192238447690084e-01,1.013074910500224579e+00,-5.533328807767702529e+00,1.318642019695079437e+00,-8.512745628848698232e+00,-8.744604974235183903e+00
6.001200240048009116e-01,9.908695438322961957e-01,-5.567006650357366304e+00,1.316118237085686093e+00,-8.321873975536467682e+00,-8.155205456202535785e+00
6.041208241648329258e-01,9.685309792200685886e-01,-5.599909838343884338e+00,1.313437064979572577e+00,-8.125499069421561416e+00,-8.243586058079369394e+00
6.081216243248649400e-01,9.460623623849888642e-01,-5.632016450447894229e+00,1.310598708503973642e+00,-7.923685963565313628e+00,-8.134901753628151155e+00
6.121224244848969542e-01,9.234669250969161913e-01,-5.663304848465260832e+00,1.307603396558098208e+00,-7.716507589776684384e+00,-7.896602603776495144e+00
6.161232246449289685e-01,9.007479827324227362e-01,-5.693753748058628439e+00,1.304451382893581313e+00,-7.504044744204591666e+00,-7.582153813075656501e+00
6.201240248049609827e-01,8.779089342747942171e-01,-5.723342218757416333e+00,1.301142946114485444e+00,-7.286386156319306195e+00,-6.960926105394692698e+00
6.241248249649929969e-01,8.549532623140297938e-01,-5.752049683957825010e+00,1.297678389677298760e+00,-7.063628541643906189e+00,-7.298735722628062028e+00
6.281256251250250111e-01,8.318845330211666056e-01,-5.779855921347719416e+00,1.294058041896229971e+00,-6.835876636758572822e+00,-6.803861458251704519e+00
6.321264252850570253e-01,8.087063902732624099e-01,-5.806741177443839774e+00,1.290282257603295291e+00,-6.603243028775379386e+00,-7.030807900393495125e+00
6.361272254450890395e-01,7.854225600100817051e-01,-5.832686139853952234e+00,1.286351418435371485e+00,-6.365848219425864762e+00,-6.366161606054903999e+00
6.401280256051210538e-01,7.620368447830792036e-01,-5.857671981610649503e+00,1.282265932824192989e+00,-6.123820498689066305e+00,-5.943907215193864779e+00
6.441288257651530680e-01,7.385531174421084977e-01,-5.881680452612688903e+00,1.278026236966873785e+00,-5.877295726976340617e+00,-5.924628391388631954e+00
6.481296259251850822e-01,7.149753211354221705e-01,-5.904693879624993258e+00,1.273632794825907188e+00,-5.626417260094575212e+00,-5.752288244871243350e+00
6.521304260852170964e-01,6.913074693096711298e-01,-5.926695166278650895e+00,1.269086098129166063e+00,-5.371335855037695062e+00,-5.325033642225987407e+00
6.561312262452489996e-01,6.675536457099060517e-01,-5.947667793070916531e+00,1.264386666369903267e+00,-5.112209556290735257e+00,-4.972179206060605594e+00
6.601320264052810138e-01,6.437179984207652694e-01,-5.967595885727245530e+00,1.259535047628560278e+00,-4.849203420994042446e+00,-4.716471906790561164e+00
6.641328265653130281e-01,6.198047377799746904e-01,-5.986464266398321854e+00,1.254531819730612563e+00,-4.582489277092871127e+00,-4.187994506306912612e+00
6.681336267253450423e-01,5.958181358202788713e-01,-6.004258431753961567e+00,1.249377589476319939e+00,-4.312245562568872259e+00,-4.270412068101617109e+00
6.721344268853770565e-01,5.717625165795916509e-01,-6.020964639586863676e+00,1.244072993216151612e+00,-4.038656918940351837e+00,-4.157138938890938107e+00
6.761352270454090707e-01,5.476422560534777162e-01,-6.036569909293014291e+00,1.238618696855316781e+00,-3.761913962284010537e+00,-3.787109800281339034e+00
6.801360272054410849e-01,5.234617821951532690e-01,-6.051062021871683960e+00,1.233015395853765739e+00,-3.482213037342613227e+00,-3.496712746466575705e+00
6.841368273654730991e-01,4.992255740501315708e-01,-6.064429525252675646e+00,1.227263815262978897e+00,-3.199755938449468484e+00,-3.178008461753844660e+00
6.881376275255051134e-01,4.749381515671543541e-01,-6.076661807374708069e+00,1.221364710572454992e+00,-2.914749431948830960e+00,-2.920754994594717768e+00
6.921384276855371276e-01,4.506040797240549178e-01,-6.087749078112550727e+00,1.215318867823030224e+00,-2.627405017187907976e+00,-2.592611829408667301e+00
6.961392278455691418e-01,4.262279576828335581e-01,-6.097682413832007597e+00,1.209127103177280560e+00,-2.337938435930229097e+00,-2.672108448053251539e+00
7.001400280056011560e-01,4.018144158079888784e-01,-6.106453773205767988e+00,1.202790262944613886e+00,-2.046569281096132453e+00,-1.880643489888123909e+00
7.041408281656331702e-01,3.773681156665173453e-01,-6.114055997213410087e+00,1.196309223581271564e+00,-1.753520642484289516e+00,-1.868468496268496093e+00
7.081416283256651845e-01,3.528937494547371712e-01,-6.120482810699870768e+00,1.189684891685551804e+00,-1.459018732170184407e+00,-1.693650471459589468e+00
7.121424284856970877e-01,3.283960304767005733e-01,-6.125728854887724673e+00,1.182918204248458283e+00,-1.163292364089778097e+00,-1.035742132161491025e+00
7.161432286457291019e-01,3.038796945948025185e-01,-6.129789689940366770e+00,1.176010128949997346e+00,-8.665725740876616401e-01,-6.031073726104452248e-01
7.201440288057611161e-01,2.793494906673125722e-01,-6.132661806324583686e+00,1.168961663303803800e+00,-5.690920986266954085e-01,-4.704864687268068835e-01
7.241448289657931303e-01,2.548101774885157544e-01,-6.134342631160594195e+00,1.161773834529938654e+00,-2.710849211388128843e-01,-2.388530583697088261e-01
7.281456291258251445e-01,2.302665237887135674e-01,-6.134830528222046553e+00,1.154447699554890683e+00,2.721414661499155230e-02,-1.592299144593988802e-01
7.321464292858571588e-01,2.057233057166915624e-01,-6.134124798046319604e+00,1.146984344922828747e+00,3.255699148001358623e-01,8.998833823628356043e-01
7.361472294458891730e-01,1.811852987237631551e-01,-6.132225684899201390e+00,1.139384886884598380e+00,6.237473380174312076e-01,7.997990621497328423e-01
7.401480296059211872e-01,1.566572768874208710e-01,-6.129134373390471957e+00,1.131650471059722385e+00,9.215119500986532763e-01,6.936530160300581338e-01
