t,v,q_eff,p_pol,dv_dt,dv_dt_noisy
1.140228045609121693e-01,1.086448117859531159e-01,5.377035491208501106e-02,5.463593943622772897e-03,9.069013853741699771e-01,9.085760328163974275e-01
1.170234046809361800e-01,1.113625289255720241e-01,5.509833383169931986e-02,5.730127273394204634e-03,9.045484606944723671e-01,9.056386015726878291e-01
1.200240048009601768e-01,1.140731929627170627e-01,5.642188879300758658e-02,6.001832732401814023e-03,9.022002540155547035e-01,8.899267334731089107e-01
1.230246049209841874e-01,1.167768180240548181e-01,5.774102364283075633e-02,6.278638175959666556e-03,8.998567500508831696e-01,8.930244834330774983e-01
1.260252050410081981e-01,1.194734182119181060e-01,5.905574229451835550e-02,6.560472078891073713e-03,8.975179339378324128e-01,8.967974971405601181e-01
1.290258051610322088e-01,1.221630075651372466e-01,6.036604875575046769e-02,6.847264227736064857e-03,8.951837910460027636e-01,8.857362748153949639e-01
1.320264052810561917e-01,1.248456000773845304e-01,6.167194711612519059e-02,7.138945400722685776e-03,8.928543070482118926e-01,8.918716073696897340e-01
1.350270054010802023e-01,1.275212097038651571e-01,6.297344154241119041e-02,7.435447249602278492e-03,8.905294679395959756e-01,8.914842982142905381e-01
1.380276055211042130e-01,1.301898503613171387e-01,6.427053627854767415e-02,7.736702299649466513e-03,8.882092600263038484e-01,8.885651223968586976e-01
1.410282056411282237e-01,1.328515359280112995e-01,6.556323564564438267e-02,8.042643949662161770e-03,8.858936699144357441e-01,8.808307533312925708e-01
1.440288057611522343e-01,1.355062802437513592e-01,6.685154404198161149e-02,8.353206471961568957e-03,8.835826844992187290e-01,8.895201652170769968e-01
1.470294058811762172e-01,1.381540971098738357e-01,6.813546594301020387e-02,8.668325012392176857e-03,8.812762909544149537e-01,8.901879604972382509e-01
1.500300060012002279e-01,1.407950002892481567e-01,6.941500590135157855e-02,8.987935590321769613e-03,8.789744767219540567e-01,8.821829597676197343e-01
1.530306061212242386e-01,1.434290035062765201e-01,7.069016854679766038e-02,9.311975098641414594e-03,8.766772295017907224e-01,8.684949272278876808e-01
1.560312062412482492e-01,1.460561204468940610e-01,7.196095858631096354e-02,9.640381303765465856e-03,8.743845372419722928e-01,8.817010600798267372e-01
1.590318063612722321e-01,1.486763647585686299e-01,7.322738080402448058e-02,9.973092845631564146e-03,8.720963881289213182e-01,8.670819879442508427e-01
1.620324064812962428e-01,1.512897500503010695e-01,7.448944006124184891e-02,1.031004923770065598e-02,8.698127705779212793e-01,8.786043767608011645e-01
1.650330066013202535e-01,1.538962898994089556e-01,7.574714128994496087e-02,1.065119074281704881e-02,8.675336732563566633e-01,8.568157990875822083e-01
1.680336067213442641e-01,1.564959978652383232e-01,7.700048947865711924e-02,1.099645811923919379e-02,8.652590851414099227e-01,8.744037571726976932e-01
1.710342068413682748e-01,1.590888874545408338e-01,7.824948970528169956e-02,1.134579325321366343e-02,8.629889953453208085e-01,8.627883607991659876e-01
1.740348069613922577e-01,1.616749721432027553e-01,7.949414711741481510e-02,1.169913876462858222e-02,8.607233932098208307e-01,8.482359043064766624e-01
1.770354070814162684e-01,1.642542653785552254e-01,8.073446693018467013e-02,1.205643796488898613e-02,8.584622683086091666e-01,8.553232735889406690e-01
1.800360072014402790e-01,1.668267805793740843e-01,8.197045442625153222e-02,1.241763485691679304e-02,8.562056104389704769e-01,8.567466332266858720e-01
1.830366073214642897e-01,1.693925311358800978e-01,8.320211495580770444e-02,1.278267413515082190e-02,8.539534096135638075e-01,8.566813230052083838e-01
1.860372074414882726e-01,1.719515304097387343e-01,8.442945393657762254e-02,1.315150118554678747e-02,8.517056560523844633e-01,8.418837748029747159e-01
1.890378075615122833e-01,1.745037917340603595e-01,8.565247685381775777e-02,1.352406208557730728e-02,8.494623401748863101e-01,8.383886097032343665e-01
1.920384076815362939e-01,1.770493284134001255e-01,8.687118926031665855e-02,1.390030360423188602e-02,8.472234525922697213e-01,8.492192979207405790e-01
1.950390078015603046e-01,1.795881537237579706e-01,8.808559677639496432e-02,1.428017320201693460e-02,8.449889840999245116e-01,8.403214879311264873e-01
1.980396079215843153e-01,1.821202809125786470e-01,8.929570508990535005e-02,1.466361903095574418e-02,8.427589256700287468e-01,8.451139817873309923e-01
2.010402080416082982e-01,1.846457231987517211e-01,9.050151995623258172e-02,1.505058993458852079e-02,8.405332684442964331e-01,8.481284636690802348e-01
2.040408081616323088e-01,1.871644937726116287e-01,9.170304719829353024e-02,1.544103544797235592e-02,8.383120037268745328e-01,8.218241300633650770e-01
2.070414082816563195e-01,1.896766057959375085e-01,9.290029270653707427e-02,1.583490579768124726e-02,8.360951229773820881e-01,8.386390041425582087e-01
2.100420084016803302e-01,1.921820724125492541e-01,9.409326242514925998e-02,1.623215169520050849e-02,8.338826178591023375e-01,8.461290875344597007e-01
2.130426085217043131e-01,1.946809067483108446e-01,9.528196235021130223e-02,1.663272433326395960e-02,8.316744802335762632e-01,8.286992117898714927e-01
2.160432086417283237e-01,1.971731218892525395e-01,9.646639855853242351e-02,1.703657581260669546e-02,8.294707020403810915e-01,8.213625562080053566e-01
2.190438087617523344e-01,1.996587308999005217e-01,9.764657718510408313e-02,1.744365878690010141e-02,8.272712753850450795e-01,8.347937136568409633e-01
2.220444088817763451e-01,2.021377468236176811e-01,9.882250442266846124e-02,1.785392645612813786e-02,8.250761925345171388e-01,8.276106576965985839e-01
2.250450090018003557e-01,2.046101826826035586e-01,9.999418652171844502e-02,1.826733256658735413e-02,8.228854459109971042e-01,8.318442766187726933e-01
2.280456091218243386e-01,2.070760514778944572e-01,1.011616297904976702e-01,1.868383141088687804e-02,8.206990280858912357e-01,8.172468709853784041e-01
2.310462092418483493e-01,2.095353661893634145e-01,1.023248405950004797e-01,1.910337782794843328e-02,8.185169317738854033e-01,8.036987490366632736e-01
2.340468093618723600e-01,2.119881397757201746e-01,1.034838253589719370e-01,1.952592720300630122e-02,8.163391498271369562e-01,8.152390421800244091e-01
2.370474094818963706e-01,2.144343851745111329e-01,1.046385905639078129e-01,1.995143546760736603e-02,8.141656752295791666e-01,8.097073936994668708e-01
2.400480096019203535e-01,2.168741153021194190e-01,1.057891427490546266e-01,2.037985909961107303e-02,8.119965010913389181e-01,8.197497393118146070e-01
2.430486097219443642e-01,2.193073430537649804e-01,1.069354885114096043e-01,2.081115512318947383e-02,8.098316206432633058e-01,8.117679491270348713e-01
2.460492098419683749e-01,2.217340813035043323e-01,1.080776345057206794e-01,2.124528110882718118e-02,8.076710272315544836e-01,7.913625349072034298e-01
2.490498099619923855e-01,2.241543429042307523e-01,1.092155874444865338e-01,2.168219517332140370e-02,8.055147143125077625e-01,7.935630835114757531e-01
2.520504100820163962e-01,2.265681406876742521e-01,1.103493540979565424e-01,2.212185597978191809e-02,8.033626754473531806e-01,8.122005658132257500e-01
2.550510102020404068e-01,2.289754874644015503e-01,1.114789412941308289e-01,2.256422273763109346e-02,8.012149042971976609e-01,8.080125544713760988e-01
2.580516103220644175e-01,2.313763960353108773e-01,1.126043558976179138e-01,2.300925495232240131e-02,7.990713946861774941e-01,7.926689610270926112e-01
2.610522104420883727e-01,2.337708791836108912e-01,1.137256048213077658e-01,2.345691259386602223e-02,7.969321405512004297e-01,7.969216525855276068e-01
2.640528105621123833e-01,2.361589496636106733e-01,1.148426950482718811e-01,2.390715634258907055e-02,7.947971358701191313e-01,7.992528714078810381e-01
2.670534106821363940e-01,2.385406202136887421e-01,1.159556336095286799e-01,2.435994730965593269e-02,7.926663747328683840e-01,7.973504180913412176e-01
2.700540108021604047e-01,2.409159035563022688e-01,1.170644275840277415e-01,2.481524703687643454e-02,7.905398513369253921e-01,7.993022732980689105e-01
2.730546109221844153e-01,2.432848123979868826e-01,1.181690840986498736e-01,2.527301749670580328e-02,7.884175599828028291e-01,7.909824162550184168e-01
2.760552110422084260e-01,2.456473594293566987e-01,1.192696103282071263e-01,2.573322109224469856e-02,7.862994950696308161e-01,7.853512116799458154e-01
2.790558111622324367e-01,2.480035573251043457e-01,1.203660134954426947e-01,2.619582065723918829e-02,7.841856510908218336e-01,7.815971704429434119e-01
2.820564112822564473e-01,2.503534187440010217e-01,1.214583008710310302e-01,2.666077945608075900e-02,7.820760226298179019e-01,7.926334506351504494e-01
2.850570114022804580e-01,2.526969563288963827e-01,1.225464797735777434e-01,2.712806118380631584e-02,7.799706043559198054e-01,7.574620616051344069e-01
2.880576115223044686e-01,2.550341827067185152e-01,1.236305575696197007e-01,2.759762996609818261e-02,7.778693910201930350e-01,7.764828377692796213e-01
2.910582116423284238e-01,2.573651104884741581e-01,1.247105416736249139e-01,2.806945035928408785e-02,7.757723774514544424e-01,7.761023784912950418e-01
2.940588117623524345e-01,2.596897522692485083e-01,1.257864395479926789e-01,2.854348735033720302e-02,7.736795585523320584e-01,7.594260689436301837e-01
2.970594118823764451e-01,2.620081206282052211e-01,1.268582587030534503e-01,2.901970635687610087e-02,7.715909292954000742e-01,7.749190654267805733e-01
3.000600120024004558e-01,2.643202281285864652e-01,1.279260066970688559e-01,2.949807322716476235e-02,7.695064847193875401e-01,7.629936745949535970e-01
3.030606121224244665e-01,2.666260873177129787e-01,1.289896911362317655e-01,2.997855424011260095e-02,7.674262199254562322e-01,7.760506678886136545e-01
3.060612122424484771e-01,2.689257107269840130e-01,1.300493196746662916e-01,3.046111610527444530e-02,7.653501300735505719e-01,7.640942092332072555e-01
3.090618123624724878e-01,2.712191108801594863e-01,1.311048999916542834e-01,3.094572574659167769e-02,7.632782104393929234e-01,7.699697428472874750e-01
3.120624124824964984e-01,2.735063002879729588e-01,1.321564398017698316e-01,3.143235043114318839e-02,7.612104563755974773e-01,7.733988924273097476e-01
3.150630126025205091e-01,2.757872914382933915e-01,1.332039468837096785e-01,3.192095802950071365e-02,7.591468632350445445e-01,7.629761590621793044e-01
3.180636127225444643e-01,2.780620968064815290e-01,1.342474290544505566e-01,3.241151675162260576e-02,7.570874264410881738e-01,7.483302150068597003e-01
3.210642128425684749e-01,2.803307288554145460e-01,1.352868941691862670e-01,3.290399514623578575e-02,7.550321414844000101e-01,7.398889551673536458e-01
3.240648129625924856e-01,2.825932000354852702e-01,1.363223501213276789e-01,3.339836210083576423e-02,7.529810039197050164e-01,7.705148450948687833e-01
3.270654130826164963e-01,2.848495227846027378e-01,1.373538048425028968e-01,3.389458684168660668e-02,7.509340093625748169e-01,7.498210874306996399e-01
3.300660132026405069e-01,2.870997095281918599e-01,1.383812663025570378e-01,3.439263893382098203e-02,7.488911534862826569e-01,7.420055040099394761e-01
3.330666133226645176e-01,2.893437726791937004e-01,1.394047425095524262e-01,3.489248828104012101e-02,7.468524320187154286e-01,7.482950028993237135e-01
3.360672134426885282e-01,2.915817246380652539e-01,1.404242415097684549e-01,3.539410512591384395e-02,7.448178407393400979e-01,7.429037274345136055e-01
3.390678135627125389e-01,2.938135777927793901e-01,1.414397713877016682e-01,3.589746004978054683e-02,7.427873754762311931e-01,7.513087981183580455e-01
3.420684136827365496e-01,2.960393445188252426e-01,1.424513402660657069e-01,3.640252397274720830e-02,7.407610321031468104e-01,7.411003139275178508e-01
3.450690138027605047e-01,2.982590371792077644e-01,1.434589563057913353e-01,3.690926815368935493e-02,7.387388065366631285e-01,7.388763023728472934e-01
3.480696139227845154e-01,3.004726681244480613e-01,1.444626277060264974e-01,3.741766419025115836e-02,7.367206947333579947e-01,7.295748975230283984e-01
3.510702140428085261e-01,3.026802496925830588e-01,1.454623627041362055e-01,3.792768401884531043e-02,7.347066926870482462e-01,7.394023736745232167e-01
3.540708141628325367e-01,3.048817942091658351e-01,1.464581695757026236e-01,3.843929991465309948e-02,7.326967964260752142e-01,7.223581292025254008e-01
3.570714142828565474e-01,3.070773139872653990e-01,1.474500566345249841e-01,3.895248449162438953e-02,7.306910020106420767e-01,7.373498964082817464e-01
3.600720144028805580e-01,3.092668213274668565e-01,1.484380322326196988e-01,3.946721070247763419e-02,7.286893055301971733e-01,7.439286806600985402e-01
3.630726145229045687e-01,3.114503285212132933e-01,1.494221047450704776e-01,3.998345172075345316e-02,7.266917031350960121e-01,7.114448427541044673e-01
3.660732146429285794e-01,3.136278478525613700e-01,1.504022825556810272e-01,4.050118085741076512e-02,7.246981910591271392e-01,7.000358987456140047e-01
3.690738147629525900e-01,3.157993915862739587e-01,1.513785741108822636e-01,4.102037197981085737e-02,7.227087654954637008e-01,7.288775530470068542e-01
3.720744148829765452e-01,3.179649719761717952e-01,1.523509878876623258e-01,4.154099923580542586e-02,7.207234226735435012e-01,7.462024008283747456e-01
3.750750150030005559e-01,3.201246012655565298e-01,1.533195323917893593e-01,4.206303703927315868e-02,7.187421588608579048e-01,7.087329103721389245e-01
3.780756151230245665e-01,3.222782916872103942e-01,1.542842161578113769e-01,4.258646007011968743e-02,7.167649703606048250e-01,7.042580127725849293e-01
3.810762152430485772e-01,3.244260554633964233e-01,1.552450477490563419e-01,4.311124327427761499e-02,7.147918535093847892e-01,7.206815428471895491e-01
3.840768153630725879e-01,3.265679048058583445e-01,1.562020357576321961e-01,4.363736186370652248e-02,7.128228046749373048e-01,7.044155887743541733e-01
3.870774154830965985e-01,3.287038519158207439e-01,1.571551888044267209e-01,4.416479131639296229e-02,7.108578202539181934e-01,7.057975654145508537e-01
3.900780156031206092e-01,3.308339089839887892e-01,1.581045155391077317e-01,4.469350737635047199e-02,7.088968966697177798e-01,7.054157220028800523e-01
3.930786157231446198e-01,3.329580881905485068e-01,1.590500246401228834e-01,4.522348605361953267e-02,7.069400303703170518e-01,7.122600512332349920e-01
3.960792158431686305e-01,3.350764017051666155e-01,1.599917248146998372e-01,4.575470362426761750e-02,7.049872178261812339e-01,7.009341942122500058e-01
3.990798159631925857e-01,3.371888616869905819e-01,1.609296247988461215e-01,4.628713663038915016e-02,7.030384555281941061e-01,7.058172839289956757e-01
4.020804160832165963e-01,3.392954802846487317e-01,1.618637333573492987e-01,4.682076188010556028e-02,7.010937399856264074e-01,6.993284073966906655e-01
4.050810162032406070e-01,3.413962696362500271e-01,1.627940592837767708e-01,4.735555644756522103e-02,6.991530677241407643e-01,6.907063566876247007e-01
4.080816163232646177e-01,3.434912418693840674e-01,1.637206114004759183e-01,4.789149767294347687e-02,6.972164352838344792e-01,6.940181727064023143e-01
4.110822164432886283e-01,3.455804091011213663e-01,1.646433985585740167e-01,4.842856316244265047e-02,6.952838392173139592e-01,6.857798425656347341e-01
4.140828165633126390e-01,3.476637834380131853e-01,1.655624296379782923e-01,4.896673078829204967e-02,6.933552760878053389e-01,6.934204259465027720e-01
4.170834166833366496e-01,3.497413769760913671e-01,1.664777135473759495e-01,4.950597868874792584e-02,6.914307424672991864e-01,6.801920801916427894e-01
4.200840168033606603e-01,3.518132018012192774e-01,1.673892592209787755e-01,5.004628524668075507e-02,6.895102349411930120e-01,6.785812912482406256e-01
4.230846169233846710e-01,3.538792699924525609e-01,1.682970755793896933e-01,5.058762885024763872e-02,6.875937501795059692e-01,7.021633683325585462e-01
4.260852170434086261e-01,3.559395936145913208e-01,1.692011715892129675e-01,5.112998830597946520e-02,6.856812848112266989e-01,6.851494426081732314e-01
4.290858171634326368e-01,3.579941847211989825e-01,1.701015562491136335e-01,5.167334271406936325e-02,6.837728354589640567e-01,6.832338152042436441e-01
4.320864172834566475e-01,3.600430553561279057e-01,1.709982385775629943e-01,5.221767138333253955e-02,6.818683987627607301e-01,6.869837629619369723e-01
4.350870174034806581e-01,3.620862175535198291e-01,1.718912276128385652e-01,5.276295383120632038e-02,6.799679713784233526e-01,6.757594013529346633e-01
4.380876175235046688e-01,3.641236833378054261e-01,1.727805324130241016e-01,5.330916978375015852e-02,6.780715499758827036e-01,6.757861963011011497e-01
4.410882176435286794e-01,3.661554647237046933e-01,1.736661620560095987e-01,5.385629917564559860e-02,6.761791312375849961e-01,6.804306185909040350e-01
4.440888177635526901e-01,3.681815737162268398e-01,1.745481256394912362e-01,5.440432215019630480e-02,6.742907118569085867e-01,6.771148702793525764e-01
4.470894178835767008e-01,3.702020223106701757e-01,1.754264322809715171e-01,5.495321905932805395e-02,6.724062885366104414e-01,6.608133212672860912e-01
4.500900180036007114e-01,3.722168224926221125e-01,1.763010911177591011e-01,5.550297046358874248e-02,6.705258579872992453e-01,6.788592839539958623e-01
4.530906181236246666e-01,3.742259862379593294e-01,1.771721113069688602e-01,5.605355713214834473e-02,6.686494169259364906e-01,6.627450674930460695e-01
4.560912182436486773e-01,3.762295255128477178e-01,1.780395020255220173e-01,5.660496004279900323e-02,6.667769620743618786e-01,6.562161725712200022e-01
4.590918183636726879e-01,3.782274522737422151e-01,1.789032724701458965e-01,5.715716038195492454e-02,6.649084901578466988e-01,6.559037394578561830e-01
4.620924184836966986e-01,3.802197784673869707e-01,1.797634318573741452e-01,5.771013954465244178e-02,6.630439979036711895e-01,6.591385444601179922e-01
4.650930186037207092e-01,3.822065160308154019e-01,1.806199894235466230e-01,5.826387913454999373e-02,6.611834820397282098e-01,6.774564845859588624e-01
4.680936187237447199e-01,3.841876768913499718e-01,1.814729544248093462e-01,5.881836096392814572e-02,6.593269392931493389e-01,6.475715802439415691e-01
4.710942188437687306e-01,3.861632729666023556e-01,1.823223361371146822e-01,5.937356705368956183e-02,6.574743663889582868e-01,6.590751253143016797e-01
4.740948189637927412e-01,3.881333161644734409e-01,1.831681438562211273e-01,5.992947963335901185e-02,6.556257600487443993e-01,6.342475164678386124e-01
4.770954190838167519e-01,3.900978183831532164e-01,1.840103868976935009e-01,6.048608114108340594e-02,6.537811169893622543e-01,6.537654476579103369e-01
4.800960192038407071e-01,3.920567915111208279e-01,1.848490745969027793e-01,6.104335422363171143e-02,6.519404339216525734e-01,6.609360980964126275e-01
4.830966193238647177e-01,3.940102474272056954e-01,1.856842162916711725e-01,6.160128164218112157e-02,6.501037075791353814e-01,6.477370743585207924e-01
4.860972194438887284e-01,3.959581979992342071e-01,1.865158213060787440e-01,6.215984621580402519e-02,6.482709347364494779e-01,6.419773854976160710e-01
4.890978195639127390e-01,3.979006550838415368e-01,1.873438990119185854e-01,6.271903115333675449e-02,6.464421121025872852e-01,6.487572227431727123e-01
4.920984196839367497e-01,3.998376305278649734e-01,1.881684587943214249e-01,6.327881983779808095e-02,6.446172363866865540e-01,6.516187538981930150e-01
4.950990198039607604e-01,4.017691361683790596e-01,1.889895100499003888e-01,6.383919581566313561e-02,6.427963043002336008e-01,6.494328800104076649e-01
4.980996199239847710e-01,4.036951838326961473e-01,1.898070621867511132e-01,6.440014279686336052e-02,6.409793125559141158e-01,6.607040510952120194e-01
5.011002200440087817e-01,4.056157853383658418e-01,1.906211246244516877e-01,6.496164465478651562e-02,6.391662578664828454e-01,6.412579325898456473e-01
5.041008201640327924e-01,4.075309524931752803e-01,1.914317067940627115e-01,6.552368542627673431e-02,6.373571369436534795e-01,6.314330359461240993e-01
5.071014202840568030e-01,4.094406970951491864e-01,1.922388181381272654e-01,6.608624931163442628e-02,6.355519464970088572e-01,6.342921545971423880e-01
5.101020204040808137e-01,4.113450309325497045e-01,1.930424681106708007e-01,6.664932067461637466e-02,6.337506832329284912e-01,6.330256977767303450e-01
5.131026205241048244e-01,4.132439657838763991e-01,1.938426661772013615e-01,6.721288404243565273e-02,6.319533438535365200e-01,6.330407176883177112e-01
5.161032206441288350e-01,4.151375134178664217e-01,1.946394218147094179e-01,6.777692410576170723e-02,6.301599250556677578e-01,6.298596469233733730e-01
5.191038207641528457e-01,4.170256855934943996e-01,1.954327445116678941e-01,6.834142571872028893e-02,6.283704235298503971e-01,6.301100829188124308e-01
5.221044208841767453e-01,4.189084940599723250e-01,1.962226437680321678e-01,6.890637389889346653e-02,6.265848359593083616e-01,6.098763353531572173e-01
5.251050210042007560e-01,4.207859505567499436e-01,1.970091290952402097e-01,6.947175382731966831e-02,6.248031590189812023e-01,6.330994485793816073e-01
5.281056211242247667e-01,4.226580668135141994e-01,1.977922100162123054e-01,7.003755084849365431e-02,6.230253893745587579e-01,6.172779966853484401e-01
5.311062212442487773e-01,4.245248545501897341e-01,1.985718960653513332e-01,7.060375047036647478e-02,6.212515236815359110e-01,6.095199367170656135e-01
5.341068213642727880e-01,4.263863254769385547e-01,1.993481967885425421e-01,7.117033836434553951e-02,6.194815585842817773e-01,6.258590701806960865e-01
5.371074214842967987e-01,4.282424912941601991e-01,2.001211217431537737e-01,7.173730036529459009e-02,6.177154907151253260e-01,6.308887507889860968e-01
5.401080216043208093e-01,4.300933636924916259e-01,2.008906804980352123e-01,7.230462247153368605e-02,6.159533166934595405e-01,6.208835981884539557e-01
5.431086217243448200e-01,4.319389543528074360e-01,2.016568826335196352e-01,7.287229084483923258e-02,6.141950331248562378e-01,6.158066262633113963e-01
5.461092218443688306e-01,4.337792749462187070e-01,2.024197377414085897e-01,7.344029181037688148e-02,6.124406366002246305e-01,6.031184335465050728e-01
5.491098219643928413e-01,4.356143371313782042e-01,2.031792553916801081e-01,7.400861170392609989e-02,6.106901237463294718e-01,6.394057971244644367e-01
5.521104220844168520e-01,4.374441525546089449e-01,2.039354451558488823e-01,7.457723702103459529e-02,6.089434911777731330e-01,6.177460773843882480e-01
5.551110222044408626e-01,4.392687328531533208e-01,2.046883166358916262e-01,7.514615452673277518e-02,6.072007354577040328e-01,5.958077887542743145e-01
5.581116223244648733e-01,4.410880896538488805e-01,2.054378794377625106e-01,7.571535111406241247e-02,6.054618531431861239e-01,5.976654739807887307e-01
5.611122224444888840e-01,4.429022345731278287e-01,2.061841431713931361e-01,7.628481380407661772e-02,6.037268407844078588e-01,6.045966332701269152e-01
5.641128225645128946e-01,4.447111792170173050e-01,2.069271174506924216e-01,7.685452974583989461e-02,6.019956949239031463e-01,5.864483836039432463e-01
5.671134226845369053e-01,4.465149351811393275e-01,2.076668118935468266e-01,7.742448621642809836e-02,6.002684120957880731e-01,6.019547161658932444e-01
5.701140228045609160e-01,4.483135140507106819e-01,2.084032361218201290e-01,7.799467062092842184e-02,5.985449888250097272e-01,5.939542732678820824e-01
5.731146229245849266e-01,4.501069274005431442e-01,2.091363997613535919e-01,7.856507049243943719e-02,5.968254216266096757e-01,6.090881276297718250e-01
5.761152230446089373e-01,4.518951867950432577e-01,2.098663124419658521e-01,7.913567349207108192e-02,5.951097070049987670e-01,6.047312536412812189e-01
